algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
Neural Network (MLP),0.0,validation,fixed_threshold_0.5,prespecified,2778,0.8603311735061195,0.5680184066724188,0.5478260869565217,0.15789473684210525,0.9781420765027322,0.245136186770428,0.3401498941990284,0.10336897278034907,2327,52,336,63,0.5,0.7923144346785417,0.3945487977180163,-0.04559101436130201,0.9704074759332653,0.1627069834413247,505,0.18178545716342692,722,972.0,0.5839432546126672,0.5586426618482336,0.5604647191040159,629,0.376263957132521,0.6994459833795014,11,0,64,14,416,0.9163113160228189,0.07331812889434587,0.6624883955833738,0.7666202170153459,0.6570113665163517
Neural Network (MLP),0.0,test,fixed_threshold_0.5,prespecified,2778,0.8740100791936645,0.5906064025132187,0.7333333333333333,0.19298245614035087,0.9882303488860866,0.3055555555555556,0.3266836116287911,0.09706227171673955,2351,28,322,77,0.5,0.8034056347257382,0.486491531883908,0.24593559239224297,1.1007906954987479,0.14578833693304535,445,0.160187185025198,639,864.5,0.6017590767181642,0.5774755367074486,0.5790998315232556,566,0.3561499097824015,0.6964006259780907,10,0,47,19,369,0.8299908118632933,0.06551574417792355,0.6984573519892162,0.8201171990091863,0.6705714140434289
Neural Network (MLP),0.1,validation,fixed_threshold_0.5,prespecified,2778,0.853491720662347,0.6078294727992744,0.481651376146789,0.2631578947368421,0.9525010508617066,0.34035656401944897,0.3428377352046815,0.10456144482053549,2266,113,294,105,0.5,0.7911893015430547,0.396757384226335,-0.2886429769957086,0.9055231744341221,0.12706983441324693,380,0.13678905687544995,722,972.0,0.5246354226803533,0.503650098891167,0.5046444638307414,629,0.30381937932621805,0.5263157894736842,10,0,36,12,322,0.8804046128961173,0.09943095096028769,0.5709543248092886,0.7147595135702027,0.5852410377835233
Neural Network (MLP),0.1,test,fixed_threshold_0.5,prespecified,2778,0.8761699064074874,0.6367147376638317,0.6486486486486487,0.3007518796992481,0.9726775956284153,0.410958904109589,0.3262182589658768,0.09678468034476455,2314,65,279,120,0.5,0.8042199867048874,0.4847754648010377,-0.026961273975724728,1.0335008597282622,0.119150467962563,356,0.12814974802015838,639,864.5,0.5419338980004843,0.521627423400618,0.5231743055887379,566,0.28572039594906495,0.5571205007824727,9,0,32,18,297,0.766933878759543,0.09097565143127685,0.6018697439747698,0.7771576279610918,0.5994764136072008
Neural Network (MLP),0.25,validation,fixed_threshold_0.5,prespecified,2778,0.8480921526277898,0.6484812282914094,0.4637223974763407,0.3684210526315789,0.92854140395124,0.4106145251396648,0.35257116783849124,0.10896305806971189,2209,170,252,147,0.5,0.7880172267575203,0.39056975875766625,-0.5382167395050576,0.8133969325821074,0.09503239740820735,281,0.10115190784737221,722,972.0,0.4591118918727976,0.4427536609982478,0.4421207087085827,629,0.24115488937918447,0.389196675900277,10,0,26,9,236,0.8430321914228526,0.12715246110485912,0.47144838324700944,0.638142971860038,0.5063544626384974
Neural Network (MLP),0.25,test,fixed_threshold_0.5,prespecified,2778,0.8729301655867531,0.6702838432778035,0.5877862595419847,0.38596491228070173,0.9546027742749055,0.4659606656580938,0.33349969168127125,0.09956459231647326,2271,108,245,154,0.5,0.7987186334899882,0.46409863746304497,-0.3283006485094522,0.9200021693524549,0.09287257019438445,275,0.09899208063354932,639,864.5,0.4728705144259473,0.456801683645371,0.45740923800173633,566,0.2237464789929737,0.4303599374021909,7,0,24,16,228,0.6926479625205199,0.11725199477816071,0.499302699285395,0.6863987042584963,0.5184048065270042
Neural Network (MLP),0.5,validation,fixed_threshold_0.5,prespecified,2778,0.8232541396688265,0.6642251909723869,0.3963963963963964,0.44110275689223055,0.887347625052543,0.41755634638196915,0.3731817296418573,0.1181859870311904,2111,268,223,176,0.5,0.7826928607774164,0.382551614938805,-0.8008465010762323,0.687579250069572,0.05543556515478762,156,0.056155507559395246,722,972.0,0.37266295973725094,0.362322411425962,0.3581551040864641,629,0.17804710114118263,0.21606648199445982,10,8,11,7,120,0.7435489308201906,0.1575108278590517,0.36041050607507874,0.5260673438509306,0.4025264632602533
Neural Network (MLP),0.5,test,fixed_threshold_0.5,prespecified,2778,0.8542116630669546,0.6896007357612189,0.49193548387096775,0.45864661654135336,0.9205548549810845,0.47470817120622566,0.34806250994705135,0.10620824754925007,2190,189,216,183,0.5,0.7954970444185283,0.4488679808336934,-0.6294400481299868,0.7804528867238989,0.05687544996400288,163,0.05867530597552196,639,864.5,0.3830149314567915,0.3724446905768113,0.3695582302851374,566,0.1635612876444377,0.25508607198748046,6,2,12,10,133,0.5898868523538112,0.1455151869478509,0.3897838186886575,0.5394827305224903,0.4129678535069348
Neural Network (MLP),0.75,validation,fixed_threshold_0.5,prespecified,2778,0.8038156947444205,0.659133647485675,0.3568627450980392,0.45614035087719296,0.8621269440941572,0.4004400440044004,0.3904179402475165,0.12579983888111707,2051,328,217,182,0.5,0.7787675367485548,0.368431672485494,-0.9281195474928543,0.6268433799772543,0.030597552195824333,85,0.030597552195824333,722,972.0,0.32161219718780454,0.31501598516178153,0.30716323970031373,629,0.1464882701786526,0.11772853185595568,8,15,7,7,48,0.6899340205797643,0.1666503219363781,0.3146859246371972,0.4724950282110108,0.34066205751895906
Neural Network (MLP),0.75,test,fixed_threshold_0.5,prespecified,2778,0.8290136789056876,0.6832323557949097,0.4170305676855895,0.47869674185463656,0.8877679697351829,0.4457409568261377,0.36207189982832955,0.11258702266259592,2112,267,208,191,0.5,0.7927590097564213,0.4366808690438953,-0.7777651142484854,0.7115904000131468,0.02663786897048236,75,0.026997840172786176,639,864.5,0.32916010284722025,0.3219938883640505,0.31578525911938904,566,0.1336236071452145,0.11737089201877934,6,10,7,7,45,0.5502147460977237,0.1540613314654264,0.3398846907942903,0.4562934569099493,0.34946702548467223
