algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
Neural Network (MLP),0.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7037437005039597,0.7331617189253082,0.2965451055662188,0.7744360902255639,0.6918873476250526,0.42886884108258155,0.3401498941990284,0.10336897278034907,1646,733,90,309,0.11813894162575404,0.7923144346785417,0.3945487977180163,-0.04559101436130201,0.9704074759332653,0.025557955363570913,71,0.025557955363570913,722,972.0,0.5839432546126672,0.5586426618482336,0.5604647191040159,629,0.376263957132521,0.09833795013850416,9,20,5,6,31,0.9163113160228189,0.07331812889434587,0.6624883955833738,0.7666202170153459,0.6570113665163517
Neural Network (MLP),0.0,test,baseline_common_threshold,lambda_0_validation,2778,0.7210223182145429,0.7296915049287784,0.30578512396694213,0.7418546365914787,0.7175283732660782,0.43306510607168985,0.3266836116287911,0.09706227171673955,1707,672,103,296,0.11813894162575404,0.8034056347257382,0.486491531883908,0.24593559239224297,1.1007906954987479,0.02159827213822894,62,0.022318214542836574,639,864.5,0.6017590767181642,0.5774755367074486,0.5790998315232556,566,0.3561499097824015,0.09702660406885759,6,14,8,8,26,0.8299908118632933,0.06551574417792355,0.6984573519892162,0.8201171990091863,0.6705714140434289
Neural Network (MLP),0.1,validation,baseline_common_threshold,lambda_0_validation,2778,0.6832253419726422,0.7295255793961575,0.284304932735426,0.7944862155388471,0.6645649432534678,0.4187582562747688,0.3428377352046815,0.10456144482053549,1581,798,82,317,0.11813894162575404,0.7911893015430547,0.396757384226335,-0.2886429769957086,0.9055231744341221,0.01907847372210223,53,0.01907847372210223,722,972.0,0.5246354226803533,0.503650098891167,0.5046444638307414,629,0.30381937932621805,0.07340720221606649,8,33,0,5,7,0.8804046128961173,0.09943095096028769,0.5709543248092886,0.7147595135702027,0.5852410377835233
Neural Network (MLP),0.1,test,baseline_common_threshold,lambda_0_validation,2778,0.6947444204463643,0.7279074103923111,0.28959700093720714,0.7744360902255639,0.6813787305590584,0.42155525238744884,0.3262182589658768,0.09678468034476455,1621,758,90,309,0.11813894162575404,0.8042199867048874,0.4847754648010377,-0.026961273975724728,1.0335008597282622,0.01655867530597552,46,0.01655867530597552,639,864.5,0.5419338980004843,0.521627423400618,0.5231743055887379,566,0.28572039594906495,0.07198748043818466,4,28,4,6,4,0.766933878759543,0.09097565143127685,0.6018697439747698,0.7771576279610918,0.5994764136072008
Neural Network (MLP),0.25,validation,baseline_common_threshold,lambda_0_validation,2778,0.6763858891288697,0.7255323049110798,0.2795414462081129,0.7944862155388471,0.6565783942833123,0.4135681669928245,0.35257116783849124,0.10896305806971189,1562,817,82,317,0.11813894162575404,0.7880172267575203,0.39056975875766625,-0.5382167395050576,0.8133969325821074,0.022318214542836574,62,0.022318214542836574,722,972.0,0.4591118918727976,0.4427536609982478,0.4421207087085827,629,0.24115488937918447,0.08587257617728532,8,49,0,4,1,0.8430321914228526,0.12715246110485912,0.47144838324700944,0.638142971860038,0.5063544626384974
Neural Network (MLP),0.25,test,baseline_common_threshold,lambda_0_validation,2778,0.6857451403887689,0.7236960623500743,0.283363802559415,0.7769423558897243,0.6704497688104245,0.41527126590756863,0.33349969168127125,0.09956459231647326,1595,784,89,310,0.11813894162575404,0.7987186334899882,0.46409863746304497,-0.3283006485094522,0.9200021693524549,0.015478761699064075,43,0.015478761699064075,639,864.5,0.4728705144259473,0.456801683645371,0.45740923800173633,566,0.2237464789929737,0.06729264475743349,4,36,1,2,0,0.6926479625205199,0.11725199477816071,0.499302699285395,0.6863987042584963,0.5184048065270042
Neural Network (MLP),0.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.6742260619150467,0.7211423893908795,0.2768959435626102,0.7869674185463659,0.655317360235393,0.4096542726679713,0.3731817296418573,0.1181859870311904,1559,820,85,314,0.11813894162575404,0.7826928607774164,0.382551614938805,-0.8008465010762323,0.687579250069572,0.019438444924406047,54,0.019438444924406047,722,972.0,0.37266295973725094,0.362322411425962,0.3581551040864641,629,0.17804710114118263,0.07479224376731301,3,51,0,0,0,0.7435489308201906,0.1575108278590517,0.36041050607507874,0.5260673438509306,0.4025264632602533
Neural Network (MLP),0.5,test,baseline_common_threshold,lambda_0_validation,2778,0.687544996400288,0.7226610030751532,0.2838709677419355,0.7719298245614035,0.6733921815889029,0.41509433962264153,0.34806250994705135,0.10620824754925007,1602,777,91,308,0.11813894162575404,0.7954970444185283,0.4488679808336934,-0.6294400481299868,0.7804528867238989,0.014038876889848811,39,0.014038876889848811,639,864.5,0.3830149314567915,0.3724446905768113,0.3695582302851374,566,0.1635612876444377,0.06103286384976526,1,38,0,0,0,0.5898868523538112,0.1455151869478509,0.3897838186886575,0.5394827305224903,0.4129678535069348
Neural Network (MLP),0.75,validation,baseline_common_threshold,lambda_0_validation,2778,0.6681065514758819,0.7196553805699621,0.2735930735930736,0.7919799498746867,0.6473308112652375,0.4066924066924067,0.3904179402475165,0.12579983888111707,1540,839,83,316,0.11813894162575404,0.7787675367485548,0.368431672485494,-0.9281195474928543,0.6268433799772543,0.016918646508279338,47,0.016918646508279338,722,972.0,0.32161219718780454,0.31501598516178153,0.30716323970031373,629,0.1464882701786526,0.06509695290858726,1,46,0,0,0,0.6899340205797643,0.1666503219363781,0.3146859246371972,0.4724950282110108,0.34066205751895906
Neural Network (MLP),0.75,test,baseline_common_threshold,lambda_0_validation,2778,0.6821454283657308,0.719508417955355,0.28,0.7719298245614035,0.6670870113493065,0.4109406270847232,0.36207189982832955,0.11258702266259592,1587,792,91,308,0.11813894162575404,0.7927590097564213,0.4366808690438953,-0.7777651142484854,0.7115904000131468,0.01331893448524118,37,0.01331893448524118,639,864.5,0.32916010284722025,0.3219938883640505,0.31578525911938904,566,0.1336236071452145,0.057902973395931145,1,36,0,0,0,0.5502147460977237,0.1540613314654264,0.3398846907942903,0.4562934569099493,0.34946702548467223
