algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
LightGBM,0.0,validation,fixed_threshold_0.5,prespecified,2222,0.8703870387038704,0.609908130537989,0.624,0.2445141065830721,0.9753021544929059,0.35135135135135137,0.3275710326357834,0.0984076049096293,1856,47,241,78,0.5,0.808564105182874,0.4527294431369833,0.06587635272299304,1.0597536180249103,0.13816381638163816,339,0.15256525652565256,557,749.0,0.5697306802006,0.5427981394456185,0.5426322282358899,484,0.35600326426361467,0.6086175942549371,3,0,36,14,286,0.8059993299103619,0.10728494003844549,0.6603089695718142,0.6764428833596954,0.6478631031199998
LightGBM,0.0,test,fixed_threshold_0.5,prespecified,2778,0.8621310295176385,0.5920143991757452,0.551948051948052,0.21303258145363407,0.9709962168978562,0.3074141048824593,0.3354950798856478,0.1009299272287837,2310,69,314,85,0.5,0.7958099325657565,0.43015533282945295,-0.008228466202967084,1.0079455795928898,0.13930885529157666,416,0.14974802015838734,686,922.0,0.5754338668368235,0.5511229071659939,0.5595091303403961,597,0.3601138544534296,0.6064139941690962,11,0,40,16,349,0.8756849191481401,0.09656861201235645,0.6085780715488777,0.7989215631038583,0.6461004699477946
LightGBM,0.1,validation,fixed_threshold_0.5,prespecified,2222,0.864986498649865,0.6328483157265298,0.5536723163841808,0.3072100313479624,0.9584866001050972,0.3951612903225806,0.33093229104260724,0.09995780217829611,1824,79,221,98,0.5,0.8074422994875275,0.443378941524624,-0.1961433407414407,0.9785292462037352,0.11476147614761475,279,0.12556255625562557,557,749.0,0.5047530812561744,0.48295649097384846,0.4811739262271676,484,0.27587244866108745,0.5008976660682226,2,1,27,12,237,0.7278977273359217,0.1310721592552508,0.5552319195790777,0.6381021890523437,0.5679858978564633
LightGBM,0.1,test,fixed_threshold_0.5,prespecified,2778,0.8646508279337654,0.6279033017600748,0.5539906103286385,0.2957393483709273,0.9600672551492223,0.38562091503267976,0.33846190768913526,0.10219163209110992,2284,95,281,118,0.5,0.7943945614351137,0.42628939754776973,-0.25420952220612697,0.9342438143556073,0.11807055435565154,343,0.12347012239020878,686,922.0,0.5104792793648406,0.4911602671836264,0.49778996248259716,597,0.2799475531465567,0.5,10,0,26,15,292,0.8143573586628665,0.12332960413388304,0.5175198414349501,0.7591403627617765,0.5666353910441329
LightGBM,0.25,validation,fixed_threshold_0.5,prespecified,2222,0.8514851485148515,0.6536684364071249,0.47808764940239046,0.3761755485893417,0.931161324224908,0.42105263157894735,0.3419426574795101,0.10478109417302453,1772,131,199,120,0.5,0.8002197487221134,0.4299833660512543,-0.4906005535580709,0.8443088744288815,0.0819081908190819,194,0.08730873087308731,557,749.0,0.43014416748266127,0.41423224571527806,0.40930339202650284,484,0.21040418013364212,0.348294434470377,2,2,15,10,165,0.6614600169621768,0.15609518207391546,0.45023416031830155,0.5650199827495984,0.4763053155265804
LightGBM,0.25,test,fixed_threshold_0.5,prespecified,2778,0.8556515478761699,0.6570666894221683,0.4967105263157895,0.37844611528822053,0.935687263556116,0.4295874822190612,0.3490574195593792,0.10693507105615382,2226,153,248,151,0.5,0.7906778295044041,0.40921833330665097,-0.528778027145368,0.8128105118696145,0.08567314614830814,241,0.08675305975521959,686,922.0,0.4359595080778121,0.42213441071068913,0.4250930491632582,597,0.21433777037739885,0.35131195335276966,9,1,14,14,203,0.7247300892859878,0.14508483112101012,0.432313704474864,0.6949776851663797,0.47614601991614414
LightGBM,0.5,validation,fixed_threshold_0.5,prespecified,2222,0.8267326732673267,0.6627013608277311,0.40350877192982454,0.43260188087774293,0.8928008407777194,0.4175491679273828,0.3597499111939675,0.11323426109928297,1699,204,181,138,0.5,0.7974341783391016,0.41874494788157907,-0.7434525968990849,0.7218310940761381,0.043204320432043204,98,0.04410441044104411,557,749.0,0.348288601918282,0.3383758632405912,0.32897206925472733,484,0.1555110203991284,0.17594254937163376,2,7,5,8,76,0.5557170275385874,0.1710547564260456,0.34796868679600235,0.49534281824133186,0.377045869853041
LightGBM,0.5,test,fixed_threshold_0.5,prespecified,2778,0.8311735061195105,0.6636341800276226,0.41504854368932037,0.42857142857142855,0.8986969314838167,0.4217016029593095,0.3672930831864498,0.11521970506250645,2138,241,228,171,0.5,0.7866213452926137,0.39634643421504734,-0.7719559717398684,0.6963724729398321,0.04787616990640749,134,0.0482361411087113,686,922.0,0.35454751236869664,0.34627994279081076,0.34403726086511305,597,0.1590867385370523,0.19533527696793002,9,3,12,12,98,0.6054094310540141,0.1606064524769467,0.34931113179021284,0.609768142648516,0.3785795154637381
LightGBM,0.75,validation,fixed_threshold_0.5,prespecified,2222,0.8123312331233123,0.6673401344519543,0.3756345177664975,0.46394984326018807,0.8707304256437205,0.41514726507713884,0.3763629897868389,0.12047852819967063,1657,246,171,148,0.5,0.7950365451679168,0.4165305105323685,-0.8861617766097359,0.6578969185723416,0.021602160216021602,49,0.022052205220522054,557,749.0,0.2975181970996345,0.2912443985248798,0.2786927075611388,484,0.12705319316041008,0.08797127468581688,2,10,3,8,26,0.5015401322972295,0.17822313810871196,0.2880138734661261,0.447244662781508,0.3157187481732719
LightGBM,0.75,test,fixed_threshold_0.5,prespecified,2778,0.8167746580273578,0.6708716937362321,0.38589211618257263,0.46616541353383456,0.8755779739386297,0.42224744608399545,0.38429866773852284,0.12264733060823876,2083,296,213,186,0.5,0.7839038537916881,0.389700884546659,-0.9111630035969033,0.6353845789377996,0.02591792656587473,72,0.02591792656587473,686,922.0,0.3031503962447992,0.2985008019117848,0.2924984828197641,597,0.1294496782497354,0.10495626822157435,9,5,10,10,38,0.520929952835265,0.1741009953656295,0.294648380353043,0.5562786417212077,0.31666574248398527
