algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
LightGBM,0.0,validation,baseline_common_threshold,lambda_0_validation,2222,0.7295229522952296,0.7338050627865258,0.3129973474801061,0.7398119122257053,0.7277982133473463,0.43988816402609504,0.32961101178649366,0.09802986975635021,1385,518,83,236,0.1202484246635915,0.7979679008725704,0.4659165402278267,0.06054997355607635,1.0069195167819176,0.03375337533753375,75,0.03375337533753375,520,695.5,0.5676837444817311,0.5388064343343851,0.5440771190466018,462,0.3343669554622617,0.14423076923076922,7,29,4,6,29,0.871310957966267,0.10015849169786437,0.607068903580751,0.6512989219999498,0.6532461449183118
LightGBM,0.0,test,baseline_common_threshold,lambda_0_validation,2778,0.7131029517638588,0.7313254763643029,0.3013972055888224,0.7568922305764411,0.7057587221521647,0.43112062812276947,0.33304843315488514,0.10072325527288946,1679,700,97,302,0.1202484246635915,0.8029594794046908,0.44204349855195896,-0.05867410969277517,0.9781499995912359,0.03419726421886249,98,0.035277177825773935,719,962.0,0.5747845579943469,0.5512784928600517,0.5543316738869096,617,0.36646903864446223,0.13630041724617525,5,33,8,3,49,0.892949817182954,0.10099792689876677,0.630366220045962,0.647576928993009,0.6443354256139283
LightGBM,0.1,validation,baseline_common_threshold,lambda_0_validation,2222,0.7002700270027002,0.7193360755250331,0.2891859052247874,0.7460815047021944,0.6925906463478718,0.4168126094570928,0.3327108933933097,0.09890105145446598,1318,585,81,238,0.1202484246635915,0.7940695848989469,0.4591623776004349,-0.16826950450056394,0.9469126891750953,0.025202520252025202,56,0.025202520252025202,520,695.5,0.5062781847169882,0.4833344107844153,0.48702409908620964,462,0.26011195714478874,0.1076923076923077,6,44,2,4,0,0.84122323632689,0.12672122438786756,0.5205241293642671,0.6168287823365194,0.5742597371097966
LightGBM,0.1,test,baseline_common_threshold,lambda_0_validation,2778,0.6864650827933765,0.7189016045789126,0.28188539741219965,0.7644110275689223,0.6733921815889029,0.41188386225523294,0.3372397954796569,0.10251088354889022,1602,777,94,305,0.1202484246635915,0.8008614432255502,0.4348014022801909,-0.2974477372861901,0.9125192310380544,0.019798416126709864,55,0.019798416126709864,719,962.0,0.5050970764685462,0.4858462917193464,0.4888782400259878,617,0.2804821148772981,0.07649513212795549,3,44,5,2,1,0.841845978216124,0.12349706863525214,0.5280855810461494,0.5866751179347361,0.5620572173519806
LightGBM,0.25,validation,baseline_common_threshold,lambda_0_validation,2222,0.7007200720072008,0.7222081287259681,0.29055690072639223,0.7523510971786834,0.6920651602732527,0.4192139737991266,0.34229985653180584,0.10281814249932258,1317,586,79,240,0.1202484246635915,0.7883608952701311,0.4576258279650633,-0.43602204634794733,0.8364267102905039,0.02115211521152115,47,0.02115211521152115,520,695.5,0.435343129899961,0.41844139987867135,0.41922910098728,462,0.20012278790404286,0.09038461538461538,0,44,1,2,0,0.7606486392573006,0.14510557726917434,0.43598461729331106,0.5705079454428329,0.4854223299630415
LightGBM,0.25,test,baseline_common_threshold,lambda_0_validation,2778,0.6846652267818575,0.7199366638538338,0.28139321723189736,0.7694235588972431,0.6704497688104245,0.4120805369127517,0.3503214005729788,0.10815908212180049,1595,784,92,307,0.1202484246635915,0.7938398960832092,0.41413264117241416,-0.5621915337076933,0.7973297242785395,0.017638588912886968,49,0.017638588912886968,719,962.0,0.4310140164098876,0.4169504844911682,0.418265123323263,617,0.21595851380813777,0.06815020862308763,1,45,2,1,0,0.7830088559197725,0.14459933795655108,0.43652535491044653,0.5407230581154105,0.4726258659965512
LightGBM,0.5,validation,baseline_common_threshold,lambda_0_validation,2222,0.6971197119711972,0.7174968742638665,0.28674698795180725,0.7460815047021944,0.6889122438255386,0.4142732811140122,0.35943426637765724,0.11058726938495979,1311,592,81,238,0.1202484246635915,0.783246054324388,0.44284552241769004,-0.6956858806543741,0.7139236176404464,0.01755175517551755,39,0.01755175517551755,520,695.5,0.3538244172812888,0.34308712988595946,0.34009113419628073,462,0.14804766327389243,0.075,0,39,0,0,0,0.6375119814774356,0.15852046895357333,0.34558979091273373,0.4934344959846648,0.3856386021563389
LightGBM,0.5,test,baseline_common_threshold,lambda_0_validation,2778,0.6850251979841613,0.7222327571766743,0.28244972577696525,0.7744360902255639,0.6700294241277848,0.41393168117883455,0.37005385736404406,0.11743765053099088,1594,785,90,309,0.1202484246635915,0.7906636073158937,0.38987157888615126,-0.8001905367901526,0.6852304456171516,0.01511879049676026,42,0.01511879049676026,719,962.0,0.34888375179714326,0.34023170877427183,0.33818027377897564,617,0.16032310398158406,0.0584144645340751,0,41,1,0,0,0.7024718859938397,0.16107946803556594,0.3482082375911622,0.4554300519302375,0.37448382971255295
LightGBM,0.75,validation,baseline_common_threshold,lambda_0_validation,2222,0.7011701170117012,0.7172522514360267,0.28886168910648713,0.7398119122257053,0.6946925906463479,0.4154929577464789,0.3745207202920085,0.11737881592928832,1322,581,83,236,0.1202484246635915,0.7798946392183931,0.42112762274382537,-0.8375738393441557,0.655199643261115,0.016201620162016202,36,0.016201620162016202,520,695.5,0.303394648045513,0.296654731688307,0.2905795821149207,462,0.12090253893305979,0.06923076923076923,0,36,0,0,0,0.5585935756844107,0.16910343280348014,0.2914092100673286,0.4457848204015795,0.3233647705853825
LightGBM,0.75,test,baseline_common_threshold,lambda_0_validation,2778,0.6843052555795537,0.7186835310217536,0.28073394495412846,0.7669172932330827,0.6704497688104245,0.4110141034251175,0.3880335547998792,0.125303061212326,1595,784,93,306,0.1202484246635915,0.7885192173371639,0.3770960547795149,-0.9363277939633163,0.627491624391021,0.014758819294456443,41,0.014758819294456443,719,962.0,0.29654574197738437,0.2911557190340808,0.2861248971115897,617,0.13010226311255568,0.05702364394993046,0,40,1,0,0,0.6265393825614669,0.1707879804566849,0.292642681913372,0.39221502703627503,0.3124939991635378
