,mean,std,median,q025,q975
penalty_multiplier,0.05,0.052704627669472995,0.05,0.0,0.1
n_patients,2777.4,0.5163977794943223,2777.0,2777.0,2778.0
accuracy,0.7362675458415613,0.025084965607048638,0.7351458408354339,0.7044546436285097,0.778781058696435
balanced_accuracy,0.726338810249153,0.008682162908793546,0.7300658079176073,0.7116758201222148,0.7372325235924124
precision,0.3171473835247195,0.02067696934513404,0.31221571802216963,0.29600870146214125,0.35513678825622774
recall_sensitivity,0.7124091478696742,0.039847011885481426,0.7209085213032581,0.6563909774436091,0.7689882518796992
specificity,0.740268472628632,0.0351715810129544,0.7407485281749369,0.6936043752260369,0.7993166526492852
f1,0.4378360464598717,0.014366960490966304,0.4356599818354711,0.42326629902786644,0.463242881233035
log_loss,0.3346643523195042,0.004323104753986765,0.3338782436716151,0.3289852720708814,0.3422835703762119
brier_score,0.10039347532723675,0.0012547870540920458,0.10054013423709945,0.09794042243109956,0.10196170771868769
tn,1760.5,83.49351272204726,1761.5,1649.55,1900.775
fp,617.7,83.69793572391403,616.5,477.225,728.6750000000001
fn,114.8,15.859101838096352,111.5,92.35,137.1
tp,284.4,16.036070452438015,288.0,261.9,307.425
threshold,0.1484476724651814,0.025731610592989593,0.14589052629311577,0.12046410694534644,0.19159862211616763
roc_auc,0.7962670967003952,0.00976313228497112,0.7991712354899023,0.7772210303934773,0.8041166704608451
average_precision,0.44890703436934354,0.02097755567055374,0.4447456691921682,0.4278352799811887,0.49086215520233273
calibration_intercept,-0.12756029088296017,0.13513994356264394,-0.14864801407830813,-0.30162902235913563,0.08075159474268939
calibration_slope,0.9629127266589043,0.0497271516748355,0.9602070115493585,0.8855360221506908,1.0357522672312913
patient_violation_rate,0.031216593778007295,0.011242587862137615,0.029708318329132156,0.017256140574652478,0.049603889088944905
total_rule_patient_violations,88.1,32.50111109211841,84.0,47.925,140.2
violations_per_patient,0.03172067012456792,0.011703919270398783,0.030248469571480016,0.017256140574652478,0.050486136118113076
active_rule_count,683.0,23.518314376483513,689.5,642.6,714.725
active_rule_weight,919.8,27.200081699223706,922.25,879.8125,958.7375
soft_rule_violation,0.5479073380081931,0.03512383199669834,0.5524109801224687,0.5061856525269532,0.5866330694858074
unweighted_soft_rule_violation,0.5257225754619144,0.03246059815570113,0.5317512303582701,0.48461008371321584,0.5625618644017252
mean_patient_soft_rule_violation,0.529865049604519,0.033194458707868246,0.5353933988227993,0.48810659235187714,0.5677233284765447
patients_with_active_rules,596.8,13.612086132877977,598.5,574.8,616.1
rule_bce_per_patient,0.3214813020363817,0.04406298917470006,0.3191991645500801,0.2658448936677742,0.37821735664425976
active_rule_violation_rate,0.12897806902803485,0.0481852499812944,0.12188155190666972,0.07322032193158953,0.21121010958244932
violation_LR01_neg,7.2,3.1902629637347735,6.5,4.0,12.0
violation_LR02_pos,26.9,8.1574778237176,30.0,15.225,35.775
violation_LR03_neg,5.9,2.64365067451978,6.0,2.225,9.55
violation_LR04_neg,6.3,1.9465068427541912,6.0,3.45,9.0
violation_LR05_neg,41.8,37.847060652050644,40.5,2.225,105.75
soft_violation_LR01,0.8346713498843101,0.05331298886675223,0.8495084082315042,0.7542963405646247,0.8977118885995768
soft_violation_LR02,0.10782095015979762,0.013980484057847208,0.10318683554648186,0.0895145504425969,0.12949264041272102
soft_violation_LR03,0.5836752054767269,0.05586182407399625,0.5848588043479372,0.4935636667805686,0.6502987016909633
soft_violation_LR04,0.6864179745341465,0.050837255454100116,0.6706663443000309,0.6336032256069398,0.7839912657255343
soft_violation_LR05,0.6120799426381968,0.04406655904913794,0.6123582408025351,0.5663796397999621,0.6629878086171873
fold,5.5,3.0276503540974917,5.5,1.225,9.775
selected_penalty_multiplier,0.05,0.052704627669472995,0.05,0.0,0.1
baseline_common_threshold,0.1484476724651814,0.025731610592989593,0.14589052629311577,0.12046410694534644,0.19159862211616763
selected_lambda_optimized_threshold,0.15208708575130317,0.03682727290801639,0.13842696275892039,0.11340304644963263,0.20905001085621847
