algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
Logistic Regression,0.0,validation,baseline_common_threshold,lambda_0_validation,2222,0.6998199819981998,0.7373385036331019,0.29577464788732394,0.7899686520376176,0.6847083552285864,0.430401366353544,0.3945234721103218,0.11864811151779155,1303,600,67,252,0.14472843235788269,0.7764723905662895,0.33509715632918435,8.644654616124743,5.969755615371156,0.024752475247524754,55,0.024752475247524754,551,740.0,0.7396409886516174,0.710498948945047,0.7197145609714934,479,0.5164799841139853,0.0998185117967332,4,30,0,19,2,0.8500235875587275,0.13942263635924976,0.799566727350116,0.8938118357548128,0.8246000567908791
Logistic Regression,0.0,test,baseline_common_threshold,lambda_0_validation,2777,0.685992077781779,0.7019367173189492,0.27497621313035203,0.7243107769423559,0.6795626576955425,0.3986206896551724,0.396130542350366,0.11901509060558721,1616,762,110,289,0.14472843235788269,0.750797304446988,0.33994388324657754,7.706391038060391,5.4291120675098545,0.018725243068059057,54,0.019445444724522868,698,942.0,0.7344604111945913,0.703101735010373,0.7086835930618517,600,0.5200211325727836,0.07736389684813753,3,35,1,11,4,0.8505072152666532,0.13875323764432862,0.7984830502930567,0.8953075969178169,0.8241667881478061
Logistic Regression,0.1,validation,baseline_common_threshold,lambda_0_validation,2222,0.3766876687668767,0.6139217569355102,0.18083832335329342,0.9467084639498433,0.2811350499211771,0.3036701860231272,0.3922323037484057,0.11749377054837341,535,1368,17,302,0.14472843235788269,0.774861339215263,0.3309663067512328,5.394261886767875,4.56372466663404,0.03735373537353735,83,0.03735373537353735,551,740.0,0.7105796857221349,0.684049329021578,0.6934296709410604,479,0.4633434477806037,0.15063520871143377,2,62,0,19,0,0.8248230679539725,0.163894950344995,0.750440937784749,0.8881513362189967,0.7879247997010075
Logistic Regression,0.1,test,baseline_common_threshold,lambda_0_validation,2777,0.34821750090025205,0.5870990554603498,0.17140195621797857,0.9223057644110275,0.251892346509672,0.28908091123330715,0.3943425452636135,0.1179974876209702,599,1779,31,368,0.14472843235788269,0.7481592964749973,0.335331600114795,4.745088631795798,4.1475570191756255,0.037090385307886206,104,0.037450486136118115,698,942.0,0.7049033934782476,0.6761304423875603,0.682181061970966,600,0.4652985576410915,0.1489971346704871,1,92,0,11,0,0.8248776054600473,0.16332638180314626,0.7481288912452356,0.8897197777615343,0.7872129011065253
Logistic Regression,0.25,validation,baseline_common_threshold,lambda_0_validation,2222,0.19081908190819083,0.521064743508435,0.14902705268153774,0.9843260188087775,0.057803468208092484,0.2588623248145095,0.39448363181083307,0.11746143451097811,110,1793,5,314,0.14472843235788269,0.7737131768515971,0.32831594754209986,3.039168808188396,3.523333063844173,0.047254725472547256,105,0.047254725472547256,551,740.0,0.6704018089144075,0.6474101434663174,0.6570798176774936,479,0.40408714387460515,0.19056261343012704,0,86,0,19,0,0.7912268261286288,0.1963546217989477,0.6818748739464381,0.8820319446768321,0.7374304208821195
Logistic Regression,0.25,test,baseline_common_threshold,lambda_0_validation,2777,0.17824990997479295,0.5066276920223182,0.14538606403013182,0.9674185463659147,0.04583683767872161,0.25278323510150624,0.39730623007791954,0.11818882629885506,109,2269,13,386,0.14472843235788269,0.7462295351499016,0.33213523653078747,2.6008648174189215,3.1995918074230145,0.044292401872524305,124,0.044652502700756214,698,942.0,0.6640105429689441,0.6387278408226834,0.6454699405735158,600,0.40433321741083017,0.17765042979942694,1,112,0,11,0,0.7905278007961285,0.195921635362052,0.6779381890061207,0.8837289082569495,0.7363356499283298
Logistic Regression,0.5,validation,baseline_common_threshold,lambda_0_validation,2222,0.15616561656165617,0.5034428397992281,0.14442413162705667,0.9905956112852664,0.0162900683131897,0.2520941364180295,0.40553036733679504,0.12042865751775901,31,1872,3,316,0.14472843235788269,0.7730295507670614,0.32656785599741966,1.2792675913676474,2.7316398631265013,0.049054905490549056,109,0.049054905490549056,551,740.0,0.6133616178264821,0.5953204500733414,0.6053203758960903,479,0.3380065569850255,0.19782214156079855,0,91,0,18,0,0.7450734226294137,0.24014582351754427,0.5853153172932204,0.8751831215556146,0.6659578264612994
Logistic Regression,0.5,test,baseline_common_threshold,lambda_0_validation,2777,0.14980194454447246,0.49731719964334725,0.14301310043668122,0.9849624060150376,0.009671993271656855,0.24976167778836988,0.40940230350948037,0.12153852722988683,23,2355,6,393,0.14472843235788269,0.7451439785333814,0.33013911954466935,1.0006483221633546,2.4790730109832158,0.045372704357220024,127,0.045732805185451926,698,942.0,0.6060216589507696,0.5856118198476332,0.5931842551980986,600,0.33649150227150787,0.1819484240687679,1,116,0,10,0,0.7434302302987533,0.23978992338254632,0.5797556266063865,0.8771585249252246,0.664407182286791
Logistic Regression,0.75,validation,baseline_common_threshold,lambda_0_validation,2222,0.15256525652565256,0.501340895500752,0.14389799635701275,0.9905956112852664,0.01208617971623752,0.25129224652087473,0.42009262176926215,0.12546181404848802,23,1880,3,316,0.14472843235788269,0.7730394345176812,0.326432928646539,0.4186666840296395,2.341325781778506,0.048604860486048604,108,0.048604860486048604,551,740.0,0.5672239794947572,0.5531702424890784,0.563215400449839,479,0.2946829245768563,0.19600725952813067,0,91,0,17,0,0.708472843178708,0.2737321205298833,0.509450304351358,0.8703929954238856,0.6081954561621062
Logistic Regression,0.75,test,baseline_common_threshold,lambda_0_validation,2777,0.14512063377745768,0.4945838102404877,0.14233973198116626,0.9849624060150376,0.004205214465937763,0.24873417721518987,0.42485033183046567,0.1269324627689452,10,2368,6,393,0.14472843235788269,0.7450828501025482,0.3300628309635714,0.2192306774758263,2.1244158418008707,0.045732805185451926,128,0.046092906013683835,698,942.0,0.5592315024671809,0.5427456627824576,0.550692836298686,600,0.2921410622014933,0.1833810888252149,1,118,0,9,0,0.7065129169205058,0.2732536113359542,0.5034002816227002,0.8727117398705446,0.6063918143521685
Logistic Regression,1.0,validation,baseline_common_threshold,lambda_0_validation,2222,0.14896489648964897,0.49923895120227585,0.14337568058076225,0.9905956112852664,0.007882291119285338,0.2504954419342053,0.4356060438424948,0.1314283660253994,15,1888,3,316,0.14472843235788269,0.7733095903679555,0.32720900688715604,-0.09866347076884668,2.1073561327279493,0.04815481548154815,107,0.04815481548154815,551,740.0,0.5295789820362347,0.5187864154152758,0.5286445868059082,479,0.2640529397668513,0.19419237749546278,0,92,0,15,0,0.6788003745220682,0.29988987315512644,0.4498294341989361,0.8666310786648893,0.5610430254655908
Logistic Regression,1.0,test,baseline_common_threshold,lambda_0_validation,2777,0.14404033129276198,0.4949959001793803,0.14244396240057844,0.9874686716791979,0.002523128679562658,0.24897314375987362,0.4411144761841131,0.1332279774081421,6,2372,5,394,0.14472843235788269,0.745421164349056,0.33066498878636696,-0.25008028999842025,1.9120908070711387,0.046092906013683835,129,0.04645300684191574,698,942.0,0.5211397145407103,0.5078638756624325,0.5158441064048163,600,0.2608682928257083,0.18481375358166188,1,119,0,9,0,0.6770429061252342,0.2991423671778775,0.4439356463354409,0.869334210924245,0.5591173192007016
Logistic Regression,1.5,validation,baseline_common_threshold,lambda_0_validation,2222,0.1467146714671467,0.4979252360157283,0.14305115436849253,0.9905956112852664,0.005254860746190226,0.25,0.46618445564187516,0.14412900840507176,10,1893,3,316,0.14472843235788269,0.7740409879138204,0.32871374616751775,-0.705268159003205,1.8366779047633646,0.04635463546354635,103,0.04635463546354635,551,740.0,0.4721356677310749,0.4663441798977273,0.4754295225793687,479,0.2234243937000373,0.1869328493647913,0,92,0,11,0,0.6333893025227005,0.3373684610417092,0.36386269671349974,0.8606601405475934,0.4890198465468137
Logistic Regression,1.5,test,baseline_common_threshold,lambda_0_validation,2777,0.14259992797983434,0.49415485728619274,0.14223826714801444,0.9874686716791979,0.0008410428931875525,0.24865888292836857,0.4728961488239045,0.14649810165163576,2,2376,5,394,0.14472843235788269,0.7464350531501167,0.332768504930511,-0.7999950842051751,1.6667634854133113,0.045372704357220024,127,0.045732805185451926,698,942.0,0.46315743243507607,0.4548038069543935,0.4622711369971266,600,0.21952713220380396,0.1819484240687679,1,120,0,6,0,0.6329416530217294,0.3358404387038823,0.35907419193420537,0.8641925443167437,0.4870542790970285
Logistic Regression,2.0,validation,baseline_common_threshold,lambda_0_validation,2222,0.14581458145814583,0.49870440502292207,0.14324446452779033,0.9937304075235109,0.0036784025223331584,0.25039494470774093,0.49467993740034344,0.15654905600869262,7,1896,2,317,0.14472843235788269,0.7746274237839281,0.3301014256835318,-1.0615597274134347,1.6819821018991672,0.045004500450045004,100,0.045004500450045004,551,740.0,0.43033883972329856,0.42819959332978613,0.4362954333685125,479,0.1974852007249917,0.18148820326678766,0,92,0,8,0,0.5998910570725735,0.362436792102351,0.30574359829650316,0.8557356497708702,0.4365754786800464
Logistic Regression,2.0,test,baseline_common_threshold,lambda_0_validation,2777,0.14259992797983434,0.49415485728619274,0.14223826714801444,0.9874686716791979,0.0008410428931875525,0.24865888292836857,0.5023212830914692,0.15939178100055018,2,2376,5,394,0.14472843235788269,0.7475711988128436,0.334828812731168,-1.1228477260390755,1.5266977753468842,0.045372704357220024,127,0.045732805185451926,698,942.0,0.4210729392592746,0.4163115855405107,0.42292593262490585,600,0.1932453292524887,0.1819484240687679,1,120,0,6,0,0.601261084296468,0.3599962280724508,0.30234688962575573,0.8601188239372479,0.434693533094099
