algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
Logistic Regression,0.0,validation,fixed_threshold_0.5,prespecified,2222,0.8564356435643564,0.5,0.0,0.0,1.0,0.0,0.395905952015586,0.118954197661871,1903,0,319,0,0.5,0.7561917579403581,0.331436139060449,7.946141903100559,5.553536974911783,0.17686768676867687,435,0.19576957695769576,535,722.0,0.7289448926230506,0.6955037294469187,0.7003487193806159,469,0.4950721561269137,0.8130841121495327,7,0,44,10,374,0.8632257930587556,0.13665524129868617,0.795866392702798,0.8960834854416412,0.8246188086617167
Logistic Regression,0.0,test,fixed_threshold_0.5,prespecified,2777,0.85631976953547,0.5,0.0,0.0,1.0,0.0,0.39592170649175157,0.11898104389633755,2378,0,399,0,0.5,0.7609156406575732,0.33243908676382655,7.458027215341847,5.271829122332172,0.181850918257112,553,0.19913575801224342,694,922.5,0.7197754476994093,0.6852884524452442,0.6954457390332202,602,0.4999799946203124,0.7968299711815562,9,0,62,25,457,0.8362934757158461,0.1390667208595459,0.7940310156143643,0.8967954037943687,0.8245193194998055
Logistic Regression,0.1,validation,fixed_threshold_0.5,prespecified,2222,0.8564356435643564,0.5,0.0,0.0,1.0,0.0,0.3940834627240664,0.11792946134605037,1903,0,319,0,0.5,0.7535313817318637,0.3270547542604417,4.8725002421091155,4.225583930277497,0.17686768676867687,435,0.19576957695769576,535,722.0,0.699787502670367,0.6692329190626073,0.6744933480231868,469,0.4428065079161305,0.8130841121495327,7,0,44,10,374,0.841444665645849,0.16124961892912862,0.7432613361849861,0.8907107894901639,0.7872030226177008
Logistic Regression,0.1,test,fixed_threshold_0.5,prespecified,2777,0.85631976953547,0.5,0.0,0.0,1.0,0.0,0.3939980497620529,0.11792656062796938,2378,0,399,0,0.5,0.7579856917314312,0.3277657630940609,4.559171204112083,4.02390562222237,0.181850918257112,553,0.19913575801224342,694,922.5,0.6916553496915216,0.6603015706899468,0.6703124480669544,602,0.4478758493008193,0.7968299711815562,9,0,62,25,457,0.8034310247603544,0.16439795518111328,0.7411324638930303,0.8913018532345405,0.7868830198319726
Logistic Regression,0.25,validation,fixed_threshold_0.5,prespecified,2222,0.8564356435643564,0.5,0.0,0.0,1.0,0.0,0.39711088946501966,0.11814590844336964,1903,0,319,0,0.5,0.7513783713885187,0.3231161549006043,2.6699694262054177,3.252574998880851,0.17686768676867687,435,0.19576957695769576,535,722.0,0.6595829582822472,0.6329167703996031,0.6387935479268261,469,0.3849517377183061,0.8130841121495327,7,0,44,10,374,0.8128547766711065,0.19371970628929866,0.6700299940710078,0.8850350927045989,0.735873923614946
Logistic Regression,0.25,test,fixed_threshold_0.5,prespecified,2777,0.855959668707238,0.4997897392767031,0.0,0.0,0.9995794785534062,0.0,0.396948799254197,0.11812225511823296,2377,1,399,0,0.5,0.7558894081292382,0.3241927206407174,2.4699964892998962,3.1038890109546777,0.1814908174288801,551,0.19841555635577962,694,922.5,0.6528884237683166,0.6257729583684587,0.6356209101647244,602,0.39034169731323415,0.7939481268011528,9,0,61,25,456,0.759147545481709,0.19796036722240198,0.6677164478213106,0.8854799207188578,0.7352434915473165
Logistic Regression,0.5,validation,fixed_threshold_0.5,prespecified,2222,0.8555355535553555,0.5007791690071937,0.25,0.003134796238244514,0.9984235417761429,0.006191950464396285,0.4093076161292456,0.1215515627780412,1900,3,318,1,0.5,0.7500160610947573,0.3207071917945662,1.0397328130550039,2.518551473108014,0.17551755175517553,428,0.1926192619261926,535,722.0,0.6027735297748078,0.5815050797796634,0.5881244896983219,469,0.3209823350554816,0.8,7,1,40,10,370,0.7745752651465535,0.23707803533483282,0.5680026760531885,0.8788727915688165,0.6636217690657282
Logistic Regression,0.5,test,fixed_threshold_0.5,prespecified,2777,0.8545192653943104,0.49999156849229887,0.14285714285714285,0.002506265664160401,0.9974768713204374,0.0049261083743842365,0.4091326359257802,0.12152834032645653,2372,6,398,1,0.5,0.7546910800972153,0.322089963108641,0.9170869970194203,2.4062791128261294,0.17933021245948866,541,0.19481454807346058,694,922.5,0.59821262843826,0.5770146784861828,0.5865129252131188,602,0.32697723058814365,0.7795389048991355,8,0,55,25,453,0.6990906529578695,0.2431127551077305,0.5660012105002897,0.8791788696725693,0.6625950234787045
Logistic Regression,0.75,validation,fixed_threshold_0.5,prespecified,2222,0.8541854185418541,0.5104281805497671,0.391304347826087,0.02821316614420063,0.9926431949553337,0.05263157894736842,0.4247620431715385,0.12697445607147145,1889,14,310,9,0.5,0.7499254600474091,0.3205915400405123,0.24740690736217455,2.158800696437397,0.16741674167416742,393,0.17686768676867687,535,722.0,0.5570229662891629,0.540070612376352,0.5470223578450782,469,0.27933170306447225,0.7345794392523365,6,2,23,10,352,0.7452145444585268,0.26988078945609917,0.4891073863422537,0.8746863786615128,0.6055230162536216
Logistic Regression,0.75,test,fixed_threshold_0.5,prespecified,2777,0.855959668707238,0.5164756930172361,0.48484848484848486,0.040100250626566414,0.9928511354079058,0.07407407407407407,0.4246374704660958,0.12695921332655816,2361,17,383,16,0.5,0.7545888480663391,0.321813398194603,0.160481405879283,2.0630491435965377,0.17104789341015483,498,0.17933021245948866,694,922.5,0.5543214778434492,0.5378804127359318,0.5468586410280541,602,0.2859241997747621,0.7175792507204611,7,3,32,25,431,0.6530938752002329,0.277643590918203,0.48781154881832944,0.8749594188816485,0.6042562663975721
