,mean,std,median,q025,q975
penalty_multiplier,0.0,0.0,0.0,0.0,0.0
n_patients,2777.4,0.5163977794943223,2777.0,2777.0,2778.0
accuracy,0.6978125365383085,0.0370553750705301,0.6972094519078733,0.6307868773450951,0.7428336013997526
balanced_accuracy,0.706911496370519,0.008498807720648476,0.7100491843575554,0.6935185839651694,0.7171707844554087
precision,0.285613297838219,0.021123045548634076,0.2860616931312132,0.2505238238441257,0.315040082781593
recall_sensitivity,0.7196835839598996,0.04341985164577602,0.7305764411027569,0.6552000313283207,0.784734022556391
specificity,0.6941394087811383,0.050103886741693644,0.6899303938901893,0.6052775441547519,0.7550567703952902
f1,0.40766502428454904,0.01617113324647214,0.4102113102379469,0.37923275044587906,0.4294598869165458
log_loss,0.39603201883131944,0.0006852373382536364,0.39608593948660414,0.39496704561673707,0.3971655295346218
brier_score,0.11902428908031955,0.00017451848943976394,0.11904192065920083,0.11875257683302787,0.1193018704906554
tn,1650.8,119.11227196780916,1641.0,1439.35,1795.525
fp,727.4,119.16393936273023,737.5,582.475,938.6500000000001
fn,111.9,17.32980733367288,107.5,86.05,137.65
tp,287.3,17.39124939604845,291.5,261.575,313.725
threshold,0.14611490028280794,0.0028621463235570803,0.14543991385711175,0.14192290770559582,0.1501803327199847
roc_auc,0.7592141132863094,0.008539256431292224,0.7599016094264093,0.7449032589885141,0.7719132651569204
average_precision,0.3395064129598598,0.016772448143934367,0.3364932287627373,0.31745639475914056,0.3712588872605153
calibration_intercept,8.173741986534768,0.9011468188077512,7.871764733362957,7.049758537012064,9.796640888921516
calibration_slope,5.693678720714919,0.5218771541769937,5.52840002924124,5.044028472606511,6.628066738599075
patient_violation_rate,0.02300703376210998,0.003912667577346101,0.022858171346292297,0.017608930500540153,0.029600288080662587
total_rule_patient_violations,64.5,10.752260744192874,64.5,49.35,82.97500000000001
violations_per_patient,0.023223068333863502,0.0038712568500104344,0.023218142548596114,0.01777097587324451,0.029879366222542312
active_rule_count,683.0,23.518314376483513,689.5,642.6,714.725
active_rule_weight,919.8,27.200081699223706,922.25,879.8125,958.7375
soft_rule_violation,0.7346315373510931,0.009079010294333795,0.7345213010697542,0.7197157622672422,0.7452348109370155
unweighted_soft_rule_violation,0.7033099450993345,0.011094843140277838,0.703901721123766,0.6851169551804832,0.7168591149975649
mean_patient_soft_rule_violation,0.7121994755467235,0.011229689363155496,0.7121611698651831,0.6940621850421147,0.7254156678076032
patients_with_active_rules,596.8,13.612086132877977,598.5,574.8,616.1
rule_bce_per_patient,0.5097609418874761,0.014597559855294606,0.5111588902969595,0.48910899129811714,0.5305440300177836
active_rule_violation_rate,0.09432776097722124,0.01490427247728749,0.09135162473131875,0.0756228392321455,0.12208799430452058
violation_LR01_neg,6.2,2.9739610697593952,6.0,3.0,11.325000000000001
violation_LR02_pos,36.4,7.47142705393168,35.5,28.225,47.775
violation_LR03_neg,0.2,0.42163702135578396,0.0,0.0,1.0
violation_LR04_neg,17.8,6.729701991090608,18.0,10.225,28.1
violation_LR05_neg,3.9,2.5144029554194813,3.5,1.0,8.0
soft_violation_LR01,0.8480899086126825,0.009182984013713752,0.8486573654545977,0.8366096646518838,0.8634857036648934
soft_violation_LR02,0.13901599058113936,0.0009762019559424722,0.13903880155674814,0.13738101739590816,0.1402574114735875
soft_violation_LR03,0.7982347026896122,0.0029279176850217394,0.7985449663042885,0.7942161651830304,0.8032680240716028
soft_violation_LR04,0.8948612929614151,0.0019082108708009663,0.8954146838341229,0.8912601864863261,0.8969496783890701
soft_violation_LR05,0.8251440404374495,0.0011440411151585992,0.82526186772874,0.8232578715462485,0.8268409560568145
fold,5.5,3.0276503540974917,5.5,1.225,9.775
selected_penalty_multiplier,0.0,0.0,0.0,0.0,0.0
baseline_common_threshold,0.14611490028280794,0.0028621463235570803,0.14543991385711175,0.14192290770559582,0.1501803327199847
selected_lambda_optimized_threshold,0.14611490028280794,0.0028621463235570803,0.14543991385711175,0.14192290770559582,0.1501803327199847
