algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
Neural Network (MLP),0.0,validation,fixed_threshold_0.5,prespecified,2222,0.8645364536453646,0.5947505753166507,0.575,0.21630094043887146,0.9732002101944298,0.3143507972665148,0.3245733405312744,0.09802523208884073,1852,51,250,69,0.5,0.815895377205106,0.4549073154299361,0.08274846232601472,1.0631935459588593,0.14491449144914492,357,0.16066606660666066,557,749.0,0.5717329447371964,0.5447381076189499,0.5431370614461208,484,0.35705377280999184,0.6409335727109515,3,0,38,15,301,0.8398104237599505,0.0872048362194597,0.690780828869532,0.7405566888697007,0.6500460920021093
Neural Network (MLP),0.0,test,fixed_threshold_0.5,prespecified,2778,0.8624910007199424,0.5901386505355444,0.5570469798657718,0.20802005012531327,0.9722572509457755,0.3029197080291971,0.33413088727417634,0.10076690759370205,2313,66,316,83,0.5,0.7982124289285635,0.4254543580635424,0.009359830013434312,1.008730038977876,0.14542836573074155,443,0.15946724262059037,686,922.0,0.5808928652433509,0.55670455492403,0.562075749663325,597,0.3645005885363386,0.6457725947521866,11,0,50,18,364,0.9019323798517385,0.07550407012784353,0.654556690730521,0.8511006397850536,0.6512029537139198
Neural Network (MLP),0.1,validation,fixed_threshold_0.5,prespecified,2222,0.8654365436543654,0.6213691630275247,0.5632911392405063,0.27899686520376177,0.9637414608512874,0.3731656184486373,0.32677682118764284,0.09886314830493131,1834,69,230,89,0.5,0.8131658147422729,0.4605872534317918,-0.12487254118284599,1.0088012968008484,0.12736273627362737,315,0.14176417641764177,557,749.0,0.5197484574533923,0.49688761699264783,0.4948468985121414,484,0.29079796024868276,0.5655296229802513,3,0,35,15,262,0.8076887834403251,0.11567927098779886,0.5908389375027683,0.6845481132029319,0.5860687081650314
Neural Network (MLP),0.1,test,fixed_threshold_0.5,prespecified,2778,0.8617710583153347,0.610577515668111,0.5392670157068062,0.2581453634085213,0.9630096679277007,0.34915254237288135,0.3360084662274881,0.10154010865505216,2291,88,296,103,0.5,0.7971557729970155,0.41923848154170973,-0.17963958131945754,0.9632850157464788,0.128869690424766,385,0.13858891288696903,686,922.0,0.5298789675850543,0.5093746227995141,0.5143238703569397,597,0.29884736719764377,0.5612244897959183,11,0,38,17,319,0.8700284586485588,0.10271794518195493,0.5636420384090131,0.805925272439641,0.5894805799701414
Neural Network (MLP),0.25,validation,fixed_threshold_0.5,prespecified,2222,0.8541854185418541,0.6604635149582329,0.4901185770750988,0.3887147335423197,0.932212296374146,0.43356643356643354,0.33692920114631614,0.10313228220403152,1774,129,195,124,0.5,0.8071927347843777,0.45793837886597816,-0.43778144572711714,0.889564661468782,0.08640864086408641,205,0.09225922592259225,557,749.0,0.44987235095270695,0.43321660744223606,0.4284015233675732,484,0.22679035931195485,0.36804308797127466,2,1,16,12,174,0.7522623642451234,0.14525685067828353,0.48798948786561447,0.6541360764965123,0.49819135686589605
Neural Network (MLP),0.25,test,fixed_threshold_0.5,prespecified,2778,0.8585313174946004,0.6524903052081654,0.5105633802816901,0.3634085213032581,0.9415720891130728,0.424597364568082,0.3446256138725064,0.10545290558370436,2240,139,254,145,0.5,0.7943850799761066,0.40964013981142133,-0.47242007649434853,0.8598936802550166,0.09683225341972643,278,0.10007199424046076,686,922.0,0.45973623241146383,0.4451484504545903,0.4470118350436505,597,0.23305239617664636,0.40524781341107874,10,0,20,15,233,0.8147879530760375,0.13747850247228174,0.46554380459863626,0.7752069221050651,0.5021397003030541
Neural Network (MLP),0.5,validation,fixed_threshold_0.5,prespecified,2222,0.8352835283528353,0.6716074437820501,0.42857142857142855,0.44200626959247646,0.9012086179716238,0.4351851851851852,0.3544122967020164,0.11101769905651257,1715,188,178,141,0.5,0.800718878128413,0.4428116397981085,-0.7083360731533138,0.7528292125411851,0.056255625562556255,133,0.059855985598559855,557,749.0,0.3698403943184154,0.3596582552044692,0.3497776189639751,484,0.17197855858375807,0.23877917414721722,2,4,11,10,106,0.6988836137784852,0.16034815580704362,0.39796825498342514,0.6092982889682639,0.39937920414377004
Neural Network (MLP),0.5,test,fixed_threshold_0.5,prespecified,2778,0.8333333333333334,0.6628092930940213,0.42039800995024873,0.42355889724310775,0.9020596889449348,0.42197253433208487,0.36149952757448967,0.11302798843442763,2146,233,230,169,0.5,0.7907136483495413,0.4055764773050262,-0.7371822388121096,0.7306567004650221,0.056515478761699066,161,0.057955363570914326,686,922.0,0.37692545688511103,0.368490394458276,0.3648202959267139,597,0.17516385020837785,0.23469387755102042,9,1,15,15,121,0.730938547149752,0.160203658124452,0.3771754039929864,0.6883006682964388,0.4014443247868432
Neural Network (MLP),0.75,validation,fixed_threshold_0.5,prespecified,2222,0.8141314131413141,0.6723050718466306,0.3813131313131313,0.47335423197492166,0.8712559117183395,0.4223776223776224,0.37479749840184584,0.1198674220208828,1658,245,168,151,0.5,0.7960817517959599,0.44010033956733996,-0.8916169447633252,0.6644135890368554,0.026552655265526554,62,0.0279027902790279,557,749.0,0.30535046814625455,0.2995653900600421,0.2862844150712796,484,0.13365025798608612,0.11131059245960502,2,10,6,7,37,0.5845765363838937,0.1791868316954947,0.3189812846747892,0.4775343307969616,0.322133220719277
Neural Network (MLP),0.75,test,fixed_threshold_0.5,prespecified,2778,0.8200143988480921,0.6748491657896317,0.3941299790356394,0.47117794486215536,0.8785203867171081,0.4292237442922374,0.38229586975772273,0.12220117418293792,2090,289,211,188,0.5,0.7877206677896927,0.39668104050687303,-0.911257445167051,0.6459352266582206,0.032397408207343416,91,0.03275737940964723,686,922.0,0.31226487216605003,0.30862718338619255,0.3005146572897204,597,0.1358386019652771,0.1326530612244898,9,9,11,9,53,0.6426118564876643,0.18621661719836055,0.3128889155843871,0.5606946849988566,0.3228388319244493
