algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
Neural Network (MLP),0.0,validation,baseline_common_threshold,lambda_0_validation,2222,0.7551755175517552,0.7487814159131679,0.3385939741750359,0.7398119122257053,0.7577509196006306,0.4645669291338583,0.3310749560009346,0.10039017904364357,1442,461,83,236,0.12592246383428574,0.8100936155912872,0.418380605219782,0.05438306217886615,1.02315308123324,0.036003600360036005,82,0.0369036903690369,562,757.0,0.5862393356057541,0.5613862716936433,0.5637838676628499,501,0.3838678159169897,0.14590747330960854,11,12,7,5,47,0.9181777321630054,0.07660118627642827,0.685052937199551,0.8416051570148694,0.6578671403165557
Neural Network (MLP),0.0,test,baseline_common_threshold,lambda_0_validation,2777,0.7554915376305366,0.7362598042625488,0.33451536643026003,0.7092731829573935,0.763246425567704,0.45461847389558235,0.3296125090461608,0.09965127194703795,1815,563,116,283,0.12592246383428574,0.8100117830320123,0.4387436150622437,0.07320137522599628,1.0253245918288538,0.03240907454087144,91,0.03276917536910335,676,898.0,0.5744774840186533,0.546816426347684,0.550779192943578,593,0.3530277649358154,0.1346153846153846,7,18,8,11,47,0.8957612044177949,0.08220655570695584,0.6478829554925186,0.7692381017038534,0.6587066506203432
Neural Network (MLP),0.1,validation,baseline_common_threshold,lambda_0_validation,2222,0.7110711071107111,0.7373838041567761,0.3023255813953488,0.774294670846395,0.7004729374671571,0.43485915492957744,0.33205016095831646,0.10064670011546781,1333,570,72,247,0.12592246383428574,0.8077445775273162,0.4247389584307818,-0.19035809255097774,0.9707448366898501,0.01935193519351935,43,0.01935193519351935,562,757.0,0.5238530438496698,0.5044533313116145,0.5060953633342617,501,0.2994129219296779,0.07651245551601424,9,27,0,5,2,0.8852938830128146,0.10994841180268736,0.5784981084184918,0.8220197087419886,0.5797640102413985
Neural Network (MLP),0.1,test,baseline_common_threshold,lambda_0_validation,2777,0.719481454807346,0.7329625577821761,0.30612244897959184,0.7518796992481203,0.7140454163162321,0.43509789702683105,0.3319588419703416,0.10053751692371875,1698,680,99,300,0.12592246383428574,0.8061923100434011,0.4354066276856405,-0.17355119600461927,0.9616706421046136,0.02412675549153763,68,0.024486856319769535,676,898.0,0.5137943277638833,0.49241949680226405,0.49496754102216234,593,0.2766734438298812,0.10059171597633136,4,46,4,10,4,0.8479523238105079,0.11602497672577272,0.5542393966710993,0.7552975959347925,0.5788816508722378
Neural Network (MLP),0.25,validation,baseline_common_threshold,lambda_0_validation,2222,0.7025202520252025,0.7297823762842699,0.29447115384615385,0.768025078369906,0.6915396741986337,0.4257167680278019,0.3412391698338347,0.10424716329721702,1316,587,74,245,0.12592246383428574,0.8028685938882181,0.4171253424570182,-0.46795266384296524,0.8656797227674669,0.01935193519351935,43,0.01935193519351935,562,757.0,0.455496568676496,0.44108206323046384,0.4399662363652496,501,0.23387581923129805,0.07651245551601424,5,35,0,3,0,0.8162706857547163,0.13757408732577922,0.4921093520110216,0.6875387714022683,0.4970399125773682
Neural Network (MLP),0.25,test,baseline_common_threshold,lambda_0_validation,2777,0.7101188332733165,0.7274957789764571,0.2982107355864811,0.7518796992481203,0.703111858704794,0.42704626334519574,0.340688397994746,0.10399958304725182,1672,706,99,300,0.12592246383428574,0.7999751270522817,0.42601288170736584,-0.43775493050646846,0.859475182866011,0.023046453006841917,64,0.023046453006841917,676,898.0,0.4518623914902874,0.4355439273080251,0.43453095822585264,593,0.2197886937870128,0.09467455621301775,4,54,1,3,2,0.7875593377587696,0.14484099341149953,0.47967088289026705,0.6359754219308666,0.5015528499912303
Neural Network (MLP),0.5,validation,baseline_common_threshold,lambda_0_validation,2222,0.7056705670567057,0.7329262326272492,0.2974607013301088,0.7711598746081505,0.6946925906463479,0.4293193717277487,0.3586172960415833,0.11222162367270878,1322,581,73,246,0.12592246383428574,0.7994043392959804,0.41530569725208316,-0.7267110877008569,0.7374527652217855,0.01665166516651665,37,0.01665166516651665,562,757.0,0.3713739922377624,0.36320272043859975,0.35757380608749323,501,0.17319655044605006,0.06583629893238434,2,35,0,0,0,0.7188918750940099,0.16387259003425403,0.3982067277761009,0.5671258655687174,0.3949240166025284
Neural Network (MLP),0.5,test,baseline_common_threshold,lambda_0_validation,2777,0.7151602448685632,0.7262679406674803,0.3008130081300813,0.7418546365914787,0.7106812447434819,0.42805495300072305,0.35775720379268006,0.11166776437741639,1690,688,103,296,0.12592246383428574,0.7941067976922964,0.41655211927423214,-0.6909938619634802,0.7309316840457721,0.019085343896290963,53,0.019085343896290963,676,898.0,0.3707443711627206,0.36056047899114,0.35515097738202883,593,0.16390230781419918,0.07840236686390532,0,52,0,1,0,0.651396949775517,0.16898386607201193,0.3833836262513484,0.5238049908102242,0.4017547815590649
Neural Network (MLP),0.75,validation,baseline_common_threshold,lambda_0_validation,2222,0.7043204320432043,0.7282240382698824,0.2949029126213592,0.7617554858934169,0.6946925906463479,0.4251968503937008,0.3770658127936659,0.12056412261349289,1322,581,76,243,0.12592246383428574,0.7978871835758422,0.4113082534461408,-0.893203345991588,0.6565031958727777,0.018001800180018002,40,0.018001800180018002,562,757.0,0.31000240148180047,0.30667222988231646,0.29825050037100354,501,0.13721659835498343,0.0711743772241993,3,37,0,0,0,0.6771890686617957,0.18048186849152287,0.32503878391855134,0.5215920415662584,0.3196001268095441
Neural Network (MLP),0.75,test,baseline_common_threshold,lambda_0_validation,2777,0.7108390349297803,0.7237448119879176,0.2971887550200803,0.7418546365914787,0.7056349873843566,0.4243727598566308,0.3761346124923251,0.11976502856357672,1678,700,103,296,0.12592246383428574,0.791010326489057,0.41235297881982874,-0.857868478199484,0.6472075759768897,0.019445444724522868,54,0.019445444724522868,676,898.0,0.31175583783044875,0.30671335634163766,0.29807896669390166,593,0.13061002573574898,0.07988165680473373,0,54,0,0,0,0.5914064906537533,0.18705645575672744,0.3149248735003528,0.47356240434208147,0.32711042110268423
Neural Network (MLP),1.0,validation,baseline_common_threshold,lambda_0_validation,2222,0.7056705670567057,0.7316215775454364,0.296969696969697,0.768025078369906,0.6952180767209669,0.42832167832167833,0.3948849337190736,0.12795065964968186,1323,580,74,245,0.12592246383428574,0.7976647991868968,0.41503866915976856,-1.014616665777696,0.6112034106590378,0.017101710171017102,38,0.017101710171017102,562,757.0,0.26328419194360336,0.26323316615927755,0.2520944218774897,501,0.11250617105594586,0.06761565836298933,1,37,0,0,0,0.6162144210603502,0.1932045072908439,0.27150019785253016,0.4561640794078509,0.26343125087073727
Neural Network (MLP),1.0,test,baseline_common_threshold,lambda_0_validation,2777,0.712279438242708,0.7256287269898885,0.2987927565392354,0.7443609022556391,0.7068965517241379,0.4264178033022254,0.39365425278697896,0.12707573819758167,1681,697,102,297,0.12592246383428574,0.7894115018412307,0.4048779827265003,-0.9772219203276746,0.5996115040167856,0.019085343896290963,53,0.019085343896290963,676,898.0,0.2674055614252177,0.26593881117683305,0.25425595680492086,593,0.10876495145574112,0.07840236686390532,0,53,0,0,0,0.5489029884338379,0.19729294263416056,0.2688034660227242,0.4205373695184445,0.2718718820013799
Neural Network (MLP),1.5,validation,baseline_common_threshold,lambda_0_validation,2222,0.698019801980198,0.7310689111566129,0.29245283018867924,0.7774294670846394,0.6847083552285864,0.4250214224507284,0.4194998798748355,0.13699906388725677,1303,600,71,248,0.12592246383428574,0.7958527782399345,0.4127768758099076,-1.13506484003295,0.5620708759971734,0.017101710171017102,38,0.017101710171017102,562,757.0,0.21738883489697763,0.21893141737201144,0.20532171607145694,501,0.09032105544719685,0.06761565836298933,1,37,0,0,0,0.5251460578292607,0.1889210650786048,0.22433817750070154,0.3325245607466924,0.21294303309713675
Neural Network (MLP),1.5,test,baseline_common_threshold,lambda_0_validation,2777,0.7111991357580122,0.7291694332551311,0.29950248756218906,0.7543859649122807,0.7039529015979815,0.4287749287749288,0.4166213380590684,0.13527269756619134,1674,704,98,301,0.12592246383428574,0.7872614673774427,0.40237187620160475,-1.0962827141916847,0.551290161592901,0.01764494058336334,49,0.01764494058336334,676,898.0,0.22208742298906267,0.22250449907859415,0.20817138802763926,593,0.08797901433820257,0.07248520710059171,0,49,0,0,0,0.43420693712929886,0.19737951606914078,0.22122722500491712,0.31282688317627744,0.22081740750922813
Neural Network (MLP),2.0,validation,baseline_common_threshold,lambda_0_validation,2222,0.6921692169216922,0.728957906753402,0.2885283893395133,0.780564263322884,0.6773515501839201,0.4213197969543147,0.44033803991616755,0.1435594343314282,1289,614,70,249,0.12592246383428574,0.7962497755564963,0.4062507674146521,-1.209217574422672,0.5224093529753998,0.01665166516651665,37,0.01665166516651665,562,757.0,0.18589527420789814,0.1895362307651196,0.17425079670641844,501,0.07584859954816592,0.06583629893238434,0,37,0,0,0,0.501832291069958,0.1885696631604953,0.18556662691317924,0.33447186365014037,0.17540185069426512
Neural Network (MLP),2.0,test,baseline_common_threshold,lambda_0_validation,2777,0.7072380266474613,0.7278994374076486,0.2966601178781925,0.7568922305764411,0.6989066442388562,0.4262526464361327,0.43843385650002875,0.1424294886430731,1662,716,97,302,0.12592246383428574,0.788235306516923,0.39725041908409514,-1.1722585593236394,0.5065384854635607,0.017284839755131436,48,0.017284839755131436,676,898.0,0.19031805742349484,0.19316818664783583,0.176495678367321,593,0.07460299111155722,0.07100591715976332,0,48,0,0,0,0.40589735036094987,0.19747887468255826,0.18191296997524442,0.31206836851163844,0.18163928555117714
