,mean,std,median,q025,q975
penalty_multiplier,0.065,0.08181958472422385,0.05,0.0,0.21625000000000005
n_patients,2777.4,0.5163977794943223,2777.0,2777.0,2778.0
accuracy,0.7338552980579702,0.03135530062488356,0.7475693194094346,0.6868700503959683,0.7710675220163158
balanced_accuracy,0.7257678307193041,0.009097682903114574,0.7247037481484674,0.7134832191917978,0.740750583354939
precision,0.3158769940609843,0.02258387495650404,0.3244634642275709,0.28423429144385026,0.3447403509778058
recall_sensitivity,0.7144191729323308,0.04824216246645096,0.7067669172932332,0.650563909774436,0.7878717105263158
specificity,0.7371164885062774,0.04399527829488095,0.7552565180824222,0.6710465813674531,0.7908851976450799
f1,0.43660959068129407,0.01571923155649124,0.4387387048142136,0.41541476377360004,0.4545704300975153
log_loss,0.3355221035384378,0.006247542039444605,0.3343615351759651,0.3274424291367396,0.34718724877128626
brier_score,0.10100246788496584,0.0020841194509445262,0.1005797198332292,0.09768095047459292,0.10452912320659016
tn,1753.0,104.44137111317526,1796.0,1595.9,1880.725
fp,625.2,104.70466401582438,582.0,497.275,782.325
fn,114.0,19.241159586215748,117.0,84.8,139.425
tp,285.2,19.332183873875536,282.0,259.575,314.975
threshold,0.14881308699647589,0.03332427121469988,0.1397557978828748,0.11013245141754548,0.19922690826157727
roc_auc,0.7974294829123987,0.009241442441219567,0.7988519468087798,0.7819258248649377,0.8089423215049819
average_precision,0.4353638043657533,0.016509283594952465,0.42998009761069356,0.4167066834657374,0.46681114253524075
calibration_intercept,-0.13996786239931425,0.17904702007367299,-0.10048600350104758,-0.46331559862295363,0.05883702755316986
calibration_slope,0.9663762701813468,0.0769299168667079,0.9806955927183766,0.8314891274423866,1.0641438061086848
patient_violation_rate,0.024231415465876878,0.00525741447889769,0.024662369826402367,0.017284839755131436,0.03224702916816709
total_rule_patient_violations,68.0,14.787382008545888,69.0,48.0,90.55
violations_per_patient,0.02448342123267517,0.005325237706432112,0.024842355427554273,0.017284839755131436,0.03260712999639899
active_rule_count,683.0,23.518314376483513,689.5,642.6,714.725
active_rule_weight,919.8,27.200081699223706,922.25,879.8125,958.7375
soft_rule_violation,0.5437831560963609,0.03829613843630611,0.5494692171351659,0.47909644761314996,0.582827353935457
unweighted_soft_rule_violation,0.522178414593709,0.035032613023539355,0.5285353892777279,0.4640062610397021,0.5580759827760413
mean_patient_soft_rule_violation,0.525279396951172,0.0363343155668276,0.5323640548678055,0.46546514090444524,0.5639404339343654
patients_with_active_rules,596.8,13.612086132877977,598.5,574.8,616.1
rule_bce_per_patient,0.3152240788634764,0.04370089640571098,0.3159940535369714,0.24395856714039188,0.3622488560186198
active_rule_violation_rate,0.10001835016747192,0.023996915647251336,0.09949744459830914,0.06941453192490271,0.1382305585650656
violation_LR01_neg,7.8,3.4253953543107007,8.0,3.225,12.0
violation_LR02_pos,24.5,7.5314156851300025,22.5,17.225,38.975
violation_LR03_neg,4.8,3.011090610836324,5.5,0.225,8.775
violation_LR04_neg,7.0,3.1622776601683795,6.5,3.225,11.775
violation_LR05_neg,23.9,18.411650900690272,20.5,3.45,56.300000000000004
soft_violation_LR01,0.8483294206816551,0.04962576524985804,0.8508745695567792,0.7838235748055226,0.90236504247656
soft_violation_LR02,0.10061183037308505,0.017558025284742537,0.10262437096363977,0.07686617581312659,0.12750827134284423
soft_violation_LR03,0.5885800076440523,0.058472129895139294,0.5959678064034414,0.49389203968142736,0.65391848068648
soft_violation_LR04,0.7397797047205178,0.05350201239416693,0.7443388268566042,0.6660822560777888,0.8326815687167836
soft_violation_LR05,0.6062551727313756,0.04846041794872398,0.6099441633969945,0.5212982632330149,0.6570183188163979
fold,5.5,3.0276503540974917,5.5,1.225,9.775
selected_penalty_multiplier,0.065,0.08181958472422385,0.05,0.0,0.21625000000000005
baseline_common_threshold,0.14881308699647589,0.03332427121469988,0.1397557978828748,0.11013245141754548,0.19922690826157727
selected_lambda_optimized_threshold,0.15187202071150144,0.03337920804578784,0.15138917664686838,0.11013245141754548,0.19749859546621643
