algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
XGBoost,0.0,validation,fixed_threshold_0.5,prespecified,2222,0.8613861386138614,0.5850834435646076,0.5478260869565217,0.1974921630094044,0.9726747241198108,0.2903225806451613,0.33471755768923184,0.10027758026952555,1851,52,256,63,0.5,0.7928168195078881,0.4477371325255303,0.0026021830867428986,1.0050340726881182,0.13681368136813682,335,0.15076507650765075,535,722.0,0.575832652186827,0.5475502474731441,0.5503432842836453,469,0.3500522330927915,0.6261682242990654,6,0,34,6,289,0.8096286012054479,0.08158434025115018,0.6141321807709134,0.6468147249144599,0.6567475533730324
XGBoost,0.0,test,fixed_threshold_0.5,prespecified,2777,0.8613611811307166,0.588459163046388,0.5466666666666666,0.20551378446115287,0.9714045416316233,0.2987249544626594,0.3335774058442507,0.10119874103513057,2310,68,317,82,0.5,0.8042135405797924,0.4180465047584721,0.034049648252895685,1.0081402559076726,0.1375585163845877,415,0.14944184371624056,694,922.5,0.5725877283675351,0.5440869253348235,0.5493539202307459,602,0.361847051633919,0.5979827089337176,9,0,47,17,342,0.8159572502551959,0.09033901124499943,0.6318908520583403,0.6842388417416692,0.6591503423924882
XGBoost,0.1,validation,fixed_threshold_0.5,prespecified,2222,0.8640864086408641,0.6218855889974088,0.5521472392638037,0.28213166144200624,0.9616395165528113,0.37344398340248963,0.33877101533503745,0.10211729332978361,1830,73,229,90,0.5,0.7915961763063436,0.43336533975132585,-0.26322321073663735,0.91293011415375,0.11431143114311432,275,0.12376237623762376,535,722.0,0.5071776014264178,0.48437978512773844,0.4860653698157863,469,0.2701695643932094,0.514018691588785,6,0,24,6,239,0.7820061746408057,0.10705471504243214,0.5140833240747597,0.6265917684254518,0.5724013004627466
XGBoost,0.1,test,fixed_threshold_0.5,prespecified,2777,0.8613611811307166,0.6176595820923207,0.5339805825242718,0.2756892230576441,0.9596299411269975,0.36363636363636365,0.33507599278314604,0.10192536080926061,2282,96,289,110,0.5,0.8032323238710739,0.41958294415797903,-0.2155890113265076,0.931293764983996,0.11847317248829672,350,0.12603528988116672,694,922.5,0.5069095018410482,0.48424940622860774,0.48771852925741005,602,0.2797808500105565,0.5043227665706052,9,1,34,16,290,0.7744502824066741,0.11823653001883443,0.5349149941035268,0.6461239984997227,0.5757327244013705
XGBoost,0.25,validation,fixed_threshold_0.5,prespecified,2222,0.8541854185418541,0.6461123090582928,0.48917748917748916,0.3542319749216301,0.9379926431949553,0.4109090909090909,0.34990357604583805,0.10704715877040193,1785,118,206,113,0.5,0.7859023123034575,0.415640451960596,-0.52135431017043,0.8089022356647453,0.08595859585958596,198,0.0891089108910891,535,722.0,0.4316112138757844,0.4144882235093743,0.41393204134242284,469,0.20431253065350344,0.37009345794392523,5,0,10,6,177,0.7160905628172136,0.12832037885519046,0.41843487307423394,0.5751199655407321,0.48059944834652973
XGBoost,0.25,test,fixed_threshold_0.5,prespecified,2777,0.8537990637378466,0.6434873980578022,0.48771929824561405,0.3483709273182957,0.9386038687973086,0.4064327485380117,0.3450209332444591,0.10628825172377968,2232,146,260,139,0.5,0.7985770776815884,0.4088465262409458,-0.48345417158675835,0.827623563885794,0.09038530788620813,260,0.09362621534029528,694,922.5,0.4340902228507692,0.41806952535953146,0.4175942933847709,602,0.21281311069993444,0.3746397694524496,6,3,20,15,216,0.7044909174014199,0.14745219671556875,0.44297195932856437,0.5971540466798554,0.4827482712486641
XGBoost,0.5,validation,fixed_threshold_0.5,prespecified,2222,0.8249324932493249,0.6564317683512422,0.39644970414201186,0.4200626959247649,0.8928008407777194,0.4079147640791476,0.3701047840068949,0.11625383085715664,1699,204,185,134,0.5,0.7809151364698866,0.4054154087202829,-0.7746899614463176,0.6858916522703479,0.039603960396039604,91,0.04095409540954095,535,722.0,0.347767934531054,0.33649895202813274,0.3328552247269548,469,0.15000130010726315,0.17009345794392525,5,2,6,5,73,0.6483909212673488,0.14285664919175373,0.3197073339331583,0.5012396481205303,0.380008071638342
XGBoost,0.5,test,fixed_threshold_0.5,prespecified,2777,0.8264314007922218,0.6535793858068215,0.39902676399026765,0.41102756892230574,0.8961312026913373,0.4049382716049383,0.3634381609895957,0.11443552330323564,2131,247,235,164,0.5,0.7926781841061863,0.3958872557505552,-0.7406157483564595,0.7075223537071763,0.04717320849837955,132,0.04753330932661145,694,922.5,0.3543866856671403,0.3448064919527223,0.3396374905064753,602,0.15852981348620632,0.19020172910662825,6,6,10,14,96,0.6339828132222799,0.16787003764170372,0.3528593156615284,0.5116353196879312,0.38348364163128107
XGBoost,0.75,validation,fixed_threshold_0.5,prespecified,2222,0.806030603060306,0.6558338014387446,0.35858585858585856,0.445141065830721,0.8665265370467683,0.3972027972027972,0.3869098088991983,0.12375488191540868,1649,254,177,142,0.5,0.7788148394631805,0.39847985558095045,-0.9131183241098283,0.6236694763029806,0.016201620162016202,36,0.016201620162016202,535,722.0,0.29385069210444287,0.2862592159471116,0.28019266694170336,469,0.1207333020066412,0.06728971962616823,5,7,3,4,17,0.576071033155333,0.15222305518707485,0.26062595792399,0.4403297296848314,0.3155696212176632
XGBoost,0.75,test,fixed_threshold_0.5,prespecified,2777,0.8123874684911775,0.6599794271212092,0.3723849372384937,0.44611528822055135,0.8738435660218671,0.40592930444697833,0.3806523641873799,0.1218994244586525,2078,300,221,178,0.5,0.7899432137956328,0.3966045887728024,-0.8878541458055464,0.6413245338314671,0.02412675549153763,67,0.02412675549153763,694,922.5,0.3028019919751066,0.29714558966751176,0.288295201789753,602,0.12933064102132236,0.09654178674351585,6,9,8,10,34,0.5733000075961185,0.17970222356067575,0.29479524589579514,0.4484969463091201,0.31998161211283477
