,mean,std,median,q025,q975
penalty_multiplier,0.04,0.05163977794943223,0.0,0.0,0.1
n_patients,2777.4,0.5163977794943223,2777.0,2777.0,2778.0
accuracy,0.7207829639383261,0.04070225029782552,0.7159827213822894,0.6574536107691147,0.7793121685302986
balanced_accuracy,0.7228298378015554,0.01168671823727923,0.7207418012930844,0.7092401999532052,0.7409880488648029
precision,0.3072550486689978,0.03158467439338251,0.3009170361276418,0.2665569705540636,0.3586283114539243
recall_sensitivity,0.7257030075187969,0.04201566017319868,0.7268170426065164,0.6549501879699249,0.7936842105263158
specificity,0.7199566680843137,0.05388220583596385,0.7152164775115595,0.6358704793944491,0.7993481917577796
f1,0.42979844455139765,0.024646917861544975,0.4279594656840166,0.39749339448046284,0.46938627807545175
log_loss,0.3351463479926249,0.005088937292065893,0.3334095235581356,0.32824931081733183,0.3437459877694548
brier_score,0.10060228851828401,0.0017603820898579189,0.10059485867892407,0.09738833357817742,0.10290936488024213
tn,1712.2,128.11869496681584,1701.5,1512.1,1900.85
fp,666.0,128.13794650037644,677.5,477.15,865.9000000000001
fn,109.5,16.80112430100372,109.0,82.475,137.95000000000002
tp,289.7,16.78656870503585,290.0,261.825,317.3
threshold,0.13905313720692886,0.030222697867498847,0.13235297746233904,0.10545203225955693,0.20126856999323248
roc_auc,0.7956370567822832,0.009951901677137193,0.8003000035833908,0.777305991007797,0.80311238585677
average_precision,0.4442121800150819,0.02581043503768193,0.43742162761433967,0.41649885919469193,0.49113081703245204
calibration_intercept,-0.10729121362770071,0.15122445898196243,-0.05073938196648414,-0.33717928494127947,0.05699364992215634
calibration_slope,0.9683287909739764,0.06865307997722786,0.969145305189129,0.8584943919867396,1.0687139922904476
patient_violation_rate,0.03218856787459884,0.009019427216555149,0.03330355825765123,0.020849837954627297,0.04575640034501237
total_rule_patient_violations,90.6,25.469807834200694,92.5,57.9,128.525
violations_per_patient,0.03262058516773465,0.009171319574142796,0.03330355825765123,0.020849837954627297,0.04627845904844717
active_rule_count,683.0,23.518314376483513,689.5,642.6,714.725
active_rule_weight,919.8,27.200081699223706,922.25,879.8125,958.7375
soft_rule_violation,0.5549710674152771,0.035233932487554714,0.5756185231518803,0.5070544238103797,0.5875758947700664
unweighted_soft_rule_violation,0.5320805827740387,0.032868966930146355,0.549758311258987,0.48505226477830515,0.5642327419582385
mean_patient_soft_rule_violation,0.5366514612834928,0.03409331312933078,0.5542518230076992,0.4891427757712738,0.5704736004443841
patients_with_active_rules,596.8,13.612086132877977,598.5,574.8,616.1
rule_bce_per_patient,0.32993763733306847,0.04101875471505831,0.3446447377690932,0.2802718125955785,0.37530245509744076
active_rule_violation_rate,0.13306097449395254,0.039230075233663855,0.13584680203591376,0.08570949288141426,0.19643321993465973
violation_LR01_neg,6.3,3.1640339933558095,5.0,4.0,12.0
violation_LR02_pos,28.4,9.191783770786216,28.5,14.35,41.775
violation_LR03_neg,5.0,2.4037008503093262,4.5,2.225,8.775
violation_LR04_neg,5.5,2.592724864350674,5.5,2.0,9.55
violation_LR05_neg,45.4,33.41057716751787,51.0,5.45,96.80000000000001
soft_violation_LR01,0.8359661198206982,0.046195235309591715,0.8244044999796434,0.7782731989848416,0.9005139780458516
soft_violation_LR02,0.10346699185670187,0.014061424715483396,0.10267605548314379,0.0837150208552213,0.11812033355225904
soft_violation_LR03,0.5880745300455695,0.04233346949289665,0.5933033854221923,0.5192771068073327,0.6355161840594491
soft_violation_LR04,0.6965377585748026,0.03328417791613138,0.7025231598321265,0.6480956010578617,0.737142689442697
soft_violation_LR05,0.6210553374523369,0.04227226291336556,0.6463641550711984,0.565846950460576,0.6623241196847853
fold,5.5,3.0276503540974917,5.5,1.225,9.775
selected_penalty_multiplier,0.04,0.05163977794943223,0.0,0.0,0.1
baseline_common_threshold,0.13905313720692886,0.030222697867498847,0.13235297746233904,0.10545203225955693,0.20126856999323248
selected_lambda_optimized_threshold,0.14834461196109103,0.04052193343650377,0.1337799655835719,0.10545203225955693,0.22388783524302225
