algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
lightgbm:control_column_permuted,0.0,validation,fixed_threshold_0.5,prespecified,2778,0.8635709143268538,0.5959839700133056,0.5641025641025641,0.22055137844611528,0.971416561580496,0.3171171171171171,0.3409690727392309,0.1033494132771442,2311,68,311,88,0.5,0.7898776997137652,0.40453878836719104,-0.1398448685489366,0.9606272594483047,0.1493880489560835,452,0.1627069834413247,722,972.0,0.5716697723876557,0.5461855457469048,0.548673458941187,629,0.36685097670401867,0.6260387811634349,11,0,48,10,383,0.8638260760203477,0.08276934369713913,0.6308009009096434,0.6544595726203124,0.6452682189261444
lightgbm:control_column_permuted,0.0,test,fixed_threshold_0.5,prespecified,2778,0.871130309575234,0.6014405496717835,0.6496350364963503,0.22305764411027568,0.9798234552332913,0.332089552238806,0.329078278187055,0.097942081247911,2331,48,310,89,0.5,0.7996451827340524,0.4719453791349321,0.09175927554321596,1.0539845533676393,0.13354931605471562,398,0.14326853851691865,639,864.5,0.5852702177039141,0.560805073871342,0.5645042738010474,566,0.34554755787601793,0.622848200312989,10,0,34,17,337,0.7997263470945637,0.0792975706917617,0.6427075558106076,0.725875460489381,0.654597166302644
lightgbm:control_column_permuted,0.1,validation,fixed_threshold_0.5,prespecified,2778,0.8628509719222462,0.5955636253306659,0.5569620253164557,0.22055137844611528,0.9705758722152165,0.31597845601436264,0.3468907092608539,0.1044633000208059,2309,70,311,88,0.5,0.7906683480453972,0.40058828332002955,-0.1403124945820869,1.1163970338667817,0.14830813534917206,449,0.16162706983441325,722,972.0,0.5623612574518682,0.5388282303201846,0.5410044132069515,629,0.34664958972449444,0.6218836565096952,11,0,48,11,379,0.8474234338840393,0.10820124717698087,0.6174555711963746,0.6487849854930461,0.6303246398081699
lightgbm:control_column_permuted,0.1,test,fixed_threshold_0.5,prespecified,2778,0.8718502519798416,0.6060327363174646,0.6503496503496503,0.23308270676691728,0.9789827658680118,0.34317343173431736,0.3334608412132841,0.09855961346319773,2329,50,306,93,0.5,0.8011590556888228,0.4682338573052087,0.12671078342165837,1.2519398546158553,0.13174946004319654,393,0.14146868250539957,639,864.5,0.5747773203088958,0.5521529948025927,0.5551061556436205,566,0.323346484336196,0.6150234741784038,9,0,34,17,333,0.7679241355035296,0.10669739070073431,0.6306477804116108,0.7011425195148704,0.6388879367103492
lightgbm:control_column_permuted,0.25,validation,fixed_threshold_0.5,prespecified,2778,0.8617710583153347,0.6001479107605078,0.543859649122807,0.23308270676691728,0.9672131147540983,0.3263157894736842,0.3609427050180695,0.10726698351962377,2301,78,306,93,0.5,0.7914136960728849,0.40829442665662996,-0.2076121118832565,1.2846785691764238,0.1447084233261339,440,0.1583873290136789,722,972.0,0.5471412681989274,0.5261493458558341,0.5270078735679102,629,0.32188198602958407,0.6094182825484764,11,0,49,10,370,0.8087992590235273,0.13791127407586343,0.6046830664508485,0.6175011920096577,0.6077659399257807
lightgbm:control_column_permuted,0.25,test,fixed_threshold_0.5,prespecified,2778,0.8714902807775378,0.6193810503560288,0.6235294117647059,0.2656641604010025,0.973097940311055,0.37258347978910367,0.3470082750595217,0.10115417119831809,2315,64,293,106,0.5,0.8010405374512364,0.4725112103650026,0.060159842981322084,1.4518324137533412,0.12455003599712024,374,0.13462922966162708,639,864.5,0.5584050209462491,0.5380980530063256,0.5399124095483924,566,0.2994532945663923,0.5852895148669797,9,0,35,16,314,0.7422627949366338,0.1367089238459218,0.6146004644692281,0.65894057812659,0.6159489345321072
lightgbm:control_column_permuted,0.5,validation,fixed_threshold_0.5,prespecified,2778,0.8524118070554355,0.6061559952845543,0.4748858447488584,0.2606516290726817,0.9516603614964271,0.3365695792880259,0.3965366590078765,0.11734923236939936,2264,115,295,104,0.5,0.7895047623261601,0.3989382021439922,-0.3196398952429874,1.5882696309609308,0.12994960403167746,396,0.14254859611231102,722,972.0,0.5261977469726916,0.5096245196588842,0.5103288416837671,629,0.2876747135242526,0.5484764542936288,11,0,46,11,328,0.7806084499673386,0.20084905762792127,0.5625143393461776,0.6063515085408336,0.5740612274549673
lightgbm:control_column_permuted,0.5,test,fixed_threshold_0.5,prespecified,2778,0.8743700503959683,0.6356638759572323,0.631578947368421,0.3007518796992481,0.9705758722152165,0.4074702886247878,0.3815607729383246,0.11050394156082106,2309,70,279,120,0.5,0.801294956601255,0.4836798846746168,-0.02055715869275347,1.8502463191483245,0.11987041036717062,363,0.1306695464362851,639,864.5,0.5365832632981761,0.5206448026789574,0.5218136467795276,566,0.26574316737790005,0.568075117370892,9,0,37,17,300,0.7123344062611414,0.19774417793606983,0.5806233373493154,0.6437957372890999,0.5817481250972036
lightgbm:control_column_permuted,0.75,validation,fixed_threshold_0.5,prespecified,2778,0.8502519798416127,0.6299260130148827,0.46886446886446886,0.3208020050125313,0.9390500210172341,0.38095238095238093,0.436378681472472,0.13124241274665638,2234,145,271,128,0.5,0.784198305768625,0.3890109631783435,-0.4790862998985028,1.8721297789582734,0.11411087113030957,349,0.12562994960403168,722,972.0,0.5073220850748249,0.4945245797463379,0.49441979185732216,629,0.26420404009556414,0.48337950138504154,11,0,40,8,290,0.7339560522633651,0.25288851874007323,0.5353857303575543,0.5747749420268828,0.5442812804634952
lightgbm:control_column_permuted,0.75,test,fixed_threshold_0.5,prespecified,2778,0.8707703383729302,0.6512924808869589,0.5854700854700855,0.3433583959899749,0.9592265657839428,0.43285939968404424,0.42193805893368486,0.12449604599587133,2282,97,262,137,0.5,0.8014845857813934,0.4801990642387104,-0.17992834961272516,2.2162120898560556,0.10619150467962563,320,0.11519078473722102,639,864.5,0.5166239529476534,0.5040994094988229,0.5046492938124305,566,0.2427076731796305,0.5007824726134585,9,0,32,15,264,0.664570351344429,0.24864507478024672,0.5505152555864865,0.6073738809541638,0.5521147878203925
lightgbm:control_column_permuted,1.0,validation,fixed_threshold_0.5,prespecified,2778,0.8462922966162707,0.650559248057091,0.4573170731707317,0.37593984962406013,0.9251786464901219,0.4126547455295736,0.47368118760369676,0.14606088517803015,2201,178,249,150,0.5,0.7804104628953636,0.3937191907612373,-0.6318657246256242,2.177171791112639,0.09971202303815695,296,0.10655147588192944,722,972.0,0.49323490072961945,0.4834360814052744,0.48348256532710965,629,0.24861057051496865,0.4099722991689751,10,0,27,11,248,0.6899922785727598,0.29795371824661837,0.506735232895287,0.5670320998662933,0.5215338909383281
lightgbm:control_column_permuted,1.0,test,fixed_threshold_0.5,prespecified,2778,0.8646508279337654,0.6654498794274463,0.5403508771929825,0.38596491228070173,0.9449348465741908,0.4502923976608187,0.4608240401276386,0.1399516309326565,2248,131,245,154,0.5,0.7983209389594204,0.4774010687592163,-0.363681957982638,2.564634518716758,0.0939524838012959,280,0.1007919366450684,639,864.5,0.5020577212492436,0.49234204546147836,0.493055935001517,566,0.22782995664597014,0.4381846635367762,8,0,26,15,231,0.6285258249365737,0.2926997160080751,0.5215264974711178,0.5930116926550987,0.529589059734308
lightgbm:control_column_permuted,1.5,validation,fixed_threshold_0.5,prespecified,2778,0.8333333333333334,0.6701100165293435,0.4230769230769231,0.44110275689223055,0.8991172761664565,0.43190184049079755,0.5356695725727751,0.17344720542357628,2139,240,223,176,0.5,0.7743871026873616,0.37930014204034423,-0.9850108164775405,2.634212894327732,0.08171346292296616,243,0.08747300215982722,722,972.0,0.4712880346895008,0.4659049881036387,0.4655085563764326,629,0.22867129700924085,0.3365650969529086,10,0,23,11,199,0.6343451347029373,0.356616785436946,0.4727339410664551,0.5618564064780316,0.4868342732294706
