algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
lightgbm:control_column_permuted,0.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7534197264218863,0.7319196477954028,0.3309692671394799,0.7017543859649122,0.7620849096258933,0.4497991967871486,0.3409690727392309,0.1033494132771442,1813,566,119,280,0.1620460991482594,0.7898776997137652,0.40453878836719104,-0.1398448685489366,0.9606272594483047,0.04283657307415407,121,0.0435565154787617,722,972.0,0.5716697723876557,0.5461855457469048,0.548673458941187,629,0.36685097670401867,0.16759002770083103,9,9,6,6,91,0.8638260760203477,0.08276934369713913,0.6308009009096434,0.6544595726203124,0.6452682189261444
lightgbm:control_column_permuted,0.0,test,baseline_common_threshold,lambda_0_validation,2778,0.775377969762419,0.7186661483469077,0.3469387755102041,0.6390977443609023,0.798234552332913,0.4497354497354497,0.329078278187055,0.097942081247911,1899,480,144,255,0.1620460991482594,0.7996451827340524,0.4719453791349321,0.09175927554321596,1.0539845533676393,0.04895608351331893,142,0.051115910727141826,639,864.5,0.5852702177039141,0.560805073871342,0.5645042738010474,566,0.34554755787601793,0.2222222222222222,5,7,12,7,111,0.7997263470945637,0.0792975706917617,0.6427075558106076,0.725875460489381,0.654597166302644
lightgbm:control_column_permuted,0.1,validation,baseline_common_threshold,lambda_0_validation,2778,0.720662347012239,0.7221806091521363,0.30261780104712044,0.7243107769423559,0.7200504413619168,0.42688330871491875,0.3468907092608539,0.1044633000208059,1713,666,110,289,0.1620460991482594,0.7906683480453972,0.40058828332002955,-0.1403124945820869,1.1163970338667817,0.037437005039596835,105,0.03779697624190065,722,972.0,0.5623612574518682,0.5388282303201846,0.5410044132069515,629,0.34664958972449444,0.14542936288088643,9,14,4,6,72,0.8474234338840393,0.10820124717698087,0.6174555711963746,0.6487849854930461,0.6303246398081699
lightgbm:control_column_permuted,0.1,test,baseline_common_threshold,lambda_0_validation,2778,0.7458603311735061,0.7275060286276852,0.3229527104959631,0.7017543859649122,0.7532576712904582,0.4423380726698262,0.3334608412132841,0.09855961346319773,1792,587,119,280,0.1620460991482594,0.8011590556888228,0.4682338573052087,0.12671078342165837,1.2519398546158553,0.03923686105111591,111,0.03995680345572354,639,864.5,0.5747773203088958,0.5521529948025927,0.5551061556436205,566,0.323346484336196,0.17370892018779344,5,11,6,7,82,0.7679241355035296,0.10669739070073431,0.6306477804116108,0.7011425195148704,0.6388879367103492
lightgbm:control_column_permuted,0.25,validation,baseline_common_threshold,lambda_0_validation,2778,0.6547876169906407,0.7181367668856884,0.26744186046511625,0.8070175438596491,0.6292559899117276,0.4017467248908297,0.3609427050180695,0.10726698351962377,1497,882,77,322,0.1620460991482594,0.7914136960728849,0.40829442665662996,-0.2076121118832565,1.2846785691764238,0.027357811375089993,76,0.027357811375089993,722,972.0,0.5471412681989274,0.5261493458558341,0.5270078735679102,629,0.32188198602958407,0.10526315789473684,8,28,1,2,37,0.8087992590235273,0.13791127407586343,0.6046830664508485,0.6175011920096577,0.6077659399257807
lightgbm:control_column_permuted,0.25,test,baseline_common_threshold,lambda_0_validation,2778,0.6634269258459323,0.717966100623564,0.2709401709401709,0.7944862155388471,0.6414459857082808,0.4040790312300829,0.3470082750595217,0.10115417119831809,1526,853,82,317,0.1620460991482594,0.8010405374512364,0.4725112103650026,0.060159842981322084,1.4518324137533412,0.0251979841612671,71,0.025557955363570913,639,864.5,0.5584050209462491,0.5380980530063256,0.5399124095483924,566,0.2994532945663923,0.1111111111111111,5,21,3,2,40,0.7422627949366338,0.1367089238459218,0.6146004644692281,0.65894057812659,0.6159489345321072
lightgbm:control_column_permuted,0.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.26997840172786175,0.5675127288587167,0.16273291925465838,0.9849624060150376,0.15006305170239598,0.279317697228145,0.3965366590078765,0.11734923236939936,357,2022,6,393,0.1620460991482594,0.7895047623261601,0.3989382021439922,-0.3196398952429874,1.5882696309609308,0.038876889848812095,108,0.038876889848812095,722,972.0,0.5261977469726916,0.5096245196588842,0.5103288416837671,629,0.2876747135242526,0.14958448753462603,2,106,0,0,0,0.7806084499673386,0.20084905762792127,0.5625143393461776,0.6063515085408336,0.5740612274549673
lightgbm:control_column_permuted,0.5,test,baseline_common_threshold,lambda_0_validation,2778,0.275377969762419,0.5654505115247134,0.16234309623430962,0.9724310776942355,0.15846994535519127,0.27823592685550375,0.3815607729383246,0.11050394156082106,377,2002,11,388,0.1620460991482594,0.801294956601255,0.4836798846746168,-0.02055715869275347,1.8502463191483245,0.03167746580273578,88,0.03167746580273578,639,864.5,0.5365832632981761,0.5206448026789574,0.5218136467795276,566,0.26574316737790005,0.13771517996870108,0,88,0,0,0,0.7123344062611414,0.19774417793606983,0.5806233373493154,0.6437957372890999,0.5817481250972036
lightgbm:control_column_permuted,0.75,validation,baseline_common_threshold,lambda_0_validation,2778,0.14362850971922247,0.5,0.14362850971922247,1.0,0.0,0.251180358829084,0.436378681472472,0.13124241274665638,0,2379,0,399,0.1620460991482594,0.784198305768625,0.3890109631783435,-0.4790862998985028,1.8721297789582734,0.04679625629949604,130,0.04679625629949604,722,972.0,0.5073220850748249,0.4945245797463379,0.49441979185732216,629,0.26420404009556414,0.18005540166204986,0,130,0,0,0,0.7339560522633651,0.25288851874007323,0.5353857303575543,0.5747749420268828,0.5442812804634952
lightgbm:control_column_permuted,0.75,test,baseline_common_threshold,lambda_0_validation,2778,0.14362850971922247,0.5,0.14362850971922247,1.0,0.0,0.251180358829084,0.42193805893368486,0.12449604599587133,0,2379,0,399,0.1620460991482594,0.8014845857813934,0.4801990642387104,-0.17992834961272516,2.2162120898560556,0.038876889848812095,108,0.038876889848812095,639,864.5,0.5166239529476534,0.5040994094988229,0.5046492938124305,566,0.2427076731796305,0.16901408450704225,0,108,0,0,0,0.664570351344429,0.24864507478024672,0.5505152555864865,0.6073738809541638,0.5521147878203925
