algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
lightgbm:control_permuted,0.0,validation,fixed_threshold_0.5,prespecified,2778,0.8635709143268538,0.5959839700133056,0.5641025641025641,0.22055137844611528,0.971416561580496,0.3171171171171171,0.3409690727392309,0.1033494132771442,2311,68,311,88,0.5,0.7898776997137652,0.40453878836719104,-0.1398448685489366,0.9606272594483047,0.1493880489560835,452,0.1627069834413247,722,972.0,0.5716697723876557,0.5461855457469048,0.548673458941187,629,0.36685097670401867,0.6260387811634349,11,0,48,10,383,0.8638260760203477,0.08276934369713913,0.6308009009096434,0.6544595726203124,0.6452682189261444
lightgbm:control_permuted,0.0,test,fixed_threshold_0.5,prespecified,2778,0.871130309575234,0.6014405496717835,0.6496350364963503,0.22305764411027568,0.9798234552332913,0.332089552238806,0.329078278187055,0.097942081247911,2331,48,310,89,0.5,0.7996451827340524,0.4719453791349321,0.09175927554321596,1.0539845533676393,0.13354931605471562,398,0.14326853851691865,639,864.5,0.5852702177039141,0.560805073871342,0.5645042738010474,566,0.34554755787601793,0.622848200312989,10,0,34,17,337,0.7997263470945637,0.0792975706917617,0.6427075558106076,0.725875460489381,0.654597166302644
lightgbm:control_permuted,0.1,validation,fixed_threshold_0.5,prespecified,2778,0.8624910007199424,0.5943104924985857,0.554140127388535,0.21804511278195488,0.9705758722152165,0.3129496402877698,0.34646726124033467,0.10414358698577499,2309,70,312,87,0.5,0.789729683603713,0.40556078275410884,-0.12785931511318804,1.1285415728059127,0.1490280777537797,453,0.1630669546436285,722,972.0,0.5627269193587738,0.5394706711781557,0.5412981839806832,629,0.3452840889009185,0.6274238227146814,11,0,50,11,381,0.8497060522942987,0.11174821945193564,0.6213450628741407,0.6446355523164434,0.6298909641043992
lightgbm:control_permuted,0.1,test,fixed_threshold_0.5,prespecified,2778,0.8732901367890569,0.6110452676457854,0.6598639455782312,0.24310776942355888,0.9789827658680118,0.3553113553113553,0.33336378945345746,0.09837206321255894,2329,50,302,97,0.5,0.8001930003655628,0.47386063322683947,0.1351833440847526,1.261882783480436,0.1306695464362851,392,0.14110871130309574,639,864.5,0.5756414429162053,0.5531947298943347,0.5557040282557616,566,0.3224677478310754,0.6134585289514867,10,0,36,17,329,0.7729140665643817,0.10866769165333885,0.6380463382255712,0.6939277785058886,0.6392487583085575
lightgbm:control_permuted,0.25,validation,fixed_threshold_0.5,prespecified,2778,0.8588912886969042,0.6120250184098329,0.5170731707317073,0.2656641604010025,0.9583858764186634,0.3509933774834437,0.35895171674809984,0.10695793546676186,2280,99,293,106,0.5,0.7896564656702707,0.40760288228483943,-0.26327401911582765,1.2264235587695518,0.13498920086393087,412,0.14830813534917206,722,972.0,0.5449667335075593,0.5247780976411694,0.5252008026573698,629,0.3238396233971084,0.5706371191135734,10,0,48,11,343,0.8148747710116248,0.1413679246353701,0.6140028417345683,0.625892620924679,0.6032715138896932
lightgbm:control_permuted,0.25,test,fixed_threshold_0.5,prespecified,2778,0.871130309575234,0.6285575224315517,0.6084656084656085,0.2882205513784461,0.9688944934846574,0.391156462585034,0.3451303587903976,0.10071445936567491,2305,74,284,115,0.5,0.7980528243686138,0.47415079126271875,-0.021175149315852307,1.3677726586888275,0.11987041036717062,359,0.12922966162706984,639,864.5,0.5578285970278897,0.5378759941359292,0.5387144968301666,566,0.30384124641737303,0.5618153364632238,8,0,33,17,301,0.7442008011711025,0.13440150094827916,0.6316229821534651,0.6553944364948967,0.6143683453558842
lightgbm:control_permuted,0.5,validation,fixed_threshold_0.5,prespecified,2778,0.8560115190784737,0.623902126059158,0.497907949790795,0.2982456140350877,0.9495586380832283,0.3730407523510972,0.3874760629890201,0.11471719979419312,2259,120,280,119,0.5,0.7848340902698108,0.4115924437133042,-0.4092932688387614,1.4348915705009169,0.12670986321094313,392,0.14110871130309574,722,972.0,0.5289681154139796,0.5127542740219652,0.5117353664958318,629,0.299470949828703,0.5429362880886427,11,1,51,10,319,0.794695549694012,0.19523694105442754,0.598562276340024,0.5789451696432478,0.5757936893541176
lightgbm:control_permuted,0.5,test,fixed_threshold_0.5,prespecified,2778,0.8678905687544997,0.6433533392118379,0.5695652173913044,0.3283208020050125,0.9583858764186634,0.4165341812400636,0.37442504657498127,0.10861792528823506,2280,99,268,131,0.5,0.7889996112601808,0.47255433742544156,-0.21793955931423256,1.574827047753517,0.11159107271418287,333,0.11987041036717062,639,864.5,0.5353133410801969,0.519124467533088,0.5194575364271294,566,0.27529940979240497,0.5211267605633803,8,0,30,15,280,0.7235458816447774,0.18718297558685282,0.5997931837868687,0.6086402621216467,0.5811877987147979
lightgbm:control_permuted,0.75,validation,fixed_threshold_0.5,prespecified,2778,0.8549316054715623,0.6420448978688841,0.49280575539568344,0.3433583959899749,0.9407313997477932,0.40472673559822747,0.42083942091213766,0.12560587168149837,2238,141,262,137,0.5,0.7898018480417099,0.41173577998075683,-0.4792955176851281,1.7479562378015776,0.11591072714182865,356,0.12814974802015838,722,972.0,0.5130957065533254,0.5004335785407616,0.49828503481064645,629,0.2739361627021299,0.4930747922437673,11,0,45,9,291,0.7671332390705672,0.239259178577624,0.5777472172391037,0.5871734931318188,0.5496639322536089
lightgbm:control_permuted,0.75,test,fixed_threshold_0.5,prespecified,2778,0.8668106551475881,0.6479376246416799,0.5596707818930041,0.3408521303258145,0.9550231189575452,0.4236760124610592,0.40853100665769365,0.11979019894977522,2272,107,263,136,0.5,0.7959089611376066,0.4702638813086675,-0.26768576481053064,1.944841097510428,0.1079913606911447,327,0.11771058315334773,639,864.5,0.5203984699650064,0.5078478301760337,0.5071020444133865,566,0.25057699034828845,0.5117370892018779,9,0,34,15,269,0.7021142930504914,0.23409066793089092,0.5830734999800804,0.617665911154502,0.5559632541120284
