algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
lightgbm:control_permuted,0.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7534197264218863,0.7319196477954028,0.3309692671394799,0.7017543859649122,0.7620849096258933,0.4497991967871486,0.3409690727392309,0.1033494132771442,1813,566,119,280,0.1620460991482594,0.7898776997137652,0.40453878836719104,-0.1398448685489366,0.9606272594483047,0.04283657307415407,121,0.0435565154787617,722,972.0,0.5716697723876557,0.5461855457469048,0.548673458941187,629,0.36685097670401867,0.16759002770083103,9,9,6,6,91,0.8638260760203477,0.08276934369713913,0.6308009009096434,0.6544595726203124,0.6452682189261444
lightgbm:control_permuted,0.0,test,baseline_common_threshold,lambda_0_validation,2778,0.775377969762419,0.7186661483469077,0.3469387755102041,0.6390977443609023,0.798234552332913,0.4497354497354497,0.329078278187055,0.097942081247911,1899,480,144,255,0.1620460991482594,0.7996451827340524,0.4719453791349321,0.09175927554321596,1.0539845533676393,0.04895608351331893,142,0.051115910727141826,639,864.5,0.5852702177039141,0.560805073871342,0.5645042738010474,566,0.34554755787601793,0.2222222222222222,5,7,12,7,111,0.7997263470945637,0.0792975706917617,0.6427075558106076,0.725875460489381,0.654597166302644
lightgbm:control_permuted,0.1,validation,baseline_common_threshold,lambda_0_validation,2778,0.7192224622030238,0.7255117617498981,0.3029989658738366,0.7343358395989975,0.7166876839007986,0.4289897510980966,0.34646726124033467,0.10414358698577499,1705,674,106,293,0.1620460991482594,0.789729683603713,0.40556078275410884,-0.12785931511318804,1.1285415728059127,0.037437005039596835,106,0.03815694744420446,722,972.0,0.5627269193587738,0.5394706711781557,0.5412981839806832,629,0.3452840889009185,0.14681440443213298,9,18,4,7,68,0.8497060522942987,0.11174821945193564,0.6213450628741407,0.6446355523164434,0.6298909641043992
lightgbm:control_permuted,0.1,test,baseline_common_threshold,lambda_0_validation,2778,0.7433405327573794,0.7239489012569253,0.3195402298850575,0.6967418546365914,0.7511559478772594,0.438140267927502,0.33336378945345746,0.09837206321255894,1787,592,121,278,0.1620460991482594,0.8001930003655628,0.47386063322683947,0.1351833440847526,1.261882783480436,0.037437005039596835,106,0.03815694744420446,639,864.5,0.5756414429162053,0.5531947298943347,0.5557040282557616,566,0.3224677478310754,0.16588419405320814,5,11,7,7,76,0.7729140665643817,0.10866769165333885,0.6380463382255712,0.6939277785058886,0.6392487583085575
lightgbm:control_permuted,0.25,validation,baseline_common_threshold,lambda_0_validation,2778,0.669906407487401,0.7280069657118837,0.2774914089347079,0.8095238095238095,0.6464901218999579,0.4133077415227127,0.35895171674809984,0.10695793546676186,1538,841,76,323,0.1620460991482594,0.7896564656702707,0.40760288228483943,-0.26327401911582765,1.2264235587695518,0.03347732181425486,94,0.033837293016558675,722,972.0,0.5449667335075593,0.5247780976411694,0.5252008026573698,629,0.3238396233971084,0.13019390581717452,7,34,3,6,44,0.8148747710116248,0.1413679246353701,0.6140028417345683,0.625892620924679,0.6032715138896932
lightgbm:control_permuted,0.25,test,baseline_common_threshold,lambda_0_validation,2778,0.6792656587473002,0.7136551972617546,0.27636363636363637,0.7619047619047619,0.6654056326187474,0.4056037358238826,0.3451303587903976,0.10071445936567491,1583,796,95,304,0.1620460991482594,0.7980528243686138,0.47415079126271875,-0.021175149315852307,1.3677726586888275,0.03275737940964723,95,0.03419726421886249,639,864.5,0.5578285970278897,0.5378759941359292,0.5387144968301666,566,0.30384124641737303,0.1486697965571205,5,21,9,7,53,0.7442008011711025,0.13440150094827916,0.6316229821534651,0.6553944364948967,0.6143683453558842
lightgbm:control_permuted,0.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.4110871130309575,0.6227833138963423,0.18619989852866564,0.9197994987468672,0.32576712904581756,0.309704641350211,0.3874760629890201,0.11471719979419312,775,1604,32,367,0.1620460991482594,0.7848340902698108,0.4115924437133042,-0.4092932688387614,1.4348915705009169,0.03923686105111591,110,0.03959683225341973,722,972.0,0.5289681154139796,0.5127542740219652,0.5117353664958318,629,0.299470949828703,0.1523545706371191,8,88,3,2,9,0.794695549694012,0.19523694105442754,0.598562276340024,0.5789451696432478,0.5757936893541176
lightgbm:control_permuted,0.5,test,baseline_common_threshold,lambda_0_validation,2778,0.4269258459323254,0.6309879364236568,0.19012987012987012,0.9172932330827067,0.344682639764607,0.31497418244406195,0.37442504657498127,0.10861792528823506,820,1559,33,366,0.1620460991482594,0.7889996112601808,0.47255433742544156,-0.21793955931423256,1.574827047753517,0.02843772498200144,82,0.029517638588912886,639,864.5,0.5353133410801969,0.519124467533088,0.5194575364271294,566,0.27529940979240497,0.12832550860719874,2,60,7,0,13,0.7235458816447774,0.18718297558685282,0.5997931837868687,0.6086402621216467,0.5811877987147979
lightgbm:control_permuted,0.75,validation,baseline_common_threshold,lambda_0_validation,2778,0.14758819294456443,0.5023118957545187,0.14419949403686302,1.0,0.004623791509037411,0.2520530638029059,0.42083942091213766,0.12560587168149837,11,2368,0,399,0.1620460991482594,0.7898018480417099,0.41173577998075683,-0.4792955176851281,1.7479562378015776,0.04787616990640749,133,0.04787616990640749,722,972.0,0.5130957065533254,0.5004335785407616,0.49828503481064645,629,0.2739361627021299,0.18421052631578946,3,129,1,0,0,0.7671332390705672,0.239259178577624,0.5777472172391037,0.5871734931318188,0.5496639322536089
lightgbm:control_permuted,0.75,test,baseline_common_threshold,lambda_0_validation,2778,0.15046796256299497,0.5029503139943174,0.14435981138919116,0.9974937343358395,0.008406893652795292,0.2522179974651457,0.40853100665769365,0.11979019894977522,20,2359,1,398,0.1620460991482594,0.7959089611376066,0.4702638813086675,-0.26768576481053064,1.944841097510428,0.03851691864650828,108,0.038876889848812095,639,864.5,0.5203984699650064,0.5078478301760337,0.5071020444133865,566,0.25057699034828845,0.16901408450704225,0,105,2,0,1,0.7021142930504914,0.23409066793089092,0.5830734999800804,0.617665911154502,0.5559632541120284
lightgbm:control_permuted,1.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.14506839452843773,0.5008406893652795,0.14383561643835616,1.0,0.0016813787305590584,0.25149700598802394,0.4514226558374717,0.13730498735309027,4,2375,0,399,0.1620460991482594,0.7885487152096298,0.40991095872293937,-0.6591882801946137,1.9225508088614265,0.04787616990640749,133,0.04787616990640749,722,972.0,0.4966411535049184,0.4871824240738882,0.4840149153116292,629,0.2566341902436898,0.18421052631578946,2,130,1,0,0,0.7539870574276165,0.27760451128852376,0.5596136328296052,0.5633189509676445,0.5239579641017336
