algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
lightgbm:control_reversed,0.0,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7534197264218863,0.7319196477954028,0.3309692671394799,0.7017543859649122,0.7620849096258933,0.4497991967871486,0.3409690727392309,0.1033494132771442,1813,566,119,280,0.1620460991482594,0.7898776997137652,0.40453878836719104,-0.1398448685489366,0.9606272594483047,0.04283657307415407,121,0.0435565154787617,722,972.0,0.5716697723876557,0.5461855457469048,0.548673458941187,629,0.36685097670401867,0.16759002770083103,9,9,6,6,91,0.8638260760203477,0.08276934369713913,0.6308009009096434,0.6544595726203124,0.6452682189261444
lightgbm:control_reversed,0.0,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.775377969762419,0.7186661483469077,0.3469387755102041,0.6390977443609023,0.798234552332913,0.4497354497354497,0.329078278187055,0.097942081247911,1899,480,144,255,0.1620460991482594,0.7996451827340524,0.4719453791349321,0.09175927554321596,1.0539845533676393,0.04895608351331893,142,0.051115910727141826,639,864.5,0.5852702177039141,0.560805073871342,0.5645042738010474,566,0.34554755787601793,0.2222222222222222,5,7,12,7,111,0.7997263470945637,0.0792975706917617,0.6427075558106076,0.725875460489381,0.654597166302644
lightgbm:control_reversed,0.1,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7257019438444925,0.7313807848751765,0.3095487932843652,0.7393483709273183,0.7234131988230349,0.4363905325443787,0.3412210070437638,0.10327973233464716,1721,658,104,295,0.14536654000574745,0.7892192650605074,0.4037918066995609,0.05916242763802985,1.0674247772908871,0.05003599712023038,141,0.05075593952483801,722,972.0,0.615097541851823,0.5906181627919754,0.5932628649663455,629,0.3989562337428282,0.19529085872576177,9,47,6,6,73,0.8725696904483876,0.13940293320911465,0.6926796100414194,0.6727878048415993,0.6857939885766627
lightgbm:control_reversed,0.1,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7476601871850252,0.7212561668989624,0.32193396226415094,0.6842105263157895,0.7583018074821354,0.43785084202085006,0.3299687491170782,0.0985763011459317,1804,575,126,273,0.14536654000574745,0.8014140015865641,0.4754484873693149,0.32247270688132745,1.1781726023793246,0.05363570914326854,153,0.0550755939524838,639,864.5,0.6278427529751031,0.6045321277531064,0.607729194519559,566,0.37325053784494633,0.23943661971830985,5,36,10,7,95,0.8246729286769895,0.13866674770479206,0.7075567476542248,0.7389387810262549,0.6938981388591646
lightgbm:control_reversed,0.25,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6479481641468683,0.715186452891371,0.2636734693877551,0.8095238095238095,0.6208490962589324,0.3977832512315271,0.3463514201327808,0.10520966391233187,1477,902,76,323,0.111089962515313,0.7806048328050054,0.38277437049840957,0.15175561419987155,1.0850721786284854,0.07163426925845932,201,0.07235421166306695,722,972.0,0.6655103275830535,0.6431723583209653,0.6470452462953662,629,0.4496365539614829,0.278393351800554,6,130,4,5,56,0.8745842101141185,0.2274476643951939,0.7528944940641012,0.6986394673929054,0.7300223828119644
lightgbm:control_reversed,0.25,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6727861771058316,0.7140439370810381,0.27353463587921845,0.7719298245614035,0.6561580496006726,0.4039344262295082,0.3361748513014154,0.10124760703407523,1561,818,91,308,0.111089962515313,0.7968381441202839,0.44609057757149484,0.4139266019907936,1.193671748807932,0.06983441324694024,199,0.07163426925845932,639,864.5,0.6751819076702709,0.654073440912995,0.6580864702751601,566,0.41707248981105965,0.3114241001564945,4,108,9,7,71,0.8422353711207838,0.22576023047054775,0.7646055175520792,0.7721014669015794,0.7349970307651681
lightgbm:control_reversed,0.5,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6706263498920086,0.7159117845053997,0.273286467486819,0.7794486215538847,0.6523749474569147,0.4046844502277163,0.3575129871467472,0.10952628290853458,1552,827,88,311,0.11771947270854256,0.7612257840903225,0.3295795521242128,0.04627239362711983,0.9753020457051589,0.0892728581713463,256,0.09215262778977681,722,972.0,0.7230566027159893,0.7030278959184161,0.7097478760874121,629,0.522000705165658,0.3545706371191136,7,130,12,6,101,0.8704060947468872,0.33315116326612615,0.8085396002993863,0.7259103328556274,0.7808995079473807
lightgbm:control_reversed,0.5,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6997840172786177,0.7141624553186244,0.28697355533790403,0.7343358395989975,0.6939890710382514,0.4126760563380282,0.3478661173687721,0.10619662033644373,1651,728,106,293,0.11771947270854256,0.782318869894366,0.375116976389829,0.30979651951116605,1.0833251686426464,0.08963282937365011,261,0.0939524838012959,639,864.5,0.7319866898882356,0.7129823745968221,0.7193606601111496,566,0.48373090627592197,0.4084507042253521,5,108,18,7,123,0.8401642564449656,0.3324307127821882,0.8180842600355136,0.7976720251900783,0.7858392729091368
lightgbm:control_reversed,0.75,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.656227501799856,0.7075048908526045,0.2640067911714771,0.7794486215538847,0.6355611601513241,0.3944197844007609,0.36861328532329096,0.11399297259181641,1512,867,88,311,0.1090866931524233,0.7498359180844083,0.28948892395989323,-0.06991041760014582,0.8868921452933846,0.09251259899208063,267,0.09611231101511879,722,972.0,0.7593089143121113,0.7407874850403745,0.7499806574043162,629,0.572123061381135,0.3698060941828255,7,130,12,6,112,0.8753370005090002,0.40370047792136976,0.8353688937478486,0.7470031367981026,0.8127988020488874
lightgbm:control_reversed,0.75,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6785457163426926,0.703848208162272,0.272140221402214,0.7393483709273183,0.6683480453972257,0.3978422117329737,0.36115872731487203,0.1111162206583864,1590,789,104,295,0.1090866931524233,0.7651068613104852,0.3174805689361639,0.16759488895229074,0.9801960864685424,0.091792656587473,269,0.09683225341972643,639,864.5,0.7681703287999311,0.7506515084699533,0.7590544090087694,566,0.5287484107088776,0.4209702660406886,5,108,19,7,130,0.8425840025533669,0.404047089149278,0.8463237047460398,0.8214215076903056,0.8178134604666978
