algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
lightgbm:leave_out_LR01,0.0,validation,fixed_threshold_0.5,prespecified,2778,0.8635709143268538,0.5959839700133056,0.5641025641025641,0.22055137844611528,0.971416561580496,0.3171171171171171,0.3409690727392309,0.1033494132771442,2311,68,311,88,0.5,0.7898776997137652,0.40453878836719104,-0.1398448685489366,0.9606272594483047,0.14578833693304535,441,0.1587473002159827,711,961.0,0.5683256315552316,0.5412712759395801,0.5429557649202511,621,0.3572463158669537,0.620253164556962,0,48,10,383,0.08276934369713913,0.6308009009096434,0.6544595726203124,0.6452682189261444
lightgbm:leave_out_LR01,0.0,test,fixed_threshold_0.5,prespecified,2778,0.871130309575234,0.6014405496717835,0.6496350364963503,0.22305764411027568,0.9798234552332913,0.332089552238806,0.329078278187055,0.097942081247911,2331,48,310,89,0.5,0.7996451827340524,0.4719453791349321,0.09175927554321596,1.0539845533676393,0.13102951763858892,388,0.1396688264938805,629,854.5,0.5827604912043162,0.5570066434544386,0.5606229969474401,561,0.3385525393358609,0.6168521462639109,0,34,17,337,0.0792975706917617,0.6427075558106076,0.725875460489381,0.654597166302644
lightgbm:leave_out_LR01,0.1,validation,fixed_threshold_0.5,prespecified,2778,0.8563714902807775,0.6282841403635191,0.5,0.3082706766917293,0.9482976040353089,0.3813953488372093,0.34544879190369704,0.10531367379471362,2256,123,276,123,0.5,0.7878365522886662,0.40648126614078167,-0.38801697137355606,0.8705187599842099,0.11303095752339813,336,0.12095032397408208,711,961.0,0.49960941171986006,0.4773969790555399,0.4782407407596638,621,0.27726248891629035,0.47257383966244726,0,32,8,296,0.10669230281017425,0.5314869277893824,0.6060220266982568,0.5627815702171863
lightgbm:leave_out_LR01,0.1,test,fixed_threshold_0.5,prespecified,2778,0.8707703383729302,0.6366910340163144,0.5970873786407767,0.3082706766917293,0.9651113913408995,0.4066115702479339,0.32901031579219586,0.09808065698441851,2296,83,276,123,0.5,0.8028894219575843,0.4723779263940827,-0.15774847100272532,0.9727771480399036,0.1079913606911447,320,0.11519078473722102,629,854.5,0.5156227058112332,0.49436081148001343,0.49692369404960834,561,0.2618627481179273,0.5087440381558028,0,29,16,275,0.10387064374895524,0.5478559175165271,0.6579455638503987,0.5749297192672744
lightgbm:leave_out_LR01,0.25,validation,fixed_threshold_0.5,prespecified,2778,0.8462922966162707,0.6557740505108927,0.45857988165680474,0.38847117794486213,0.9230769230769231,0.4206241519674355,0.3576664658681847,0.11067425039584315,2196,183,244,155,0.5,0.783001008195141,0.3967816294192985,-0.6175396099490347,0.7816765695974288,0.08243340532757379,239,0.08603311735061195,711,961.0,0.4262262913578696,0.4095240983578656,0.4079806242510498,621,0.21100377640330956,0.3361462728551336,1,19,8,211,0.13128353066658513,0.43892064605635583,0.5514898787417636,0.473727328249881
lightgbm:leave_out_LR01,0.25,test,fixed_threshold_0.5,prespecified,2778,0.8657307415406768,0.6639944754698852,0.5467625899280576,0.38095238095238093,0.9470365699873896,0.44903988183161003,0.3361907982620491,0.10126089945519919,2253,126,247,152,0.5,0.8004347775702392,0.45476654478381673,-0.4115494517489961,0.8861560951529335,0.08279337652987762,240,0.08639308855291576,629,854.5,0.43927763941628917,0.42310808152775725,0.4234250472616736,561,0.19705177987996966,0.3815580286168522,0,17,13,210,0.12497382536941319,0.452969669557636,0.583201989110715,0.48438030864860226
lightgbm:leave_out_LR01,0.5,validation,fixed_threshold_0.5,prespecified,2778,0.8203743700503959,0.6656726937141088,0.39082969432314413,0.44862155388471175,0.8827238335435057,0.4177362893815636,0.3792466243309,0.12038600344474332,2100,279,220,179,0.5,0.7783751096952132,0.3912382190513101,-0.8536240472668408,0.6648398198563048,0.03995680345572354,114,0.04103671706263499,711,961.0,0.34201476639861556,0.3309169397424224,0.32578732886816153,621,0.1550094387160461,0.16033755274261605,3,11,7,93,0.14746132874139678,0.3406360498182068,0.45609996187097707,0.3735769854088289
lightgbm:leave_out_LR01,0.5,test,fixed_threshold_0.5,prespecified,2778,0.8462922966162707,0.6818480627799006,0.4639175257731959,0.45112781954887216,0.912568306010929,0.45743329097839897,0.351993089707949,0.10863419314619212,2171,208,219,180,0.5,0.7970488432093263,0.4382972412685584,-0.6821139399914896,0.7549405054272063,0.04463642908567315,126,0.04535637149028078,629,854.5,0.3526003421482756,0.34193822831948106,0.33864322843348466,561,0.14359744109646805,0.20031796502384738,2,9,11,104,0.13871997193694618,0.3558797306694512,0.5006225723223978,0.3823407838259332
lightgbm:leave_out_LR01,0.75,validation,fixed_threshold_0.5,prespecified,2778,0.8030957523398128,0.6649710657475972,0.35877862595419846,0.47117794486215536,0.8587641866330391,0.40736728060671723,0.39745026267105515,0.12827162367965228,2043,336,211,188,0.5,0.7761243166765168,0.38130851093154516,-0.9792356524474769,0.6055798916201922,0.0183585313174946,52,0.018718502519798418,711,961.0,0.2903645307813205,0.28274282146005547,0.27481366020821785,621,0.1257997944700111,0.07313642756680731,7,9,6,30,0.15601635276389136,0.28180615201731213,0.40856520801011686,0.31204067209099845
lightgbm:leave_out_LR01,0.75,test,fixed_threshold_0.5,prespecified,2778,0.822174226061915,0.6802820418005923,0.40083507306889354,0.48120300751879697,0.8793610760823876,0.43735763097949887,0.3668976117525947,0.1153071505802162,2092,287,207,192,0.5,0.7947627580932153,0.4379148737296828,-0.8314613990553642,0.6856587149455868,0.01511879049676026,43,0.015478761699064075,629,854.5,0.2982258267404673,0.29093646969822756,0.2849561298580301,561,0.11559045318257113,0.06836248012718601,7,8,8,20,0.14561367411300988,0.29603898722895666,0.4476271193797306,0.31855844571859954
