algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
lightgbm:leave_out_LR02,0.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7534197264218863,0.7319196477954028,0.3309692671394799,0.7017543859649122,0.7620849096258933,0.4497991967871486,0.3409690727392309,0.1033494132771442,1813,566,119,280,0.1620460991482594,0.7898776997137652,0.40453878836719104,-0.1398448685489366,0.9606272594483047,0.03959683225341973,112,0.040316774658027354,592,842.0,0.647153211496643,0.64794923876459,0.6528995736489787,537,0.3627039758592705,0.1891891891891892,9,6,6,91,0.8638260760203477,0.6308009009096434,0.6544595726203124,0.6452682189261444
lightgbm:leave_out_LR02,0.0,test,baseline_common_threshold,lambda_0_validation,2778,0.775377969762419,0.7186661483469077,0.3469387755102041,0.6390977443609023,0.798234552332913,0.4497354497354497,0.329078278187055,0.097942081247911,1899,480,144,255,0.1620460991482594,0.7996451827340524,0.4719453791349321,0.09175927554321596,1.0539845533676393,0.04643628509719223,135,0.04859611231101512,531,756.5,0.6575042505886629,0.6587388033315955,0.6636925745162363,487,0.34228121460715744,0.2542372881355932,5,12,7,111,0.7997263470945637,0.6427075558106076,0.725875460489381,0.654597166302644
lightgbm:leave_out_LR02,0.1,validation,baseline_common_threshold,lambda_0_validation,2778,0.7242620590352772,0.7242823325653351,0.3058201058201058,0.7243107769423559,0.7242538881883144,0.43005952380952384,0.34565110281679134,0.1053157145206799,1723,656,110,289,0.1620460991482594,0.787585293624983,0.40289396057992116,-0.38468032768729626,0.8767619175100904,0.007919366450683946,22,0.007919366450683946,592,842.0,0.5634897552487557,0.5643006386638334,0.5716771817388279,537,0.27783544739124,0.037162162162162164,8,2,6,6,0.816495252322436,0.5338566078017123,0.604346835840253,0.5615695833218516
lightgbm:leave_out_LR02,0.1,test,baseline_common_threshold,lambda_0_validation,2778,0.744060475161987,0.7285410879026064,0.3219178082191781,0.706766917293233,0.7503152585119798,0.4423529411764706,0.32928555695227985,0.09821638159568911,1785,594,117,282,0.1620460991482594,0.8023721556939848,0.4683779784489993,-0.15661184411355492,0.9789650176115955,0.00827933765298776,23,0.00827933765298776,531,756.5,0.5756363444710593,0.5764476812512712,0.5839291978879143,487,0.26132043242372166,0.04331450094161959,5,5,6,7,0.6964131420942522,0.546012335020737,0.659610870608539,0.5737258352458152
lightgbm:leave_out_LR02,0.25,validation,baseline_common_threshold,lambda_0_validation,2778,0.7156227501799856,0.7213241173551785,0.29907502569373073,0.7293233082706767,0.7133249264396805,0.42419825072886297,0.3581350412717035,0.11094213290333116,1697,682,108,291,0.1620460991482594,0.7829941604747472,0.3938401856576761,-0.6245300839859661,0.78274996714463,0.003599712023038157,10,0.003599712023038157,592,842.0,0.47179206744248114,0.47257821548047774,0.481675775070515,537,0.20699206511374818,0.016891891891891893,7,1,2,0,0.7391338143140973,0.4317145860586357,0.5451622988576748,0.46993046888850537
lightgbm:leave_out_LR02,0.25,test,baseline_common_threshold,lambda_0_validation,2778,0.7357811375089993,0.7299648869968111,0.31613611416026344,0.7218045112781954,0.7381252627154267,0.4396946564885496,0.3369596441701569,0.10169146096074799,1756,623,111,288,0.1620460991482594,0.8003083581168137,0.4504798115136664,-0.422580332027932,0.8836375200204644,0.0032397408207343412,9,0.0032397408207343412,531,756.5,0.48256394541292713,0.48338579699684275,0.49243619567248637,487,0.19317518411079704,0.01694915254237288,4,4,1,0,0.6034839127352123,0.4449512398523132,0.5887880445469303,0.48062867627297495
lightgbm:leave_out_LR02,0.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.7077033837293016,0.7156573653553808,0.29204431017119836,0.7268170426065163,0.7044976881042455,0.4166666666666667,0.38082096575185503,0.12115695757702621,1676,703,109,290,0.1620460991482594,0.7775676054364578,0.3793666713493021,-0.8632728267412705,0.676573946141773,0.0,0,0.0,592,842.0,0.37153626627159003,0.3726816936496846,0.38237981977359975,537,0.14734580851833326,0.0,0,0,0,0,0.6556237226249203,0.3323220528335515,0.47136660563958627,0.36882389424026196
lightgbm:leave_out_LR02,0.5,test,baseline_common_threshold,lambda_0_validation,2778,0.7293016558675306,0.7303536268160944,0.31163287086446106,0.731829573934837,0.7288776796973518,0.437125748502994,0.3531672646069227,0.10939612794792199,1734,645,107,292,0.1620460991482594,0.7973027356116226,0.43738166980582877,-0.6884515725127853,0.7711066557080766,0.0003599712023038157,1,0.0003599712023038157,531,756.5,0.3813947065119588,0.38279431663183805,0.39178474251894263,487,0.13725395867343934,0.0018832391713747645,0,1,0,0,0.5332605112598141,0.3492282118552921,0.5051532381424346,0.3780989505312233
lightgbm:leave_out_LR02,0.75,validation,baseline_common_threshold,lambda_0_validation,2778,0.706983441324694,0.7183659021450222,0.29270729270729273,0.7343358395989975,0.7023959646910467,0.4185714285714286,0.4002976777493034,0.12976584876738628,1671,708,106,293,0.1620460991482594,0.775408466521495,0.38771950030527413,-0.9999848209363149,0.6246210063643137,0.0,0,0.0,592,842.0,0.309870178201319,0.31180850829249995,0.3199150879582586,537,0.1165106778063011,0.0,0,0,0,0,0.6051237219390206,0.2866924566160787,0.4248311705645474,0.3052802125454026
lightgbm:leave_out_LR02,0.75,test,baseline_common_threshold,lambda_0_validation,2778,0.7253419726421886,0.732213573024617,0.30962343096234307,0.7418546365914787,0.7225725094577553,0.43690036900369006,0.3691722415030766,0.11656404776937525,1719,660,103,296,0.1620460991482594,0.7944651456299427,0.43423139924011445,-0.8488853614959948,0.712482274695561,0.0,0,0.0,531,756.5,0.31763676855138273,0.31988591388807475,0.32739346258344815,487,0.1079256037311245,0.0,0,0,0,0,0.4789633878343468,0.3000213755138193,0.4685845250480417,0.3123405549204139
lightgbm:leave_out_LR02,1.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7077033837293016,0.7177432863369015,0.2928786359077232,0.731829573934837,0.7036569987389659,0.4183381088825215,0.4209600075833606,0.1379879116762212,1674,705,107,292,0.1620460991482594,0.7720767871760105,0.37130325168446343,-1.095153706709508,0.555999996910943,0.0,0,0.0,592,842.0,0.2584781844682134,0.25952370669526537,0.2675861903188073,537,0.09325782267793076,0.0,0,0,0,0,0.4971874522537625,0.22521434369760426,0.35357545249910743,0.25600238783455437
lightgbm:leave_out_LR02,1.0,test,baseline_common_threshold,lambda_0_validation,2778,0.7293016558675306,0.7303536268160944,0.31163287086446106,0.731829573934837,0.7288776796973518,0.437125748502994,0.38379566104218493,0.12277179620420066,1734,645,107,292,0.1620460991482594,0.7940426939564127,0.4296286192405642,-0.9530458019070925,0.6360795459207814,0.0,0,0.0,531,756.5,0.2666967517948305,0.26787389084191177,0.2757902587991263,487,0.08702672489506402,0.0,0,0,0,0,0.38371251814655516,0.23428371253337768,0.39080674341679383,0.26392486339571675
lightgbm:leave_out_LR02,1.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.706983441324694,0.7162799811635014,0.29187562688064195,0.7293233082706767,0.7032366540563262,0.4169054441260745,0.4498272033818972,0.14859195935956696,1673,706,108,291,0.1620460991482594,0.7735005862702151,0.37000974978522755,-1.2043400301703568,0.5052328725157363,0.0,0,0.0,592,842.0,0.20038035419774913,0.2017554882139497,0.2085162076707214,537,0.0693824673440653,0.0,0,0,0,0,0.44499213411636823,0.17567480123345283,0.29251868281848215,0.19712403684738608
lightgbm:leave_out_LR02,1.5,test,baseline_common_threshold,lambda_0_validation,2778,0.728581713462923,0.7320192031149753,0.3117709437963945,0.7368421052631579,0.7271963009667928,0.43815201192250375,0.4085343366069813,0.13215873571043102,1730,649,105,294,0.1620460991482594,0.7939436653845627,0.4200901420023988,-1.082839247761782,0.5748362657649839,0.0,0,0.0,531,756.5,0.20640542716739665,0.2076784530032089,0.21419775285416046,487,0.06435887747881477,0.0,0,0,0,0,0.2986609303315496,0.18363290798824494,0.3257093010065633,0.20340774770479655
