algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR02_pos,soft_violation_LR02
lightgbm:single_LR02,0.0,validation,fixed_threshold_0.5,prespecified,2778,0.8635709143268538,0.5959839700133056,0.5641025641025641,0.22055137844611528,0.971416561580496,0.3171171171171171,0.3409690727392309,0.1033494132771442,2311,68,311,88,0.5,0.7898776997137652,0.40453878836719104,-0.1398448685489366,0.9606272594483047,0.0,0,0.0,130,130.0,0.08276934369713913,0.08276934369713913,0.08276934369713913,130,0.004147000844748261,0.0,0,0.08276934369713913
lightgbm:single_LR02,0.0,test,fixed_threshold_0.5,prespecified,2778,0.871130309575234,0.6014405496717835,0.6496350364963503,0.22305764411027568,0.9798234552332913,0.332089552238806,0.329078278187055,0.097942081247911,2331,48,310,89,0.5,0.7996451827340524,0.4719453791349321,0.09175927554321596,1.0539845533676393,0.0,0,0.0,108,108.0,0.07929757069176173,0.07929757069176173,0.0792975706917617,108,0.003266343268860482,0.0,0,0.0792975706917617
lightgbm:single_LR02,0.1,validation,fixed_threshold_0.5,prespecified,2778,0.8628509719222462,0.5913917833676245,0.56,0.21052631578947367,0.9722572509457755,0.30601092896174864,0.34094547323797886,0.10338588129234881,2313,66,315,84,0.5,0.7899735677992796,0.40464448360492267,-0.13929874844200413,0.958757207757293,0.0,0,0.0,130,130.0,0.07706782567795745,0.07706782567795745,0.07706782567795745,130,0.003850103537344004,0.0,0,0.07706782567795745
lightgbm:single_LR02,0.1,test,fixed_threshold_0.5,prespecified,2778,0.8732901367890569,0.6047875047012234,0.674074074074074,0.22807017543859648,0.9815048339638504,0.3408239700374532,0.3287762786964286,0.09777861004269935,2335,44,308,91,0.5,0.7997910918532144,0.47368588118536864,0.10350306244972872,1.0589142402993117,0.0,0,0.0,108,108.0,0.0733420547126676,0.0733420547126676,0.07334205471266758,108,0.0030087042297459463,0.0,0,0.07334205471266758
lightgbm:single_LR02,0.25,validation,fixed_threshold_0.5,prespecified,2778,0.8639308855291576,0.5972371028453859,0.5668789808917197,0.22305764411027568,0.971416561580496,0.32014388489208634,0.3409577667702056,0.10325693813490763,2311,68,310,89,0.5,0.789147627370233,0.40774504892486085,-0.1501664110459174,0.9423718765242871,0.0,0,0.0,130,130.0,0.06838230239365169,0.06838230239365169,0.06838230239365169,130,0.0033989401486596966,0.0,0,0.06838230239365169
lightgbm:single_LR02,0.25,test,fixed_threshold_0.5,prespecified,2778,0.8718502519798416,0.6049897758267042,0.6524822695035462,0.23057644110275688,0.9794031105506515,0.34074074074074073,0.3281084421956117,0.09753284464147156,2330,49,307,92,0.5,0.8006770815226381,0.47628890593534606,0.08986782130364826,1.040952275262974,0.0,0,0.0,108,108.0,0.0646280940289473,0.0646280940289473,0.0646280940289473,108,0.0026403816358230824,0.0,0,0.0646280940289473
lightgbm:single_LR02,0.5,validation,fixed_threshold_0.5,prespecified,2778,0.8639308855291576,0.5930652608823446,0.5704697986577181,0.21303258145363407,0.973097940311055,0.3102189781021898,0.341291601496136,0.10338256400589943,2315,64,314,85,0.5,0.7889026896792211,0.40498771921786464,-0.1430038162646096,0.9447218068439964,0.0,0,0.0,130,130.0,0.058060071611474584,0.058060071611474584,0.058060071611474584,130,0.0028551835531556644,0.0,0,0.058060071611474584
lightgbm:single_LR02,0.5,test,fixed_threshold_0.5,prespecified,2778,0.8718502519798416,0.6070756968082248,0.6482758620689655,0.23558897243107768,0.978562421185372,0.34558823529411764,0.3289632985651877,0.09777427289208611,2328,51,305,94,0.5,0.7992601301488274,0.47206259668720213,0.09061442209298971,1.0429439739351187,0.0,0,0.0,108,108.0,0.05654472249932393,0.05654472249932393,0.056544722499323935,108,0.0023014186614056893,0.0,0,0.056544722499323935
lightgbm:single_LR02,0.75,validation,fixed_threshold_0.5,prespecified,2778,0.8621310295176385,0.5867995967219435,0.5555555555555556,0.20050125313283207,0.973097940311055,0.2946593001841621,0.3422905472812881,0.10368537110218423,2315,64,319,80,0.5,0.7870643401273255,0.39911006698904505,-0.1467557152178896,0.9426237736695227,0.0,0,0.0,130,130.0,0.05358785658684295,0.05358785658684295,0.05358785658684295,130,0.002616406473951172,0.0,0,0.05358785658684295
lightgbm:single_LR02,0.75,test,fixed_threshold_0.5,prespecified,2778,0.8732901367890569,0.6047875047012234,0.674074074074074,0.22807017543859648,0.9815048339638504,0.3408239700374532,0.32947357242014247,0.09781791007901397,2335,44,308,91,0.5,0.7974539122080107,0.47328573202738966,0.09913799080414108,1.0475557864503444,0.0,0,0.0,108,108.0,0.05204128400596945,0.05204128400596945,0.05204128400596944,108,0.0021016454335774305,0.0,0,0.05204128400596944
lightgbm:single_LR02,1.0,validation,fixed_threshold_0.5,prespecified,2778,0.8650107991360692,0.6041253828139074,0.572289156626506,0.23809523809523808,0.9701555275325767,0.336283185840708,0.3414370894885916,0.10325117910736445,2308,71,304,95,0.5,0.7876885361786139,0.4078385375966155,-0.18159887093193386,0.905908392900642,0.0,0,0.0,130,130.0,0.043145460700980895,0.043145460700980895,0.0431454607009809,130,0.002105087016999498,0.0,0,0.0431454607009809
