algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR02_pos,soft_violation_LR02
lightgbm:single_LR02,0.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7534197264218863,0.7319196477954028,0.3309692671394799,0.7017543859649122,0.7620849096258933,0.4497991967871486,0.3409690727392309,0.1033494132771442,1813,566,119,280,0.1620460991482594,0.7898776997137652,0.40453878836719104,-0.1398448685489366,0.9606272594483047,0.0032397408207343412,9,0.0032397408207343412,130,130.0,0.08276934369713913,0.08276934369713913,0.08276934369713913,130,0.004147000844748261,0.06923076923076923,9,0.08276934369713913
lightgbm:single_LR02,0.0,test,baseline_common_threshold,lambda_0_validation,2778,0.775377969762419,0.7186661483469077,0.3469387755102041,0.6390977443609023,0.798234552332913,0.4497354497354497,0.329078278187055,0.097942081247911,1899,480,144,255,0.1620460991482594,0.7996451827340524,0.4719453791349321,0.09175927554321596,1.0539845533676393,0.0025197984161267097,7,0.0025197984161267097,108,108.0,0.07929757069176173,0.07929757069176173,0.0792975706917617,108,0.003266343268860482,0.06481481481481481,7,0.0792975706917617
lightgbm:single_LR02,0.1,validation,baseline_common_threshold,lambda_0_validation,2778,0.7537796976241901,0.7321298201367226,0.33136094674556216,0.7017543859649122,0.762505254308533,0.45016077170418006,0.34094547323797886,0.10338588129234881,1814,565,119,280,0.1620460991482594,0.7899735677992796,0.40464448360492267,-0.13929874844200413,0.958757207757293,0.0025197984161267097,7,0.0025197984161267097,130,130.0,0.07706782567795745,0.07706782567795745,0.07706782567795745,130,0.003850103537344004,0.05384615384615385,7,0.07706782567795745
lightgbm:single_LR02,0.1,test,baseline_common_threshold,lambda_0_validation,2778,0.7778977681785457,0.7222232757176674,0.3510928961748634,0.6441102756892231,0.8003362757461118,0.45446507515473034,0.3287762786964286,0.09777861004269935,1904,475,142,257,0.1620460991482594,0.7997910918532144,0.47368588118536864,0.10350306244972872,1.0589142402993117,0.0021598272138228943,6,0.0021598272138228943,108,108.0,0.0733420547126676,0.0733420547126676,0.07334205471266758,108,0.0030087042297459463,0.05555555555555555,6,0.07334205471266758
lightgbm:single_LR02,0.25,validation,baseline_common_threshold,lambda_0_validation,2778,0.7526997840172787,0.7252415401682011,0.3277511961722488,0.6867167919799498,0.7637662883564523,0.4437246963562753,0.3409577667702056,0.10325693813490763,1817,562,125,274,0.1620460991482594,0.789147627370233,0.40774504892486085,-0.1501664110459174,0.9423718765242871,0.0025197984161267097,7,0.0025197984161267097,130,130.0,0.06838230239365169,0.06838230239365169,0.06838230239365169,130,0.0033989401486596966,0.05384615384615385,7,0.06838230239365169
lightgbm:single_LR02,0.25,test,baseline_common_threshold,lambda_0_validation,2778,0.7778977681785457,0.7232662362084277,0.35149863760217986,0.6466165413533834,0.799915931063472,0.4554280670785525,0.3281084421956117,0.09753284464147156,1903,476,141,258,0.1620460991482594,0.8006770815226381,0.47628890593534606,0.08986782130364826,1.040952275262974,0.0014398848092152627,4,0.0014398848092152627,108,108.0,0.0646280940289473,0.0646280940289473,0.0646280940289473,108,0.0026403816358230824,0.037037037037037035,4,0.0646280940289473
lightgbm:single_LR02,0.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.750179985601152,0.7216844127974413,0.32419547079856975,0.681704260651629,0.7616645649432535,0.4394184168012924,0.341291601496136,0.10338256400589943,1812,567,127,272,0.1620460991482594,0.7889026896792211,0.40498771921786464,-0.1430038162646096,0.9447218068439964,0.0021598272138228943,6,0.0021598272138228943,130,130.0,0.058060071611474584,0.058060071611474584,0.058060071611474584,130,0.0028551835531556644,0.046153846153846156,6,0.058060071611474584
lightgbm:single_LR02,0.5,test,baseline_common_threshold,lambda_0_validation,2778,0.7800575953923686,0.7266131912378677,0.3551912568306011,0.6516290726817042,0.8015973097940311,0.45977011494252873,0.3289632985651877,0.09777427289208611,1907,472,139,260,0.1620460991482594,0.7992601301488274,0.47206259668720213,0.09061442209298971,1.0429439739351187,0.0010799136069114472,3,0.0010799136069114472,108,108.0,0.05654472249932393,0.05654472249932393,0.056544722499323935,108,0.0023014186614056893,0.027777777777777776,3,0.056544722499323935
lightgbm:single_LR02,0.75,validation,baseline_common_threshold,lambda_0_validation,2778,0.751979841612671,0.7248211954855612,0.3269689737470167,0.6867167919799498,0.7629255989911727,0.44300727566693615,0.3422905472812881,0.10368537110218423,1815,564,125,274,0.1620460991482594,0.7870643401273255,0.39911006698904505,-0.1467557152178896,0.9426237736695227,0.0014398848092152627,4,0.0014398848092152627,130,130.0,0.05358785658684295,0.05358785658684295,0.05358785658684295,130,0.002616406473951172,0.03076923076923077,4,0.05358785658684295
lightgbm:single_LR02,0.75,test,baseline_common_threshold,lambda_0_validation,2778,0.7778977681785457,0.7222232757176674,0.3510928961748634,0.6441102756892231,0.8003362757461118,0.45446507515473034,0.32947357242014247,0.09781791007901397,1904,475,142,257,0.1620460991482594,0.7974539122080107,0.47328573202738966,0.09913799080414108,1.0475557864503444,0.0007199424046076314,2,0.0007199424046076314,108,108.0,0.05204128400596945,0.05204128400596945,0.05204128400596944,108,0.0021016454335774305,0.018518518518518517,2,0.05204128400596944
lightgbm:single_LR02,1.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7530597552195825,0.7244087520187606,0.3277310924369748,0.6842105263157895,0.7646069777217318,0.4431818181818182,0.3414370894885916,0.10325117910736445,1819,560,126,273,0.1620460991482594,0.7876885361786139,0.4078385375966155,-0.18159887093193386,0.905908392900642,0.0014398848092152627,4,0.0014398848092152627,130,130.0,0.043145460700980895,0.043145460700980895,0.0431454607009809,130,0.002105087016999498,0.03076923076923077,4,0.0431454607009809
lightgbm:single_LR02,1.0,test,baseline_common_threshold,lambda_0_validation,2778,0.785097192224622,0.729555604016346,0.362116991643454,0.6516290726817042,0.8074821353509878,0.4655326768128917,0.32891124236963276,0.09735115677434612,1921,458,139,260,0.1620460991482594,0.7974776158555278,0.47330901804639164,0.03937375554965702,0.9947516689844383,0.0007199424046076314,2,0.0007199424046076314,108,108.0,0.04181184298646183,0.04181184298646183,0.04181184298646183,108,0.001696637823846625,0.018518518518518517,2,0.04181184298646183
lightgbm:single_LR02,1.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.7530597552195825,0.7244087520187606,0.3277310924369748,0.6842105263157895,0.7646069777217318,0.4431818181818182,0.3421996130285844,0.10331451324824331,1819,560,126,273,0.1620460991482594,0.7851043118515078,0.4043485181702629,-0.16380843238678772,0.9214574293048281,0.0003599712023038157,1,0.0003599712023038157,130,130.0,0.03755913965426896,0.03755913965426896,0.03755913965426896,130,0.0018098560556210177,0.007692307692307693,1,0.03755913965426896
lightgbm:single_LR02,1.5,test,baseline_common_threshold,lambda_0_validation,2778,0.7800575953923686,0.7193124678025455,0.35236768802228413,0.6340852130325815,0.8045397225725095,0.4529991047448523,0.329956824212177,0.09767506212399749,1914,465,146,253,0.1620460991482594,0.7958510188881198,0.47147785295897654,0.07165190499579213,1.017518351621824,0.0003599712023038157,1,0.0003599712023038157,108,108.0,0.03704151052939873,0.03704151052939873,0.03704151052939874,108,0.0014846558030038558,0.009259259259259259,1,0.03704151052939874
lightgbm:single_LR02,2.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7526997840172787,0.7241985796774408,0.3273381294964029,0.6842105263157895,0.7641866330390921,0.44282238442822386,0.3430205341106435,0.10354614606597899,1818,561,126,273,0.1620460991482594,0.7830420945175044,0.4030549106333947,-0.1718767041773529,0.9138857330878342,0.0,0,0.0,130,130.0,0.03145576179980709,0.03145576179980709,0.031455761799807094,130,0.0015054210995161345,0.0,0,0.031455761799807094
lightgbm:single_LR02,2.0,test,baseline_common_threshold,lambda_0_validation,2778,0.7796976241900648,0.7222311769335066,0.35310344827586204,0.6416040100250626,0.8028583438419504,0.4555160142348754,0.3306630367062458,0.097726756989897,1910,469,143,256,0.1620460991482594,0.7943576890945312,0.4743035335749529,0.059441061013789306,1.0094315935528637,0.0003599712023038157,1,0.0003599712023038157,108,108.0,0.03204377846396375,0.03204377846396375,0.03204377846396375,108,0.0012776036011783556,0.009259259259259259,1,0.03204377846396375
