algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR02_pos,soft_violation_LR02
lightgbm:single_LR02,0.0,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7534197264218863,0.7319196477954028,0.3309692671394799,0.7017543859649122,0.7620849096258933,0.4497991967871486,0.3409690727392309,0.1033494132771442,1813,566,119,280,0.1620460991482594,0.7898776997137652,0.40453878836719104,-0.1398448685489366,0.9606272594483047,0.0032397408207343412,9,0.0032397408207343412,130,130.0,0.08276934369713913,0.08276934369713913,0.08276934369713913,130,0.004147000844748261,0.06923076923076923,9,0.08276934369713913
lightgbm:single_LR02,0.0,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.775377969762419,0.7186661483469077,0.3469387755102041,0.6390977443609023,0.798234552332913,0.4497354497354497,0.329078278187055,0.097942081247911,1899,480,144,255,0.1620460991482594,0.7996451827340524,0.4719453791349321,0.09175927554321596,1.0539845533676393,0.0025197984161267097,7,0.0025197984161267097,108,108.0,0.07929757069176173,0.07929757069176173,0.0792975706917617,108,0.003266343268860482,0.06481481481481481,7,0.0792975706917617
lightgbm:single_LR02,0.1,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7573794096472283,0.7331885830591611,0.3349339735894358,0.6992481203007519,0.7671290458175704,0.45292207792207795,0.34094547323797886,0.10338588129234881,1825,554,120,279,0.16431629529383432,0.7899735677992796,0.40464448360492267,-0.13929874844200413,0.958757207757293,0.0025197984161267097,7,0.0025197984161267097,130,130.0,0.07706782567795745,0.07706782567795745,0.07706782567795745,130,0.003850103537344004,0.05384615384615385,7,0.07706782567795745
lightgbm:single_LR02,0.1,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7804175665946724,0.721608561125386,0.3536754507628294,0.6390977443609023,0.8041193778898696,0.45535714285714285,0.3287762786964286,0.09777861004269935,1913,466,144,255,0.16431629529383432,0.7997910918532144,0.47368588118536864,0.10350306244972872,1.0589142402993117,0.0021598272138228943,6,0.0021598272138228943,108,108.0,0.0733420547126676,0.0733420547126676,0.07334205471266758,108,0.0030087042297459463,0.05555555555555555,6,0.07334205471266758
lightgbm:single_LR02,0.25,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7422606191504679,0.727490226196007,0.32009080590238365,0.706766917293233,0.748213535098781,0.440625,0.3409577667702056,0.10325693813490763,1780,599,117,282,0.15344565062118826,0.789147627370233,0.40774504892486085,-0.1501664110459174,0.9423718765242871,0.0025197984161267097,7,0.0025197984161267097,130,130.0,0.06838230239365169,0.06838230239365169,0.06838230239365169,130,0.0033989401486596966,0.05384615384615385,7,0.06838230239365169
lightgbm:single_LR02,0.25,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7638588912886969,0.7213272778415143,0.3363057324840764,0.6616541353383458,0.7810004203446826,0.44594594594594594,0.3281084421956117,0.09753284464147156,1858,521,135,264,0.15344565062118826,0.8006770815226381,0.47628890593534606,0.08986782130364826,1.040952275262974,0.0014398848092152627,4,0.0014398848092152627,108,108.0,0.0646280940289473,0.0646280940289473,0.0646280940289473,108,0.0026403816358230824,0.037037037037037035,4,0.0646280940289473
lightgbm:single_LR02,0.5,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7005039596832253,0.727098325890388,0.29242569511025884,0.7644110275689223,0.6897856242118537,0.42302357836338417,0.341291601496136,0.10338256400589943,1641,738,94,305,0.12075518608290048,0.7889026896792211,0.40498771921786464,-0.1430038162646096,0.9447218068439964,0.0025197984161267097,7,0.0025197984161267097,130,130.0,0.058060071611474584,0.058060071611474584,0.058060071611474584,130,0.0028551835531556644,0.05384615384615385,7,0.058060071611474584
lightgbm:single_LR02,0.5,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7192224622030238,0.7296836037129393,0.3046153846153846,0.7443609022556391,0.7150063051702396,0.43231441048034935,0.3289632985651877,0.09777427289208611,1701,678,102,297,0.12075518608290048,0.7992601301488274,0.47206259668720213,0.09061442209298971,1.0429439739351187,0.0025197984161267097,7,0.0025197984161267097,108,108.0,0.05654472249932393,0.05654472249932393,0.056544722499323935,108,0.0023014186614056893,0.06481481481481481,7,0.056544722499323935
lightgbm:single_LR02,0.75,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6868250539956804,0.7274554608463151,0.2853236098450319,0.7844611528822055,0.6704497688104245,0.4184491978609626,0.3422905472812881,0.10368537110218423,1595,784,86,313,0.11442878489907135,0.7870643401273255,0.39911006698904505,-0.1467557152178896,0.9426237736695227,0.0025197984161267097,7,0.0025197984161267097,130,130.0,0.05358785658684295,0.05358785658684295,0.05358785658684295,130,0.002616406473951172,0.05384615384615385,7,0.05358785658684295
lightgbm:single_LR02,0.75,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7005039596832253,0.7250124049088673,0.29162656400384984,0.7593984962406015,0.6906263135771332,0.42141863699582754,0.32947357242014247,0.09781791007901397,1643,736,96,303,0.11442878489907135,0.7974539122080107,0.47328573202738966,0.09913799080414108,1.0475557864503444,0.0014398848092152627,4,0.0014398848092152627,108,108.0,0.05204128400596945,0.05204128400596945,0.05204128400596944,108,0.0021016454335774305,0.037037037037037035,4,0.05204128400596944
