algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR05_neg,soft_violation_LR05
lightgbm:single_LR05,0.0,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7534197264218863,0.7319196477954028,0.3309692671394799,0.7017543859649122,0.7620849096258933,0.4497991967871486,0.3409690727392309,0.1033494132771442,1813,566,119,280,0.1620460991482594,0.7898776997137652,0.40453878836719104,-0.1398448685489366,0.9606272594483047,0.03275737940964723,91,0.03275737940964723,500,750.0,0.6452682189261444,0.6452682189261444,0.6452682189261444,500,0.318705562507559,0.182,91,0.6452682189261444
lightgbm:single_LR05,0.0,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.775377969762419,0.7186661483469077,0.3469387755102041,0.6390977443609023,0.798234552332913,0.4497354497354497,0.329078278187055,0.097942081247911,1899,480,144,255,0.1620460991482594,0.7996451827340524,0.4719453791349321,0.09175927554321596,1.0539845533676393,0.03995680345572354,111,0.03995680345572354,451,676.5,0.654597166302644,0.654597166302644,0.654597166302644,451,0.3018739792186627,0.24611973392461198,111,0.654597166302644
lightgbm:single_LR05,0.1,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7293016558675306,0.7272247453438135,0.3104189044038668,0.7243107769423559,0.7301387137452712,0.4345864661654135,0.3443730149860723,0.10480785472897758,1737,642,110,289,0.16078559964636166,0.7887783772166862,0.4130455233669468,-0.3761431380099948,0.8660064430100655,0.004679625629949604,13,0.004679625629949604,500,750.0,0.565795448752036,0.565795448752036,0.565795448752036,500,0.24697175004440902,0.026,13,0.565795448752036
lightgbm:single_LR05,0.1,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7444204463642908,0.7287512602439263,0.3222857142857143,0.706766917293233,0.7507356031946196,0.4427001569858713,0.3273198770664806,0.0973148586724007,1786,593,117,282,0.16078559964636166,0.804264760261309,0.48238779643639335,-0.14598425617167288,0.9702539818011151,0.003599712023038157,10,0.003599712023038157,451,676.5,0.5760988572264677,0.5760988572264677,0.5760988572264677,451,0.23241712860397354,0.022172949002217297,10,0.5760988572264677
lightgbm:single_LR05,0.25,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7365010799136069,0.7303852316794508,0.31683168316831684,0.7218045112781954,0.7389659520807061,0.44036697247706424,0.3559484198745269,0.11017089391990381,1758,621,111,288,0.17466334332051506,0.784617070208097,0.40155890034256514,-0.5968171833735512,0.7872652015589273,0.0,0,0.0,500,750.0,0.4761131157986265,0.47611311579862636,0.47611311579862636,500,0.18349428167831766,0.0,0,0.47611311579862636
lightgbm:single_LR05,0.25,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7505399568034558,0.7271093875925627,0.3266509433962264,0.6942355889724311,0.7599831862126945,0.4442662389735365,0.33525630250335303,0.10086707150652265,1808,571,122,277,0.17466334332051506,0.8002667450467278,0.4710604749157364,-0.38988159666639877,0.8890297971030218,0.0,0,0.0,451,676.5,0.4863644323657801,0.4863644323657802,0.48636443236578014,451,0.17188977370053468,0.0,0,0.48636443236578014
lightgbm:single_LR05,0.5,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7156227501799856,0.7265389198089802,0.301119023397762,0.7418546365914787,0.7112232030264817,0.4283646888567294,0.37583943177955564,0.11947503973115525,1692,687,103,296,0.1556255932518082,0.7812453580356945,0.3981923320549461,-0.8226694836386439,0.684419897391224,0.0,0,0.0,500,750.0,0.37629570092688225,0.37629570092688225,0.3762957009268823,500,0.13114681762777244,0.0,0,0.3762957009268823
lightgbm:single_LR05,0.5,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7293016558675306,0.7272247453438135,0.3104189044038668,0.7243107769423559,0.7301387137452712,0.4345864661654135,0.34940945073700136,0.1078136663552938,1737,642,110,289,0.1556255932518082,0.7986285596294224,0.46599693557325744,-0.6456542345381908,0.7771710485487663,0.0,0,0.0,451,676.5,0.38401007005379617,0.38401007005379617,0.38401007005379617,451,0.1219021482949229,0.0,0,0.3840100700537962
lightgbm:single_LR05,0.75,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.728581713462923,0.7288903216426944,0.3105656350053362,0.7293233082706767,0.7284573350147121,0.4356287425149701,0.39269662092592306,0.12716919026742354,1733,646,108,291,0.1690120275968165,0.7801386610704988,0.4023686797950529,-0.9527256475634155,0.6381594353918936,0.0,0,0.0,500,750.0,0.3148701414081925,0.3148701414081925,0.31487014140819247,500,0.10395394044383943,0.0,0,0.31487014140819247
lightgbm:single_LR05,0.75,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.738300935925126,0.727264251423009,0.3169642857142857,0.7117794486215538,0.742749054224464,0.4386100386100386,0.3640298719488344,0.11455261178356259,1767,612,115,284,0.1690120275968165,0.7968929258834349,0.464716598365298,-0.8016642611419659,0.7216909825386889,0.0,0,0.0,451,676.5,0.32022967195634744,0.3202296719563475,0.3202296719563475,451,0.09593810627726815,0.0,0,0.3202296719563475
