algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
logistic:control_reversed,0.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.6133909287257019,0.7064824735230257,0.2486969471332837,0.8370927318295739,0.5758722152164775,0.38346727898966704,0.395825257538041,0.11894896582947341,1370,1009,65,334,0.14075511803503238,0.7593610971522965,0.3346097344662093,8.177543611673554,5.715480851711968,0.02663786897048236,74,0.02663786897048236,722,972.0,0.7329592237115047,0.7009287229375568,0.7086454504132013,629,0.537264471890194,0.10249307479224377,7,51,0,15,1,0.8570532092542398,0.13614523400534911,0.7996402922478146,0.8957438651156685,0.8254633099466664
logistic:control_reversed,0.0,test,baseline_common_threshold,lambda_0_validation,2778,0.6159107271418287,0.6964811145139014,0.24581430745814306,0.8095238095238095,0.5834384195039932,0.37711617046117923,0.39548763288073996,0.1188529424855129,1388,991,76,323,0.14075511803503238,0.7686992807786595,0.3669462263354828,9.342020050892833,6.359396371430544,0.020158387329013677,57,0.020518358531317494,639,864.5,0.7399690318699369,0.7094589464809056,0.7170886026318833,566,0.4842736360764472,0.0892018779342723,4,31,1,19,2,0.8279708143968035,0.13510331695002203,0.7998284295605904,0.8928541062428719,0.8264255487816486
logistic:control_reversed,0.1,validation,baseline_common_threshold,lambda_0_validation,2778,0.6234701223902088,0.7008947336816189,0.24980665119876258,0.8095238095238095,0.5922656578394283,0.3817966903073286,0.3969325136600623,0.11927005445578245,1409,970,76,323,0.14075511803503238,0.75712241933122,0.33124890463388884,8.83615153366366,6.05072970853708,0.02663786897048236,74,0.02663786897048236,722,972.0,0.7361562720013393,0.70409811564059,0.711814709090645,629,0.5428990198590488,0.10249307479224377,7,51,0,15,1,0.8571293380194931,0.13862680693299093,0.8049430057883679,0.8941719803585857,0.8287402275711834
logistic:control_reversed,0.1,test,baseline_common_threshold,lambda_0_validation,2778,0.6342692584593232,0.7040710224489344,0.2545743834526651,0.8020050125313283,0.6061370323665406,0.3864734299516908,0.39662340151889686,0.1191875777171723,1442,937,79,320,0.14075511803503238,0.7672043707419031,0.3613141455388673,10.0859639777545,6.740174651234301,0.021958243340532757,61,0.021958243340532757,639,864.5,0.7430697871052764,0.7125469494291148,0.7201629138530977,566,0.48908615043670023,0.09546165884194054,4,38,0,19,0,0.8300898538139426,0.13798112923607478,0.8046558701701529,0.8918173829619457,0.8295624402097875
logistic:control_reversed,0.25,validation,baseline_common_threshold,lambda_0_validation,2778,0.6429085673146149,0.6955566722607275,0.2543496271748136,0.7694235588972431,0.6216897856242118,0.3823163138231631,0.3985721858528984,0.11973255898850355,1479,900,92,307,0.14075511803503238,0.7516863828339239,0.3243345507194528,9.759898356960068,6.516448139236895,0.03167746580273578,88,0.03167746580273578,722,972.0,0.740519094648122,0.7084507671885598,0.7161728686788746,629,0.5506967694141807,0.12188365650969529,7,66,0,15,0,0.857017005831204,0.1425625399216554,0.8120981932442791,0.8917629150927043,0.8331324243513376
logistic:control_reversed,0.25,test,baseline_common_threshold,lambda_0_validation,2778,0.6605471562275018,0.7110699194392033,0.2671232876712329,0.7819548872180451,0.6401849516603615,0.39821314613911934,0.39829877535892994,0.1196665910342549,1523,856,87,312,0.14075511803503238,0.7631178619099239,0.3491983529907492,11.09342234208165,7.249632705055249,0.02591792656587473,72,0.02591792656587473,639,864.5,0.7472943698225115,0.7167839061151721,0.724389595176402,566,0.4957307003201743,0.11267605633802817,3,50,0,19,0,0.8327857632392845,0.14254560403807884,0.8110903605029245,0.8902311234477904,0.8337519587759035
logistic:control_reversed,0.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.6663066954643628,0.6800149807052309,0.2569060773480663,0.6992481203007519,0.6607818411097099,0.37575757575757573,0.40124656807103304,0.12046015241490354,1572,807,120,279,0.14075511803503238,0.7344143250096659,0.29962258027952293,10.635562507813823,6.920778667637757,0.03959683225341973,110,0.03959683225341973,722,972.0,0.746897903759518,0.7148748835420987,0.7226188578079231,629,0.5623467271730446,0.1523545706371191,5,90,0,15,0,0.8563937420829546,0.14952372841550596,0.8223699847319357,0.8876425329631182,0.8393803861474248
logistic:control_reversed,0.5,test,baseline_common_threshold,lambda_0_validation,2778,0.6861051115910727,0.7061759063484689,0.2766761095372993,0.7343358395989975,0.6780159730979403,0.401920438957476,0.4010200410195022,0.12041451351974175,1613,766,106,293,0.14075511803503238,0.7493771208180181,0.3134802765264534,11.717596284375475,7.510112193046335,0.03599712023038157,100,0.03599712023038157,639,864.5,0.7534582156032243,0.7230320648448446,0.7306430369694576,566,0.5056317375092864,0.1564945226917058,2,79,0,19,0,0.8363139905849162,0.1506452859916337,0.8201423234311476,0.8875328548241316,0.8396768867101179
logistic:control_reversed,0.75,validation,baseline_common_threshold,lambda_0_validation,2778,0.6925845932325414,0.6630257864080125,0.2607781282860147,0.6215538847117794,0.7044976881042455,0.3674074074074074,0.4038491969736163,0.12114348689106393,1676,703,151,248,0.14075511803503238,0.70674005315938,0.2559382507674258,9.567256734202681,6.256404753076681,0.049316054715622754,137,0.049316054715622754,722,972.0,0.7524454912509837,0.7205219469610327,0.7283004992138443,629,0.5727533515509904,0.18975069252077562,6,116,0,15,0,0.8554088368181751,0.15679293332465852,0.8310982787733698,0.8834291459624481,0.844640687160362
logistic:control_reversed,0.75,test,baseline_common_threshold,lambda_0_validation,2778,0.7059035277177825,0.6812317679444513,0.2762312633832976,0.6466165413533834,0.7158469945355191,0.3870967741935484,0.4036604447863254,0.12111265669377351,1703,676,141,258,0.14075511803503238,0.7246431547553205,0.2661287320529057,9.904884711377607,6.434726459705374,0.04319654427645788,120,0.04319654427645788,639,864.5,0.7588087596060689,0.7285235034498668,0.7361617234340678,566,0.5144610126817795,0.18779342723004694,2,99,0,19,0,0.8389863987469741,0.159155567530532,0.8276348312732137,0.8847983725684491,0.8446281772726458
