algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
logistic:leave_out_LR01,0.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.6133909287257019,0.7064824735230257,0.2486969471332837,0.8370927318295739,0.5758722152164775,0.38346727898966704,0.395825257538041,0.11894896582947341,1370,1009,65,334,0.14075511803503238,0.7593610971522965,0.3346097344662093,8.177543611673554,5.715480851711968,0.02411807055435565,67,0.02411807055435565,711,961.0,0.7315387930757399,0.6985132948792114,0.7054695640640237,621,0.529513440373019,0.09423347398030943,51,0,15,1,0.13614523400534911,0.7996402922478146,0.8957438651156685,0.8254633099466664
logistic:leave_out_LR01,0.0,test,baseline_common_threshold,lambda_0_validation,2778,0.6159107271418287,0.6964811145139014,0.24581430745814306,0.8095238095238095,0.5834384195039932,0.37711617046117923,0.39548763288073996,0.1188529424855129,1388,991,76,323,0.14075511803503238,0.7686992807786595,0.3669462263354828,9.342020050892833,6.359396371430544,0.018718502519798418,53,0.01907847372210223,629,854.5,0.7389391689965974,0.7075748150355017,0.7145621467608096,561,0.47780836387546444,0.08426073131955485,31,1,19,2,0.13510331695002203,0.7998284295605904,0.8928541062428719,0.8264255487816486
logistic:leave_out_LR01,0.1,validation,baseline_common_threshold,lambda_0_validation,2778,0.2886969042476602,0.5648832042274665,0.16260162601626016,0.9523809523809523,0.17738545607398065,0.2777777777777778,0.393859139759228,0.11788651459188446,422,1957,19,380,0.14075511803503238,0.7572435713074194,0.33110777418032755,5.036172551103063,4.34892525656747,0.03851691864650828,107,0.03851691864650828,711,961.0,0.7027247823195956,0.6723831049450449,0.6793857033771034,621,0.47449038816814865,0.15049226441631505,92,0,15,0,0.15925540255401086,0.7499208258921926,0.8905436259074979,0.789016512772817
logistic:leave_out_LR01,0.1,test,baseline_common_threshold,lambda_0_validation,2778,0.2814974802015839,0.554421994456507,0.15948827292110873,0.9373433583959899,0.17150063051702397,0.2725947521865889,0.3931643043438585,0.11766861042628077,408,1971,25,374,0.14075511803503238,0.767149588978752,0.3610851704217263,5.845924450464921,4.840179675360507,0.03599712023038157,100,0.03599712023038157,629,854.5,0.710126594613886,0.6813780958374377,0.688510925259659,561,0.4287364148551569,0.1589825119236884,81,0,19,0,0.15814733020715874,0.7493556562136519,0.8872140274128534,0.7903164204692565
logistic:leave_out_LR01,0.25,validation,baseline_common_threshold,lambda_0_validation,2778,0.16918646508279336,0.5086644732891498,0.14582560296846012,0.9849624060150376,0.032366540563261874,0.2540400775694893,0.3966090960254294,0.11801726536483853,77,2302,6,393,0.14075511803503238,0.755669649112272,0.32888445914272924,2.779381251428319,3.3458243813624162,0.0482361411087113,134,0.0482361411087113,711,961.0,0.6629101039509442,0.6361774534615813,0.6432876631147532,621,0.41321185541578936,0.18846694796061886,119,0,15,0,0.18964741619169984,0.6806406301736833,0.8851228495636043,0.7389377619426923
logistic:leave_out_LR01,0.25,test,baseline_common_threshold,lambda_0_validation,2778,0.16702663786897048,0.5011456762966685,0.14391967274079584,0.9699248120300752,0.032366540563261874,0.2506476683937824,0.39530219907280817,0.11754772381903712,77,2302,12,387,0.14075511803503238,0.7659907439890183,0.3572741466347766,3.329120397316121,3.721529596639858,0.04283657307415407,119,0.04283657307415407,629,854.5,0.6703639271890525,0.6451386303267036,0.6525222940414295,561,0.3740667154668907,0.1891891891891892,100,0,19,0,0.18842073033466905,0.6790737392456372,0.8811812780382733,0.7407262851776
logistic:leave_out_LR01,0.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.1486681065514759,0.49668464983391647,0.14280523255813954,0.9849624060150376,0.008406893652795292,0.24944462075531576,0.4083987000211976,0.12127944605138401,20,2359,6,393,0.14075511803503238,0.7548026223608622,0.3274057769125213,1.1042540189309673,2.586588394463012,0.049316054715622754,137,0.049316054715622754,711,961.0,0.6064481508488238,0.5847311358791736,0.5919127455571803,621,0.34497268167551,0.19268635724331926,124,0,13,0,0.23026187751729837,0.5835209271633874,0.8794494419204015,0.6682113414225082
logistic:leave_out_LR01,0.5,test,baseline_common_threshold,lambda_0_validation,2778,0.1490280777537797,0.49689482217523634,0.14285714285714285,0.9849624060150376,0.008827238335435058,0.24952380952380954,0.40599417300408774,0.12027236820586712,21,2358,6,393,0.14075511803503238,0.7651026473287043,0.3546493096475684,1.462198014340558,2.874756413744815,0.043916486681065514,122,0.043916486681065514,629,854.5,0.6140370214509291,0.5937178449312641,0.6013762028115059,561,0.31312725283776677,0.19395866454689983,105,0,17,0,0.2287399634010978,0.5810921001201436,0.874562661695352,0.6707144583949171
logistic:leave_out_LR01,0.75,validation,baseline_common_threshold,lambda_0_validation,2778,0.14578833693304535,0.4950032711033574,0.1423913043478261,0.9849624060150376,0.005044136191677175,0.24881291547958215,0.4235658864927575,0.12659774955465747,12,2367,6,393,0.14075511803503238,0.7547847129382936,0.32734328620268494,0.28870083725809487,2.2129245657000958,0.05003599712023038,139,0.05003599712023038,711,961.0,0.5607968890348254,0.543106987381034,0.5501510256835559,621,0.3002553225040822,0.19549929676511954,127,0,12,0,0.2611892192313503,0.5076283932894826,0.8758340601086524,0.6111069693382081
logistic:leave_out_LR01,0.75,test,baseline_common_threshold,lambda_0_validation,2778,0.1468682505399568,0.4966767486180773,0.14280536426241391,0.9874686716791979,0.0058848255569567045,0.24952501583280556,0.4200649495700363,0.12499411409549824,14,2365,5,394,0.14075511803503238,0.7650278491520941,0.354462637339017,0.554880245658058,2.4586754531043242,0.04283657307415407,119,0.04283657307415407,629,854.5,0.5685160685465078,0.5521418600349005,0.559818644877487,561,0.2731237564603429,0.1891891891891892,105,0,14,0,0.2592561260309419,0.5052348367551807,0.8700573923168191,0.614189581423674
