algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
logistic:leave_out_LR02,0.0,validation,fixed_threshold_0.5,prespecified,2778,0.8563714902807775,0.5,0.0,0.0,1.0,0.0,0.395825257538041,0.11894896582947341,2379,0,399,0,0.5,0.7593610971522965,0.3346097344662093,8.177543611673554,5.715480851711968,0.19330453563714903,592,0.21310295176385888,592,842.0,0.8251039014571108,0.8249521242233457,0.8274938385050858,537,0.5304041139162278,1.0,11,66,15,500,0.8570532092542398,0.7996402922478146,0.8957438651156685,0.8254633099466664
logistic:leave_out_LR02,0.0,test,fixed_threshold_0.5,prespecified,2778,0.8563714902807775,0.5,0.0,0.0,1.0,0.0,0.39548763288073996,0.1188529424855129,2379,0,399,0,0.5,0.7686992807786595,0.3669462263354828,9.342020050892833,6.359396371430544,0.17530597552195826,531,0.19114470842332612,531,756.5,0.8263213084216233,0.8262770406227801,0.8289552394933346,487,0.4786232343380868,1.0,10,51,19,451,0.8279708143968035,0.7998284295605904,0.8928541062428719,0.8264255487816486
logistic:leave_out_LR02,0.1,validation,fixed_threshold_0.5,prespecified,2778,0.8563714902807775,0.5,0.0,0.0,1.0,0.0,0.3940478580950113,0.1179176758990637,2379,0,399,0,0.5,0.7566019925812851,0.330296161952529,4.971632283669802,4.327515615677541,0.19330453563714903,592,0.21310295176385888,592,842.0,0.7869844543310507,0.7866997755814044,0.7905784939945955,537,0.4715735000787802,1.0,11,66,15,500,0.8332814665448489,0.7482386161728417,0.8898090359789268,0.7876585736102131
logistic:leave_out_LR02,0.1,test,fixed_threshold_0.5,prespecified,2778,0.8563714902807775,0.5,0.0,0.0,1.0,0.0,0.39333583323317217,0.11769548620877844,2379,0,399,0,0.5,0.7668050959681676,0.360132930113116,5.7794139046922295,4.820039679892192,0.17530597552195826,531,0.19114470842332612,531,756.5,0.7886223454330388,0.7884756308045543,0.7926431647084852,487,0.4260719479530714,1.0,10,51,19,451,0.7888690381834159,0.7475001180477727,0.886572359431407,0.7889678242256118
logistic:leave_out_LR02,0.25,validation,fixed_threshold_0.5,prespecified,2778,0.8563714902807775,0.5,0.0,0.0,1.0,0.0,0.3976057900016628,0.11828004589841491,2379,0,399,0,0.5,0.7539893238771582,0.3270079048847571,2.673895137662718,3.308916096847741,0.19330453563714903,592,0.21310295176385888,592,842.0,0.7341228362644912,0.7336431869810968,0.7394688489610273,537,0.40558090827931437,1.0,11,66,15,500,0.8014000984539149,0.6761080979759424,0.8832605506413044,0.7352586457675689
logistic:leave_out_LR02,0.25,test,fixed_threshold_0.5,prespecified,2778,0.8563714902807775,0.5,0.0,0.0,1.0,0.0,0.3962559567212361,0.11779756313617158,2379,0,399,0,0.5,0.7649551579663745,0.35424751942046584,3.2152258428048546,3.6838323093995293,0.17530597552195826,531,0.19114470842332612,531,756.5,0.7363594395487107,0.736064082194851,0.7423973273167009,487,0.36712684871777435,1.0,10,51,19,451,0.735308965923444,0.6739745050128286,0.879603236016305,0.7370549373531429
logistic:leave_out_LR02,0.5,validation,fixed_threshold_0.5,prespecified,2778,0.8549316054715623,0.5002022711254808,0.16666666666666666,0.002506265664160401,0.9978982765868012,0.0049382716049382715,0.4116569313116032,0.12237435979551474,2374,5,398,1,0.5,0.7516790083658074,0.32403694913239617,0.9726407100561818,2.538007685432247,0.19114470842332612,581,0.20914326853851692,592,842.0,0.6588390820838749,0.6581398000778255,0.6666592713528736,537,0.33133835801681333,0.981418918918919,11,60,15,495,0.7570042863712678,0.5743857827648171,0.8756507930940726,0.6604949818741995
logistic:leave_out_LR02,0.5,test,fixed_threshold_0.5,prespecified,2778,0.8545716342692584,0.4989491382934006,0.0,0.0,0.9978982765868012,0.0,0.4091776731557188,0.12133870475109915,2374,5,399,0,0.5,0.7630988989919101,0.34887370821491775,1.3150591613892986,2.8218502121013027,0.17350611951043918,521,0.187544996400288,531,756.5,0.6619660199860989,0.6615446471732209,0.670833802887455,487,0.30080237998138837,0.9811676082862524,8,46,19,448,0.6628579330908526,0.5705820031092422,0.8714617483417464,0.6629582548581092
logistic:leave_out_LR02,0.75,validation,fixed_threshold_0.5,prespecified,2778,0.8552915766738661,0.5150138903374452,0.45454545454545453,0.03759398496240601,0.9924337957124842,0.06944444444444445,0.4297671474492613,0.1289361597548308,2361,18,384,15,0.5,0.7505180563851831,0.3222062781721444,0.14565288085053055,2.1584871026658687,0.18142548596112312,532,0.19150467962562995,592,842.0,0.5977917011577353,0.5970243576137514,0.6074643101964432,537,0.28215370432431525,0.8986486486486487,10,34,15,473,0.7210345420493058,0.49472336257875293,0.8700608319770782,0.5996087706698892
logistic:leave_out_LR02,0.75,test,fixed_threshold_0.5,prespecified,2778,0.8542116630669546,0.5091685708596838,0.38461538461538464,0.02506265664160401,0.9932744850777637,0.047058823529411764,0.42618006709535533,0.12729352733204724,2363,16,389,10,0.5,0.7621486461003286,0.34625107016309725,0.3925118540882484,2.3975925521076675,0.16594672426205903,481,0.17314614830813535,531,756.5,0.6016632019119519,0.6012814577185772,0.6126267812079017,487,0.25683987136501396,0.9058380414312618,7,26,19,429,0.608443432429234,0.49013145856764734,0.8654631021930391,0.602562120611207
logistic:leave_out_LR02,1.0,validation,fixed_threshold_0.5,prespecified,2778,0.853491720662347,0.5483807248259362,0.46153846153846156,0.12030075187969924,0.9764606977721731,0.1908548707753479,0.4491078808584386,0.13666972700906457,2323,56,351,48,0.5,0.7497658606373014,0.32119565326531024,-0.35022966711887776,1.9307757807108523,0.156227501799856,440,0.1583873290136789,592,842.0,0.5478886816553373,0.5471670668090702,0.5589054369306219,537,0.24705407188870035,0.7432432432432432,10,8,15,407,0.691163253830002,0.43241275192339595,0.8654755550830978,0.549597465611298
logistic:leave_out_LR02,1.0,test,fixed_threshold_0.5,prespecified,2778,0.853491720662347,0.5358651989368124,0.45,0.09022556390977443,0.9815048339638504,0.15031315240083507,0.44447943612662905,0.13443385487834833,2335,44,363,36,0.5,0.7615228698058725,0.34444634626665815,-0.1599171529999637,2.143281261784443,0.1468682505399568,410,0.14758819294456443,531,756.5,0.5523630937855688,0.5521347771312889,0.5648323768906788,487,0.22544144414138756,0.7721280602636534,7,8,19,376,0.5667146444652039,0.4276062524533813,0.8605407238317446,0.5529007263506359
logistic:leave_out_LR02,1.5,validation,fixed_threshold_0.5,prespecified,2778,0.8290136789056876,0.6029243980063652,0.375,0.2857142857142857,0.9201345102984447,0.32432432432432434,0.4877121375414551,0.1532391198266859,2189,190,285,114,0.5,0.7487745214233565,0.3198526211856341,-0.9310983874106232,1.6668483806423684,0.08639308855291576,240,0.08639308855291576,592,842.0,0.47161300682989554,0.471167204303491,0.48429980062860395,537,0.1999847095793779,0.40540540540540543,10,0,15,215,0.6436257104966355,0.3431724716233467,0.8578256932568038,0.4726686672124215
logistic:leave_out_LR02,1.5,test,fixed_threshold_0.5,prespecified,2778,0.8416126709863211,0.610280429952561,0.42379182156133827,0.2857142857142857,0.9348465741908365,0.3413173652694611,0.4812290018652448,0.14996088462459528,2224,155,285,114,0.5,0.760861274666279,0.3425618148226667,-0.8060546678797703,1.8489665264434088,0.07991360691144708,222,0.07991360691144708,531,756.5,0.4769495333673819,0.47718618003890967,0.49127003127565494,487,0.18327850763905026,0.4180790960451977,6,2,19,195,0.5064210061846317,0.3387105011271738,0.8523418525158999,0.47639228555105706
logistic:leave_out_LR02,2.0,validation,fixed_threshold_0.5,prespecified,2778,0.7937365010799136,0.6449051380026358,0.3333333333333333,0.43609022556390975,0.8537200504413619,0.3778501628664495,0.5243838959943031,0.1696559491197496,2031,348,225,174,0.5,0.7482899135185588,0.31948822470978144,-1.2725716300270047,1.5159314824553634,0.024838012958963283,69,0.024838012958963283,592,842.0,0.4160601901102808,0.4159832078974129,0.42961689598455327,537,0.1695876143988711,0.11655405405405406,10,0,15,44,0.6065654544681823,0.28334218210144635,0.8512008708164627,0.4162424839903521
logistic:leave_out_LR02,2.0,test,fixed_threshold_0.5,prespecified,2778,0.8185745140388769,0.6687936739705506,0.3885350318471338,0.45864661654135336,0.8789407313997478,0.4206896551724138,0.5163229912134626,0.16555564518215884,2091,288,216,183,0.5,0.7605062467012424,0.341553397407225,-1.185378381735592,1.6809783962462572,0.025557955363570913,71,0.025557955363570913,531,756.5,0.42193604618658687,0.4226893100905534,0.437212489649921,487,0.1559953789153675,0.1337099811676083,6,0,19,46,0.4638716727810143,0.2795307008654454,0.8452658222104124,0.420162285064608
