algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR05
logistic:leave_out_LR04,0.0,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6133909287257019,0.7064824735230257,0.2486969471332837,0.8370927318295739,0.5758722152164775,0.38346727898966704,0.395825257538041,0.11894896582947341,1370,1009,65,334,0.14075511803503238,0.7593610971522965,0.3346097344662093,8.177543611673554,5.715480851711968,0.021238300935925127,59,0.021238300935925127,707,957.0,0.7304077403039159,0.6967954455221795,0.7034120622291696,616,0.5250459921965142,0.08345120226308345,7,51,0,1,0.8570532092542398,0.13614523400534911,0.7996402922478146,0.8254633099466664
logistic:leave_out_LR04,0.0,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6159107271418287,0.6964811145139014,0.24581430745814306,0.8095238095238095,0.5834384195039932,0.37711617046117923,0.39548763288073996,0.1188529424855129,1388,991,76,323,0.14075511803503238,0.7686992807786595,0.3669462263354828,9.342020050892833,6.359396371430544,0.01331893448524118,38,0.013678905687544997,620,845.5,0.7365334122211069,0.7038387722301357,0.7105983961150208,548,0.46898997654584845,0.06129032258064516,4,31,1,2,0.8279708143968035,0.13510331695002203,0.7998284295605904,0.8264255487816486
logistic:leave_out_LR04,0.1,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6205903527717782,0.7065140783863821,0.2509505703422053,0.8270676691729323,0.5859604875998319,0.38506417736289383,0.3936549986630161,0.11783325088424586,1394,985,69,330,0.16102829195977597,0.7570286582365962,0.33095759688530957,4.9661437052367114,4.299778434952075,0.021958243340532757,61,0.021958243340532757,707,957.0,0.7010973766072162,0.670076595118145,0.6767576936099862,616,0.46945257565758347,0.08628005657708628,7,53,0,1,0.8349174121708409,0.15922212352961881,0.7492289670703663,0.7888241466583094
logistic:leave_out_LR04,0.1,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6259899208063355,0.7023659400708582,0.2511664074650078,0.8095238095238095,0.5952080706179067,0.3833827893175074,0.39294726676657066,0.11761218409660495,1416,963,76,323,0.16102829195977597,0.7670758442975871,0.36097699737289385,5.7722228084777525,4.788222877660385,0.01583873290136789,44,0.01583873290136789,620,845.5,0.7069160360347255,0.676642829442049,0.6836861097213338,548,0.4194006606301835,0.07096774193548387,4,40,0,0,0.7903734938125553,0.15813263463087474,0.7485997323378506,0.790150573007938
logistic:leave_out_LR04,0.25,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6177105831533477,0.7027467786743024,0.2486732373009856,0.8220551378446115,0.5834384195039932,0.3818393480791618,0.39603805419715404,0.11785624610051025,1388,991,71,328,0.18655603826058922,0.7552493044296323,0.3284339157316549,2.6985556799021277,3.2769163954506175,0.024478041756659467,68,0.024478041756659467,707,957.0,0.6605416936842561,0.6329955408062476,0.6398180823621787,616,0.4075289697404779,0.09618104667609619,7,60,0,1,0.8059367634897061,0.18954610870899508,0.678794572845894,0.7384422140232639
logistic:leave_out_LR04,0.25,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6281497480201584,0.7046699346095378,0.25273010920436817,0.8120300751879699,0.5973097940311055,0.3854848304580607,0.3946932758528851,0.117375591431668,1421,958,75,324,0.18655603826058922,0.7657652959637429,0.356795546080615,3.243946575930509,3.64841377416805,0.016918646508279338,47,0.016918646508279338,620,845.5,0.6659766541620489,0.6389437928108727,0.6464354173035125,548,0.36415789407751176,0.07580645161290323,3,44,0,0,0.7395128995271361,0.1883667250776792,0.677062688951719,0.7403020379213804
logistic:leave_out_LR04,0.5,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7224622030237581,0.7023722610435295,0.2956043956043956,0.6741854636591479,0.7305590584279109,0.4110007639419404,0.4070862656166144,0.12087462929981704,1738,641,130,269,0.24682711968960774,0.7541336527531523,0.3266635588013234,1.0392564172507883,2.510502184467198,0.02087832973362131,58,0.02087832973362131,707,957.0,0.6029982000859312,0.580265786827343,0.5872114481445189,616,0.33860533726223363,0.08203677510608204,8,49,0,1,0.7671180823911528,0.2299618214111262,0.5798764122208001,0.6672854647812192
logistic:leave_out_LR04,0.5,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.748020158387329,0.7214663392402823,0.32231404958677684,0.6842105263157895,0.7587221521647751,0.43820224719101125,0.40459271240409356,0.11983475834141327,1805,574,126,273,0.24682711968960774,0.7648919482396619,0.3542181748251654,1.3939453605097252,2.793848322864483,0.01259899208063355,35,0.01259899208063355,620,845.5,0.6079836892064244,0.5854508536621552,0.5934474561397678,548,0.3026471940333333,0.056451612903225805,5,30,0,0,0.67203787024292,0.2285339113895265,0.5771789849224838,0.6699364964678303
logistic:leave_out_LR04,0.75,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7221022318214543,0.7021620887022095,0.29527991218441274,0.6741854636591479,0.7301387137452712,0.41068702290076337,0.42138133052790044,0.12587419298579444,1737,642,130,269,0.2813703360636248,0.7540293567040762,0.32660574488244065,0.24044607970173623,2.1344397988557593,0.021238300935925127,59,0.021238300935925127,707,957.0,0.5564818004520697,0.5376049620465013,0.5444466653947977,616,0.2934717246390885,0.08345120226308345,8,50,0,1,0.7371788426291964,0.2605988825283418,0.5025323702691271,0.6098654994630169
logistic:leave_out_LR04,0.75,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7483801295896328,0.7206335510908418,0.3222748815165877,0.681704260651629,0.7595628415300546,0.43765084473049076,0.41773309375626577,0.12420792799131554,1807,572,127,272,0.2813703360636248,0.7647750102452432,0.3538344644802097,0.5045798929243882,2.3751224974875584,0.01259899208063355,35,0.01259899208063355,620,845.5,0.5611795414849386,0.5422711183703778,0.5503933817869995,548,0.2623332937275208,0.056451612903225805,5,30,0,0,0.622640120890696,0.25880357270785886,0.49985271483364135,0.6131672236624452
logistic:leave_out_LR04,1.0,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7221022318214543,0.7021620887022095,0.29527991218441274,0.6741854636591479,0.7301387137452712,0.41068702290076337,0.43640886749270336,0.1317142156757711,1737,642,130,269,0.31014611876279624,0.7542253068568857,0.32677256667951804,-0.23455150828149515,1.9082312729628683,0.02087832973362131,58,0.02087832973362131,707,957.0,0.5185196164308994,0.5027897603581598,0.5093438984316172,616,0.2615664809130061,0.08203677510608204,8,49,0,1,0.7134862572320995,0.2842414238365227,0.44198184761537396,0.5630036494046066
