algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR02_pos,soft_violation_LR02
logistic:single_LR02,0.0,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6133909287257019,0.7064824735230257,0.2486969471332837,0.8370927318295739,0.5758722152164775,0.38346727898966704,0.395825257538041,0.11894896582947341,1370,1009,65,334,0.14075511803503238,0.7593610971522965,0.3346097344662093,8.177543611673554,5.715480851711968,0.0183585313174946,51,0.0183585313174946,130,130.0,0.1361452340053491,0.1361452340053491,0.13614523400534911,130,0.006860357973966325,0.3923076923076923,51,0.13614523400534911
logistic:single_LR02,0.0,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6159107271418287,0.6964811145139014,0.24581430745814306,0.8095238095238095,0.5834384195039932,0.37711617046117923,0.39548763288073996,0.1188529424855129,1388,991,76,323,0.14075511803503238,0.7686992807786595,0.3669462263354828,9.342020050892833,6.359396371430544,0.011159107271418287,31,0.011159107271418287,108,108.0,0.13510331695002206,0.13510331695002206,0.13510331695002203,108,0.005650401738360249,0.28703703703703703,31,0.13510331695002203
logistic:single_LR02,0.1,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6162706983441325,0.7071208917628244,0.24981245311327832,0.8345864661654135,0.5796553173602353,0.384526558891455,0.3958180352381364,0.11895961068252568,1379,1000,66,333,0.14045420003946898,0.7597298205581208,0.3351615608725401,8.24535760948461,5.738375070957422,0.0183585313174946,51,0.0183585313174946,130,130.0,0.13489339912991066,0.13489339912991066,0.13489339912991066,130,0.006792362653794087,0.3923076923076923,51,0.13489339912991066
logistic:single_LR02,0.1,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6209503239740821,0.6973376063108592,0.24768518518518517,0.8045112781954887,0.5901639344262295,0.3787610619469027,0.3954879981036139,0.11886501754801901,1404,975,78,321,0.14045420003946898,0.7690774856434909,0.3679326382006134,9.414378652799009,6.382818049333922,0.010439164866810655,29,0.010439164866810655,108,108.0,0.13379203091811256,0.13379203091811256,0.13379203091811254,108,0.005591368607041879,0.26851851851851855,29,0.13379203091811254
logistic:single_LR02,0.25,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6184305255579554,0.7083819258107438,0.2509419743782969,0.8345864661654135,0.582177385456074,0.3858632676709154,0.39581426576561163,0.11897699505437345,1385,994,66,333,0.139635568522353,0.7602923871258642,0.3359384428779175,8.342918928346217,5.770607517768758,0.01655867530597552,46,0.01655867530597552,130,130.0,0.13307523862289186,0.13307523862289186,0.13307523862289186,130,0.0066937893546402776,0.35384615384615387,46,0.13307523862289186
logistic:single_LR02,0.25,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6220302375809935,0.7000540443163394,0.24903623747108714,0.8095238095238095,0.5905842791088692,0.38089622641509435,0.39549555417636983,0.11888452880212337,1405,974,76,323,0.139635568522353,0.7695252212077061,0.36932400989837666,9.517785068749971,6.415360757893488,0.009719222462203024,27,0.009719222462203024,108,108.0,0.13188997098104868,0.13188997098104868,0.13188997098104865,108,0.005505911497872696,0.25,27,0.13188997098104865
logistic:single_LR02,0.5,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6184305255579554,0.7083819258107438,0.2509419743782969,0.8345864661654135,0.582177385456074,0.3858632676709154,0.3958224034705598,0.1190086609898299,1385,994,66,333,0.13812219273250942,0.7610877761869996,0.33697252343661105,8.493145280599885,5.817916645366736,0.014038876889848811,39,0.014038876889848811,130,130.0,0.13019024194987108,0.13019024194987108,0.13019024194987108,130,0.0065378227726413714,0.3,39,0.13019024194987108
logistic:single_LR02,0.5,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6187904967602592,0.6971195327537001,0.2469325153374233,0.8070175438596491,0.5872215216477512,0.37815619495008806,0.39552230488837303,0.11891965855913333,1397,982,77,322,0.13812219273250942,0.7702415981104506,0.3717851890142046,9.675372518579172,6.462019193966882,0.009719222462203024,27,0.009719222462203024,108,108.0,0.1288779480575498,0.1288779480575498,0.1288779480575498,108,0.005371000375213385,0.25,27,0.1288779480575498
logistic:single_LR02,0.75,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6292296616270698,0.707386372615018,0.2540919719407638,0.8170426065162907,0.5977301387137453,0.3876337693222354,0.39584904845594815,0.11904387493128855,1422,957,73,326,0.13772184249088018,0.7616545567365239,0.3382769884943247,8.631001085867979,5.858959576655138,0.01259899208063355,35,0.01259899208063355,130,130.0,0.12747252162459824,0.12747252162459824,0.12747252162459827,130,0.006391392745302259,0.2692307692307692,35,0.12747252162459827
logistic:single_LR02,0.75,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6331893448524119,0.7003116239526939,0.2527910685805423,0.7944862155388471,0.6061370323665406,0.3835450695704779,0.3955673080142439,0.11895825978767231,1442,937,82,317,0.13772184249088018,0.7707188315471317,0.3734394757081634,9.818383515525634,6.501383664591675,0.00827933765298776,23,0.00827933765298776,108,108.0,0.12604773673208508,0.12604773673208508,0.12604773673208508,108,0.005244687689059305,0.21296296296296297,23,0.12604773673208508
