algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR03_neg,soft_violation_LR03
logistic:single_LR03,0.0,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6133909287257019,0.7064824735230257,0.2486969471332837,0.8370927318295739,0.5758722152164775,0.38346727898966704,0.395825257538041,0.11894896582947341,1370,1009,65,334,0.14075511803503238,0.7593610971522965,0.3346097344662093,8.177543611673554,5.715480851711968,0.0,0,0.0,66,66.0,0.7996402922478147,0.7996402922478147,0.7996402922478146,66,0.03827712761763754,0.0,0,0.7996402922478146
logistic:single_LR03,0.0,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6159107271418287,0.6964811145139014,0.24581430745814306,0.8095238095238095,0.5834384195039932,0.37711617046117923,0.39548763288073996,0.1188529424855129,1388,991,76,323,0.14075511803503238,0.7686992807786595,0.3669462263354828,9.342020050892833,6.359396371430544,0.0003599712023038157,1,0.0003599712023038157,51,51.0,0.7998284295605904,0.7998284295605904,0.7998284295605904,51,0.02964469733539307,0.0196078431372549,1,0.7998284295605904
logistic:single_LR03,0.1,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6126709863210943,0.7050191683496256,0.2479523454951601,0.8345864661654135,0.5754518705338377,0.3823191733639495,0.3952792072744612,0.11876398204705284,1369,1010,66,333,0.14225295502619933,0.758932324506095,0.33393172395541987,7.667472799231477,5.470576830068375,0.0,0,0.0,66,66.0,0.7945855002087046,0.7945855002087046,0.7945855002087046,66,0.03769022062206836,0.0,0,0.7945855002087046
logistic:single_LR03,0.1,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6162706983441325,0.695648326364461,0.24561403508771928,0.8070175438596491,0.5842791088692728,0.37660818713450295,0.3949041195003601,0.11865696106558082,1390,989,77,322,0.14225295502619933,0.7684000880722192,0.3660474606723207,8.778998272457168,6.089775510562429,0.0,0,0.0,51,51.0,0.7946668620314077,0.7946668620314077,0.7946668620314078,51,0.02918331939319565,0.0,0,0.7946668620314078
logistic:single_LR03,0.25,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6083513318934485,0.7035400607445473,0.24613117170228446,0.8370927318295739,0.5699873896595208,0.3804100227790433,0.39453212219988665,0.11850185739837396,1356,1023,65,334,0.1441378952366253,0.7583234041387621,0.3329896849665107,6.991513896796873,5.145406422125853,0.0,0,0.0,66,66.0,0.7870189368738942,0.7870189368738942,0.7870189368738942,66,0.03683835418286702,0.0,0,0.7870189368738942
logistic:single_LR03,0.25,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6108711303095752,0.6945816622261833,0.24360902255639097,0.8120300751879699,0.5771332492643968,0.3747831116252169,0.3940993148716836,0.11837751894871358,1373,1006,75,324,0.1441378952366253,0.7680566485570798,0.36490574234843437,8.031740476022511,5.731216031447786,0.0,0,0.0,51,51.0,0.786936338556872,0.786936338556872,0.786936338556872,51,0.0285139052194274,0.0,0,0.786936338556872
logistic:single_LR03,0.5,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6155507559395248,0.7035716656079037,0.24830699774266365,0.8270676691729323,0.5800756620428752,0.3819444444444444,0.39346704284014283,0.11810600999765829,1380,999,69,330,0.14838313438405745,0.7574711263235854,0.33188322229071376,6.056286065574092,4.694053592000499,0.0,0,0.0,66,66.0,0.774508039519376,0.774508039519376,0.774508039519376,66,0.03549460935733806,0.0,0,0.774508039519376
logistic:single_LR03,0.5,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6184305255579554,0.6979523209031406,0.24713083397092578,0.8095238095238095,0.5863808322824716,0.3786635404454865,0.392934856335413,0.11795083705252989,1395,984,76,323,0.14838313438405745,0.7674824935394391,0.3626517056140649,6.99550310778983,5.23228582132389,0.0,0,0.0,51,51.0,0.7741430510336702,0.7741430510336702,0.7741430510336702,51,0.02745835916297374,0.0,0,0.7741430510336702
logistic:single_LR03,0.75,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7523398128149748,0.7041721580116749,0.3186951066499373,0.6365914786967418,0.7717528373266078,0.42474916387959866,0.39260545268845526,0.11775948487444023,1836,543,145,254,0.16729657420909771,0.7566810047396759,0.330736269364665,5.302210071952707,4.328873950274045,0.0,0,0.0,66,66.0,0.7621449174202874,0.7621449174202874,0.7621449174202874,66,0.03423846591440413,0.0,0,0.7621449174202874
logistic:single_LR03,0.75,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7703383729301656,0.7167666960591896,0.340878828229028,0.6416040100250626,0.7919293820933165,0.44521739130434784,0.39197019496187624,0.11757103735952634,1884,495,143,256,0.16729657420909771,0.7670505604069021,0.361287493864634,6.158232682046022,4.827691794345859,0.0,0,0.0,51,51.0,0.761491222530677,0.761491222530677,0.7614912225306769,51,0.0264723132443556,0.0,0,0.7614912225306769
logistic:single_LR03,1.0,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7476601871850252,0.7024828780652768,0.31403940886699505,0.6390977443609023,0.7658680117696511,0.42113955408753095,0.3919245612120856,0.11746002513976819,1822,557,144,255,0.17160493919433673,0.7560299445545348,0.3298320351400058,4.682680514395168,4.027860531918622,0.0,0,0.0,66,66.0,0.7499676177645167,0.7499676177645167,0.7499676177645167,66,0.0330637022805854,0.0,0,0.7499676177645167
logistic:single_LR03,1.0,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7663786897048236,0.7165407212861915,0.3368146214099217,0.6466165413533834,0.7864649012189996,0.4429184549356223,0.39118322713984377,0.11723602789168973,1871,508,141,258,0.17160493919433673,0.7667387257551193,0.36011119450183277,5.469225350822062,4.493581582240021,0.0,0,0.0,51,51.0,0.7490228105119792,0.7490228105119792,0.7490228105119795,51,0.025550800697955237,0.0,0,0.7490228105119795
logistic:single_LR03,1.5,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7422606191504679,0.7024591744177594,0.3097238895558223,0.6466165413533834,0.7583018074821354,0.41883116883116883,0.3910258905253207,0.11699216766221718,1804,575,141,258,0.17979666160652377,0.7549016509327122,0.3284311006623365,3.727415468771217,3.561710907656793,0.0,0,0.0,66,66.0,0.7262644400565308,0.7262644400565308,0.7262644400565308,66,0.030932794929953707,0.0,0,0.7262644400565308
logistic:single_LR03,1.5,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7642188624910007,0.7173656082197928,0.33505154639175255,0.6516290726817042,0.7831021437578815,0.4425531914893617,0.3900654567780311,0.1166908119689152,1863,516,139,260,0.17979666160652377,0.7659970649616895,0.3579405710650329,4.405002683971613,3.9751630790340107,0.0,0,0.0,51,51.0,0.7247440096102608,0.7247440096102608,0.7247440096102608,51,0.023881129286640733,0.0,0,0.7247440096102608
logistic:single_LR03,2.0,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7415406767458603,0.7030817902258799,0.3094384707287933,0.6491228070175439,0.757040773434216,0.4190938511326861,0.3906344372883778,0.11668209405085064,1801,578,140,259,0.1879055628761222,0.7539914308680487,0.3272757716764045,3.0279009669336814,3.2185328592552027,0.0,0,0.0,66,66.0,0.7035663056894038,0.7035663056894038,0.7035663056894039,66,0.029058164110266797,0.0,0,0.7035663056894039
logistic:single_LR03,2.0,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7631389488840893,0.7167350911958332,0.3337612323491656,0.6516290726817042,0.7818411097099621,0.44142614601018676,0.38944876557588654,0.11629609645886561,1860,519,139,260,0.1879055628761222,0.7653112394268563,0.3560706321160566,3.624494871316245,3.5928084178991186,0.0,0,0.0,51,51.0,0.7014974571562842,0.7014974571562842,0.7014974571562842,51,0.022414572126702986,0.0,0,0.7014974571562842
