algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
neural:control_column_permuted,0.0,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7037437005039597,0.7331617189253082,0.2965451055662188,0.7744360902255639,0.6918873476250526,0.42886884108258155,0.3401498941990284,0.10336897278034907,1646,733,90,309,0.11813894162575404,0.7923144346785417,0.3945487977180163,-0.04559101436130201,0.9704074759332653,0.025557955363570913,71,0.025557955363570913,722,972.0,0.5839432546126672,0.5586426618482336,0.5604647191040159,629,0.376263957132521,0.09833795013850416,9,20,5,6,31,0.9163113160228189,0.07331812889434587,0.6624883955833738,0.7666202170153459,0.6570113665163517
neural:control_column_permuted,0.0,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7210223182145429,0.7296915049287784,0.30578512396694213,0.7418546365914787,0.7175283732660782,0.43306510607168985,0.3266836116287911,0.09706227171673955,1707,672,103,296,0.11813894162575404,0.8034056347257382,0.486491531883908,0.24593559239224297,1.1007906954987479,0.02159827213822894,62,0.022318214542836574,639,864.5,0.6017590767181642,0.5774755367074486,0.5790998315232556,566,0.3561499097824015,0.09702660406885759,6,14,8,8,26,0.8299908118632933,0.06551574417792355,0.6984573519892162,0.8201171990091863,0.6705714140434289
neural:control_column_permuted,0.1,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7120230381569475,0.7306949593403433,0.3004975124378109,0.7568922305764411,0.7044976881042455,0.4301994301994302,0.34417125372559426,0.10364559642506918,1676,703,97,302,0.14635170996189117,0.7927205571726711,0.3990611450591895,0.0028513687130201737,1.1588903569808795,0.02663786897048236,74,0.02663786897048236,722,972.0,0.576585504697158,0.5523606810051456,0.55428639699237,629,0.3590153119087097,0.10249307479224377,9,14,5,6,40,0.8897979597024844,0.0942737076144952,0.6472061314065047,0.7181366470952828,0.6465467955196897
neural:control_column_permuted,0.1,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7325413966882649,0.7353740593602544,0.3158458244111349,0.7393483709273183,0.7313997477931904,0.4426106526631658,0.3306279711433669,0.0976617407252507,1740,639,104,295,0.14635170996189117,0.8035773544833079,0.48848772754100644,0.3222635920751076,1.3271103012957772,0.02591792656587473,74,0.02663786897048236,639,864.5,0.5934160875800385,0.569968496143709,0.571726581586665,566,0.3380971706843053,0.11580594679186229,6,11,8,6,43,0.8007057482997577,0.0868850176303107,0.6802717045290407,0.7646681770290198,0.659859595020458
neural:control_column_permuted,0.25,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7314614830813535,0.7326576213547741,0.3140407288317256,0.7343358395989975,0.7309794031105507,0.43993993993993996,0.35857988935144675,0.10654176726616814,1739,640,106,293,0.18450352549552917,0.7908458620279154,0.40118667871269315,-0.14610888129633973,1.29234406017016,0.032397408207343416,90,0.032397408207343416,722,972.0,0.5528693843124478,0.5314236300501246,0.5327695787935552,629,0.32655507763938885,0.12465373961218837,9,12,5,5,59,0.8465696200728416,0.13218681384355593,0.6121628786427806,0.6257465316189659,0.6148047226220369
neural:control_column_permuted,0.25,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7512598992080634,0.735873416201285,0.3306264501160093,0.7142857142857143,0.7574611181168558,0.4520222045995242,0.34315761279356566,0.09965948227381466,1802,577,114,285,0.18450352549552917,0.8009467763566124,0.4861893738542121,0.17923129421054765,1.4985239847977363,0.032397408207343416,92,0.03311735061195104,639,864.5,0.5691312780524406,0.5483276838253082,0.5490884005703721,566,0.3073440708133669,0.14397496087636932,6,8,7,3,68,0.7708611711859703,0.12436386518594292,0.6500390232631973,0.6749626737937594,0.6280824829798801
neural:control_column_permuted,0.5,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.750179985601152,0.7289851362327635,0.32708089097303633,0.6992481203007519,0.7587221521647751,0.44568690095846647,0.39138389005086854,0.11561066492861578,1805,574,120,279,0.2549448162317276,0.7886830358788944,0.39314308949013754,-0.2810073999824263,1.5687176955823117,0.035277177825773935,98,0.035277177825773935,722,972.0,0.5327579977785446,0.5154935094912296,0.5155991424990509,629,0.2940594732097705,0.13573407202216067,9,10,2,6,71,0.7786398046847546,0.18537712616798205,0.5828312372769971,0.649764530857404,0.5826178399523099
neural:control_column_permuted,0.5,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7757379409647228,0.7376496095219132,0.35454545454545455,0.6842105263157895,0.791088692728037,0.46706586826347307,0.37659449137632445,0.10878743753206631,1882,497,126,273,0.2549448162317276,0.7963514292245957,0.4797053794577408,0.03967293989802689,1.8357781815451844,0.040676745860331175,114,0.04103671706263499,639,864.5,0.5472282565755262,0.5303859529500836,0.5304578922073407,566,0.2746294091408721,0.1784037558685446,5,8,6,6,89,0.7115359306335449,0.17756327471615357,0.6150281355758898,0.680715173482895,0.5949543409066032
neural:control_column_permuted,0.75,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7548596112311015,0.7296314556884014,0.33133971291866027,0.6942355889724311,0.7650273224043715,0.448582995951417,0.4194092883644004,0.12485361415676353,1820,559,122,277,0.2906699776649475,0.7835230151882439,0.3892047000059991,-0.33961555443582286,1.8205847369672625,0.0367170626349892,103,0.037077033837293015,722,972.0,0.5232784489734388,0.508082510265397,0.5081926093966354,629,0.28020241045632543,0.14265927977839335,10,7,3,6,77,0.7343004341378357,0.21840475625716724,0.5631856634610831,0.6408823702070447,0.5671643199622631
neural:control_column_permuted,0.75,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7760979121670266,0.7336879399001919,0.35348226018396844,0.6741854636591479,0.7931904161412359,0.46379310344827585,0.40585507598076875,0.11849897242828951,1887,492,130,269,0.2906699776649475,0.7923892328551518,0.47716484339523435,-0.022009869829657,2.1397095341906383,0.040676745860331175,114,0.04103671706263499,639,864.5,0.5360517015711912,0.521234738061872,0.5214513994549013,566,0.26021987867084434,0.1784037558685446,5,5,5,8,91,0.6759810368220012,0.21062187133011998,0.5923339889622201,0.6661892073196278,0.5780385737771998
