algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
neural:control_permuted,0.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7037437005039597,0.7331617189253082,0.2965451055662188,0.7744360902255639,0.6918873476250526,0.42886884108258155,0.3401498941990284,0.10336897278034907,1646,733,90,309,0.11813894162575404,0.7923144346785417,0.3945487977180163,-0.04559101436130201,0.9704074759332653,0.025557955363570913,71,0.025557955363570913,722,972.0,0.5839432546126672,0.5586426618482336,0.5604647191040159,629,0.376263957132521,0.09833795013850416,9,20,5,6,31,0.9163113160228189,0.07331812889434587,0.6624883955833738,0.7666202170153459,0.6570113665163517
neural:control_permuted,0.0,test,baseline_common_threshold,lambda_0_validation,2778,0.7210223182145429,0.7296915049287784,0.30578512396694213,0.7418546365914787,0.7175283732660782,0.43306510607168985,0.3266836116287911,0.09706227171673955,1707,672,103,296,0.11813894162575404,0.8034056347257382,0.486491531883908,0.24593559239224297,1.1007906954987479,0.02159827213822894,62,0.022318214542836574,639,864.5,0.6017590767181642,0.5774755367074486,0.5790998315232556,566,0.3561499097824015,0.09702660406885759,6,14,8,8,26,0.8299908118632933,0.06551574417792355,0.6984573519892162,0.8201171990091863,0.6705714140434289
neural:control_permuted,0.1,validation,baseline_common_threshold,lambda_0_validation,2778,0.6335493160547156,0.7099084407108566,0.25649095200629424,0.8170426065162907,0.6027742749054225,0.3904191616766467,0.3448071234657236,0.1040382966982918,1434,945,73,326,0.11813894162575404,0.7913515398416175,0.3923926642586807,-0.03657982168110616,1.1412660630730853,0.021238300935925127,59,0.021238300935925127,722,972.0,0.5746182326485488,0.5511427007749718,0.5524116028295697,629,0.3551289685080546,0.0817174515235457,9,32,4,4,10,0.8892736315275683,0.10061878813191866,0.6513690981976313,0.7242955149875747,0.6424155686994393
neural:control_permuted,0.1,test,baseline_common_threshold,lambda_0_validation,2778,0.6490280777537797,0.7126880884430495,0.2631578947368421,0.8020050125313283,0.6233711643547709,0.39628482972136225,0.33097340313941537,0.09783725218097356,1483,896,79,320,0.11813894162575404,0.8031549028097776,0.48210002980543076,0.2745116474363931,1.305167826739722,0.017278617710583154,50,0.017998560115190784,639,864.5,0.5914713754892315,0.5687929949974354,0.5700048529583883,566,0.33471254649993376,0.0782472613458529,5,23,8,5,9,0.7914014421403408,0.09371652356406421,0.6846552878082576,0.7773339234031083,0.6557351676588886
neural:control_permuted,0.25,validation,baseline_common_threshold,lambda_0_validation,2778,0.46724262059035276,0.6545272386514837,0.20187534473248758,0.9172932330827067,0.3917612442202606,0.3309222423146474,0.3588059725905628,0.10672717717743306,932,1447,33,366,0.11813894162575404,0.7904486942450704,0.3931637978636853,-0.08922961942842725,1.3264098516848397,0.03095752339812815,86,0.03095752339812815,722,972.0,0.5612387030752087,0.5403677223547811,0.5408942106934385,629,0.3326296686103063,0.11911357340720222,9,72,3,1,1,0.8696466503721294,0.1355014197432842,0.6383405510298532,0.671778250237306,0.6215140953958035
neural:control_permuted,0.25,test,baseline_common_threshold,lambda_0_validation,2778,0.46760259179265656,0.646393727066721,0.19933184855233854,0.8972431077694235,0.3955443463640185,0.3261958997722096,0.34430362261668845,0.10014552411966134,941,1438,41,358,0.11813894162575404,0.8014735240792186,0.4820516167498316,0.22972732703365656,1.530356032307751,0.023038156947444204,64,0.023038156947444204,639,864.5,0.5759758288293921,0.5558225275675611,0.5560057422483753,566,0.3112295546141458,0.10015649452269171,3,52,5,2,2,0.7920959492524464,0.12886327047498872,0.6724664065621646,0.7113472559211548,0.6330842967065986
neural:control_permuted,0.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.14362850971922247,0.5,0.14362850971922247,1.0,0.0,0.251180358829084,0.3911450346378578,0.11543284406976352,0,2379,0,399,0.11813894162575404,0.7880193337484105,0.38851192160711384,-0.18254435368977884,1.6348241359435556,0.04679625629949604,130,0.04679625629949604,722,972.0,0.5470227355901432,0.5302432927708052,0.5303380288148154,629,0.3057069659573295,0.18005540166204986,0,130,0,0,0,0.8172551411570925,0.20033617157202502,0.616559463656611,0.6245560463931826,0.5954817664523919
neural:control_permuted,0.5,test,baseline_common_threshold,lambda_0_validation,2778,0.14362850971922247,0.49895703950923964,0.14337175792507204,0.9974937343358395,0.0004203446826397646,0.25070866141732284,0.37734965020554184,0.10900110961727881,1,2378,1,398,0.11813894162575404,0.7971752626627518,0.477317874319988,0.1375203781284132,1.9017393498385902,0.03923686105111591,109,0.03923686105111591,639,864.5,0.5593976816368949,0.5429438610517955,0.5428165811181555,566,0.2832565849694661,0.1705790297339593,0,108,1,0,0,0.7427645149330298,0.19356713533677436,0.6437248320507457,0.6558909413584492,0.6060229204567555
neural:control_permuted,0.75,validation,baseline_common_threshold,lambda_0_validation,2778,0.14362850971922247,0.5,0.14362850971922247,1.0,0.0,0.251180358829084,0.42078337194478205,0.12570641493752746,0,2379,0,399,0.11813894162575404,0.7843099762858176,0.3831677415268769,-0.470519705762977,1.714773629756542,0.04679625629949604,130,0.04679625629949604,722,972.0,0.5200450834249681,0.5072358166515166,0.5062233892533058,629,0.2782694537561161,0.18005540166204986,0,130,0,0,0,0.7998419241471724,0.24008345288726,0.5825905738906427,0.6163365847534604,0.5570382458666961
neural:control_permuted,0.75,test,baseline_common_threshold,lambda_0_validation,2778,0.14398848092152627,0.5002101723413199,0.14368023046453007,1.0,0.0004203446826397646,0.2512594458438287,0.40605717645225065,0.11867657389231989,1,2378,0,399,0.11813894162575404,0.7956677106806528,0.4787334989832866,-0.19266971261705634,2.0049048270994763,0.03923686105111591,109,0.03923686105111591,639,864.5,0.5314531335515601,0.5189612128994834,0.5177919813548547,566,0.25695683197967645,0.1705790297339593,0,108,1,0,0,0.726455827554067,0.23435196478241757,0.6115775563650662,0.6421658616316946,0.5668515251111033
