algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
neural:control_permuted,0.0,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7037437005039597,0.7331617189253082,0.2965451055662188,0.7744360902255639,0.6918873476250526,0.42886884108258155,0.3401498941990284,0.10336897278034907,1646,733,90,309,0.11813894162575404,0.7923144346785417,0.3945487977180163,-0.04559101436130201,0.9704074759332653,0.025557955363570913,71,0.025557955363570913,722,972.0,0.5839432546126672,0.5586426618482336,0.5604647191040159,629,0.376263957132521,0.09833795013850416,9,20,5,6,31,0.9163113160228189,0.07331812889434587,0.6624883955833738,0.7666202170153459,0.6570113665163517
neural:control_permuted,0.0,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7210223182145429,0.7296915049287784,0.30578512396694213,0.7418546365914787,0.7175283732660782,0.43306510607168985,0.3266836116287911,0.09706227171673955,1707,672,103,296,0.11813894162575404,0.8034056347257382,0.486491531883908,0.24593559239224297,1.1007906954987479,0.02159827213822894,62,0.022318214542836574,639,864.5,0.6017590767181642,0.5774755367074486,0.5790998315232556,566,0.3561499097824015,0.09702660406885759,6,14,8,8,26,0.8299908118632933,0.06551574417792355,0.6984573519892162,0.8201171990091863,0.6705714140434289
neural:control_permuted,0.1,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7275017998560115,0.7345175675632967,0.3119747899159664,0.7443609022556391,0.7246742328709542,0.4396743153219837,0.3448071234657236,0.1040382966982918,1724,655,102,297,0.1551774094502131,0.7913515398416175,0.3923926642586807,-0.03657982168110616,1.1412660630730853,0.03131749460043196,89,0.032037437005039596,722,972.0,0.5746182326485488,0.5511427007749718,0.5524116028295697,629,0.3551289685080546,0.12326869806094183,9,12,7,6,55,0.8892736315275683,0.10061878813191866,0.6513690981976313,0.7242955149875747,0.6424155686994393
neural:control_permuted,0.1,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7505399568034558,0.7364960320094056,0.3302540415704388,0.7167919799498746,0.7562000840689366,0.45217391304347826,0.33097340313941537,0.09783725218097356,1799,580,113,286,0.1551774094502131,0.8031549028097776,0.48210002980543076,0.2745116474363931,1.305167826739722,0.03275737940964723,93,0.03347732181425486,639,864.5,0.5914713754892315,0.5687929949974354,0.5700048529583883,566,0.33471254649993376,0.14553990610328638,6,10,8,7,62,0.7914014421403408,0.09371652356406421,0.6846552878082576,0.7773339234031083,0.6557351676588886
neural:control_permuted,0.25,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7329013678905687,0.7366271921923345,0.3165775401069519,0.7418546365914787,0.7313997477931904,0.44377811094452774,0.3588059725905628,0.10672717717743306,1740,639,103,296,0.18797115484873453,0.7904486942450704,0.3931637978636853,-0.08922961942842725,1.3264098516848397,0.03419726421886249,98,0.035277177825773935,722,972.0,0.5612387030752087,0.5403677223547811,0.5408942106934385,629,0.3326296686103063,0.13573407202216067,9,11,10,5,63,0.8696466503721294,0.1355014197432842,0.6383405510298532,0.671778250237306,0.6215140953958035
neural:control_permuted,0.25,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7516198704103672,0.729825825598043,0.3286219081272085,0.6992481203007519,0.7604035308953342,0.44711538461538464,0.34430362261668845,0.10014552411966134,1809,570,120,279,0.18797115484873453,0.8014735240792186,0.4820516167498316,0.22972732703365656,1.530356032307751,0.037077033837293015,106,0.03815694744420446,639,864.5,0.5759758288293921,0.5558225275675611,0.5560057422483753,566,0.3112295546141458,0.16588419405320814,6,8,10,6,76,0.7920959492524464,0.12886327047498872,0.6724664065621646,0.7113472559211548,0.6330842967065986
neural:control_permuted,0.5,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7267818574514039,0.7372261043529378,0.3125,0.7518796992481203,0.7225725094577553,0.44150110375275936,0.3911450346378578,0.11543284406976352,1719,660,99,300,0.23601663609345755,0.7880193337484105,0.38851192160711384,-0.18254435368977884,1.6348241359435556,0.032397408207343416,93,0.03347732181425486,722,972.0,0.5470227355901432,0.5302432927708052,0.5303380288148154,629,0.3057069659573295,0.12880886426592797,9,15,11,5,53,0.8172551411570925,0.20033617157202502,0.616559463656611,0.6245560463931826,0.5954817664523919
neural:control_permuted,0.5,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7415406767458603,0.7239410000410864,0.3181299885974915,0.6992481203007519,0.7486338797814208,0.4373040752351097,0.37734965020554184,0.10900110961727881,1781,598,120,279,0.23601663609345755,0.7971752626627518,0.477317874319988,0.1375203781284132,1.9017393498385902,0.03311735061195104,96,0.03455723542116631,639,864.5,0.5593976816368949,0.5429438610517955,0.5428165811181555,566,0.2832565849694661,0.15023474178403756,6,11,11,4,64,0.7427645149330298,0.19356713533677436,0.6437248320507457,0.6558909413584492,0.6060229204567555
neural:control_permuted,0.75,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7325413966882649,0.7353740593602544,0.3158458244111349,0.7393483709273183,0.7313997477931904,0.4426106526631658,0.42078337194478205,0.12570641493752746,1740,639,104,295,0.2825009723504384,0.7843099762858176,0.3831677415268769,-0.470519705762977,1.714773629756542,0.03851691864650828,111,0.03995680345572354,722,972.0,0.5200450834249681,0.5072358166515166,0.5062233892533058,629,0.2782694537561161,0.15373961218836565,10,15,12,6,68,0.7998419241471724,0.24008345288726,0.5825905738906427,0.6163365847534604,0.5570382458666961
neural:control_permuted,0.75,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7494600431965442,0.7243929495870824,0.3246753246753247,0.6892230576441103,0.7595628415300546,0.44141252006420545,0.40605717645225065,0.11867657389231989,1807,572,124,275,0.2825009723504384,0.7956677106806528,0.4787334989832866,-0.19266971261705634,2.0049048270994763,0.040316774658027354,116,0.04175665946724262,639,864.5,0.5314531335515601,0.5189612128994834,0.5177919813548547,566,0.25695683197967645,0.18153364632237873,6,12,11,5,82,0.726455827554067,0.23435196478241757,0.6115775563650662,0.6421658616316946,0.5668515251111033
