algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
neural:control_reversed,0.0,validation,fixed_threshold_0.5,prespecified,2778,0.8603311735061195,0.5680184066724188,0.5478260869565217,0.15789473684210525,0.9781420765027322,0.245136186770428,0.3401498941990284,0.10336897278034907,2327,52,336,63,0.5,0.7923144346785417,0.3945487977180163,-0.04559101436130201,0.9704074759332653,0.1627069834413247,505,0.18178545716342692,722,972.0,0.5839432546126672,0.5586426618482336,0.5604647191040159,629,0.376263957132521,0.6994459833795014,11,0,64,14,416,0.9163113160228189,0.07331812889434587,0.6624883955833738,0.7666202170153459,0.6570113665163517
neural:control_reversed,0.0,test,fixed_threshold_0.5,prespecified,2778,0.8740100791936645,0.5906064025132187,0.7333333333333333,0.19298245614035087,0.9882303488860866,0.3055555555555556,0.3266836116287911,0.09706227171673955,2351,28,322,77,0.5,0.8034056347257382,0.486491531883908,0.24593559239224297,1.1007906954987479,0.14578833693304535,445,0.160187185025198,639,864.5,0.6017590767181642,0.5774755367074486,0.5790998315232556,566,0.3561499097824015,0.6964006259780907,10,0,47,19,369,0.8299908118632933,0.06551574417792355,0.6984573519892162,0.8201171990091863,0.6705714140434289
neural:control_reversed,0.1,validation,fixed_threshold_0.5,prespecified,2778,0.8570914326853851,0.5275373174424081,0.52,0.06516290726817042,0.9899117276166457,0.11581291759465479,0.3407018800782497,0.10348431696761133,2355,24,373,26,0.5,0.7918171848284014,0.39881980515161053,0.18760301817848923,1.0975923359533493,0.18430525557955363,567,0.2041036717062635,722,972.0,0.6239287919404473,0.5991115488227206,0.6013127885250947,629,0.4071416927031599,0.7853185595567868,11,0,66,15,475,0.9266067818936072,0.1203308511716433,0.7162369772076908,0.776714497928818,0.6956009900644422
neural:control_reversed,0.1,test,fixed_threshold_0.5,prespecified,2778,0.8642908567314614,0.539041487704128,0.75,0.08270676691729323,0.9953762084909626,0.1489841986455982,0.3291854123774054,0.09864950104222851,2368,11,366,33,0.5,0.8059003119400012,0.4796298588268843,0.5149261449332199,1.2466511511448422,0.16558675305975523,504,0.18142548596112312,639,864.5,0.6402009978067364,0.616559284062445,0.6185537563939661,566,0.3824764823893235,0.7887323943661971,10,0,51,19,424,0.8578576250622671,0.11724304966628553,0.7447350233720214,0.8323321333318426,0.7071945901907821
neural:control_reversed,0.25,validation,fixed_threshold_0.5,prespecified,2778,0.8560115190784737,0.506047590603242,0.46153846153846156,0.015037593984962405,0.9970575872215216,0.02912621359223301,0.3470574369611945,0.10582751158131393,2372,7,393,6,0.5,0.7822988534809069,0.37609252182647773,0.3199823968981724,1.1632716230542766,0.1929445644348452,591,0.21274298056155508,722,972.0,0.665778508156267,0.6425277600684035,0.6467318761406765,629,0.44102367848109214,0.8185595567867036,11,0,66,15,499,0.9070067641071298,0.2006182806232037,0.7522913364298416,0.782201957454284,0.7329266686340173
neural:control_reversed,0.25,test,fixed_threshold_0.5,prespecified,2778,0.8578113750899928,0.5091843732913621,0.6666666666666666,0.020050125313283207,0.9983186212694409,0.038929440389294405,0.33670700233450795,0.10168508620698949,2375,4,391,8,0.5,0.7995867137368431,0.4588219518141129,0.652919476448181,1.3178604290577338,0.1745860331173506,529,0.1904247660187185,639,864.5,0.6788729552272222,0.6570949820499433,0.6608193189456705,566,0.4103192745916849,0.8278560250391236,10,0,51,19,449,0.8615080195168655,0.20106045589034935,0.7748458187028864,0.8438418324579273,0.7405852605943228
neural:control_reversed,0.5,validation,fixed_threshold_0.5,prespecified,2778,0.8570914326853851,0.507721068117962,0.5833333333333334,0.017543859649122806,0.9978982765868012,0.0340632603406326,0.35846567503843285,0.11013118650149938,2374,5,392,7,0.5,0.7617082850042298,0.3227290779794208,0.20544930784665955,1.0426548922373229,0.19330453563714903,592,0.21310295176385888,722,972.0,0.7165725013210511,0.6957956485214641,0.702417501025181,629,0.5037688125707166,0.8199445983379502,11,1,66,14,500,0.9011201357864068,0.30215218109198105,0.8020096863102583,0.7967791864855422,0.7765760522062579
neural:control_reversed,0.5,test,fixed_threshold_0.5,prespecified,2778,0.8567314614830813,0.5054249747951215,0.5555555555555556,0.012531328320802004,0.9983186212694409,0.024509803921568627,0.3472678500169398,0.10590616178856964,2375,4,394,5,0.5,0.7850295136748977,0.39551526782107954,0.5540916560191949,1.2029523281289891,0.17566594672426206,532,0.19150467962562995,639,864.5,0.7271211441324031,0.7077058394685831,0.7132321526397201,566,0.46496446637836236,0.8325508607198748,10,1,51,19,451,0.8836009286964932,0.300095966062796,0.8201397971852736,0.8634806725343591,0.782138348922563
neural:control_reversed,0.75,validation,fixed_threshold_0.5,prespecified,2778,0.8563714902807775,0.5125155258891239,0.5,0.03007518796992481,0.9949558638083228,0.05673758865248227,0.3703589585961805,0.11459795438788391,2367,12,387,12,0.5,0.7496826344971297,0.29022277007273034,-0.009897244066367739,0.8859108993276613,0.19402447804175665,594,0.21382289416846653,722,972.0,0.7587605820871656,0.7392440970612145,0.7487764586827302,629,0.5716294591251265,0.8227146814404432,11,3,66,14,500,0.8962615527438395,0.3775500234885094,0.8387820071945287,0.79147666990757,0.8151241908421119
neural:control_reversed,0.75,test,fixed_threshold_0.5,prespecified,2778,0.8578113750899928,0.512313254763643,0.6111111111111112,0.02756892230576441,0.9970575872215216,0.05275779376498801,0.35985416143173904,0.11062243368067831,2372,7,388,11,0.5,0.7706408728841861,0.331532528699568,0.2880664784816536,1.013122656338022,0.17602591792656588,533,0.19186465082793377,639,864.5,0.7686400897312549,0.7504425669510654,0.7581578745440573,566,0.5283301770543423,0.8341158059467919,10,3,51,18,451,0.891423569371303,0.37815445183235924,0.8595466974611375,0.843573033564577,0.8202064624875344
