algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
neural:control_reversed,0.0,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7037437005039597,0.7331617189253082,0.2965451055662188,0.7744360902255639,0.6918873476250526,0.42886884108258155,0.3401498941990284,0.10336897278034907,1646,733,90,309,0.11813894162575404,0.7923144346785417,0.3945487977180163,-0.04559101436130201,0.9704074759332653,0.025557955363570913,71,0.025557955363570913,722,972.0,0.5839432546126672,0.5586426618482336,0.5604647191040159,629,0.376263957132521,0.09833795013850416,9,20,5,6,31,0.9163113160228189,0.07331812889434587,0.6624883955833738,0.7666202170153459,0.6570113665163517
neural:control_reversed,0.0,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7210223182145429,0.7296915049287784,0.30578512396694213,0.7418546365914787,0.7175283732660782,0.43306510607168985,0.3266836116287911,0.09706227171673955,1707,672,103,296,0.11813894162575404,0.8034056347257382,0.486491531883908,0.24593559239224297,1.1007906954987479,0.02159827213822894,62,0.022318214542836574,639,864.5,0.6017590767181642,0.5774755367074486,0.5790998315232556,566,0.3561499097824015,0.09702660406885759,6,14,8,8,26,0.8299908118632933,0.06551574417792355,0.6984573519892162,0.8201171990091863,0.6705714140434289
neural:control_reversed,0.1,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6940244780417567,0.7347877891449937,0.2917820867959372,0.7919799498746867,0.6775956284153005,0.42645074224021595,0.3407018800782497,0.10348431696761133,1612,767,83,316,0.11904014398654301,0.7918171848284014,0.39881980515161053,0.18760301817848923,1.0975923359533493,0.03779697624190065,106,0.03815694744420446,722,972.0,0.6239287919404473,0.5991115488227206,0.6013127885250947,629,0.4071416927031599,0.14681440443213298,9,61,7,5,24,0.9266067818936072,0.1203308511716433,0.7162369772076908,0.776714497928818,0.6956009900644422
neural:control_reversed,0.1,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7156227501799856,0.7275818802997405,0.3015228426395939,0.7443609022556391,0.7108028583438419,0.4291907514450867,0.3291854123774054,0.09864950104222851,1691,688,102,297,0.11904014398654301,0.8059003119400012,0.4796298588268843,0.5149261449332199,1.2466511511448422,0.03851691864650828,109,0.03923686105111591,639,864.5,0.6402009978067364,0.616559284062445,0.6185537563939661,566,0.3824764823893235,0.1705790297339593,6,48,8,8,39,0.8578576250622671,0.11724304966628553,0.7447350233720214,0.8323321333318426,0.7071945901907821
neural:control_reversed,0.25,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6760259179265659,0.7242791720789995,0.27890556045895853,0.7919799498746867,0.6565783942833123,0.412532637075718,0.3470574369611945,0.10582751158131393,1562,817,83,316,0.1254630188147227,0.7822988534809069,0.37609252182647773,0.3199823968981724,1.1632716230542766,0.06335493160547156,177,0.06371490280777538,722,972.0,0.665778508156267,0.6425277600684035,0.6467318761406765,629,0.44102367848109214,0.2451523545706371,7,125,5,6,34,0.9070067641071298,0.2006182806232037,0.7522913364298416,0.782201957454284,0.7329266686340173
neural:control_reversed,0.25,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7048236141108711,0.7296203939862267,0.29582929194956353,0.7644110275689223,0.694829760403531,0.42657342657342656,0.33670700233450795,0.10168508620698949,1653,726,94,305,0.1254630188147227,0.7995867137368431,0.4588219518141129,0.652919476448181,1.3178604290577338,0.06227501799856012,175,0.06299496040316775,639,864.5,0.6788729552272222,0.6570949820499433,0.6608193189456705,566,0.4103192745916849,0.27386541471048514,6,102,8,9,50,0.8615080195168655,0.20106045589034935,0.7748458187028864,0.8438418324579273,0.7405852605943228
neural:control_reversed,0.5,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.660187185025198,0.7139886285701644,0.2680851063829787,0.7894736842105263,0.6385035729298024,0.40025412960609913,0.35846567503843285,0.11013118650149938,1519,860,84,315,0.11298054208358128,0.7617082850042298,0.3227290779794208,0.20544930784665955,1.0426548922373229,0.07703383729301656,216,0.07775377969762419,722,972.0,0.7165725013210511,0.6957956485214641,0.702417501025181,629,0.5037688125707166,0.29916897506925205,7,130,9,6,64,0.9011201357864068,0.30215218109198105,0.8020096863102583,0.7967791864855422,0.7765760522062579
neural:control_reversed,0.5,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6893448524118071,0.718497062327951,0.28317757009345795,0.7593984962406015,0.6775956284153005,0.41252552756977534,0.3472678500169398,0.10590616178856964,1612,767,96,303,0.11298054208358128,0.7850295136748977,0.39551526782107954,0.5540916560191949,1.2029523281289891,0.07415406767458603,214,0.07703383729301656,639,864.5,0.7271211441324031,0.7077058394685831,0.7132321526397201,566,0.46496446637836236,0.3348982785602504,4,108,14,10,78,0.8836009286964932,0.300095966062796,0.8201397971852736,0.8634806725343591,0.782138348922563
neural:control_reversed,0.75,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6853851691864651,0.70888444313811,0.2774133083411434,0.7418546365914787,0.6759142496847415,0.4038199181446112,0.3703589585961805,0.11459795438788391,1608,771,103,296,0.12139930079380672,0.7496826344971297,0.29022277007273034,-0.009897244066367739,0.8859108993276613,0.09431245500359971,270,0.09719222462203024,722,972.0,0.7587605820871656,0.7392440970612145,0.7487764586827302,629,0.5716294591251265,0.3739612188365651,7,130,15,6,112,0.8962615527438395,0.3775500234885094,0.8387820071945287,0.79147666990757,0.8151241908421119
neural:control_reversed,0.75,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7192224622030238,0.7140391963515346,0.2984126984126984,0.706766917293233,0.7213114754098361,0.41964285714285715,0.35985416143173904,0.11062243368067831,1716,663,117,282,0.12139930079380672,0.7706408728841861,0.331532528699568,0.2880664784816536,1.013122656338022,0.09323254139668827,274,0.09863210943124551,639,864.5,0.7686400897312549,0.7504425669510654,0.7581578745440573,566,0.5283301770543423,0.4287949921752739,7,108,21,10,128,0.891423569371303,0.37815445183235924,0.8595466974611375,0.843573033564577,0.8202064624875344
