algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
neural:leave_out_LR02,0.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7037437005039597,0.7331617189253082,0.2965451055662188,0.7744360902255639,0.6918873476250526,0.42886884108258155,0.3401498941990284,0.10336897278034907,1646,733,90,309,0.11813894162575404,0.7923144346785417,0.3945487977180163,-0.04559101436130201,0.9704074759332653,0.0183585313174946,51,0.0183585313174946,592,842.0,0.6627808630964938,0.6652173059090536,0.6687953223715393,537,0.3726131150272903,0.08614864864864864,9,5,6,31,0.9163113160228189,0.6624883955833738,0.7666202170153459,0.6570113665163517
neural:leave_out_LR02,0.0,test,baseline_common_threshold,lambda_0_validation,2778,0.7210223182145429,0.7296915049287784,0.30578512396694213,0.7418546365914787,0.7175283732660782,0.43306510607168985,0.3266836116287911,0.09706227171673955,1707,672,103,296,0.11813894162575404,0.8034056347257382,0.486491531883908,0.24593559239224297,1.1007906954987479,0.01655867530597552,48,0.017278617710583154,531,756.5,0.6783146350980002,0.6816029521371827,0.6834584296758119,487,0.35346906272601514,0.0903954802259887,6,8,8,26,0.8299908118632933,0.6984573519892162,0.8201171990091863,0.6705714140434289
neural:leave_out_LR02,0.1,validation,baseline_common_threshold,lambda_0_validation,2778,0.6756659467242621,0.7261549207192002,0.27943760984182775,0.7969924812030075,0.655317360235393,0.41379310344827586,0.3431601533708539,0.1046744067521689,1559,820,81,318,0.11813894162575404,0.7908595574687033,0.39971789052159673,-0.29980840446202883,0.9069057983542737,0.005759539236861051,16,0.005759539236861051,592,842.0,0.5841395926152254,0.5863167283519566,0.592496272599675,537,0.29156681458238304,0.02702702702702703,9,0,5,2,0.8816581193470593,0.5624630422980496,0.7191090323030949,0.578984135190646
neural:leave_out_LR02,0.1,test,baseline_common_threshold,lambda_0_validation,2778,0.6886249100071994,0.7264204015713938,0.2858455882352941,0.7794486215538847,0.6733921815889029,0.4182918628110289,0.32654533815276565,0.09697663464374301,1602,777,88,311,0.11813894162575404,0.8048457629993436,0.4872247593543134,-0.039016015408341646,1.0362747647008967,0.006119510439164867,17,0.006119510439164867,531,756.5,0.5999606085362992,0.6028696415841823,0.6079926848409011,487,0.2745008628835509,0.032015065913371,4,5,6,2,0.7721389590452115,0.5923243325228005,0.7737372515298295,0.5931105129778694
neural:leave_out_LR02,0.25,validation,baseline_common_threshold,lambda_0_validation,2778,0.6706263498920086,0.7200836264684409,0.27486910994764396,0.7894736842105263,0.6506935687263556,0.4077669902912621,0.35411296843202866,0.10959387125637622,1548,831,84,315,0.11813894162575404,0.7868267769044301,0.3908074218957202,-0.5592706373469384,0.8054056129120665,0.003599712023038157,10,0.003599712023038157,592,842.0,0.502351594233468,0.5039993983290687,0.5123380002242524,537,0.22674511078650986,0.016891891891891893,6,0,4,0,0.8209318777151179,0.4582137586642997,0.6580325344370471,0.49844959413508577
neural:leave_out_LR02,0.25,test,baseline_common_threshold,lambda_0_validation,2778,0.6850251979841613,0.7253616386489552,0.28363636363636363,0.7819548872180451,0.6687683900798654,0.4162775183455637,0.3344218217705399,0.10028441740952013,1591,788,87,312,0.11813894162575404,0.8008635502164405,0.4548375465919885,-0.34975415589136793,0.9139016237740064,0.0021598272138228943,6,0.0021598272138228943,531,756.5,0.516214566445214,0.5185073407814701,0.5263620164247917,487,0.2123243103818593,0.011299435028248588,3,1,2,0,0.6719861499965191,0.48478232367950325,0.7108313066133282,0.5108156166777995
neural:leave_out_LR02,0.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.6652267818574514,0.7158880808578825,0.27092320966350303,0.7869674185463659,0.644808743169399,0.4030808729139923,0.3757411427620383,0.11928341543136245,1534,845,85,314,0.11813894162575404,0.7813412261212088,0.38115097144037374,-0.8255876906210278,0.6963341865241367,0.0010799136069114472,3,0.0010799136069114472,592,842.0,0.39693774324226083,0.3981669149319599,0.4071170082564386,537,0.16237902905898566,0.005067567567567568,2,0,1,0,0.7195708112734738,0.34611375825573704,0.5294996220204565,0.39402706468105314
neural:leave_out_LR02,0.5,test,baseline_common_threshold,lambda_0_validation,2778,0.6828653707703384,0.7261865255825566,0.2828828828828829,0.7869674185463659,0.6654056326187474,0.4161696487740225,0.34903943868282794,0.10702759577998995,1583,796,85,314,0.11813894162575404,0.797518702177891,0.43747096576122835,-0.6493692134916248,0.795679499430093,0.0003599712023038157,1,0.0003599712023038157,531,756.5,0.4081377907553337,0.40962774689120457,0.41842579082276704,487,0.15144783429572142,0.0018832391713747645,1,0,0,0,0.5671395093202591,0.369322442102666,0.5535623023384496,0.40462929094093253
neural:leave_out_LR02,0.75,validation,baseline_common_threshold,lambda_0_validation,2778,0.6591072714182865,0.7164869930184856,0.2685810810810811,0.7969924812030075,0.6359815048339639,0.40176879343019584,0.39681889654246544,0.12870293025832605,1513,866,81,318,0.11813894162575404,0.7792310747444483,0.3798315841844059,-0.9784203677449433,0.6155097013248928,0.0,0,0.0,592,842.0,0.31926008356662844,0.32113389174562984,0.3277478260858173,537,0.12166824013001162,0.0,0,0,0,0,0.6028362501299742,0.29753173526489374,0.42876784900824233,0.3148229057987531
neural:leave_out_LR02,0.75,test,baseline_common_threshold,lambda_0_validation,2778,0.6731461483081354,0.7205118723669198,0.27616534740545295,0.7869674185463659,0.6540563261874738,0.4088541666666667,0.3662918019563283,0.11478752022636302,1556,823,85,314,0.11813894162575404,0.7945067587000286,0.4486416356576559,-0.8291492860861001,0.6996933868202782,0.0003599712023038157,1,0.0003599712023038157,531,756.5,0.3297449371433384,0.3314391717791782,0.337111403126573,487,0.1137866910052861,0.0018832391713747645,1,0,0,0,0.482178674141566,0.3204800649211298,0.41643372073508145,0.32575540902080663
