algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR05
neural:leave_out_LR04,0.0,validation,fixed_threshold_0.5,prespecified,2778,0.8603311735061195,0.5680184066724188,0.5478260869565217,0.15789473684210525,0.9781420765027322,0.245136186770428,0.3401498941990284,0.10336897278034907,2327,52,336,63,0.5,0.7923144346785417,0.3945487977180163,-0.04559101436130201,0.9704074759332653,0.15766738660907129,491,0.1767458603311735,707,957.0,0.5810799793398981,0.5542301253171068,0.5552483848396035,616,0.36644725608612755,0.6944837340876945,11,0,64,416,0.9163113160228189,0.07331812889434587,0.6624883955833738,0.6570113665163517
neural:leave_out_LR04,0.0,test,fixed_threshold_0.5,prespecified,2778,0.8740100791936645,0.5906064025132187,0.7333333333333333,0.19298245614035087,0.9882303488860866,0.3055555555555556,0.3266836116287911,0.09706227171673955,2351,28,322,77,0.5,0.8034056347257382,0.486491531883908,0.24593559239224297,1.1007906954987479,0.13894888408927286,426,0.15334773218142547,620,845.5,0.5968521526217366,0.57003974383046,0.570599047191584,548,0.34236720259333964,0.6870967741935484,10,0,47,369,0.8299908118632933,0.06551574417792355,0.6984573519892162,0.6705714140434289
neural:leave_out_LR04,0.1,validation,fixed_threshold_0.5,prespecified,2778,0.8538516918646508,0.6080396451405943,0.4838709677419355,0.2631578947368421,0.9529213955443464,0.3409090909090909,0.3428199651522136,0.10449849666949113,2267,112,294,105,0.5,0.7906393769206539,0.39405584808413996,-0.2805429888878824,0.9062751292240806,0.12203023758099352,364,0.13102951763858892,707,957.0,0.5222724170836992,0.49970853718446423,0.5002273867915262,616,0.2949387104536241,0.5148514851485149,10,0,34,320,0.8713477077809247,0.10113619255522886,0.5684828977617953,0.5860830694387357
neural:leave_out_LR04,0.1,test,fixed_threshold_0.5,prespecified,2778,0.8768898488120951,0.6371350823464714,0.6557377049180327,0.3007518796992481,0.9735182849936949,0.41237113402061853,0.3263582805273984,0.09684657273897587,2316,63,279,120,0.5,0.8038101769766999,0.48778379117294945,-0.01530175381436441,1.0355810879951137,0.11303095752339813,337,0.12131029517638589,620,845.5,0.5374313014069829,0.5144203739390979,0.5151226949195001,548,0.27355208515558227,0.5435483870967742,7,0,30,300,0.7536555431162318,0.0916463633723281,0.599827493571378,0.6006985964406356
neural:leave_out_LR04,0.25,validation,fixed_threshold_0.5,prespecified,2778,0.8473722102231821,0.6511897650810506,0.46153846153846156,0.37593984962406013,0.9264396805380412,0.4143646408839779,0.35386642675806035,0.10956392838700431,2204,175,249,150,0.5,0.7877717623187855,0.3932166207454162,-0.5644521770652442,0.7970846988208654,0.0892728581713463,264,0.09503239740820735,707,957.0,0.44806794321423354,0.4305783058931627,0.4293720937334289,616,0.22763234526704654,0.3734087694483734,10,0,25,229,0.8128059614788402,0.126500662153539,0.45861502774436064,0.4975286375582218
neural:leave_out_LR04,0.25,test,fixed_threshold_0.5,prespecified,2778,0.8714902807775378,0.672572035384805,0.5772058823529411,0.39348370927318294,0.9516603614964271,0.46795827123695977,0.334047272408567,0.09994958886878505,2264,115,242,157,0.5,0.7993865496022529,0.4633083445424568,-0.35226994106976,0.9040858595079663,0.08351331893448524,247,0.08891288696904248,620,845.5,0.4609596534738075,0.4428633317151056,0.44253991872893156,548,0.2096720099678741,0.39838709677419354,7,0,22,218,0.6702140028278033,0.11677068839838475,0.4888166390310704,0.5107145070897502
neural:leave_out_LR04,0.5,validation,fixed_threshold_0.5,prespecified,2778,0.8236141108711303,0.6613064818414257,0.39588100686498856,0.43358395989974935,0.8890290037831021,0.4138755980861244,0.37229454557339037,0.11788970946973794,2115,264,226,173,0.5,0.7827697659449169,0.38126958802261607,-0.7855511527896557,0.6858770376211467,0.05075593952483801,143,0.05147588192944565,707,957.0,0.36927330913703377,0.3575982952976528,0.3531374815522795,616,0.17245930372669102,0.20226308345120225,9,6,11,117,0.732011946877747,0.15210789703907301,0.3613744334440039,0.40229024827480314
neural:leave_out_LR04,0.5,test,fixed_threshold_0.5,prespecified,2778,0.8545716342692584,0.6866820266302578,0.4931506849315068,0.45112781954887216,0.9222362337116435,0.4712041884816754,0.3471317765722384,0.10580603127960407,2194,185,219,180,0.5,0.7941780681211223,0.45963368122131226,-0.6060430739928758,0.7812582376077986,0.05147588192944565,148,0.05327573794096472,620,845.5,0.3792454611224382,0.3668966860850893,0.36293082119402376,548,0.15748506199102277,0.23870967741935484,6,1,12,129,0.5893857409556708,0.1409238127497151,0.3923555328175913,0.41319774725616903
neural:leave_out_LR04,0.75,validation,fixed_threshold_0.5,prespecified,2778,0.8038156947444205,0.662262528957956,0.35852713178294576,0.46365914786967416,0.8608659100462379,0.40437158469945356,0.3944105223638139,0.12758432523457727,2048,331,214,185,0.5,0.7808882230797675,0.36984992911506226,-0.9575509455570523,0.6082332919780178,0.02591792656587473,72,0.02591792656587473,707,957.0,0.3010387644998908,0.2943916210917012,0.2861032072311422,616,0.13267273578164535,0.10183875530410184,8,17,7,40,0.6555840270311544,0.16864592301874207,0.2891066483776979,0.319836886058251
neural:leave_out_LR04,0.75,test,fixed_threshold_0.5,prespecified,2778,0.8304535637149028,0.6851160056509495,0.42105263157894735,0.48120300751879697,0.8890290037831021,0.44912280701754387,0.36513403713706677,0.11352436960332354,2115,264,207,192,0.5,0.7897207288924285,0.43109375456225296,-0.8052199424119146,0.687599202338941,0.021238300935925127,61,0.021958243340532757,620,845.5,0.31016554723358086,0.3025807668219611,0.29563271740636293,548,0.12140343374108413,0.09838709677419355,5,10,8,38,0.5225741979976495,0.15688409132848463,0.31649141320410895,0.3310194889418037
