algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR05
neural:leave_out_LR04,0.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7037437005039597,0.7331617189253082,0.2965451055662188,0.7744360902255639,0.6918873476250526,0.42886884108258155,0.3401498941990284,0.10336897278034907,1646,733,90,309,0.11813894162575404,0.7923144346785417,0.3945487977180163,-0.04559101436130201,0.9704074759332653,0.02339812814974802,65,0.02339812814974802,707,957.0,0.5810799793398981,0.5542301253171068,0.5552483848396035,616,0.36644725608612755,0.09193776520509193,9,20,5,31,0.9163113160228189,0.07331812889434587,0.6624883955833738,0.6570113665163517
neural:leave_out_LR04,0.0,test,baseline_common_threshold,lambda_0_validation,2778,0.7210223182145429,0.7296915049287784,0.30578512396694213,0.7418546365914787,0.7175283732660782,0.43306510607168985,0.3266836116287911,0.09706227171673955,1707,672,103,296,0.11813894162575404,0.8034056347257382,0.486491531883908,0.24593559239224297,1.1007906954987479,0.018718502519798418,54,0.019438444924406047,620,845.5,0.5968521526217366,0.57003974383046,0.570599047191584,548,0.34236720259333964,0.08709677419354839,6,14,8,26,0.8299908118632933,0.06551574417792355,0.6984573519892162,0.6705714140434289
neural:leave_out_LR04,0.1,validation,baseline_common_threshold,lambda_0_validation,2778,0.6799856011519079,0.7265910678335181,0.2816399286987522,0.7919799498746867,0.6612021857923497,0.4155161078238001,0.3428199651522136,0.10449849666949113,1573,806,83,316,0.11813894162575404,0.7906393769206539,0.39405584808413996,-0.2805429888878824,0.9062751292240806,0.0183585313174946,51,0.0183585313174946,707,957.0,0.5222724170836992,0.49970853718446423,0.5002273867915262,616,0.2949387104536241,0.07213578500707214,8,38,0,5,0.8713477077809247,0.10113619255522886,0.5684828977617953,0.5860830694387357
neural:leave_out_LR04,0.1,test,baseline_common_threshold,lambda_0_validation,2778,0.6958243340532757,0.7285379274162709,0.29041353383458646,0.7744360902255639,0.6826397646069777,0.4224196855775803,0.3263582805273984,0.09684657273897587,1624,755,90,309,0.11813894162575404,0.8038101769766999,0.48778379117294945,-0.01530175381436441,1.0355810879951137,0.014758819294456443,41,0.014758819294456443,620,845.5,0.5374313014069829,0.5144203739390979,0.5151226949195001,548,0.27355208515558227,0.06612903225806452,4,29,4,4,0.7536555431162318,0.0916463633723281,0.599827493571378,0.6006985964406356
neural:leave_out_LR04,0.25,validation,baseline_common_threshold,lambda_0_validation,2778,0.6753059755219583,0.72490178788712,0.27880386983289357,0.7944862155388471,0.655317360235393,0.4127604166666667,0.35386642675806035,0.10956392838700431,1559,820,82,317,0.11813894162575404,0.7877717623187855,0.3932166207454162,-0.5644521770652442,0.7970846988208654,0.019438444924406047,54,0.019438444924406047,707,957.0,0.44806794321423354,0.4305783058931627,0.4293720937334289,616,0.22763234526704654,0.07637906647807638,7,47,0,0,0.8128059614788402,0.126500662153539,0.45861502774436064,0.4975286375582218
neural:leave_out_LR04,0.25,test,baseline_common_threshold,lambda_0_validation,2778,0.6897048236141109,0.7270509185953535,0.28663594470046083,0.7794486215538847,0.6746532156368222,0.4191374663072776,0.334047272408567,0.09994958886878505,1605,774,88,311,0.11813894162575404,0.7993865496022529,0.4633083445424568,-0.35226994106976,0.9040858595079663,0.014758819294456443,41,0.014758819294456443,620,845.5,0.4609596534738075,0.4428633317151056,0.44253991872893156,548,0.2096720099678741,0.06612903225806452,3,37,1,0,0.6702140028278033,0.11677068839838475,0.4888166390310704,0.5107145070897502
neural:leave_out_LR04,0.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.6781857451403888,0.7192824431823569,0.27802690582959644,0.7769423558897243,0.6616225304749895,0.4095112285336856,0.37229454557339037,0.11788970946973794,1574,805,89,310,0.11813894162575404,0.7827697659449169,0.38126958802261607,-0.7855511527896557,0.6858770376211467,0.0183585313174946,51,0.0183585313174946,707,957.0,0.36927330913703377,0.3575982952976528,0.3531374815522795,616,0.17245930372669102,0.07213578500707214,2,49,0,0,0.732011946877747,0.15210789703907301,0.3613744334440039,0.40229024827480314
neural:leave_out_LR04,0.5,test,baseline_common_threshold,lambda_0_validation,2778,0.69150467962563,0.7260158593204322,0.2871747211895911,0.7744360902255639,0.6775956284153005,0.4189830508474576,0.3471317765722384,0.10580603127960407,1612,767,90,309,0.11813894162575404,0.7941780681211223,0.45963368122131226,-0.6060430739928758,0.7812582376077986,0.014038876889848811,39,0.014038876889848811,620,845.5,0.3792454611224382,0.3668966860850893,0.36293082119402376,548,0.15748506199102277,0.06290322580645161,1,38,0,0,0.5893857409556708,0.1409238127497151,0.3923555328175913,0.41319774725616903
neural:leave_out_LR04,0.75,validation,baseline_common_threshold,lambda_0_validation,2778,0.6767458603311735,0.723656556270879,0.27900797165633306,0.7894736842105263,0.6578394283312317,0.412303664921466,0.3944105223638139,0.12758432523457727,1565,814,84,315,0.11813894162575404,0.7808882230797675,0.36984992911506226,-0.9575509455570523,0.6082332919780178,0.016198704103671708,45,0.016198704103671708,707,957.0,0.3010387644998908,0.2943916210917012,0.2861032072311422,616,0.13267273578164535,0.06364922206506365,1,44,0,0,0.6555840270311544,0.16864592301874207,0.2891066483776979,0.319836886058251
neural:leave_out_LR04,0.75,test,baseline_common_threshold,lambda_0_validation,2778,0.6882649388048956,0.7230813477577929,0.28439519852262235,0.7719298245614035,0.6742328709541824,0.4156545209176788,0.36513403713706677,0.11352436960332354,1604,775,91,308,0.11813894162575404,0.7897207288924285,0.43109375456225296,-0.8052199424119146,0.687599202338941,0.01259899208063355,35,0.01259899208063355,620,845.5,0.31016554723358086,0.3025807668219611,0.29563271740636293,548,0.12140343374108413,0.056451612903225805,1,34,0,0,0.5225741979976495,0.15688409132848463,0.31649141320410895,0.3310194889418037
