algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,soft_violation_LR01
neural:single_LR01,0.0,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7037437005039597,0.7331617189253082,0.2965451055662188,0.7744360902255639,0.6918873476250526,0.42886884108258155,0.3401498941990284,0.10336897278034907,1646,733,90,309,0.11813894162575404,0.7923144346785417,0.3945487977180163,-0.04559101436130201,0.9704074759332653,0.0032397408207343412,9,0.0032397408207343412,11,11.0,0.9163113160228188,0.9163113160228188,0.9163113160228189,11,0.011569176516032807,0.8181818181818182,9,0.9163113160228189
neural:single_LR01,0.0,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7210223182145429,0.7296915049287784,0.30578512396694213,0.7418546365914787,0.7175283732660782,0.43306510607168985,0.3266836116287911,0.09706227171673955,1707,672,103,296,0.11813894162575404,0.8034056347257382,0.486491531883908,0.24593559239224297,1.1007906954987479,0.0021598272138228943,6,0.0021598272138228943,10,10.0,0.8299908118632932,0.8299908118632932,0.8299908118632933,10,0.007949995251336923,0.6,6,0.8299908118632933
neural:single_LR01,0.1,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.701223902087833,0.7316905125360691,0.2945662535748332,0.7744360902255639,0.6889449348465742,0.42679558011049723,0.34023245212660086,0.10334265290813323,1639,740,90,309,0.11858246475458145,0.7919035714549088,0.3951676518243101,-0.05926723637800214,0.9750908199206872,0.0028797696184305254,8,0.0028797696184305254,11,11.0,0.8883922736188677,0.8883922736188677,0.8883922736188677,11,0.010064975127601928,0.7272727272727273,8,0.8883922736188677
neural:single_LR01,0.1,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7163426925845933,0.72695926449162,0.30173292558613657,0.7418546365914787,0.7120638923917613,0.4289855072463768,0.3267916872764075,0.0971147872116083,1694,685,103,296,0.11858246475458145,0.803190721654915,0.4844262354605974,0.22350529361248653,1.1018312531781285,0.0014398848092152627,4,0.0014398848092152627,10,10.0,0.7976808808743954,0.7976808808743954,0.7976808808743953,10,0.007047670205646767,0.4,4,0.7976808808743953
neural:single_LR01,0.25,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7393808495320374,0.7320666104100099,0.3196448390677026,0.7218045112781954,0.7423287095418243,0.4430769230769231,0.34041117190745285,0.10344613577054015,1766,613,111,288,0.1404907008012136,0.7915369550399749,0.3925279233984918,-0.06086467099563812,0.9717097849508312,0.0025197984161267097,7,0.0025197984161267097,11,11.0,0.8404785917338096,0.8404785917338096,0.8404785917338096,11,0.008381449454988957,0.6363636363636364,7,0.8404785917338096
neural:single_LR01,0.25,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7591792656587473,0.7311105632934796,0.3357664233576642,0.6917293233082706,0.7704918032786885,0.4520884520884521,0.3280130238251943,0.09741888779374752,1833,546,123,276,0.1404907008012136,0.8006107113095896,0.4858625869429147,0.20353192571394935,1.0870554357364073,0.0014398848092152627,4,0.0014398848092152627,10,10.0,0.7571264835695427,0.7571264835695427,0.7571264835695426,10,0.005785113712211437,0.4,4,0.7571264835695426
neural:single_LR01,0.5,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7267818574514039,0.7288824204268552,0.3093220338983051,0.731829573934837,0.7259352669188734,0.43484735666418467,0.34098678375042984,0.1035771256320159,1727,652,107,292,0.13624409834543863,0.7904392127860634,0.38880439334519,-0.0242286405524427,0.9992206101024341,0.0014398848092152627,4,0.0014398848092152627,11,11.0,0.7637198409347822,0.7637198409347822,0.7637198409347824,11,0.006524050540354638,0.36363636363636365,4,0.7637198409347824
neural:single_LR01,0.5,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7458603311735061,0.7306349100999662,0.3241695303550974,0.7092731829573935,0.7519966372425388,0.4449685534591195,0.32861677942260653,0.09777165989969655,1789,590,116,283,0.13624409834543863,0.8005464480874317,0.4822146785143013,0.25510231872780864,1.1255155765784288,0.0003599712023038157,1,0.0003599712023038157,10,10.0,0.6694841506580512,0.6694841506580512,0.6694841506580511,10,0.004389317406757761,0.1,1,0.6694841506580511
neural:single_LR01,0.75,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.720662347012239,0.7284383720966983,0.3050672182006205,0.7393483709273183,0.7175283732660782,0.43191800878477304,0.34151807697172043,0.10383465834896231,1707,672,104,295,0.13743162155151367,0.7902316741833567,0.38680122876988604,-0.07924252217758648,0.9865525302722316,0.0010799136069114472,3,0.0010799136069114472,11,11.0,0.6740503501937245,0.6740503501937245,0.6740503501937245,11,0.005284664108751139,0.2727272727272727,3,0.6740503501937245
neural:single_LR01,0.75,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.738300935925126,0.7283072119137692,0.31737193763919824,0.7142857142857143,0.7423287095418243,0.4394757131842714,0.3285506404999112,0.09781712046572606,1766,613,114,285,0.13743162155151367,0.8010668748373665,0.47111832919267355,0.19266578514629504,1.110956574399818,0.0,0,0.0,10,10.0,0.5820855384071668,0.5820855384071668,0.5820855384071668,10,0.003461997812088276,0.0,0,0.5820855384071668
