algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR02_pos,soft_violation_LR02
neural:single_LR02,0.0,validation,fixed_threshold_0.5,prespecified,2778,0.8603311735061195,0.5680184066724188,0.5478260869565217,0.15789473684210525,0.9781420765027322,0.245136186770428,0.3401498941990284,0.10336897278034907,2327,52,336,63,0.5,0.7923144346785417,0.3945487977180163,-0.04559101436130201,0.9704074759332653,0.0,0,0.0,130,130.0,0.07331812889434589,0.07331812889434589,0.07331812889434587,130,0.0036508421052306463,0.0,0,0.07331812889434587
neural:single_LR02,0.0,test,fixed_threshold_0.5,prespecified,2778,0.8740100791936645,0.5906064025132187,0.7333333333333333,0.19298245614035087,0.9882303488860866,0.3055555555555556,0.3266836116287911,0.09706227171673955,2351,28,322,77,0.5,0.8034056347257382,0.486491531883908,0.24593559239224297,1.1007906954987479,0.0,0,0.0,108,108.0,0.06551574417792352,0.06551574417792352,0.06551574417792355,108,0.0026808470563863974,0.0,0,0.06551574417792355
neural:single_LR02,0.1,validation,fixed_threshold_0.5,prespecified,2778,0.8628509719222462,0.5653177710986167,0.59,0.14786967418546365,0.9827658680117697,0.23647294589178355,0.34031556106716926,0.10325671567352004,2338,41,340,59,0.5,0.7912440833062059,0.39804004480435606,-0.029050582244590097,0.9907065506069561,0.0,0,0.0,130,130.0,0.06638871823461391,0.06638871823461391,0.06638871823461391,130,0.003287153801424815,0.0,0,0.06638871823461391
neural:single_LR02,0.1,test,fixed_threshold_0.5,prespecified,2778,0.8747300215982722,0.5878978657235776,0.7628865979381443,0.18546365914786966,0.9903320722992854,0.29838709677419356,0.3273631959044545,0.0973391754804633,2356,23,325,74,0.5,0.8025997107101508,0.48377644110900214,0.2609485921327279,1.1220379899308814,0.0,0,0.0,108,108.0,0.05968825708798788,0.05968825708798788,0.05968825708798788,108,0.002432719576770111,0.0,0,0.05968825708798788
neural:single_LR02,0.25,validation,fixed_threshold_0.5,prespecified,2778,0.8610511159107271,0.5653098698827775,0.5607476635514018,0.15037593984962405,0.980243799915931,0.23715415019762845,0.3408283413447033,0.10350770531446758,2332,47,339,60,0.5,0.790912232240964,0.3967813493121036,-0.03705060059174079,0.9590327502010944,0.0,0,0.0,130,130.0,0.05799566815869931,0.05799566815869931,0.0579956681586993,130,0.0028489199456159715,0.0,0,0.0579956681586993
neural:single_LR02,0.25,test,fixed_threshold_0.5,prespecified,2778,0.8729301655867531,0.5847610830354575,0.7346938775510204,0.18045112781954886,0.9890710382513661,0.289738430583501,0.32832155102237415,0.09754190786020178,2353,26,327,72,0.5,0.8005327526466439,0.4818918621612225,0.24508663443545087,1.081333609963023,0.0,0,0.0,108,108.0,0.05110495382586472,0.05110495382586472,0.0511049538258647,108,0.0020661993523906717,0.0,0,0.0511049538258647
neural:single_LR02,0.5,validation,fixed_threshold_0.5,prespecified,2778,0.8617710583153347,0.564687254074657,0.5728155339805825,0.14786967418546365,0.9815048339638504,0.2350597609561753,0.3410611147622955,0.1035195963946194,2335,44,340,59,0.5,0.7899841027537318,0.3915126037949494,-0.04392757115214822,0.9803219224559553,0.0,0,0.0,130,130.0,0.055733273612956206,0.055733273612956206,0.055733273612956206,130,0.0027317046048734007,0.0,0,0.055733273612956206
neural:single_LR02,0.5,test,fixed_threshold_0.5,prespecified,2778,0.8740100791936645,0.5874775210409378,0.7474747474747475,0.18546365914786966,0.9894913829340058,0.2971887550200803,0.32819644741311316,0.0975023725773765,2354,25,325,74,0.5,0.8004442590292461,0.4834013417514795,0.241466494375265,1.1077403890085262,0.0,0,0.0,108,108.0,0.04909827129880863,0.04909827129880863,0.04909827129880863,108,0.001982689132996474,0.0,0,0.04909827129880863
neural:single_LR02,0.75,validation,fixed_threshold_0.5,prespecified,2778,0.8610511159107271,0.5663528303735379,0.5596330275229358,0.15288220551378445,0.9798234552332913,0.24015748031496062,0.341518983100275,0.1036140210559605,2331,48,338,61,0.5,0.7890475453029379,0.393255112142921,-0.06950395009570931,0.9587804433757993,0.0,0,0.0,130,130.0,0.04701091078802561,0.04701091078802561,0.04701091078802561,130,0.0022895167158662588,0.0,0,0.04701091078802561
neural:single_LR02,0.75,test,fixed_threshold_0.5,prespecified,2778,0.8743700503959683,0.5876876933822577,0.7551020408163265,0.18546365914786966,0.9899117276166457,0.2977867203219316,0.32902598390083515,0.09756888059309342,2355,24,325,74,0.5,0.7984763295375893,0.4817122448198523,0.21011766494495512,1.0822953436397669,0.0,0,0.0,108,108.0,0.04121440229362544,0.04121440229362544,0.04121440229362543,108,0.0016579423990517924,0.0,0,0.04121440229362543
