algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR03_neg,soft_violation_LR03
neural:single_LR03,0.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7037437005039597,0.7331617189253082,0.2965451055662188,0.7744360902255639,0.6918873476250526,0.42886884108258155,0.3401498941990284,0.10336897278034907,1646,733,90,309,0.11813894162575404,0.7923144346785417,0.3945487977180163,-0.04559101436130201,0.9704074759332653,0.0017998560115190785,5,0.0017998560115190785,66,66.0,0.6624883955833737,0.6624883955833737,0.6624883955833738,66,0.028731357093573048,0.07575757575757576,5,0.6624883955833738
neural:single_LR03,0.0,test,baseline_common_threshold,lambda_0_validation,2778,0.7210223182145429,0.7296915049287784,0.30578512396694213,0.7418546365914787,0.7175283732660782,0.43306510607168985,0.3266836116287911,0.09706227171673955,1707,672,103,296,0.11813894162575404,0.8034056347257382,0.486491531883908,0.24593559239224297,1.1007906954987479,0.0028797696184305254,8,0.0028797696184305254,51,51.0,0.6984573519892162,0.6984573519892162,0.6984573519892162,51,0.026151385304284746,0.1568627450980392,8,0.6984573519892162
neural:single_LR03,0.1,validation,baseline_common_threshold,lambda_0_validation,2778,0.7001439884809215,0.7279311140398284,0.2925430210325048,0.7669172932330827,0.6889449348465742,0.4235294117647059,0.34003072676741136,0.10324343017319718,1639,740,93,306,0.11813894162575404,0.7920868796623757,0.40270924915266293,-0.07670410116876553,0.9648304663376444,0.0,0,0.0,66,66.0,0.6259251911607053,0.6259251911607053,0.6259251911607053,66,0.025141746272115618,0.0,0,0.6259251911607053
neural:single_LR03,0.1,test,baseline_common_threshold,lambda_0_validation,2778,0.7235421166306696,0.7322056718087779,0.308411214953271,0.7443609022556391,0.7200504413619168,0.43612334801762115,0.327349250903042,0.0973657757495432,1713,666,102,297,0.11813894162575404,0.8027387721089188,0.4817713943173765,0.20494297267136988,1.0868171716504353,0.0025197984161267097,7,0.0025197984161267097,51,51.0,0.665658748751275,0.665658748751275,0.6656587487512748,51,0.02302607222037111,0.13725490196078433,7,0.6656587487512748
neural:single_LR03,0.25,validation,baseline_common_threshold,lambda_0_validation,2778,0.6893448524118071,0.7268407462540336,0.2863720073664825,0.7794486215538847,0.6742328709541824,0.41885521885521887,0.3400220418988404,0.10325297498491724,1604,775,88,311,0.11813894162575404,0.7921016285986088,0.4003657947016905,-0.10404350369108506,0.9669937621393582,0.0,0,0.0,66,66.0,0.5857843294589207,0.5857843294589207,0.5857843294589206,66,0.021978073125966613,0.0,0,0.5857843294589206
neural:single_LR03,0.25,test,baseline_common_threshold,lambda_0_validation,2778,0.7113030957523399,0.7302746146577035,0.2999006951340616,0.7568922305764411,0.7036569987389659,0.4295874822190612,0.32727330158263934,0.09729480734067268,1674,705,97,302,0.11813894162575404,0.8025301800107667,0.4792122777912052,0.17790443354892732,1.0903481696815511,0.0010799136069114472,3,0.0010799136069114472,51,51.0,0.6257601977368585,0.6257601977368585,0.6257601977368585,51,0.019948709060646302,0.058823529411764705,3,0.6257601977368585
neural:single_LR03,0.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.6947444204463643,0.7279074103923111,0.28959700093720714,0.7744360902255639,0.6813787305590584,0.42155525238744884,0.340376104997158,0.10337026525644584,1621,758,90,309,0.11813894162575404,0.7920247234311082,0.4035033751681639,-0.12197089927955995,0.9483924135089762,0.0,0,0.0,66,66.0,0.5231097304459774,0.5231097304459774,0.5231097304459774,66,0.018320620837432397,0.0,0,0.5231097304459774
neural:single_LR03,0.5,test,baseline_common_threshold,lambda_0_validation,2778,0.7185025197984162,0.7355210219748616,0.3063700707785642,0.7593984962406015,0.7116435477091215,0.4365994236311239,0.327579000627853,0.09745569407500274,1693,686,96,303,0.11813894162575404,0.8018780663301803,0.4622963238456666,0.16469551406788163,1.0728007726324735,0.0003599712023038157,1,0.0003599712023038157,51,51.0,0.5590248605589462,0.5590248605589462,0.5590248605589462,51,0.01630781540517317,0.0196078431372549,1,0.5590248605589462
neural:single_LR03,0.75,validation,baseline_common_threshold,lambda_0_validation,2778,0.6929445644348452,0.7237276672134307,0.2870544090056285,0.7669172932330827,0.6805380411937789,0.41774744027303756,0.34209700601479814,0.10410441255937146,1619,760,93,306,0.11813894162575404,0.7907320845198326,0.384746527837082,-0.19935402994957024,0.9143544837244573,0.0,0,0.0,66,66.0,0.4603123009355381,0.4603123009355381,0.46031230093553815,66,0.015172893042213316,0.0,0,0.46031230093553815
neural:single_LR03,0.75,test,baseline_common_threshold,lambda_0_validation,2778,0.7145428365730742,0.7321661657295824,0.3026052104208417,0.7568922305764411,0.7074401008827238,0.4323550465282749,0.32754987189472967,0.09754582625008137,1683,696,97,302,0.11813894162575404,0.8027535210451517,0.44806952521840265,0.08829653365464533,1.0432441014335372,0.0,0,0.0,51,51.0,0.4843241128267026,0.4843241128267026,0.48432411282670257,51,0.012948440302973405,0.0,0,0.48432411282670257
neural:single_LR03,1.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.6893448524118071,0.7226689042909923,0.2847866419294991,0.7694235588972431,0.6759142496847415,0.41570751523358157,0.343288749814923,0.10455046500955102,1608,771,92,307,0.11813894162575404,0.7901732051861474,0.3798625689407879,-0.24217640518397607,0.89781674918328,0.0,0,0.0,66,66.0,0.41730550277714773,0.41730550277714773,0.41730550277714773,66,0.013304293366988185,0.0,0,0.41730550277714773
neural:single_LR03,1.0,test,baseline_common_threshold,lambda_0_validation,2778,0.7109431245500359,0.7290214818256233,0.2992047713717694,0.7543859649122807,0.7036569987389659,0.4284697508896797,0.3286152125286684,0.09783283037056248,1674,705,98,301,0.11813894162575404,0.8012712529537378,0.4448385858772415,0.03876080925436066,1.022371810340354,0.0,0,0.0,51,51.0,0.43086661456846725,0.43086661456846725,0.4308666145684673,51,0.010960880897092736,0.0,0,0.4308666145684673
neural:single_LR03,1.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.701223902087833,0.7243897891007468,0.29178743961352654,0.7568922305764411,0.6918873476250526,0.4211994421199442,0.3456193269473612,0.10538009399757463,1646,733,97,302,0.11813894162575404,0.788988549558006,0.3722497999785957,-0.28409415133685967,0.853843389768211,0.0,0,0.0,66,66.0,0.3563803834746583,0.3563803834746583,0.3563803834746583,66,0.010919801218754724,0.0,0,0.3563803834746583
neural:single_LR03,1.5,test,baseline_common_threshold,lambda_0_validation,2778,0.7264218862491001,0.7370159320116179,0.31217481789802287,0.7518796992481203,0.7221521647751156,0.4411764705882353,0.32983859946077976,0.09850650607186669,1718,661,99,300,0.11813894162575404,0.8019370620751121,0.4331338125363819,0.0008920768888711614,0.9801118031804372,0.0,0,0.0,51,51.0,0.3566942232496598,0.3566942232496598,0.3566942232496598,51,0.008552918688184691,0.0,0,0.3566942232496598
neural:single_LR03,2.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.703023758099352,0.7243976903165859,0.2928015564202335,0.7543859649122807,0.6944094157208911,0.42186405045550107,0.34744995319291627,0.10606614315375662,1652,727,98,301,0.11813894162575404,0.7889443027493069,0.37735542646818443,-0.36079789192382533,0.812460310791579,0.0,0,0.0,66,66.0,0.28901621879953326,0.28901621879953326,0.2890162187995333,66,0.008400851825836456,0.0,0,0.2890162187995333
neural:single_LR03,2.0,test,baseline_common_threshold,lambda_0_validation,2778,0.7282217422606192,0.7328519912644158,0.3118393234672304,0.7393483709273183,0.7263556116015133,0.43866171003717475,0.3313534235813954,0.09906252012561431,1728,651,104,295,0.11813894162575404,0.8010026116152086,0.4277970867662342,-0.08717891079055178,0.9311625096676721,0.0,0,0.0,51,51.0,0.29381521562345664,0.29381521562345664,0.29381521562345664,51,0.006646716382298035,0.0,0,0.29381521562345664
