algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR04_neg,soft_violation_LR04
neural:single_LR04,0.0,validation,fixed_threshold_0.5,prespecified,2778,0.8603311735061195,0.5680184066724188,0.5478260869565217,0.15789473684210525,0.9781420765027322,0.245136186770428,0.3401498941990284,0.10336897278034907,2327,52,336,63,0.5,0.7923144346785417,0.3945487977180163,-0.04559101436130201,0.9704074759332653,0.005039596832253419,14,0.005039596832253419,15,15.0,0.7666202170153459,0.7666202170153459,0.7666202170153459,15,0.009816701046393386,0.9333333333333333,14,0.7666202170153459
neural:single_LR04,0.0,test,fixed_threshold_0.5,prespecified,2778,0.8740100791936645,0.5906064025132187,0.7333333333333333,0.19298245614035087,0.9882303488860866,0.3055555555555556,0.3266836116287911,0.09706227171673955,2351,28,322,77,0.5,0.8034056347257382,0.486491531883908,0.24593559239224297,1.1007906954987479,0.006839452843772498,19,0.006839452843772498,19,19.0,0.8201171990091863,0.8201171990091863,0.8201171990091863,19,0.013782707189061912,1.0,19,0.8201171990091863
neural:single_LR04,0.1,validation,fixed_threshold_0.5,prespecified,2778,0.8599712023038157,0.5594645504050163,0.55,0.13784461152882205,0.9810844892812106,0.22044088176352705,0.3403875753322749,0.1033857846705239,2334,45,344,55,0.5,0.7913378444008298,0.3974040096001343,-0.03676419370345518,0.9878941231131433,0.005039596832253419,14,0.005039596832253419,15,15.0,0.7339225954479641,0.7339225954479641,0.7339225954479641,15,0.00885701876181113,0.9333333333333333,14,0.7339225954479641
neural:single_LR04,0.1,test,fixed_threshold_0.5,prespecified,2778,0.8725701943844493,0.5814220292218567,0.7419354838709677,0.17293233082706766,0.9899117276166457,0.2804878048780488,0.32782708925392917,0.09754943927596517,2355,24,330,69,0.5,0.802377423171211,0.48324658158672534,0.2454358901869372,1.1147998267987866,0.006839452843772498,19,0.006839452843772498,19,19.0,0.7897361463687398,0.7897361463687398,0.7897361463687399,19,0.012451143443134229,1.0,19,0.7897361463687399
neural:single_LR04,0.25,validation,fixed_threshold_0.5,prespecified,2778,0.8606911447084233,0.5609278555784164,0.56,0.14035087719298245,0.9815048339638504,0.22444889779559118,0.3403834513597225,0.10332482603650651,2335,44,343,56,0.5,0.7911461082298011,0.3954836734089361,-0.018276576242686787,0.9927911845071946,0.004319654427645789,12,0.004319654427645789,15,15.0,0.6680816520419385,0.6680816520419385,0.6680816520419385,15,0.007444991238751652,0.8,12,0.6680816520419385
neural:single_LR04,0.25,test,fixed_threshold_0.5,prespecified,2778,0.8729301655867531,0.5816322015631765,0.75,0.17293233082706766,0.9903320722992854,0.28105906313645623,0.3269711311983625,0.09736123552463492,2356,23,330,69,0.5,0.8040429994700917,0.48007058196034313,0.2838153669445388,1.131032897913384,0.006119510439164867,17,0.006119510439164867,19,19.0,0.7156068410136198,0.7156068410136198,0.7156068410136198,19,0.00987802319307843,0.8947368421052632,17,0.7156068410136198
neural:single_LR04,0.5,validation,fixed_threshold_0.5,prespecified,2778,0.8603311735061195,0.5659324856908982,0.5495495495495496,0.15288220551378445,0.9789827658680118,0.23921568627450981,0.34052978353268676,0.10331301249123011,2329,50,338,61,0.5,0.7907373519970585,0.39418291803713384,-0.030169580945564572,0.9929274615911143,0.0028797696184305254,8,0.0028797696184305254,15,15.0,0.6008417910999722,0.6008417910999722,0.6008417910999723,15,0.006230389701830642,0.5333333333333333,8,0.6008417910999723
neural:single_LR04,0.5,test,fixed_threshold_0.5,prespecified,2778,0.8740100791936645,0.5885204815316981,0.7425742574257426,0.18796992481203006,0.9890710382513661,0.3,0.3263861409331325,0.09717139161240787,2353,26,324,75,0.5,0.8051428487148936,0.4785954793000799,0.2743749131827006,1.1355196723700542,0.005039596832253419,14,0.005039596832253419,19,19.0,0.6499571813956686,0.6499571813956686,0.6499571813956687,19,0.00825808023229257,0.7368421052631579,14,0.6499571813956687
neural:single_LR04,0.75,validation,fixed_threshold_0.5,prespecified,2778,0.8596112311015118,0.5602973385544567,0.5436893203883495,0.14035087719298245,0.980243799915931,0.22310756972111553,0.3415125212286425,0.10366290859456195,2332,47,343,56,0.5,0.7897776176464699,0.3903400545155596,-0.05283285628417212,0.9942879048580904,0.0025197984161267097,7,0.0025197984161267097,15,15.0,0.5290801985396278,0.5290801985396278,0.529080198539628,15,0.005070231211944354,0.4666666666666667,7,0.529080198539628
neural:single_LR04,0.75,test,fixed_threshold_0.5,prespecified,2778,0.8718502519798416,0.5830876055207376,0.7171717171717171,0.17794486215538846,0.9882303488860866,0.285140562248996,0.3277095481193763,0.09759606670801245,2351,28,328,71,0.5,0.8034245976437521,0.47213586388520673,0.22871517565326974,1.127807276453627,0.003959683225341973,11,0.003959683225341973,19,19.0,0.5591153078957608,0.5591153078957608,0.5591153078957608,19,0.006360564924922111,0.5789473684210527,11,0.5591153078957608
neural:single_LR04,1.0,validation,fixed_threshold_0.5,prespecified,2778,0.8599712023038157,0.5605075108957767,0.5490196078431373,0.14035087719298245,0.9806641445985709,0.22355289421157684,0.342110397904432,0.10388359897768241,2333,46,343,56,0.5,0.7893909848180771,0.39076767244398275,-0.060506947724322746,0.9709035938511685,0.0017998560115190785,5,0.0017998560115190785,15,15.0,0.42461591098043655,0.42461591098043655,0.4246159109804365,15,0.0035686714436232296,0.3333333333333333,5,0.4246159109804365
neural:single_LR04,1.0,test,fixed_threshold_0.5,prespecified,2778,0.8714902807775378,0.5828774331794176,0.71,0.17794486215538846,0.9878100042034468,0.2845691382765531,0.3293663875183827,0.09814155970738561,2350,29,328,71,0.5,0.8005727854735619,0.45767441368939965,0.19660930141637206,1.0850565862551942,0.0025197984161267097,7,0.0025197984161267097,19,19.0,0.42179412878396216,0.42179412878396216,0.4217941287839622,19,0.004184852025713286,0.3684210526315789,7,0.4217941287839622
neural:single_LR04,1.5,validation,fixed_threshold_0.5,prespecified,2778,0.8588912886969042,0.5640488358348583,0.5309734513274337,0.15037593984962405,0.9777217318200925,0.234375,0.34379557198985117,0.10437215726798704,2326,53,339,60,0.5,0.7874799440804617,0.385354948607156,-0.09812964121439444,0.9698982120647288,0.0017998560115190785,5,0.0017998560115190785,15,15.0,0.35738394690884484,0.35738394690884484,0.3573839469088448,15,0.002832588102283407,0.3333333333333333,5,0.3573839469088448
neural:single_LR04,1.5,test,fixed_threshold_0.5,prespecified,2778,0.8722102231821455,0.5895555408066193,0.7,0.19298245614035087,0.9861286254728878,0.3025540275049116,0.3294593696917197,0.098280321155452,2346,33,322,77,0.5,0.8029758085840917,0.45811351241553494,0.16485867318947228,1.0934556512651528,0.0017998560115190785,5,0.0017998560115190785,19,19.0,0.3423998251295926,0.3423998251295926,0.3423998251295927,19,0.0032088038674318573,0.2631578947368421,5,0.3423998251295927
neural:single_LR04,2.0,validation,fixed_threshold_0.5,prespecified,2778,0.8599712023038157,0.5709371158033798,0.5409836065573771,0.16541353383458646,0.9764606977721731,0.2533589251439539,0.34368453005482796,0.1043543361522862,2323,56,333,66,0.5,0.7881973744786515,0.38851720515078764,-0.15152449562309556,0.9327881290550238,0.0017998560115190785,5,0.0017998560115190785,15,15.0,0.35207585361268784,0.35207585361268784,0.35207585361268795,15,0.002799542442253324,0.3333333333333333,5,0.35207585361268795
neural:single_LR04,2.0,test,fixed_threshold_0.5,prespecified,2778,0.8732901367890569,0.5974867812659013,0.6942148760330579,0.21052631578947367,0.9844472467423288,0.3230769230769231,0.3295989089789739,0.09827342098166081,2342,37,315,84,0.5,0.8023268553898407,0.45532574031785883,0.09532067975049921,1.045280745161255,0.0014398848092152627,4,0.0014398848092152627,19,19.0,0.32889366777319656,0.32889366777319656,0.3288936677731966,19,0.003023216865012037,0.21052631578947367,4,0.3288936677731966
