algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
xgboost:control_column_permuted,0.0,validation,fixed_threshold_0.5,prespecified,2778,0.8639308855291576,0.5941082213731048,0.5695364238410596,0.21553884711779447,0.9726775956284153,0.31272727272727274,0.34098166820689346,0.10336912675655044,2314,65,313,86,0.5,0.7895953629344483,0.4112856354938421,-0.16055807277262055,0.9450566056771348,0.15010799136069114,459,0.1652267818574514,722,972.0,0.5699154554402365,0.5441732622282471,0.5464752137527653,629,0.36939971809568556,0.6357340720221607,11,1,53,8,386,0.8668706868602228,0.084804724391213,0.6280662797347889,0.583404961449824,0.6442589094364617
xgboost:control_column_permuted,0.0,test,fixed_threshold_0.5,prespecified,2778,0.8693304535637149,0.5962178460021428,0.6343283582089553,0.21303258145363407,0.9794031105506515,0.31894934333958724,0.32783613300787867,0.09776640131015564,2330,49,314,85,0.5,0.8027730107108881,0.4682172562859919,0.09362643509448579,1.0510456494183482,0.13462922966162708,403,0.14506839452843773,639,864.5,0.5857163222858828,0.5609378015684053,0.5647211176343592,566,0.35102987037414857,0.6306729264475743,9,0,36,15,343,0.7922094266636119,0.07587329210991299,0.6427528416533685,0.7219705071322714,0.6559312878666724
xgboost:control_column_permuted,0.1,validation,fixed_threshold_0.5,prespecified,2778,0.86321094312455,0.5978597186535064,0.5590062111801242,0.22556390977443608,0.9701555275325767,0.32142857142857145,0.34622700163883857,0.1042540717742258,2308,71,309,90,0.5,0.790823738623566,0.4109466964456065,-0.1631999828043684,1.1072873300129227,0.14650827933765298,449,0.16162706983441325,722,972.0,0.5582261718392242,0.5345801460166366,0.536497092662567,629,0.3448411994457877,0.6218836565096952,11,1,53,8,376,0.8466834247767014,0.11297694232330129,0.6086059793170743,0.5693602271389043,0.6265158944148567
xgboost:control_column_permuted,0.1,test,fixed_threshold_0.5,prespecified,2778,0.871130309575234,0.609784233597866,0.6339869281045751,0.24310776942355888,0.9764606977721731,0.35144927536231885,0.3329951159524453,0.0985638818059199,2323,56,302,97,0.5,0.8016257541710518,0.47072567065506193,0.0975298454613646,1.2322283706765214,0.12958963282937366,388,0.1396688264938805,639,864.5,0.5736432359029997,0.5507879934427478,0.5542066698876376,566,0.32662723507578195,0.6071987480438185,9,0,35,15,329,0.7603370913426812,0.10442155758083882,0.6249730241938515,0.6987844835482697,0.6384082023424719
xgboost:control_column_permuted,0.25,validation,fixed_threshold_0.5,prespecified,2778,0.8635709143268538,0.6053706144301485,0.5574712643678161,0.24310776942355888,0.9676334594367382,0.33856893542757416,0.3643094085582333,0.10818784762972615,2302,77,302,97,0.5,0.7880051115599,0.4111788749124449,-0.20431610237854633,1.324440777740205,0.1421886249100072,434,0.156227501799856,722,972.0,0.5439600716647445,0.5233941431196509,0.5244841227975623,629,0.31496864617494263,0.6011080332409973,11,1,50,8,364,0.8037341547770162,0.15354169984727004,0.5899067820705151,0.5651993587702894,0.6033544733029749
xgboost:control_column_permuted,0.25,test,fixed_threshold_0.5,prespecified,2778,0.8704103671706264,0.6124927703875072,0.6211180124223602,0.2506265664160401,0.9743589743589743,0.35714285714285715,0.3499895379057156,0.10201624501027426,2318,61,299,100,0.5,0.801028949001339,0.47530958013442326,0.07461096171091751,1.497795596651706,0.1263498920086393,378,0.13606911447084233,639,864.5,0.5574792738645338,0.5373644627935275,0.5401411932843326,566,0.2957944229551672,0.5915492957746479,9,0,34,14,321,0.727808289017877,0.14499152084432232,0.60081061054148,0.6667106518122167,0.6144786719770529
xgboost:control_column_permuted,0.5,validation,fixed_threshold_0.5,prespecified,2778,0.8552915766738661,0.6151380974504357,0.49333333333333335,0.2781954887218045,0.9520807061790668,0.3557692307692308,0.3949129807886249,0.11684877391832842,2265,114,288,111,0.5,0.7871386115562129,0.4068117542834767,-0.3375039055811952,1.5715836085764523,0.12670986321094313,390,0.14038876889848811,722,972.0,0.5239685394361409,0.5073280530017079,0.5073049045398409,629,0.28682161304062265,0.5401662049861495,11,1,49,8,321,0.7637617261401796,0.20132263160902503,0.5695335472809442,0.541012461372261,0.5720262642587832
xgboost:control_column_permuted,0.5,test,fixed_threshold_0.5,prespecified,2778,0.8714902807775378,0.6381543391897144,0.6019417475728155,0.3107769423558897,0.9655317360235393,0.4099173553719008,0.380527455648502,0.11036815579754299,2297,82,275,124,0.5,0.7989709456491165,0.4781417087196755,-0.06254171628901876,1.796227874553489,0.11339092872570194,343,0.12347012239020878,639,864.5,0.5368172856116946,0.5205208976535448,0.5219144499192316,566,0.26829426807859263,0.5367762128325508,9,0,35,14,285,0.6899470666407249,0.19329659243026978,0.58292442790368,0.640885553013761,0.5829964071427709
xgboost:control_column_permuted,0.75,validation,fixed_threshold_0.5,prespecified,2778,0.8538516918646508,0.6330706969188419,0.4867924528301887,0.3233082706766917,0.942833123160992,0.3885542168674699,0.4324859572702254,0.12977905595292039,2243,136,270,129,0.5,0.7802092452653281,0.3983715211706976,-0.47512287244839213,1.8561348509213027,0.11519078473722102,354,0.12742980561555076,722,972.0,0.5063071896888233,0.4929125752650215,0.4929939405238777,629,0.2644161479654917,0.4903047091412742,10,1,44,8,291,0.7214636484889168,0.2501809372308207,0.5323192682987159,0.5196511725242704,0.5449908361447628
xgboost:control_column_permuted,0.75,test,fixed_threshold_0.5,prespecified,2778,0.871130309575234,0.6525456137190391,0.5872340425531914,0.3458646616541353,0.9592265657839428,0.4353312302839117,0.4185014726796971,0.12332435159233698,2282,97,261,138,0.5,0.7994513395721334,0.4733336141004649,-0.2083831438175252,2.1484701620138282,0.10439164866810655,309,0.11123110151187905,639,864.5,0.5172527452697083,0.5040159725997465,0.5052930937764586,566,0.24526518321367338,0.4835680751173709,7,0,26,14,262,0.6469921515325047,0.24284177276073937,0.5445649343424969,0.5999462251282162,0.5547618261393563
