algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
xgboost:control_column_permuted,0.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7688984881209503,0.7315704140553149,0.3452229299363057,0.6791979949874687,0.783942833123161,0.4577702702702703,0.34098166820689346,0.10336912675655044,1865,514,128,271,0.176466839134463,0.7895953629344483,0.4112856354938421,-0.16055807277262055,0.9450566056771348,0.04895608351331893,140,0.0503959683225342,722,972.0,0.5699154554402365,0.5441732622282471,0.5464752137527653,629,0.36939971809568556,0.19390581717451524,9,8,7,6,110,0.8668706868602228,0.084804724391213,0.6280662797347889,0.583404961449824,0.6442589094364617
xgboost:control_column_permuted,0.0,test,baseline_common_threshold,lambda_0_validation,2778,0.7915766738660908,0.7281239037063023,0.3695652173913043,0.6390977443609023,0.8171500630517023,0.46831955922865015,0.32783613300787867,0.09776640131015564,1944,435,144,255,0.176466839134463,0.8027730107108881,0.4682172562859919,0.09362643509448579,1.0510456494183482,0.054715622750179986,161,0.057955363570914326,639,864.5,0.5857163222858828,0.5609378015684053,0.5647211176343592,566,0.35102987037414857,0.2519561815336463,6,5,15,11,124,0.7922094266636119,0.07587329210991299,0.6427528416533685,0.7219705071322714,0.6559312878666724
xgboost:control_column_permuted,0.1,validation,baseline_common_threshold,lambda_0_validation,2778,0.7329013678905687,0.7209827848309298,0.3104972375690608,0.7042606516290727,0.7377049180327869,0.43098159509202455,0.34622700163883857,0.1042540717742258,1755,624,118,281,0.176466839134463,0.790823738623566,0.4109466964456065,-0.1631999828043684,1.1072873300129227,0.04175665946724262,118,0.042476601871850254,722,972.0,0.5582261718392242,0.5345801460166366,0.536497092662567,629,0.3448411994457877,0.1634349030470914,9,10,4,4,91,0.8466834247767014,0.11297694232330129,0.6086059793170743,0.5693602271389043,0.6265158944148567
xgboost:control_column_permuted,0.1,test,baseline_common_threshold,lambda_0_validation,2778,0.7609791216702664,0.729032543527798,0.3366214549938348,0.6842105263157895,0.7738545607398066,0.4512396694214876,0.3329951159524453,0.0985638818059199,1841,538,126,273,0.176466839134463,0.8016257541710518,0.47072567065506193,0.0975298454613646,1.2322283706765214,0.047156227501799854,137,0.049316054715622754,639,864.5,0.5736432359029997,0.5507879934427478,0.5542066698876376,566,0.32662723507578195,0.21439749608763695,5,11,11,8,102,0.7603370913426812,0.10442155758083882,0.6249730241938515,0.6987844835482697,0.6384082023424719
xgboost:control_column_permuted,0.25,validation,baseline_common_threshold,lambda_0_validation,2778,0.6713462922966162,0.721546931641841,0.2757417102966841,0.7919799498746867,0.6511139134089954,0.4090614886731392,0.3643094085582333,0.10818784762972615,1549,830,83,316,0.176466839134463,0.7880051115599,0.4111788749124449,-0.20431610237854633,1.324440777740205,0.029517638588912886,82,0.029517638588912886,722,972.0,0.5439600716647445,0.5233941431196509,0.5244841227975623,629,0.31496864617494263,0.11357340720221606,9,26,1,4,42,0.8037341547770162,0.15354169984727004,0.5899067820705151,0.5651993587702894,0.6033544733029749
xgboost:control_column_permuted,0.25,test,baseline_common_threshold,lambda_0_validation,2778,0.6889848812095032,0.7245446529311931,0.2853185595567867,0.7744360902255639,0.6746532156368222,0.41700404858299595,0.3499895379057156,0.10201624501027426,1605,774,90,309,0.176466839134463,0.801028949001339,0.47530958013442326,0.07461096171091751,1.497795596651706,0.032037437005039596,90,0.032397408207343416,639,864.5,0.5574792738645338,0.5373644627935275,0.5401411932843326,566,0.2957944229551672,0.14084507042253522,5,19,3,7,56,0.727808289017877,0.14499152084432232,0.60081061054148,0.6667106518122167,0.6144786719770529
xgboost:control_column_permuted,0.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.4298056155507559,0.6326693151542159,0.19092331768388107,0.9172932330827067,0.3480453972257251,0.3160621761658031,0.3949129807886249,0.11684877391832842,828,1551,33,366,0.176466839134463,0.7871386115562129,0.4068117542834767,-0.3375039055811952,1.5715836085764523,0.03275737940964723,91,0.03275737940964723,722,972.0,0.5239685394361409,0.5073280530017079,0.5073049045398409,629,0.28682161304062265,0.1260387811634349,4,81,1,0,5,0.7637617261401796,0.20132263160902503,0.5695335472809442,0.541012461372261,0.5720262642587832
xgboost:control_column_permuted,0.5,test,baseline_common_threshold,lambda_0_validation,2778,0.4528437724982001,0.6440344240171677,0.19686316928069228,0.9122807017543859,0.37578814627994955,0.3238434163701068,0.380527455648502,0.11036815579754299,894,1485,35,364,0.176466839134463,0.7989709456491165,0.4781417087196755,-0.06254171628901876,1.796227874553489,0.02411807055435565,67,0.02411807055435565,639,864.5,0.5368172856116946,0.5205208976535448,0.5219144499192316,566,0.26829426807859263,0.10485133020344288,1,61,1,0,4,0.6899470666407249,0.19329659243026978,0.58292442790368,0.640885553013761,0.5829964071427709
xgboost:control_column_permuted,0.75,validation,baseline_common_threshold,lambda_0_validation,2778,0.1468682505399568,0.501891551071879,0.14409534127843987,1.0,0.0037831021437578815,0.2518939393939394,0.4324859572702254,0.12977905595292039,9,2370,0,399,0.176466839134463,0.7802092452653281,0.3983715211706976,-0.47512287244839213,1.8561348509213027,0.045716342692584594,127,0.045716342692584594,722,972.0,0.5063071896888233,0.4929125752650215,0.4929939405238777,629,0.2644161479654917,0.17590027700831026,0,127,0,0,0,0.7214636484889168,0.2501809372308207,0.5323192682987159,0.5196511725242704,0.5449908361447628
xgboost:control_column_permuted,0.75,test,baseline_common_threshold,lambda_0_validation,2778,0.1468682505399568,0.501891551071879,0.14409534127843987,1.0,0.0037831021437578815,0.2518939393939394,0.4185014726796971,0.12332435159233698,9,2370,0,399,0.176466839134463,0.7994513395721334,0.4733336141004649,-0.2083831438175252,2.1484701620138282,0.03851691864650828,107,0.03851691864650828,639,864.5,0.5172527452697083,0.5040159725997465,0.5052930937764586,566,0.24526518321367338,0.1674491392801252,0,106,0,0,1,0.6469921515325047,0.24284177276073937,0.5445649343424969,0.5999462251282162,0.5547618261393563
