algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
xgboost:control_column_permuted,0.0,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7688984881209503,0.7315704140553149,0.3452229299363057,0.6791979949874687,0.783942833123161,0.4577702702702703,0.34098166820689346,0.10336912675655044,1865,514,128,271,0.176466839134463,0.7895953629344483,0.4112856354938421,-0.16055807277262055,0.9450566056771348,0.04895608351331893,140,0.0503959683225342,722,972.0,0.5699154554402365,0.5441732622282471,0.5464752137527653,629,0.36939971809568556,0.19390581717451524,9,8,7,6,110,0.8668706868602228,0.084804724391213,0.6280662797347889,0.583404961449824,0.6442589094364617
xgboost:control_column_permuted,0.0,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7915766738660908,0.7281239037063023,0.3695652173913043,0.6390977443609023,0.8171500630517023,0.46831955922865015,0.32783613300787867,0.09776640131015564,1944,435,144,255,0.176466839134463,0.8027730107108881,0.4682172562859919,0.09362643509448579,1.0510456494183482,0.054715622750179986,161,0.057955363570914326,639,864.5,0.5857163222858828,0.5609378015684053,0.5647211176343592,566,0.35102987037414857,0.2519561815336463,6,5,15,11,124,0.7922094266636119,0.07587329210991299,0.6427528416533685,0.7219705071322714,0.6559312878666724
xgboost:control_column_permuted,0.1,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7530597552195825,0.7275376334910415,0.3289630512514899,0.6917293233082706,0.7633459436738125,0.4458804523424879,0.34622700163883857,0.1042540717742258,1816,563,123,276,0.18821335927665134,0.790823738623566,0.4109466964456065,-0.1631999828043684,1.1072873300129227,0.04535637149028078,128,0.04607631389488841,722,972.0,0.5582261718392242,0.5345801460166366,0.536497092662567,629,0.3448411994457877,0.1772853185595568,9,9,4,4,102,0.8466834247767014,0.11297694232330129,0.6086059793170743,0.5693602271389043,0.6265158944148567
xgboost:control_column_permuted,0.1,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7746580273578114,0.7213746851365488,0.3472409152086137,0.6466165413533834,0.7961328289197142,0.45183887915936954,0.3329951159524453,0.0985638818059199,1894,485,141,258,0.18821335927665134,0.8016257541710518,0.47072567065506193,0.0975298454613646,1.2322283706765214,0.05183585313174946,151,0.05435565154787617,639,864.5,0.5736432359029997,0.5507879934427478,0.5542066698876376,566,0.32662723507578195,0.23630672926447574,5,8,12,9,117,0.7603370913426812,0.10442155758083882,0.6249730241938515,0.6987844835482697,0.6384082023424719
xgboost:control_column_permuted,0.25,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7314614830813535,0.7274428189009725,0.3120260021668472,0.7218045112781954,0.7330811265237495,0.4357034795763994,0.3643094085582333,0.10818784762972615,1744,635,111,288,0.2089325268469759,0.7880051115599,0.4111788749124449,-0.20431610237854633,1.324440777740205,0.03779697624190065,106,0.03815694744420446,722,972.0,0.5439600716647445,0.5233941431196509,0.5244841227975623,629,0.31496864617494263,0.14681440443213298,9,17,3,4,73,0.8037341547770162,0.15354169984727004,0.5899067820705151,0.5651993587702894,0.6033544733029749
xgboost:control_column_permuted,0.25,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7566594672426206,0.7306823173950008,0.3333333333333333,0.6942355889724311,0.7671290458175704,0.4504065040650406,0.3499895379057156,0.10201624501027426,1825,554,122,277,0.2089325268469759,0.801028949001339,0.47530958013442326,0.07461096171091751,1.497795596651706,0.043916486681065514,125,0.04499640028797696,639,864.5,0.5574792738645338,0.5373644627935275,0.5401411932843326,566,0.2957944229551672,0.19561815336463223,5,13,8,7,92,0.727808289017877,0.14499152084432232,0.60081061054148,0.6667106518122167,0.6144786719770529
xgboost:control_column_permuted,0.5,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.673866090712743,0.7251040590126008,0.2782152230971129,0.7969924812030075,0.6532156368221942,0.41245136186770426,0.3949129807886249,0.11684877391832842,1554,825,81,318,0.22705175291682372,0.7871386115562129,0.4068117542834767,-0.3375039055811952,1.5715836085764523,0.027357811375089993,76,0.027357811375089993,722,972.0,0.5239685394361409,0.5073280530017079,0.5073049045398409,629,0.28682161304062265,0.10526315789473684,8,26,1,2,39,0.7637617261401796,0.20132263160902503,0.5695335472809442,0.541012461372261,0.5720262642587832
xgboost:control_column_permuted,0.5,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6951043916486681,0.7270746222428708,0.2894736842105263,0.7719298245614035,0.682219419924338,0.42105263157894735,0.380527455648502,0.11036815579754299,1623,756,91,308,0.22705175291682372,0.7989709456491165,0.4781417087196755,-0.06254171628901876,1.796227874553489,0.032037437005039596,90,0.032397408207343416,639,864.5,0.5368172856116946,0.5205208976535448,0.5219144499192316,566,0.26829426807859263,0.14084507042253522,5,19,5,5,56,0.6899470666407249,0.19329659243026978,0.58292442790368,0.640885553013761,0.5829964071427709
xgboost:control_column_permuted,0.75,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7221022318214543,0.7198924170451348,0.30264550264550266,0.7167919799498746,0.7229928541403952,0.4255952380952381,0.4324859572702254,0.12977905595292039,1720,659,113,286,0.3001145080119215,0.7802092452653281,0.3983715211706976,-0.47512287244839213,1.8561348509213027,0.032397408207343416,90,0.032397408207343416,722,972.0,0.5063071896888233,0.4929125752650215,0.4929939405238777,629,0.2644161479654917,0.12465373961218837,9,22,1,1,57,0.7214636484889168,0.2501809372308207,0.5323192682987159,0.5196511725242704,0.5449908361447628
xgboost:control_column_permuted,0.75,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7526997840172787,0.734628184585044,0.33138173302107726,0.7092731829573935,0.7599831862126945,0.45171588188347966,0.4185014726796971,0.12332435159233698,1808,571,116,283,0.3001145080119215,0.7994513395721334,0.4733336141004649,-0.2083831438175252,2.1484701620138282,0.04103671706263499,116,0.04175665946724262,639,864.5,0.5172527452697083,0.5040159725997465,0.5052930937764586,566,0.24526518321367338,0.18153364632237873,6,12,5,4,89,0.6469921515325047,0.24284177276073937,0.5445649343424969,0.5999462251282162,0.5547618261393563
