algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
xgboost:control_permuted,0.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7688984881209503,0.7315704140553149,0.3452229299363057,0.6791979949874687,0.783942833123161,0.4577702702702703,0.34098166820689346,0.10336912675655044,1865,514,128,271,0.176466839134463,0.7895953629344483,0.4112856354938421,-0.16055807277262055,0.9450566056771348,0.04895608351331893,140,0.0503959683225342,722,972.0,0.5699154554402365,0.5441732622282471,0.5464752137527653,629,0.36939971809568556,0.19390581717451524,9,8,7,6,110,0.8668706868602228,0.084804724391213,0.6280662797347889,0.583404961449824,0.6442589094364617
xgboost:control_permuted,0.0,test,baseline_common_threshold,lambda_0_validation,2778,0.7915766738660908,0.7281239037063023,0.3695652173913043,0.6390977443609023,0.8171500630517023,0.46831955922865015,0.32783613300787867,0.09776640131015564,1944,435,144,255,0.176466839134463,0.8027730107108881,0.4682172562859919,0.09362643509448579,1.0510456494183482,0.054715622750179986,161,0.057955363570914326,639,864.5,0.5857163222858828,0.5609378015684053,0.5647211176343592,566,0.35102987037414857,0.2519561815336463,6,5,15,11,124,0.7922094266636119,0.07587329210991299,0.6427528416533685,0.7219705071322714,0.6559312878666724
xgboost:control_permuted,0.1,validation,baseline_common_threshold,lambda_0_validation,2778,0.7361411087113031,0.7218313754120484,0.3131991051454139,0.7017543859649122,0.7419083648591845,0.43310131477184843,0.34523020736175347,0.10384805100635816,1765,614,119,280,0.176466839134463,0.7894236431768787,0.417699526259936,-0.16566745630544513,1.09948804698108,0.04283657307415407,122,0.043916486681065514,722,972.0,0.5589917388630639,0.5354394606312197,0.5368943362501603,629,0.3460799001645133,0.16897506925207756,9,8,5,4,96,0.8378779487937773,0.11045352540143785,0.6176637702784974,0.5827004533417456,0.6270107183966303
xgboost:control_permuted,0.1,test,baseline_common_threshold,lambda_0_validation,2778,0.7588192944564435,0.7225567070260772,0.33209417596034696,0.6716791979949874,0.7734342160571669,0.4444444444444444,0.33242531944934517,0.09845778822835502,1840,539,131,268,0.176466839134463,0.80183961374643,0.47448216666060794,0.08083076311763138,1.215185143928352,0.04679625629949604,138,0.04967602591792657,639,864.5,0.573705955433552,0.5509752279752154,0.5539264119762202,566,0.32754817468489755,0.215962441314554,5,9,13,8,103,0.7771993901825612,0.10090561176819808,0.6311164005728992,0.7065883516772404,0.6381180833531843
xgboost:control_permuted,0.25,validation,baseline_common_threshold,lambda_0_validation,2778,0.6868250539956804,0.7232836188832737,0.2837465564738292,0.7744360902255639,0.6721311475409836,0.4153225806451613,0.3589590150067858,0.10688504578301412,1599,780,90,309,0.176466839134463,0.7906715085317328,0.4137193733526975,-0.23267361308456125,1.2624034031255016,0.037437005039596835,107,0.03851691864650828,722,972.0,0.543976817582795,0.523407701336864,0.5243412849909087,629,0.321199510442354,0.1481994459833795,9,26,6,4,62,0.8272766390368971,0.14621199319083494,0.5984964233607633,0.573452108577943,0.603380425301044
xgboost:control_permuted,0.25,test,baseline_common_threshold,lambda_0_validation,2778,0.7044636429085673,0.7148087747742622,0.2898406374501992,0.7293233082706767,0.7002942412778478,0.4148253741981468,0.3476052604877595,0.10155909247989983,1666,713,108,291,0.176466839134463,0.7927137094522773,0.4691269111849368,-0.013979246005007875,1.3754933053764844,0.03779697624190065,109,0.03923686105111591,639,864.5,0.5576399986591155,0.5378186781919982,0.5400166552785969,566,0.30250460570989424,0.1705790297339593,5,22,9,7,66,0.755126827540729,0.13738381665880986,0.6131788608833622,0.6935792648862952,0.6138077316014124
xgboost:control_permuted,0.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.49856011519078475,0.66133966694795,0.20833333333333334,0.8897243107769424,0.43295502311895756,0.33761293390394675,0.3888094726809357,0.11516853855578842,1030,1349,44,355,0.176466839134463,0.78758265988637,0.40596916314128667,-0.37969284376434054,1.4844551068969625,0.03419726421886249,98,0.035277177825773935,722,972.0,0.5240861824087523,0.5077429907874961,0.5072545698451068,629,0.2920542571172967,0.13573407202216067,7,68,5,3,15,0.7999206670666986,0.1967283849649335,0.5800450926652276,0.5527323962681474,0.5712853198109398
xgboost:control_permuted,0.5,test,baseline_common_threshold,lambda_0_validation,2778,0.5251979841612671,0.67272057824258,0.21639950678175093,0.8796992481203008,0.4657419083648592,0.3473527956457199,0.3768989452290028,0.1095231534870581,1108,1271,48,351,0.176466839134463,0.7891729112609182,0.46166233174125537,-0.16392468812803287,1.6295508706157529,0.02771778257739381,79,0.02843772498200144,639,864.5,0.535585433155438,0.5192832587652884,0.5209104414332323,566,0.2719972609877521,0.12363067292644757,4,48,6,4,17,0.7100632212571811,0.18693681275306362,0.5818942304508359,0.656441020232104,0.581780951715552
xgboost:control_permuted,0.75,validation,baseline_common_threshold,lambda_0_validation,2778,0.1630669546436285,0.509263385449753,0.14595588235294119,0.9949874686716792,0.023539302227826818,0.25456877204232126,0.4239606427098562,0.12683297068324462,56,2323,2,397,0.176466839134463,0.7907136483495414,0.404883036019245,-0.47973806903588867,1.7986738657668702,0.045716342692584594,127,0.045716342692584594,722,972.0,0.5085365514410616,0.496079198340913,0.49398509621561393,629,0.26904849632857974,0.17590027700831026,4,122,1,0,0,0.7645404478831419,0.2446229982453806,0.5662068801762848,0.5554599209830011,0.5445133871942907
xgboost:control_permuted,0.75,test,baseline_common_threshold,lambda_0_validation,2778,0.160187185025198,0.5034101647561526,0.14448529411764705,0.9849624060150376,0.02185792349726776,0.252003847386983,0.4133570358015413,0.12165717747873801,52,2327,6,393,0.176466839134463,0.7869663650509208,0.46019155859365135,-0.29568139305859986,1.9451891796743332,0.037437005039596835,105,0.03779697624190065,639,864.5,0.5166439324184465,0.5042016342513175,0.5042949726289351,566,0.24746222415276153,0.1643192488262911,1,98,3,0,3,0.6880956221781256,0.23425604396803296,0.5659311060311302,0.643898859492905,0.5519017085993575
