algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
xgboost:control_reversed,0.0,validation,fixed_threshold_0.5,prespecified,2778,0.8639308855291576,0.5941082213731048,0.5695364238410596,0.21553884711779447,0.9726775956284153,0.31272727272727274,0.34098166820689346,0.10336912675655044,2314,65,313,86,0.5,0.7895953629344483,0.4112856354938421,-0.16055807277262055,0.9450566056771348,0.15010799136069114,459,0.1652267818574514,722,972.0,0.5699154554402365,0.5441732622282471,0.5464752137527653,629,0.36939971809568556,0.6357340720221607,11,1,53,8,386,0.8668706868602228,0.084804724391213,0.6280662797347889,0.583404961449824,0.6442589094364617
xgboost:control_reversed,0.0,test,fixed_threshold_0.5,prespecified,2778,0.8693304535637149,0.5962178460021428,0.6343283582089553,0.21303258145363407,0.9794031105506515,0.31894934333958724,0.32783613300787867,0.09776640131015564,2330,49,314,85,0.5,0.8027730107108881,0.4682172562859919,0.09362643509448579,1.0510456494183482,0.13462922966162708,403,0.14506839452843773,639,864.5,0.5857163222858828,0.5609378015684053,0.5647211176343592,566,0.35102987037414857,0.6306729264475743,9,0,36,15,343,0.7922094266636119,0.07587329210991299,0.6427528416533685,0.7219705071322714,0.6559312878666724
xgboost:control_reversed,0.1,validation,fixed_threshold_0.5,prespecified,2778,0.8606911447084233,0.5577989741061354,0.5638297872340425,0.13283208020050125,0.9827658680117697,0.2150101419878296,0.34111793295527304,0.10328958074094506,2338,41,346,53,0.5,0.788374361713447,0.4085336392840993,0.004531265538032376,1.023909557149094,0.17026637868970482,526,0.18934485241180707,722,972.0,0.6159411494912156,0.5915520619475857,0.5939218414796055,629,0.4052770194129363,0.7285318559556787,11,1,64,9,441,0.8715959824225158,0.14748072471816853,0.6947782120730809,0.6197839700476451,0.6863768343172185
xgboost:control_reversed,0.1,test,fixed_threshold_0.5,prespecified,2778,0.8664506839452844,0.5674194945118155,0.6555555555555556,0.14786967418546365,0.9869693148381673,0.24130879345603273,0.32996869197758655,0.09886266213805826,2348,31,340,59,0.5,0.8024358921684203,0.47033501730607347,0.26821990116281585,1.1304044652952694,0.14974802015838734,453,0.1630669546436285,639,864.5,0.6293052606041291,0.605746161254428,0.6094884170992334,566,0.38263311765256935,0.7089201877934272,10,0,44,15,384,0.8043688932009655,0.14074263076070992,0.7028068086059605,0.7399765919541608,0.696064748340089
xgboost:control_reversed,0.25,validation,fixed_threshold_0.5,prespecified,2778,0.8606911447084233,0.5338108828186481,0.625,0.07518796992481203,0.9924337957124842,0.1342281879194631,0.3456121838669022,0.10479434503957315,2361,18,369,30,0.5,0.7805310881238405,0.3952851039982939,0.10993091447152939,1.0569689690011166,0.18718502519798416,575,0.206983441324694,722,972.0,0.6673045117504137,0.6446798767538199,0.6490355065721599,629,0.45565285085851037,0.796398891966759,11,1,66,11,486,0.8664924572661851,0.23392792425375597,0.7489190889554695,0.6510623434661518,0.7326444576205767
xgboost:control_reversed,0.25,test,fixed_threshold_0.5,prespecified,2778,0.86321094312455,0.534239128717127,0.7435897435897436,0.07268170426065163,0.9957965531736024,0.1324200913242009,0.336827972581236,0.10161870839779347,2369,10,370,29,0.5,0.7957351343891466,0.43881203384647477,0.34841314572097665,1.14811671527254,0.16846652267818574,511,0.18394528437724983,639,864.5,0.6784699958659709,0.6569644069557761,0.6620768225929325,566,0.4260170339408487,0.7996870109546166,10,0,50,17,434,0.81100527406753,0.23395693395664802,0.7562089499821908,0.7569519592039042,0.7394104451502921
xgboost:control_reversed,0.5,validation,fixed_threshold_0.5,prespecified,2778,0.859251259899208,0.5194117070734845,0.6538461538461539,0.042606516290726815,0.9962168978562421,0.08,0.3562796219725086,0.10906075411375594,2370,9,382,17,0.5,0.7626174515734481,0.340326136256672,0.08753583336667303,1.0035685050337442,0.1925845932325414,590,0.21238300935925125,722,972.0,0.7227184075788105,0.7023815453225332,0.7092960028032794,629,0.5185977018346974,0.817174515235457,11,1,66,12,500,0.8660431108612999,0.33259761943244764,0.804706293637952,0.7012708473068094,0.781451265774939
xgboost:control_reversed,0.5,test,fixed_threshold_0.5,prespecified,2778,0.8578113750899928,0.5133562152544033,0.6,0.03007518796992481,0.9966372425388819,0.057279236276849645,0.34996215240489853,0.10685456635498797,2371,8,387,12,0.5,0.7787454133442054,0.3626203664238702,0.2974759410879768,1.0773283702676109,0.17530597552195826,531,0.19114470842332612,639,864.5,0.7331601053861482,0.713946546952157,0.7210597156398081,566,0.4827763761564614,0.8309859154929577,10,1,51,18,451,0.828471223984236,0.33679911329357504,0.8105667388266101,0.7896730599436397,0.7876056213033116
xgboost:control_reversed,0.75,validation,fixed_threshold_0.5,prespecified,2778,0.8567314614830813,0.516897540193485,0.5161290322580645,0.040100250626566414,0.9936948297604036,0.07441860465116279,0.3669748077753418,0.11339005348642024,2364,15,383,16,0.5,0.7509742199129601,0.29362716063430827,-0.06928196941335499,0.8850355673732119,0.1969042476601872,602,0.21670266378689704,722,972.0,0.759476366598813,0.7406950673743378,0.749883474473972,629,0.5738968827901177,0.8337950138504155,11,13,66,12,500,0.8707704787068394,0.4023136750350848,0.83522354198428,0.7279634982283029,0.813716758759097
xgboost:control_reversed,0.75,test,fixed_threshold_0.5,prespecified,2778,0.8531317494600432,0.5054091723634433,0.30434782608695654,0.017543859649122806,0.9932744850777637,0.03317535545023697,0.36153068281928186,0.11133185666363787,2363,16,392,7,0.5,0.7648977424646104,0.3085949409570685,0.1324631679155003,0.954653805119829,0.17998560115190784,544,0.19582433405327573,639,864.5,0.7689694453854229,0.7514662646574173,0.7603027910549066,566,0.5319679181483216,0.8513302034428795,10,13,51,19,451,0.8384193594454995,0.4076066041390829,0.8436126244801042,0.8201425045742892,0.8185682590669997
xgboost:control_reversed,1.0,validation,fixed_threshold_0.5,prespecified,2778,0.8426925845932326,0.506614897900489,0.21212121212121213,0.03508771929824561,0.9781420765027322,0.060215053763440864,0.37812128135462897,0.11745911095549655,2327,52,385,14,0.5,0.7383043569411127,0.2635193826381282,-0.24024753004226362,0.7742493302506009,0.21058315334773217,640,0.23038156947444205,722,972.0,0.7868929140284309,0.7693843584776963,0.780473307273481,629,0.6220730955119951,0.8864265927977839,11,49,66,14,500,0.8677518182226586,0.4558339886782774,0.8584826933577643,0.7535432867455152,0.8374576224589524
xgboost:control_reversed,1.0,test,fixed_threshold_0.5,prespecified,2778,0.8470122390208783,0.5080940055055672,0.25,0.03258145363408521,0.9836065573770492,0.057649667405764965,0.3720773339143285,0.11525256745475908,2340,39,386,13,0.5,0.7537248965204097,0.28310134381474744,-0.03395679608685823,0.8486340387137306,0.1904247660187185,573,0.20626349892008639,639,864.5,0.7962511329251458,0.779832649001643,0.7902589174909804,566,0.5756685448428017,0.8967136150234741,10,43,51,18,451,0.8430353310322287,0.4607599502582634,0.8659366496849904,0.8350411703380529,0.842776238145183
