algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
xgboost:control_reversed,0.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7688984881209503,0.7315704140553149,0.3452229299363057,0.6791979949874687,0.783942833123161,0.4577702702702703,0.34098166820689346,0.10336912675655044,1865,514,128,271,0.176466839134463,0.7895953629344483,0.4112856354938421,-0.16055807277262055,0.9450566056771348,0.04895608351331893,140,0.0503959683225342,722,972.0,0.5699154554402365,0.5441732622282471,0.5464752137527653,629,0.36939971809568556,0.19390581717451524,9,8,7,6,110,0.8668706868602228,0.084804724391213,0.6280662797347889,0.583404961449824,0.6442589094364617
xgboost:control_reversed,0.0,test,baseline_common_threshold,lambda_0_validation,2778,0.7915766738660908,0.7281239037063023,0.3695652173913043,0.6390977443609023,0.8171500630517023,0.46831955922865015,0.32783613300787867,0.09776640131015564,1944,435,144,255,0.176466839134463,0.8027730107108881,0.4682172562859919,0.09362643509448579,1.0510456494183482,0.054715622750179986,161,0.057955363570914326,639,864.5,0.5857163222858828,0.5609378015684053,0.5647211176343592,566,0.35102987037414857,0.2519561815336463,6,5,15,11,124,0.7922094266636119,0.07587329210991299,0.6427528416533685,0.7219705071322714,0.6559312878666724
xgboost:control_reversed,0.1,validation,baseline_common_threshold,lambda_0_validation,2778,0.7703383729301656,0.7261533404760325,0.34460338101430427,0.6641604010025063,0.7881462799495587,0.4537671232876712,0.34111793295527304,0.10328958074094506,1875,504,134,265,0.176466839134463,0.788374361713447,0.4085336392840993,0.004531265538032376,1.023909557149094,0.0619150467962563,180,0.06479481641468683,722,972.0,0.6159411494912156,0.5915520619475857,0.5939218414796055,629,0.4052770194129363,0.24930747922437674,9,25,12,6,128,0.8715959824225158,0.14748072471816853,0.6947782120730809,0.6197839700476451,0.6863768343172185
xgboost:control_reversed,0.1,test,baseline_common_threshold,lambda_0_validation,2778,0.7912167026637869,0.7216559684204206,0.36671575846833576,0.6240601503759399,0.8192517864649013,0.4619666048237477,0.32996869197758655,0.09886266213805826,1949,430,150,249,0.176466839134463,0.8024358921684203,0.47033501730607347,0.26821990116281585,1.1304044652952694,0.06731461483081354,196,0.07055435565154787,639,864.5,0.6293052606041291,0.605746161254428,0.6094884170992334,566,0.38263311765256935,0.30672926447574334,6,25,15,11,139,0.8043688932009655,0.14074263076070992,0.7028068086059605,0.7399765919541608,0.696064748340089
xgboost:control_reversed,0.25,validation,baseline_common_threshold,lambda_0_validation,2778,0.7411807055435565,0.7101723413198823,0.31220657276995306,0.6666666666666666,0.7536780159730979,0.42525979216626697,0.3456121838669022,0.10479434503957315,1793,586,133,266,0.176466839134463,0.7805310881238405,0.3952851039982939,0.10993091447152939,1.0569689690011166,0.09575233981281497,276,0.09935205183585313,722,972.0,0.6673045117504137,0.6446798767538199,0.6490355065721599,629,0.45565285085851037,0.38227146814404434,8,116,17,5,130,0.8664924572661851,0.23392792425375597,0.7489190889554695,0.6510623434661518,0.7326444576205767
xgboost:control_reversed,0.25,test,baseline_common_threshold,lambda_0_validation,2778,0.775377969762419,0.7113654249115854,0.34396671289875175,0.6215538847117794,0.8011769651113914,0.44285714285714284,0.336827972581236,0.10161870839779347,1906,473,151,248,0.176466839134463,0.7957351343891466,0.43881203384647477,0.34841314572097665,1.14811671527254,0.09791216702663787,285,0.10259179265658748,639,864.5,0.6784699958659709,0.6569644069557761,0.6620768225929325,566,0.4260170339408487,0.4460093896713615,4,96,20,11,154,0.81100527406753,0.23395693395664802,0.7562089499821908,0.7569519592039042,0.7394104451502921
xgboost:control_reversed,0.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.7494600431965442,0.7024907792811157,0.315527950310559,0.6365914786967418,0.7683900798654897,0.4219269102990033,0.3562796219725086,0.10906075411375594,1828,551,145,254,0.176466839134463,0.7626174515734481,0.340326136256672,0.08753583336667303,1.0035685050337442,0.11447084233261338,333,0.11987041036717062,722,972.0,0.7227184075788105,0.7023815453225332,0.7092960028032794,629,0.5185977018346974,0.46121883656509693,7,130,23,5,168,0.8660431108612999,0.33259761943244764,0.804706293637952,0.7012708473068094,0.781451265774939
xgboost:control_reversed,0.5,test,baseline_common_threshold,lambda_0_validation,2778,0.7818574514038877,0.7078478036200211,0.3497822931785196,0.6040100250626567,0.8116855821773854,0.4430147058823529,0.34996215240489853,0.10685456635498797,1931,448,158,241,0.176466839134463,0.7787454133442054,0.3626203664238702,0.2974759410879768,1.0773283702676109,0.11195104391648668,327,0.11771058315334773,639,864.5,0.7331601053861482,0.713946546952157,0.7210597156398081,566,0.4827763761564614,0.5117370892018779,6,108,23,11,179,0.828471223984236,0.33679911329357504,0.8105667388266101,0.7896730599436397,0.7876056213033116
xgboost:control_reversed,0.75,validation,baseline_common_threshold,lambda_0_validation,2778,0.7523398128149748,0.6864418296687494,0.3106159895150721,0.5939849624060151,0.7788986969314838,0.4079173838209983,0.3669748077753418,0.11339005348642024,1853,526,162,237,0.176466839134463,0.7509742199129601,0.29362716063430827,-0.06928196941335499,0.8850355673732119,0.13390928725701945,406,0.14614830813534918,722,972.0,0.759476366598813,0.7406950673743378,0.749883474473972,629,0.5738968827901177,0.5623268698060941,8,130,41,5,222,0.8707704787068394,0.4023136750350848,0.83522354198428,0.7279634982283029,0.813716758759097
xgboost:control_reversed,0.75,test,baseline_common_threshold,lambda_0_validation,2778,0.7818574514038877,0.6963752382216575,0.3448275862068966,0.5764411027568922,0.8163093736864229,0.43151969981238275,0.36153068281928186,0.11133185666363787,1942,437,169,230,0.176466839134463,0.7648977424646104,0.3085949409570685,0.1324631679155003,0.954653805119829,0.1216702663786897,361,0.12994960403167746,639,864.5,0.7689694453854229,0.7514662646574173,0.7603027910549066,566,0.5319679181483216,0.564945226917058,7,108,30,11,205,0.8384193594454995,0.4076066041390829,0.8436126244801042,0.8201425045742892,0.8185682590669997
xgboost:control_reversed,1.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7609791216702664,0.6581112301560965,0.3037037037037037,0.5137844611528822,0.8024379991593107,0.3817504655493482,0.37812128135462897,0.11745911095549655,1909,470,194,205,0.176466839134463,0.7383043569411127,0.2635193826381282,-0.24024753004226362,0.7742493302506009,0.1630669546436285,496,0.1785457163426926,722,972.0,0.7868929140284309,0.7693843584776963,0.780473307273481,629,0.6220730955119951,0.6869806094182825,8,130,53,5,300,0.8677518182226586,0.4558339886782774,0.8584826933577643,0.7535432867455152,0.8374576224589524
xgboost:control_reversed,1.0,test,baseline_common_threshold,lambda_0_validation,2778,0.7818574514038877,0.6609145815358067,0.327212020033389,0.49122807017543857,0.8306010928961749,0.3927855711422846,0.3720773339143285,0.11525256745475908,1976,403,203,196,0.176466839134463,0.7537248965204097,0.28310134381474744,-0.03395679608685823,0.8486340387137306,0.14542836573074155,433,0.1558675305975522,639,864.5,0.7962511329251458,0.779832649001643,0.7902589174909804,566,0.5756685448428017,0.6776212832550861,7,108,36,12,270,0.8430353310322287,0.4607599502582634,0.8659366496849904,0.8350411703380529,0.842776238145183
xgboost:control_reversed,1.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.7652987760979122,0.6095282342046794,0.2761061946902655,0.39097744360902253,0.8280790248003362,0.3236514522821577,0.3958763099703839,0.12363547846340062,1970,409,243,156,0.176466839134463,0.7213278045892368,0.24265609842903932,-0.501407018017745,0.6133531328950315,0.19726421886249101,598,0.21526277897768178,722,972.0,0.8230927608574231,0.8072783045218425,0.8213458531878604,629,0.7039007885883312,0.8282548476454293,9,130,59,6,394,0.8673591362704095,0.5284265193466612,0.8844913236090567,0.7906436743494858,0.8687649107545796
xgboost:control_reversed,1.5,test,baseline_common_threshold,lambda_0_validation,2778,0.7800575953923686,0.6077156952911914,0.2896825396825397,0.3659147869674185,0.8495166036149643,0.3233665559246955,0.3904940270202511,0.12123849890405734,2021,358,253,146,0.176466839134463,0.7321050629937601,0.2557511275033596,-0.332384973656252,0.6712565337717383,0.17638588912886968,529,0.1904247660187185,639,864.5,0.8324844657612325,0.8178713030867921,0.8306608330718,566,0.6526770779296128,0.8278560250391236,8,108,46,13,354,0.8513444148757937,0.5381973234220676,0.893123702493712,0.8581885689836426,0.873893826953992
xgboost:control_reversed,2.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7660187185025198,0.5776168036737493,0.249500998003992,0.3132832080200501,0.8419503993274485,0.2777777777777778,0.41102276031194607,0.12821814899620793,2003,376,274,125,0.176466839134463,0.7030543993443044,0.22808702296776823,-0.6821500788678516,0.5123472274298253,0.2199424046076314,661,0.23794096472282217,722,972.0,0.8454514231605182,0.8308388011183692,0.8465860052654537,629,0.7616019422639387,0.9155124653739612,9,130,61,8,453,0.8621694664625156,0.5745274759010454,0.9048349997454309,0.8098487077945525,0.8876526756182447
xgboost:control_reversed,2.0,test,baseline_common_threshold,lambda_0_validation,2778,0.7786177105831533,0.5766291516938626,0.26,0.2932330827067669,0.8600252206809584,0.2756183745583039,0.40546690872853025,0.1255004254208237,2046,333,282,117,0.176466839134463,0.7117225598675124,0.23962128118899426,-0.5304853705634582,0.5649111967460589,0.19402447804175665,579,0.2084233261339093,639,864.5,0.8542727841379847,0.8409590951505361,0.855211140453551,566,0.7026809078430168,0.9061032863849765,8,108,47,15,401,0.8565033280266947,0.5874942334193262,0.9110255570737984,0.8739067225623307,0.8919998229982049
