algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
xgboost:control_reversed,0.0,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7688984881209503,0.7315704140553149,0.3452229299363057,0.6791979949874687,0.783942833123161,0.4577702702702703,0.34098166820689346,0.10336912675655044,1865,514,128,271,0.176466839134463,0.7895953629344483,0.4112856354938421,-0.16055807277262055,0.9450566056771348,0.04895608351331893,140,0.0503959683225342,722,972.0,0.5699154554402365,0.5441732622282471,0.5464752137527653,629,0.36939971809568556,0.19390581717451524,9,8,7,6,110,0.8668706868602228,0.084804724391213,0.6280662797347889,0.583404961449824,0.6442589094364617
xgboost:control_reversed,0.0,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7915766738660908,0.7281239037063023,0.3695652173913043,0.6390977443609023,0.8171500630517023,0.46831955922865015,0.32783613300787867,0.09776640131015564,1944,435,144,255,0.176466839134463,0.8027730107108881,0.4682172562859919,0.09362643509448579,1.0510456494183482,0.054715622750179986,161,0.057955363570914326,639,864.5,0.5857163222858828,0.5609378015684053,0.5647211176343592,566,0.35102987037414857,0.2519561815336463,6,5,15,11,124,0.7922094266636119,0.07587329210991299,0.6427528416533685,0.7219705071322714,0.6559312878666724
xgboost:control_reversed,0.1,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7627789776817855,0.7300834052343974,0.3387096774193548,0.6842105263157895,0.7759562841530054,0.45311203319502075,0.34111793295527304,0.10328958074094506,1846,533,126,273,0.17079218379604189,0.788374361713447,0.4085336392840993,0.004531265538032376,1.023909557149094,0.059755219582433405,174,0.06263498920086392,722,972.0,0.6159411494912156,0.5915520619475857,0.5939218414796055,629,0.4052770194129363,0.2409972299168975,9,28,11,6,120,0.8715959824225158,0.14748072471816853,0.6947782120730809,0.6197839700476451,0.6863768343172185
xgboost:control_reversed,0.1,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7814974802015838,0.7211961176585853,0.3547486033519553,0.6365914786967418,0.8058007566204287,0.4556053811659193,0.32996869197758655,0.09886266213805826,1917,462,145,254,0.17079218379604189,0.8024358921684203,0.47033501730607347,0.26821990116281585,1.1304044652952694,0.064434845212383,188,0.06767458603311735,639,864.5,0.6293052606041291,0.605746161254428,0.6094884170992334,566,0.38263311765256935,0.2942097026604069,5,27,15,11,130,0.8043688932009655,0.14074263076070992,0.7028068086059605,0.7399765919541608,0.696064748340089
xgboost:control_reversed,0.25,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6490280777537797,0.7158169699153305,0.26432078559738137,0.8095238095238095,0.6221101303068516,0.3985194324491055,0.3456121838669022,0.10479434503957315,1480,899,76,323,0.10976621678853943,0.7805310881238405,0.3952851039982939,0.10993091447152939,1.0569689690011166,0.07523398128149748,211,0.07595392368610511,722,972.0,0.6673045117504137,0.6446798767538199,0.6490355065721599,629,0.45565285085851037,0.2922437673130194,6,130,3,3,69,0.8664924572661851,0.23392792425375597,0.7489190889554695,0.6510623434661518,0.7326444576205767
xgboost:control_reversed,0.25,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6709863210943124,0.7129930753744387,0.2723253757736516,0.7719298245614035,0.6540563261874738,0.40261437908496733,0.336827972581236,0.10161870839779347,1556,823,91,308,0.10976621678853943,0.7957351343891466,0.43881203384647477,0.34841314572097665,1.14811671527254,0.07451403887688984,213,0.07667386609071274,639,864.5,0.6784699958659709,0.6569644069557761,0.6620768225929325,566,0.4260170339408487,0.3333333333333333,3,108,11,7,84,0.81100527406753,0.23395693395664802,0.7562089499821908,0.7569519592039042,0.7394104451502921
xgboost:control_reversed,0.5,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6634269258459323,0.7127512981697623,0.2689655172413793,0.7819548872180451,0.6435477091214796,0.40025657472738935,0.3562796219725086,0.10906075411375594,1531,848,87,312,0.11423628029271576,0.7626174515734481,0.340326136256672,0.08753583336667303,1.0035685050337442,0.08423326133909287,240,0.08639308855291576,722,972.0,0.7227184075788105,0.7023815453225332,0.7092960028032794,629,0.5185977018346974,0.33240997229916897,6,130,9,5,90,0.8660431108612999,0.33259761943244764,0.804706293637952,0.7012708473068094,0.781451265774939
xgboost:control_reversed,0.5,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6871850251979842,0.7068064233724285,0.2774621212121212,0.7343358395989975,0.6792770071458596,0.4027491408934708,0.34996215240489853,0.10685456635498797,1616,763,106,293,0.11423628029271576,0.7787454133442054,0.3626203664238702,0.2974759410879768,1.0773283702676109,0.08567314614830814,246,0.08855291576673865,639,864.5,0.7331601053861482,0.713946546952157,0.7210597156398081,566,0.4827763761564614,0.38497652582159625,3,108,12,11,112,0.828471223984236,0.33679911329357504,0.8105667388266101,0.7896730599436397,0.7876056213033116
xgboost:control_reversed,0.75,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6454283657307416,0.7074574835575698,0.2598360655737705,0.7944862155388471,0.6204287515762925,0.3915997529339098,0.3669748077753418,0.11339005348642024,1476,903,82,317,0.1059508617151131,0.7509742199129601,0.29362716063430827,-0.06928196941335499,0.8850355673732119,0.09071274298056156,260,0.09359251259899208,722,972.0,0.759476366598813,0.7406950673743378,0.749883474473972,629,0.5738968827901177,0.3601108033240997,6,130,10,3,111,0.8707704787068394,0.4023136750350848,0.83522354198428,0.7279634982283029,0.813716758759097
xgboost:control_reversed,0.75,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6663066954643628,0.6977453090481562,0.2642857142857143,0.7418546365914787,0.6536359815048339,0.3897300855826201,0.36153068281928186,0.11133185666363787,1555,824,103,296,0.1059508617151131,0.7648977424646104,0.3085949409570685,0.1324631679155003,0.954653805119829,0.09287257019438445,268,0.0964722822174226,639,864.5,0.7689694453854229,0.7514662646574173,0.7603027910549066,566,0.5319679181483216,0.4194053208137715,4,108,14,10,132,0.8384193594454995,0.4076066041390829,0.8436126244801042,0.8201425045742892,0.8185682590669997
