algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
xgboost:leave_out_LR01,0.0,validation,fixed_threshold_0.5,prespecified,2778,0.8639308855291576,0.5941082213731048,0.5695364238410596,0.21553884711779447,0.9726775956284153,0.31272727272727274,0.34098166820689346,0.10336912675655044,2314,65,313,86,0.5,0.7895953629344483,0.4112856354938421,-0.16055807277262055,0.9450566056771348,0.14650827933765298,448,0.16126709863210942,711,961.0,0.5665163841128484,0.5391807563619295,0.540664951377555,621,0.3594998925237077,0.630098452883263,1,53,8,386,0.084804724391213,0.6280662797347889,0.583404961449824,0.6442589094364617
xgboost:leave_out_LR01,0.0,test,fixed_threshold_0.5,prespecified,2778,0.8693304535637149,0.5962178460021428,0.6343283582089553,0.21303258145363407,0.9794031105506515,0.31894934333958724,0.32783613300787867,0.09776640131015564,2330,49,314,85,0.5,0.8027730107108881,0.4682172562859919,0.09362643509448579,1.0510456494183482,0.13246940244780417,394,0.1418286537077034,629,854.5,0.5832997850784195,0.5572609871789744,0.560857169099751,561,0.34406846156225784,0.6263910969793323,0,36,15,343,0.07587329210991299,0.6427528416533685,0.7219705071322714,0.6559312878666724
xgboost:leave_out_LR01,0.1,validation,fixed_threshold_0.5,prespecified,2778,0.8531317494600432,0.6222207473285989,0.4817813765182186,0.2982456140350877,0.9461958806221101,0.3684210526315789,0.345700857236985,0.10544503642085774,2251,128,280,119,0.5,0.787597408822603,0.4061766235075231,-0.38818417406953853,0.8750952979651238,0.11195104391648668,336,0.12095032397408208,711,961.0,0.49916696348981976,0.47699662905852774,0.4767525590777478,621,0.2762739908906564,0.47257383966244726,2,36,7,291,0.1100500336172098,0.5386386920408667,0.5452165272981002,0.5622193946124144
xgboost:leave_out_LR01,0.1,test,fixed_threshold_0.5,prespecified,2778,0.8714902807775378,0.6391972996804748,0.6009615384615384,0.3132832080200501,0.9651113913408995,0.41186161449752884,0.3282562963873398,0.09795505617785494,2296,83,274,125,0.5,0.8048578781969635,0.4694630036113714,-0.13534782900549533,0.9934612647279247,0.10727141828653708,316,0.11375089992800576,629,854.5,0.5166022694110105,0.49533905084431457,0.4975026758880219,561,0.26217310062180144,0.5023847376788553,0,26,15,275,0.10039783575015276,0.5507503999398077,0.6789617822030404,0.5759129766325263
xgboost:leave_out_LR01,0.25,validation,fixed_threshold_0.5,prespecified,2778,0.8448524118070554,0.6570192821271337,0.45375722543352603,0.39348370927318294,0.9205548549810845,0.4214765100671141,0.3578493408620939,0.11073253855978014,2190,189,242,157,0.5,0.7832722832722833,0.3939246707802746,-0.6192252319890024,0.798951259863009,0.07883369330453564,228,0.08207343412526998,711,961.0,0.4251837799591776,0.40871045664291683,0.406500341097681,621,0.20947625284369145,0.3206751054852321,3,18,6,201,0.14008406516372254,0.4372114694524979,0.5006195655102338,0.4720339114706232
xgboost:leave_out_LR01,0.25,test,fixed_threshold_0.5,prespecified,2778,0.8646508279337654,0.664406918936686,0.5406360424028268,0.38345864661654133,0.9453551912568307,0.44868035190615835,0.3377775398738981,0.10176544838739748,2249,130,246,153,0.5,0.7979216641856849,0.44744744402720293,-0.41504987077758143,0.89959285175205,0.07955363570914327,232,0.08351331893448524,629,854.5,0.43866601921275056,0.4229865274535108,0.4232383459969303,561,0.19615091534451867,0.3688394276629571,0,18,12,202,0.12918115195291044,0.4487108503864832,0.61365961523996,0.4824017190644658
xgboost:leave_out_LR01,0.5,validation,fixed_threshold_0.5,prespecified,2778,0.818214542836573,0.6623257386846688,0.3847826086956522,0.44360902255639095,0.8810424548129466,0.4121071012805588,0.37831108167895655,0.12022967944149446,2096,283,222,177,0.5,0.7794638972378403,0.38849149093479146,-0.8521160813390579,0.6841769451563576,0.038876889848812095,109,0.03923686105111591,711,961.0,0.3437061726569976,0.33273334743345034,0.3274670592730044,621,0.15582432653623926,0.15330520393811534,6,9,6,88,0.1555169484071238,0.33857274524265374,0.4369307833239225,0.3749128875927662
xgboost:leave_out_LR01,0.5,test,fixed_threshold_0.5,prespecified,2778,0.8448524118070554,0.6768355314515797,0.4583333333333333,0.44110275689223055,0.912568306010929,0.4495530012771392,0.3528438722792177,0.10880738564928921,2171,208,223,176,0.5,0.7945194006453713,0.4352876182722204,-0.6828408481048878,0.7699522469103218,0.043916486681065514,124,0.04463642908567315,629,854.5,0.35439774794242024,0.34401351264772717,0.3412708113546317,561,0.14459406317464826,0.1971383147853736,3,9,12,100,0.1438256302274403,0.3484089883834906,0.5360905610812329,0.38336308719014495
xgboost:leave_out_LR01,0.75,validation,fixed_threshold_0.5,prespecified,2778,0.8016558675305976,0.6610014949100368,0.3544061302681992,0.46365914786967416,0.8583438419503994,0.4017372421281216,0.3959671023226656,0.12790763475845676,2042,337,214,185,0.5,0.7774986014847964,0.382518265567943,-0.9781520007635355,0.6211933127894868,0.017278617710583154,49,0.017638588912886968,711,961.0,0.29343651793772474,0.2857880786973998,0.27783264786101625,621,0.12738666051787453,0.06891701828410689,7,8,6,28,0.16219253132226383,0.28159707068893797,0.39536990985883536,0.3151886791372091
xgboost:leave_out_LR01,0.75,test,fixed_threshold_0.5,prespecified,2778,0.8210943124550036,0.6733937618320707,0.39574468085106385,0.46616541353383456,0.8806221101303069,0.428078250863061,0.3669490850666821,0.11512338503200013,2095,284,213,186,0.5,0.7933147286037708,0.43185542766284124,-0.8313378073258925,0.6984445533056624,0.01583873290136789,45,0.016198704103671708,629,854.5,0.3006673101278029,0.2935091389693167,0.2881962165049998,561,0.1168441554329632,0.07154213036565978,7,7,10,21,0.1502106978510651,0.287287906250035,0.4808880863167733,0.320634004844822
xgboost:leave_out_LR01,1.0,validation,fixed_threshold_0.5,prespecified,2778,0.8009359251259899,0.663710031699678,0.35471698113207545,0.47117794486215536,0.8562421185372006,0.4047362755651238,0.4130123487601687,0.13482974823539548,2037,342,211,188,0.5,0.7765025215413481,0.37977715411290325,-1.0666796348031158,0.5734546942488247,0.01583873290136789,44,0.01583873290136789,711,961.0,0.25562296934895434,0.25050546411787145,0.24021675832234138,621,0.10813271369580771,0.06188466947960619,10,4,5,25,0.16664468824667864,0.24196785001431795,0.3591413534477543,0.2701771542261541
xgboost:leave_out_LR01,1.0,test,fixed_threshold_0.5,prespecified,2778,0.8196544276457883,0.6715101119760308,0.3919491525423729,0.46365914786967416,0.8793610760823876,0.42479908151549944,0.3799629813463581,0.1207656997960314,2092,287,214,185,0.5,0.7935017240452961,0.43484431476085755,-0.9297434489680794,0.6459439367451181,0.014758819294456443,41,0.014758819294456443,629,854.5,0.26173071963338995,0.25700551240950165,0.2495992104764905,561,0.09894478698312485,0.06518282988871224,9,5,10,17,0.15251575312164553,0.24876124151796233,0.4480567057217074,0.274911009406453
xgboost:leave_out_LR01,1.5,validation,fixed_threshold_0.5,prespecified,2778,0.7962562994960403,0.6630637122440401,0.3473491773308958,0.47619047619047616,0.849936948297604,0.40169133192389006,0.44041998463839277,0.14467734532559207,2022,357,209,190,0.5,0.7753958245761524,0.380748643057946,-1.1768722923623212,0.5179836676829416,0.014038876889848811,39,0.014038876889848811,711,961.0,0.20783846733329878,0.20578519893400554,0.1923592821125444,621,0.08570192838166106,0.05485232067510549,18,1,3,17,0.1713127696874387,0.19410785018316767,0.2928344626784994,0.21367796266088873
xgboost:leave_out_LR01,1.5,test,fixed_threshold_0.5,prespecified,2778,0.816414686825054,0.6717044818856726,0.38556701030927837,0.46867167919799496,0.8747372845733501,0.4230769230769231,0.4021932506171501,0.12899795873923298,2081,298,212,187,0.5,0.792016822215269,0.4312709135669244,-1.0557336716309997,0.5838471240855165,0.01259899208063355,35,0.01259899208063355,629,854.5,0.21228188827468153,0.21024725612051043,0.19998126053274556,561,0.07789308827097756,0.05564387917329094,16,2,6,11,0.15593215068913976,0.19977913075855164,0.36407459446627405,0.21795720368476415
xgboost:leave_out_LR01,2.0,validation,fixed_threshold_0.5,prespecified,2778,0.7926565874730022,0.6640908703031222,0.3428063943161634,0.48370927318295737,0.8444724674232871,0.40124740124740127,0.4650293083521763,0.15204796328934533,2009,370,206,193,0.5,0.7723570169644371,0.3769546857389527,-1.2456329091120617,0.47472924437380276,0.01331893448524118,37,0.01331893448524118,711,961.0,0.17672761923118516,0.17647470283995487,0.16098859651651695,621,0.07233455545974879,0.052039381153305204,31,0,2,4,0.1711471025690537,0.16051041318113768,0.26048309275692466,0.17744691344784397
xgboost:leave_out_LR01,2.0,test,fixed_threshold_0.5,prespecified,2778,0.8128149748020158,0.6748175609262753,0.3801980198019802,0.48120300751879697,0.8684321143337537,0.4247787610619469,0.4211817803108107,0.13495782561097328,2066,313,207,192,0.5,0.7916475720617222,0.4284774735999466,-1.1329883072030515,0.5377587639442154,0.011159107271418287,31,0.011159107271418287,629,854.5,0.17937182453940378,0.17898118860195214,0.1666692859085048,561,0.06500832886645731,0.0492845786963434,23,1,3,4,0.15478730413649264,0.16382601382354942,0.3220473264368617,0.18046144761992305
