algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
xgboost:leave_out_LR01,0.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7688984881209503,0.7315704140553149,0.3452229299363057,0.6791979949874687,0.783942833123161,0.4577702702702703,0.34098166820689346,0.10336912675655044,1865,514,128,271,0.176466839134463,0.7895953629344483,0.4112856354938421,-0.16055807277262055,0.9450566056771348,0.045716342692584594,131,0.047156227501799854,711,961.0,0.5665163841128484,0.5391807563619295,0.540664951377555,621,0.3594998925237077,0.18424753867791843,8,7,6,110,0.084804724391213,0.6280662797347889,0.583404961449824,0.6442589094364617
xgboost:leave_out_LR01,0.0,test,baseline_common_threshold,lambda_0_validation,2778,0.7915766738660908,0.7281239037063023,0.3695652173913043,0.6390977443609023,0.8171500630517023,0.46831955922865015,0.32783613300787867,0.09776640131015564,1944,435,144,255,0.176466839134463,0.8027730107108881,0.4682172562859919,0.09362643509448579,1.0510456494183482,0.05255579553635709,155,0.05579553635709143,629,854.5,0.5832997850784195,0.5572609871789744,0.560857169099751,561,0.34406846156225784,0.246422893481717,5,15,11,124,0.07587329210991299,0.6427528416533685,0.7219705071322714,0.6559312878666724
xgboost:leave_out_LR01,0.1,validation,baseline_common_threshold,lambda_0_validation,2778,0.740100791936645,0.7283151131296084,0.31874298540965207,0.7117794486215538,0.7448507776376628,0.44031007751937984,0.345700857236985,0.10544503642085774,1772,607,115,284,0.176466839134463,0.787597408822603,0.4061766235075231,-0.38818417406953853,0.8750952979651238,0.0183585313174946,51,0.0183585313174946,711,961.0,0.49916696348981976,0.47699662905852774,0.4767525590777478,621,0.2762739908906564,0.07172995780590717,24,3,4,20,0.1100500336172098,0.5386386920408667,0.5452165272981002,0.5622193946124144
xgboost:leave_out_LR01,0.1,test,baseline_common_threshold,lambda_0_validation,2778,0.7624190064794817,0.730916193383838,0.33868974042027195,0.6867167919799498,0.775115594787726,0.45364238410596025,0.3282562963873398,0.09795505617785494,1844,535,125,274,0.176466839134463,0.8048578781969635,0.4694630036113714,-0.13534782900549533,0.9934612647279247,0.019438444924406047,55,0.019798416126709864,629,854.5,0.5166022694110105,0.49533905084431457,0.4975026758880219,561,0.26217310062180144,0.08744038155802862,20,5,7,23,0.10039783575015276,0.5507503999398077,0.6789617822030404,0.5759129766325263
xgboost:leave_out_LR01,0.25,validation,baseline_common_threshold,lambda_0_validation,2778,0.7293016558675306,0.722009942890012,0.30836047774158526,0.7117794486215538,0.73224043715847,0.4303030303030303,0.3578493408620939,0.11073253855978014,1742,637,115,284,0.176466839134463,0.7832722832722833,0.3939246707802746,-0.6192252319890024,0.798951259863009,0.014398848092152628,40,0.014398848092152628,711,961.0,0.4251837799591776,0.40871045664291683,0.406500341097681,621,0.20947625284369145,0.05625879043600562,36,1,3,0,0.14008406516372254,0.4372114694524979,0.5006195655102338,0.4720339114706232
xgboost:leave_out_LR01,0.25,test,baseline_common_threshold,lambda_0_validation,2778,0.7455003599712023,0.7231240143233241,0.3209302325581395,0.6917293233082706,0.7545187053383775,0.4384432088959492,0.3377775398738981,0.10176544838739748,1795,584,123,276,0.176466839134463,0.7979216641856849,0.44744744402720293,-0.41504987077758143,0.89959285175205,0.011519078473722102,32,0.011519078473722102,629,854.5,0.43866601921275056,0.4229865274535108,0.4232383459969303,561,0.19615091534451867,0.05087440381558029,28,2,2,0,0.12918115195291044,0.4487108503864832,0.61365961523996,0.4824017190644658
xgboost:leave_out_LR01,0.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.7275017998560115,0.7188731602018918,0.30585683297180044,0.706766917293233,0.7309794031105507,0.42694928084784256,0.37831108167895655,0.12022967944149446,1739,640,117,282,0.176466839134463,0.7794638972378403,0.38849149093479146,-0.8521160813390579,0.6841769451563576,0.01331893448524118,37,0.01331893448524118,711,961.0,0.3437061726569976,0.33273334743345034,0.3274670592730044,621,0.15582432653623926,0.052039381153305204,37,0,0,0,0.1555169484071238,0.33857274524265374,0.4369307833239225,0.3749128875927662
xgboost:leave_out_LR01,0.5,test,baseline_common_threshold,lambda_0_validation,2778,0.7455003599712023,0.726252895795605,0.32217090069284066,0.6992481203007519,0.7532576712904582,0.44110671936758894,0.3528438722792177,0.10880738564928921,1792,587,120,279,0.176466839134463,0.7945194006453713,0.4352876182722204,-0.6828408481048878,0.7699522469103218,0.010079193664506839,28,0.010079193664506839,629,854.5,0.35439774794242024,0.34401351264772717,0.3412708113546317,561,0.14459406317464826,0.04451510333863275,27,1,0,0,0.1438256302274403,0.3484089883834906,0.5360905610812329,0.38336308719014495
xgboost:leave_out_LR01,0.75,validation,baseline_common_threshold,lambda_0_validation,2778,0.7257019438444925,0.719908219476813,0.3050483351235231,0.7117794486215538,0.7280369903320723,0.4270676691729323,0.3959671023226656,0.12790763475845676,1732,647,115,284,0.176466839134463,0.7774986014847964,0.382518265567943,-0.9781520007635355,0.6211933127894868,0.012958963282937365,36,0.012958963282937365,711,961.0,0.29343651793772474,0.2857880786973998,0.27783264786101625,621,0.12738666051787453,0.05063291139240506,36,0,0,0,0.16219253132226383,0.28159707068893797,0.39536990985883536,0.3151886791372091
xgboost:leave_out_LR01,0.75,test,baseline_common_threshold,lambda_0_validation,2778,0.7437005039596832,0.729373876052047,0.32195676905574516,0.7092731829573935,0.7494745691467003,0.4428794992175274,0.3669490850666821,0.11512338503200013,1783,596,116,283,0.176466839134463,0.7933147286037708,0.43185542766284124,-0.8313378073258925,0.6984445533056624,0.009719222462203024,27,0.009719222462203024,629,854.5,0.3006673101278029,0.2935091389693167,0.2881962165049998,561,0.1168441554329632,0.04292527821939587,27,0,0,0,0.1502106978510651,0.287287906250035,0.4808880863167733,0.320634004844822
