algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
xgboost:leave_out_LR02,0.0,validation,fixed_threshold_0.5,prespecified,2778,0.8639308855291576,0.5941082213731048,0.5695364238410596,0.21553884711779447,0.9726775956284153,0.31272727272727274,0.34098166820689346,0.10336912675655044,2314,65,313,86,0.5,0.7895953629344483,0.4112856354938421,-0.16055807277262055,0.9450566056771348,0.14974802015838734,458,0.16486681065514758,592,842.0,0.644813786837354,0.6450481100640821,0.649849990469367,537,0.36498710618837893,0.7736486486486487,11,53,8,386,0.8668706868602228,0.6280662797347889,0.583404961449824,0.6442589094364617
xgboost:leave_out_LR02,0.0,test,fixed_threshold_0.5,prespecified,2778,0.8693304535637149,0.5962178460021428,0.6343283582089553,0.21303258145363407,0.9794031105506515,0.31894934333958724,0.32783613300787867,0.09776640131015564,2330,49,314,85,0.5,0.8027730107108881,0.4682172562859919,0.09362643509448579,1.0510456494183482,0.13462922966162708,403,0.14506839452843773,531,756.5,0.6585029016104098,0.6595949899328445,0.6645539218767195,487,0.3479153680172023,0.7589453860640302,9,36,15,343,0.7922094266636119,0.6427528416533685,0.7219705071322714,0.6559312878666724
xgboost:leave_out_LR02,0.1,validation,fixed_threshold_0.5,prespecified,2778,0.853491720662347,0.6224309196699188,0.483739837398374,0.2982456140350877,0.9466162253047499,0.3689922480620155,0.3457580876358209,0.10542458642580614,2252,127,280,119,0.5,0.7873403559339711,0.4105367294144042,-0.39026949268797007,0.8759116588982916,0.11483081353491721,343,0.12347012239020878,592,842.0,0.5613933416613474,0.5619602944736579,0.5684532683914214,537,0.2767928534885307,0.5793918918918919,9,35,7,292,0.8299334137288558,0.5359834115667228,0.5433948608724254,0.5600507974017959
xgboost:leave_out_LR02,0.1,test,fixed_threshold_0.5,prespecified,2778,0.8700503959683226,0.6393995708059557,0.5887850467289719,0.3157894736842105,0.9630096679277007,0.4110929853181077,0.32840086189612194,0.09808313691216564,2291,88,273,126,0.5,0.8048468164947888,0.4687884973049656,-0.14253736509391157,0.9907457569841223,0.1079913606911447,318,0.11447084233261338,531,756.5,0.5767652657502897,0.5779528554489024,0.5846860966473494,487,0.2618968184044142,0.5988700564971752,7,25,14,272,0.729542700425049,0.5504116064192415,0.6666648799095495,0.5739687684998979
xgboost:leave_out_LR02,0.25,validation,fixed_threshold_0.5,prespecified,2778,0.8444924406047516,0.6578520702765742,0.45272206303724927,0.39598997493734334,0.919714165615805,0.42245989304812837,0.3587432301046223,0.11116546670142505,2188,191,241,158,0.5,0.7830015349428636,0.3933379770813633,-0.633000009882272,0.7907325124742608,0.0802735781137509,230,0.08279337652987762,592,842.0,0.46880511140413395,0.4695387546654659,0.47795696247059793,537,0.20510020383102714,0.3885135135135135,9,16,6,199,0.7609471445782138,0.43350994216259153,0.49672972721429576,0.4670678441612999
xgboost:leave_out_LR02,0.25,test,fixed_threshold_0.5,prespecified,2778,0.8635709143268538,0.659604559949685,0.5359712230215827,0.37343358395989973,0.9457755359394704,0.4401772525849335,0.3379800961235754,0.10208155911785194,2250,129,250,149,0.5,0.7990199331873188,0.44992057477549546,-0.4260153558908707,0.8920254211059324,0.08315334773218143,241,0.08675305975521959,531,756.5,0.48218603982368824,0.48362913055146045,0.49205042383970776,487,0.19297030000690715,0.4538606403013183,6,17,13,205,0.6523685492766259,0.446377173958327,0.6097265973997477,0.47878789713434444
xgboost:leave_out_LR02,0.5,validation,fixed_threshold_0.5,prespecified,2778,0.8171346292296616,0.6648241031329901,0.3837953091684435,0.45112781954887216,0.8785203867171081,0.4147465437788018,0.3811137018291993,0.12130303577179471,2090,289,219,180,0.5,0.7779684604533612,0.38440689444650583,-0.871829609046047,0.6729312207687035,0.037437005039596835,104,0.037437005039596835,592,842.0,0.36837241185128866,0.3692851556418695,0.3782463238454444,537,0.1459738909904116,0.17567567567567569,9,8,6,81,0.6391869584684162,0.33240505818779703,0.4361002985895312,0.3662110345551931
xgboost:leave_out_LR02,0.5,test,fixed_threshold_0.5,prespecified,2778,0.8416126709863211,0.6749439803797008,0.44783715012722647,0.44110275689223055,0.9087852038671711,0.4444444444444444,0.3538619499677458,0.10952881904674099,2162,217,223,176,0.5,0.7957698997388385,0.4372222476663233,-0.6975642964524796,0.7614692756328832,0.042476601871850254,119,0.04283657307415407,531,756.5,0.38062089041907143,0.3821721708797968,0.3913564314601604,487,0.13772787224175106,0.224105461393597,6,8,12,93,0.5424173116784515,0.34012326392573033,0.534231654234979,0.3769679860969196
xgboost:leave_out_LR02,0.75,validation,fixed_threshold_0.5,prespecified,2778,0.7951763858891289,0.6613902347293201,0.3448905109489051,0.47368421052631576,0.8490962589323245,0.3991552270327349,0.4008403620398429,0.1299771325711877,2020,359,210,189,0.5,0.7757461118116855,0.3787183865515956,-1.0071154025669433,0.6202511427783581,0.00827933765298776,23,0.00827933765298776,592,842.0,0.30617069419545456,0.3073672955330976,0.3157626296609463,537,0.1148874352005696,0.03885135135135135,9,7,6,1,0.5784344250752598,0.2743829432661012,0.38805432734968864,0.3033371422279158
xgboost:leave_out_LR02,0.75,test,fixed_threshold_0.5,prespecified,2778,0.8167746580273578,0.6719146542269925,0.38636363636363635,0.46867167919799496,0.8751576292559899,0.42355605889014725,0.3702694754561549,0.11678080094903417,2082,297,212,187,0.5,0.7929175608209258,0.4291812143056084,-0.8568700588627068,0.7005357955608051,0.008999280057595392,25,0.008999280057595392,531,756.5,0.31557957418682264,0.31749135117408794,0.325987773438912,487,0.10773570931876178,0.047080979284369114,6,7,10,2,0.48938615751764464,0.28073689977050625,0.4779149059045864,0.31107778447401624
xgboost:leave_out_LR02,1.0,validation,fixed_threshold_0.5,prespecified,2778,0.7940964722822175,0.6628456386868812,0.3441441441441441,0.47869674185463656,0.8469945355191257,0.40041928721174,0.41819295256144756,0.13708185476608445,2015,364,208,191,0.5,0.7753889768557586,0.3734822498946202,-1.0968305485919063,0.5769953424335005,0.0064794816414686825,18,0.0064794816414686825,592,842.0,0.2614942964937465,0.26273589598125285,0.27055700849940306,537,0.09471259817642445,0.030405405405405407,9,4,5,0,0.5211337242267834,0.23211394436569643,0.3473709781736958,0.25855418890733134
