algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR05
xgboost:leave_out_LR04,0.0,validation,fixed_threshold_0.5,prespecified,2778,0.8639308855291576,0.5941082213731048,0.5695364238410596,0.21553884711779447,0.9726775956284153,0.31272727272727274,0.34098166820689346,0.10336912675655044,2314,65,313,86,0.5,0.7895953629344483,0.4112856354938421,-0.16055807277262055,0.9450566056771348,0.1472282217422606,451,0.16234701223902087,707,957.0,0.5697040211767631,0.5433409065163324,0.5454250568648409,616,0.3624957924777378,0.637906647807638,11,1,53,386,0.8668706868602228,0.084804724391213,0.6280662797347889,0.6442589094364617
xgboost:leave_out_LR04,0.0,test,fixed_threshold_0.5,prespecified,2778,0.8693304535637149,0.5962178460021428,0.6343283582089553,0.21303258145363407,0.9794031105506515,0.31894934333958724,0.32783613300787867,0.09776640131015564,2330,49,314,85,0.5,0.8027730107108881,0.4682172562859919,0.09362643509448579,1.0510456494183482,0.12922966162706984,388,0.1396688264938805,620,845.5,0.5826544304915818,0.5560029283333836,0.5591509360319966,548,0.3398710636987559,0.6258064516129033,9,0,36,343,0.7922094266636119,0.07587329210991299,0.6427528416533685,0.6559312878666724
xgboost:leave_out_LR04,0.1,validation,fixed_threshold_0.5,prespecified,2778,0.853491720662347,0.6234738801606792,0.4838709677419355,0.3007518796992481,0.9461958806221101,0.37094281298299847,0.34573762245906514,0.1054748866278044,2251,128,279,120,0.5,0.788634048340692,0.40286305641274894,-0.3717638379578479,0.9023557312594999,0.11195104391648668,336,0.12095032397408208,707,957.0,0.5027724577898066,0.48190789739557116,0.4823400393476849,616,0.27683443063387186,0.4752475247524752,9,2,36,289,0.830329498624361,0.1179552791825728,0.5356417482986995,0.5617774345847044
xgboost:leave_out_LR04,0.1,test,fixed_threshold_0.5,prespecified,2778,0.8707703383729302,0.6346051130347938,0.599009900990099,0.3032581453634085,0.9659520807061791,0.40266222961730447,0.32952255989478857,0.0983008988570711,2298,81,278,121,0.5,0.8026055049350994,0.4683228307084678,-0.12346703977132124,1.0172656168165097,0.10511159107271419,311,0.11195104391648668,620,845.5,0.5164857619855536,0.49489418566375193,0.49670110193487793,548,0.2571709418547541,0.5016129032258064,7,0,26,278,0.7340275967961071,0.10761359168708445,0.5522199597419856,0.5758506281474918
xgboost:leave_out_LR04,0.25,validation,fixed_threshold_0.5,prespecified,2778,0.8452123830093593,0.655143533486933,0.45454545454545453,0.38847117794486213,0.9218158890290038,0.4189189189189189,0.35701670708106364,0.11051249763899024,2193,186,244,155,0.5,0.7843710790216398,0.3937463049100213,-0.6127567613461229,0.7995777110093393,0.0802735781137509,232,0.08351331893448524,707,957.0,0.4274402405501058,0.4118398572304585,0.41006612553078536,616,0.21122870570887758,0.32814710042432815,9,3,18,202,0.7639957530923531,0.13897576319672347,0.4381956708077288,0.4715581245780684
xgboost:leave_out_LR04,0.25,test,fixed_threshold_0.5,prespecified,2778,0.86321094312455,0.6583514271176049,0.5342960288808665,0.37092731829573933,0.9457755359394704,0.4378698224852071,0.3381447383383632,0.10192922606285487,2250,129,251,148,0.5,0.7973211717819139,0.4451394495609465,-0.4160726398651996,0.8908680647691734,0.078113750899928,227,0.08171346292296616,620,845.5,0.4371811944844134,0.42079452516884713,0.42071319110438665,548,0.19354961237258347,0.36612903225806454,6,0,17,204,0.6480079281455754,0.12998222076541913,0.4487501532704228,0.4822354515826444
xgboost:leave_out_LR04,0.5,validation,fixed_threshold_0.5,prespecified,2778,0.8207343412526998,0.6648399055646683,0.3912087912087912,0.44611528822055135,0.8835645229087852,0.4168618266978923,0.3771262498410057,0.11963878260667793,2102,277,221,178,0.5,0.7797467607648799,0.3888116906709489,-0.8430859104080324,0.6797511692732576,0.04103671706263499,116,0.04175665946724262,707,957.0,0.34467542843013177,0.33430077548211923,0.32957061578791536,616,0.15621082843959908,0.16407355021216408,9,5,11,91,0.6697080592761082,0.15219143113015374,0.33623484974765994,0.3740149469671111
xgboost:leave_out_LR04,0.5,test,fixed_threshold_0.5,prespecified,2778,0.8459323254139669,0.6764230879847791,0.46174142480211083,0.43859649122807015,0.914249684741488,0.4498714652956298,0.3517595523870792,0.10849876633830224,2175,204,224,175,0.5,0.7959653231439253,0.4355913487536494,-0.6721860800308382,0.7629526825050497,0.04319654427645788,122,0.043916486681065514,620,845.5,0.3521312197966396,0.34082328899364567,0.33798141114484237,548,0.1423738694914598,0.1967741935483871,6,3,9,104,0.5538625740680979,0.14184073150248633,0.34549019821791843,0.3832217612505476
xgboost:leave_out_LR04,0.75,validation,fixed_threshold_0.5,prespecified,2778,0.8030957523398128,0.6607992237845559,0.35658914728682173,0.46115288220551376,0.8604455653635982,0.4021857923497268,0.39417573219908664,0.12724249057263048,2047,332,215,184,0.5,0.7787217096966881,0.3799334162393705,-0.969988238522056,0.6324841075243793,0.017998560115190784,51,0.0183585313174946,707,957.0,0.29536935598669806,0.2885641393303123,0.28120276205407874,616,0.12800112627723972,0.07213578500707214,9,6,8,28,0.6249175669403105,0.16378399473184307,0.2809330243874121,0.3146145086909571
xgboost:leave_out_LR04,0.75,test,fixed_threshold_0.5,prespecified,2778,0.8236141108711303,0.6738220077305496,0.40130151843817785,0.46365914786967416,0.8839848675914249,0.43023255813953487,0.3673936044596569,0.11530086102888257,2103,276,214,185,0.5,0.7926620881754617,0.4277173609893489,-0.8278855654747533,0.703363982424891,0.014758819294456443,42,0.01511879049676026,620,845.5,0.2997084564239579,0.29229064219555045,0.2867021717531913,548,0.11525690240644977,0.06774193548387097,6,7,7,22,0.5171818328470611,0.15702479352069498,0.2886882086687336,0.3201033336816634
