algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR05
xgboost:leave_out_LR04,0.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7688984881209503,0.7315704140553149,0.3452229299363057,0.6791979949874687,0.783942833123161,0.4577702702702703,0.34098166820689346,0.10336912675655044,1865,514,128,271,0.176466839134463,0.7895953629344483,0.4112856354938421,-0.16055807277262055,0.9450566056771348,0.04679625629949604,134,0.0482361411087113,707,957.0,0.5697040211767631,0.5433409065163324,0.5454250568648409,616,0.3624957924777378,0.18953323903818953,9,8,7,110,0.8668706868602228,0.084804724391213,0.6280662797347889,0.6442589094364617
xgboost:leave_out_LR04,0.0,test,baseline_common_threshold,lambda_0_validation,2778,0.7915766738660908,0.7281239037063023,0.3695652173913043,0.6390977443609023,0.8171500630517023,0.46831955922865015,0.32783613300787867,0.09776640131015564,1944,435,144,255,0.176466839134463,0.8027730107108881,0.4682172562859919,0.09362643509448579,1.0510456494183482,0.05075593952483801,150,0.05399568034557235,620,845.5,0.5826544304915818,0.5560029283333836,0.5591509360319966,548,0.3398710636987559,0.24193548387096775,6,5,15,124,0.7922094266636119,0.07587329210991299,0.6427528416533685,0.6559312878666724
xgboost:leave_out_LR04,0.1,validation,baseline_common_threshold,lambda_0_validation,2778,0.7393808495320374,0.7320666104100099,0.3196448390677026,0.7218045112781954,0.7423287095418243,0.4430769230769231,0.34573762245906514,0.1054748866278044,1766,613,111,288,0.176466839134463,0.788634048340692,0.40286305641274894,-0.3717638379578479,0.9023557312594999,0.018718502519798418,52,0.018718502519798418,707,957.0,0.5027724577898066,0.48190789739557116,0.4823400393476849,616,0.27683443063387186,0.07355021216407355,9,28,2,13,0.830329498624361,0.1179552791825728,0.5356417482986995,0.5617774345847044
xgboost:leave_out_LR04,0.1,test,baseline_common_threshold,lambda_0_validation,2778,0.7588192944564435,0.7277715094798788,0.33414932680538556,0.6842105263157895,0.7713324926439681,0.44901315789473684,0.32952255989478857,0.0983008988570711,1835,544,126,273,0.176466839134463,0.8026055049350994,0.4683228307084678,-0.12346703977132124,1.0172656168165097,0.016198704103671708,45,0.016198704103671708,620,845.5,0.5164857619855536,0.49489418566375193,0.49670110193487793,548,0.2571709418547541,0.07258064516129033,5,22,5,13,0.7340275967961071,0.10761359168708445,0.5522199597419856,0.5758506281474918
xgboost:leave_out_LR04,0.25,validation,baseline_common_threshold,lambda_0_validation,2778,0.7282217422606192,0.720336465375292,0.306941431670282,0.7092731829573935,0.7313997477931904,0.4284632853898562,0.35701670708106364,0.11051249763899024,1740,639,116,283,0.176466839134463,0.7843710790216398,0.3937463049100213,-0.6127567613461229,0.7995777110093393,0.015478761699064075,43,0.015478761699064075,707,957.0,0.4274402405501058,0.4118398572304585,0.41006612553078536,616,0.21122870570887758,0.06082036775106082,6,36,1,0,0.7639957530923531,0.13897576319672347,0.4381956708077288,0.4715581245780684
xgboost:leave_out_LR04,0.25,test,baseline_common_threshold,lambda_0_validation,2778,0.7491000719942404,0.7231398167550023,0.32387706855791965,0.6867167919799498,0.7595628415300546,0.44016064257028115,0.3381447383383632,0.10192922606285487,1807,572,125,274,0.176466839134463,0.7973211717819139,0.4451394495609465,-0.4160726398651996,0.8908680647691734,0.012239020878329733,34,0.012239020878329733,620,845.5,0.4371811944844134,0.42079452516884713,0.42071319110438665,548,0.19354961237258347,0.054838709677419356,4,28,2,0,0.6480079281455754,0.12998222076541913,0.4487501532704228,0.4822354515826444
xgboost:leave_out_LR04,0.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.7271418286537077,0.7197059483513324,0.30594594594594593,0.7092731829573935,0.7301387137452712,0.42749244712990936,0.3771262498410057,0.11963878260667793,1737,642,116,283,0.176466839134463,0.7797467607648799,0.3888116906709489,-0.8430859104080324,0.6797511692732576,0.01331893448524118,37,0.01331893448524118,707,957.0,0.34467542843013177,0.33430077548211923,0.32957061578791536,616,0.15621082843959908,0.05233380480905234,1,36,0,0,0.6697080592761082,0.15219143113015374,0.33623484974765994,0.3740149469671111
xgboost:leave_out_LR04,0.5,test,baseline_common_threshold,lambda_0_validation,2778,0.748020158387329,0.7287670626756044,0.3252032520325203,0.7017543859649122,0.7557797393862967,0.4444444444444444,0.3517595523870792,0.10849876633830224,1798,581,119,280,0.176466839134463,0.7959653231439253,0.4355913487536494,-0.6721860800308382,0.7629526825050497,0.01079913606911447,30,0.01079913606911447,620,845.5,0.3521312197966396,0.34082328899364567,0.33798141114484237,548,0.1423738694914598,0.04838709677419355,1,28,1,0,0.5538625740680979,0.14184073150248633,0.34549019821791843,0.3832217612505476
xgboost:leave_out_LR04,0.75,validation,baseline_common_threshold,lambda_0_validation,2778,0.7289416846652268,0.7228427310394523,0.30844155844155846,0.7142857142857143,0.7313997477931904,0.4308390022675737,0.39417573219908664,0.12724249057263048,1740,639,114,285,0.176466839134463,0.7787217096966881,0.3799334162393705,-0.969988238522056,0.6324841075243793,0.01331893448524118,37,0.01331893448524118,707,957.0,0.29536935598669806,0.2885641393303123,0.28120276205407874,616,0.12800112627723972,0.05233380480905234,1,36,0,0,0.6249175669403105,0.16378399473184307,0.2809330243874121,0.3146145086909571
xgboost:leave_out_LR04,0.75,test,baseline_common_threshold,lambda_0_validation,2778,0.7437005039596832,0.7241590735982453,0.31990794016110474,0.6967418546365914,0.7515762925598991,0.4384858044164038,0.3673936044596569,0.11530086102888257,1788,591,121,278,0.176466839134463,0.7926620881754617,0.4277173609893489,-0.8278855654747533,0.703363982424891,0.010439164866810655,29,0.010439164866810655,620,845.5,0.2997084564239579,0.29229064219555045,0.2867021717531913,548,0.11525690240644977,0.0467741935483871,1,28,0,0,0.5171818328470611,0.15702479352069498,0.2886882086687336,0.3201033336816634
