algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04
xgboost:leave_out_LR05,0.0,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7688984881209503,0.7315704140553149,0.3452229299363057,0.6791979949874687,0.783942833123161,0.4577702702702703,0.34098166820689346,0.10336912675655044,1865,514,128,271,0.176466839134463,0.7895953629344483,0.4112856354938421,-0.16055807277262055,0.9450566056771348,0.01079913606911447,30,0.01079913606911447,222,222.0,0.3187551378854214,0.3187551378854214,0.30994357405721124,212,0.046990512755019975,0.13513513513513514,9,8,7,6,0.8668706868602228,0.084804724391213,0.6280662797347889,0.583404961449824
xgboost:leave_out_LR05,0.0,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7915766738660908,0.7281239037063023,0.3695652173913043,0.6390977443609023,0.8171500630517023,0.46831955922865015,0.32783613300787867,0.09776640131015564,1944,435,144,255,0.176466839134463,0.8027730107108881,0.4682172562859919,0.09362643509448579,1.0510456494183482,0.01331893448524118,37,0.01331893448524118,188,188.0,0.33305449135288123,0.33305449135288123,0.3212552293471493,178,0.04409116606860398,0.19680851063829788,6,5,15,11,0.7922094266636119,0.07587329210991299,0.6427528416533685,0.7219705071322714
xgboost:leave_out_LR05,0.1,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7613390928725702,0.7302856763598782,0.3374384236453202,0.6867167919799498,0.7738545607398066,0.45251857968620973,0.3411485627287831,0.1034272949650145,1841,538,125,274,0.17129807619314458,0.7894831656695334,0.4094144015487294,-0.17956948060719233,0.9412145277553687,0.009359251259899209,26,0.009359251259899209,222,222.0,0.30296318084488627,0.30296318084488627,0.29379823179082426,212,0.04205922247326664,0.11711711711711711,9,9,4,4,0.8337463163420566,0.08402716397691423,0.5895667986499155,0.5501117759939244
xgboost:leave_out_LR05,0.1,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7865370770338372,0.7293533328908652,0.3637640449438202,0.6491228070175439,0.8095838587641866,0.46624662466246625,0.32754439629383447,0.09779249832028723,1926,453,140,259,0.17129807619314458,0.8041062091968045,0.46960377239097023,0.08093760783662517,1.0534730700504678,0.008639308855291577,24,0.008639308855291577,188,188.0,0.3138450605397735,0.3138450605397735,0.303090722928004,178,0.038188168042762656,0.1276595744680851,5,4,8,7,0.7340489135948001,0.07574244224664595,0.6010772731789821,0.6751188184612408
xgboost:leave_out_LR05,0.25,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7591792656587473,0.725895760839678,0.33374384236453203,0.6791979949874687,0.7725935266918873,0.4475639966969447,0.3431260165222903,0.10405429013038175,1838,541,128,271,0.17210258671933318,0.786603435870045,0.4042497794974789,-0.22165718498064968,0.921508900783046,0.00755939524838013,21,0.00755939524838013,222,222.0,0.27884094087443345,0.27884094087443345,0.26897055623598176,212,0.03576296109968856,0.0945945945945946,6,9,3,3,0.7775017833152386,0.07821544945804573,0.5399036927876522,0.5032344736083741
xgboost:leave_out_LR05,0.25,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7796976241900648,0.7232741374242668,0.3535075653370014,0.6441102756892231,0.8024379991593107,0.4564831261101243,0.3294092314840334,0.09844368339478557,1909,470,142,257,0.17210258671933318,0.801691070888655,0.4458228365808575,0.025330608951176597,1.0267613089857746,0.005759539236861051,16,0.005759539236861051,188,188.0,0.2867219379324196,0.2867219379324196,0.2765325327075859,178,0.032241125192785436,0.0851063829787234,4,6,4,2,0.6673794046133071,0.07141448458849105,0.546171262627418,0.6138121871371823
xgboost:leave_out_LR05,0.5,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7606191504679626,0.7225646082419163,0.33375,0.6691729323308271,0.7759562841530054,0.445371142618849,0.3462585133690736,0.10511950548295003,1846,533,132,267,0.17825289988653842,0.7828392966443009,0.3913362350596132,-0.2948874812106187,0.8857501733945878,0.004319654427645789,12,0.004319654427645789,222,222.0,0.24816962457069358,0.24816962457069358,0.23735182784751135,212,0.02953675871491887,0.05405405405405406,1,10,1,0,0.6801934166513086,0.07354168134378648,0.47435444585408515,0.44958113803118077
xgboost:leave_out_LR05,0.5,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.785097192224622,0.7222548805810238,0.359375,0.6340852130325815,0.8104245481294662,0.4587488667271079,0.33231315025170394,0.09929095322164926,1928,451,146,253,0.17825289988653842,0.7971942255807657,0.43226565101942044,-0.054108865476908116,0.9874733305308402,0.003959683225341973,11,0.003959683225341973,188,188.0,0.2547460032811937,0.2547460032811937,0.2443744930474397,178,0.026396723752675766,0.05851063829787234,1,8,2,0,0.5826567694234449,0.06900942344146263,0.47795192842013734,0.5387955179749995
xgboost:leave_out_LR05,0.75,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7649388048956084,0.7250866763377548,0.33883248730964466,0.6691729323308271,0.7810004203446826,0.44987363100252736,0.3480095117288269,0.10575992219469876,1858,521,132,267,0.18179673724565457,0.7816151349369641,0.3874330726613712,-0.3445130722654732,0.8630645434299653,0.003959683225341973,11,0.003959683225341973,222,222.0,0.22387701810738306,0.22387701810738306,0.2123557644203151,212,0.02553231631774721,0.04954954954954955,1,10,0,0,0.6018896745738469,0.07103270580737016,0.42139557696257723,0.4022367843358998
xgboost:leave_out_LR05,0.75,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7868970482361412,0.7233057422876232,0.36194563662374823,0.6340852130325815,0.812526271542665,0.46083788706739526,0.3347278397156864,0.10011266862477407,1933,446,146,253,0.18179673724565457,0.7948012106769655,0.4287047314010823,-0.11173363649554563,0.9580160231421829,0.003599712023038157,10,0.003599712023038157,188,188.0,0.22922474737648352,0.22922474737648352,0.21906866766291178,178,0.02259679421081039,0.05319148936170213,1,8,1,0,0.5146834321181339,0.06787099190717526,0.4205960358292111,0.4824712227543612
