algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,soft_violation_LR01
xgboost:single_LR01,0.0,validation,fixed_threshold_0.5,prespecified,2778,0.8639308855291576,0.5941082213731048,0.5695364238410596,0.21553884711779447,0.9726775956284153,0.31272727272727274,0.34098166820689346,0.10336912675655044,2314,65,313,86,0.5,0.7895953629344483,0.4112856354938421,-0.16055807277262055,0.9450566056771348,0.003959683225341973,11,0.003959683225341973,11,11.0,0.8668706868602226,0.8668706868602226,0.8668706868602228,11,0.009899825571977872,1.0,11,0.8668706868602228
xgboost:single_LR01,0.0,test,fixed_threshold_0.5,prespecified,2778,0.8693304535637149,0.5962178460021428,0.6343283582089553,0.21303258145363407,0.9794031105506515,0.31894934333958724,0.32783613300787867,0.09776640131015564,2330,49,314,85,0.5,0.8027730107108881,0.4682172562859919,0.09362643509448579,1.0510456494183482,0.0032397408207343412,9,0.0032397408207343412,10,10.0,0.7922094266636119,0.7922094266636119,0.7922094266636119,10,0.0069614088118906585,0.9,9,0.7922094266636119
xgboost:single_LR01,0.1,validation,fixed_threshold_0.5,prespecified,2778,0.8603311735061195,0.5888776164876252,0.535483870967742,0.20802005012531327,0.969735182849937,0.2996389891696751,0.3405300290465707,0.10328329039832958,2307,72,316,83,0.5,0.7905129574672285,0.41501316611091194,-0.18466840958591843,0.9214476021778297,0.0032397408207343412,9,0.0032397408207343412,11,11.0,0.8317993273437048,0.8317993273437048,0.8317993273437047,11,0.008433223918385068,0.8181818181818182,9,0.8317993273437047
xgboost:single_LR01,0.1,test,fixed_threshold_0.5,prespecified,2778,0.8700503959683226,0.6039389141201048,0.6301369863013698,0.23057644110275688,0.9773013871374527,0.3376146788990826,0.3281854040253314,0.09790572784706647,2325,54,307,92,0.5,0.8023911186119985,0.46714293812226765,0.05588351259491431,1.016877200240821,0.0028797696184305254,8,0.0028797696184305254,10,10.0,0.7468686278722924,0.7468686278722924,0.7468686278722924,10,0.005898421957965913,0.8,8,0.7468686278722924
xgboost:single_LR01,0.25,validation,fixed_threshold_0.5,prespecified,2778,0.8628509719222462,0.5934777043491453,0.5584415584415584,0.21553884711779447,0.971416561580496,0.31103074141048825,0.34033555239350854,0.10305404094149331,2311,68,313,86,0.5,0.790310159594025,0.41560008664097464,-0.1540396059701767,0.9539084056293068,0.0032397408207343412,9,0.0032397408207343412,11,11.0,0.7779383703389416,0.7779383703389416,0.7779383703389418,11,0.006632269001699207,0.8181818181818182,9,0.7779383703389418
xgboost:single_LR01,0.25,test,fixed_threshold_0.5,prespecified,2778,0.8689704823614111,0.5991365551331038,0.624113475177305,0.22055137844611528,0.9777217318200925,0.32592592592592595,0.32817341943627093,0.09800742666795131,2326,53,311,88,0.5,0.8034714781910641,0.4673669298570312,0.08488535479746608,1.0510897401524222,0.0028797696184305254,8,0.0028797696184305254,10,10.0,0.6920565717137258,0.6920565717137258,0.6920565717137258,10,0.004970443035441708,0.8,8,0.6920565717137258
xgboost:single_LR01,0.5,validation,fixed_threshold_0.5,prespecified,2778,0.8610511159107271,0.5882550006795045,0.543046357615894,0.20551378446115287,0.9709962168978562,0.29818181818181816,0.34115544338309406,0.10339424078840212,2310,69,317,82,0.5,0.7891507878565686,0.41050577463906207,-0.1694051324618518,0.9462235973729247,0.0032397408207343412,9,0.0032397408207343412,11,11.0,0.6664067831670407,0.6664067831670407,0.6664067831670406,11,0.004765649682433359,0.8181818181818182,9,0.6664067831670406
xgboost:single_LR01,0.5,test,fixed_threshold_0.5,prespecified,2778,0.8700503959683226,0.6049818746108652,0.6283783783783784,0.23308270676691728,0.976881042454813,0.340036563071298,0.3290779509883934,0.0982881328427265,2324,55,306,93,0.5,0.8019323213456085,0.4609129857159938,0.06206869707707102,1.0375440184860314,0.0021598272138228943,6,0.0021598272138228943,10,10.0,0.5890192384379087,0.5890192384379087,0.5890192384379087,10,0.0037556255989568714,0.6,6,0.5890192384379087
xgboost:single_LR01,0.75,validation,fixed_threshold_0.5,prespecified,2778,0.8642908567314614,0.5932754332236645,0.5743243243243243,0.21303258145363407,0.9735182849936949,0.31078610603290674,0.3418289689787654,0.10369234334036678,2316,63,314,85,0.5,0.7885687316230887,0.40678265496714433,-0.1732005073093694,0.9458531362957722,0.0032397408207343412,9,0.0032397408207343412,11,11.0,0.5955239038858252,0.5955239038858252,0.5955239038858253,11,0.003929921843087872,0.8181818181818182,9,0.5955239038858253
xgboost:single_LR01,0.75,test,fixed_threshold_0.5,prespecified,2778,0.8700503959683226,0.6008100326478238,0.6357142857142857,0.22305764411027568,0.978562421185372,0.3302411873840445,0.3297207378632004,0.09855478418884159,2328,51,310,89,0.5,0.8012665122242343,0.4563000679488908,0.05760247663697235,1.0368023404534137,0.0021598272138228943,6,0.0021598272138228943,10,10.0,0.5244133132542956,0.5244133132542956,0.5244133132542956,10,0.0032446608636741143,0.6,6,0.5244133132542956
