algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,soft_violation_LR01
xgboost:single_LR01,0.0,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7688984881209503,0.7315704140553149,0.3452229299363057,0.6791979949874687,0.783942833123161,0.4577702702702703,0.34098166820689346,0.10336912675655044,1865,514,128,271,0.176466839134463,0.7895953629344483,0.4112856354938421,-0.16055807277262055,0.9450566056771348,0.0032397408207343412,9,0.0032397408207343412,11,11.0,0.8668706868602226,0.8668706868602226,0.8668706868602228,11,0.009899825571977872,0.8181818181818182,9,0.8668706868602228
xgboost:single_LR01,0.0,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7915766738660908,0.7281239037063023,0.3695652173913043,0.6390977443609023,0.8171500630517023,0.46831955922865015,0.32783613300787867,0.09776640131015564,1944,435,144,255,0.176466839134463,0.8027730107108881,0.4682172562859919,0.09362643509448579,1.0510456494183482,0.0021598272138228943,6,0.0021598272138228943,10,10.0,0.7922094266636119,0.7922094266636119,0.7922094266636119,10,0.0069614088118906585,0.6,6,0.7922094266636119
xgboost:single_LR01,0.1,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7462203023758099,0.7308450824412861,0.32454128440366975,0.7092731829573935,0.7524169819251787,0.44531864673485444,0.3405300290465707,0.10328329039832958,1790,589,116,283,0.1566588603878328,0.7905129574672285,0.41501316611091194,-0.18466840958591843,0.9214476021778297,0.0028797696184305254,8,0.0028797696184305254,11,11.0,0.8317993273437048,0.8317993273437048,0.8317993273437047,11,0.008433223918385068,0.7272727272727273,8,0.8317993273437047
xgboost:single_LR01,0.1,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7663786897048236,0.7207125632492328,0.3385012919896641,0.656641604010025,0.7847835224884405,0.44671781756180734,0.3281854040253314,0.09790572784706647,1867,512,137,262,0.1566588603878328,0.8023911186119985,0.46714293812226765,0.05588351259491431,1.016877200240821,0.0017998560115190785,5,0.0017998560115190785,10,10.0,0.7468686278722924,0.7468686278722924,0.7468686278722924,10,0.005898421957965913,0.5,5,0.7468686278722924
xgboost:single_LR01,0.25,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7473002159827213,0.7314755994652458,0.3256616800920598,0.7092731829573935,0.7536780159730979,0.44637223974763407,0.34033555239350854,0.10305404094149331,1793,586,116,283,0.1591246649368264,0.790310159594025,0.41560008664097464,-0.1540396059701767,0.9539084056293068,0.0021598272138228943,6,0.0021598272138228943,11,11.0,0.7779383703389416,0.7779383703389416,0.7779383703389418,11,0.006632269001699207,0.5454545454545454,6,0.7779383703389418
xgboost:single_LR01,0.25,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7663786897048236,0.7238414447215138,0.33974358974358976,0.6641604010025063,0.7835224884405212,0.4495335029686175,0.32817341943627093,0.09800742666795131,1864,515,134,265,0.1591246649368264,0.8034714781910641,0.4673669298570312,0.08488535479746608,1.0510897401524222,0.0007199424046076314,2,0.0007199424046076314,10,10.0,0.6920565717137258,0.6920565717137258,0.6920565717137258,10,0.004970443035441708,0.2,2,0.6920565717137258
xgboost:single_LR01,0.5,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.765658747300216,0.7275929420019153,0.34050632911392403,0.6741854636591479,0.7810004203446826,0.45248107653490327,0.34115544338309406,0.10339424078840212,1858,521,130,269,0.17797255156446568,0.7891507878565686,0.41050577463906207,-0.1694051324618518,0.9462235973729247,0.0003599712023038157,1,0.0003599712023038157,11,11.0,0.6664067831670407,0.6664067831670407,0.6664067831670406,11,0.004765649682433359,0.09090909090909091,1,0.6664067831670406
xgboost:single_LR01,0.5,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7912167026637869,0.7247848498927014,0.3678832116788321,0.631578947368421,0.8179907524169819,0.46494464944649444,0.3290779509883934,0.0982881328427265,1946,433,147,252,0.17797255156446568,0.8019323213456085,0.4609129857159938,0.06206869707707102,1.0375440184860314,0.0003599712023038157,1,0.0003599712023038157,10,10.0,0.5890192384379087,0.5890192384379087,0.5890192384379087,10,0.0037556255989568714,0.1,1,0.5890192384379087
xgboost:single_LR01,0.75,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7552195824334054,0.7287986675389608,0.33133253301320525,0.6917293233082706,0.7658680117696511,0.44805194805194803,0.3418289689787654,0.10369234334036678,1822,557,123,276,0.16775485902169848,0.7885687316230887,0.40678265496714433,-0.1732005073093694,0.9458531362957722,0.0003599712023038157,1,0.0003599712023038157,11,11.0,0.5955239038858252,0.5955239038858252,0.5955239038858253,11,0.003929921843087872,0.09090909090909091,1,0.5955239038858253
xgboost:single_LR01,0.75,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7768178545716342,0.7215927586937079,0.34965986394557824,0.6441102756892231,0.7990752416981926,0.4532627865961199,0.3297207378632004,0.09855478418884159,1901,478,142,257,0.16775485902169848,0.8012665122242343,0.4563000679488908,0.05760247663697235,1.0368023404534137,0.0003599712023038157,1,0.0003599712023038157,10,10.0,0.5244133132542956,0.5244133132542956,0.5244133132542956,10,0.0032446608636741143,0.1,1,0.5244133132542956
