algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR02_pos,soft_violation_LR02
xgboost:single_LR02,0.0,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7688984881209503,0.7315704140553149,0.3452229299363057,0.6791979949874687,0.783942833123161,0.4577702702702703,0.34098166820689346,0.10336912675655044,1865,514,128,271,0.176466839134463,0.7895953629344483,0.4112856354938421,-0.16055807277262055,0.9450566056771348,0.0028797696184305254,8,0.0028797696184305254,130,130.0,0.084804724391213,0.084804724391213,0.084804724391213,130,0.004412611907306636,0.06153846153846154,8,0.084804724391213
xgboost:single_LR02,0.0,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7915766738660908,0.7281239037063023,0.3695652173913043,0.6390977443609023,0.8171500630517023,0.46831955922865015,0.32783613300787867,0.09776640131015564,1944,435,144,255,0.176466839134463,0.8027730107108881,0.4682172562859919,0.09362643509448579,1.0510456494183482,0.0017998560115190785,5,0.0017998560115190785,108,108.0,0.07587329210991299,0.07587329210991299,0.07587329210991299,108,0.0031145023569462524,0.046296296296296294,5,0.07587329210991299
xgboost:single_LR02,0.1,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7703383729301656,0.734497024402115,0.34777070063694265,0.6842105263157895,0.7847835224884405,0.46114864864864863,0.3408261802708808,0.10313904994079055,1867,512,126,273,0.17699678800491958,0.7890717756981778,0.41617856557371113,-0.16458439269945013,0.9422815553222631,0.0028797696184305254,8,0.0028797696184305254,130,130.0,0.07787256196662963,0.07787256196662963,0.07787256196662963,130,0.0040234305276880345,0.06153846153846154,8,0.07787256196662963
xgboost:single_LR02,0.1,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7915766738660908,0.7281239037063023,0.3695652173913043,0.6390977443609023,0.8171500630517023,0.46831955922865015,0.3276660215632498,0.09774323003990952,1944,435,144,255,0.17699678800491958,0.803427231382365,0.4703701064266925,0.09119370551534357,1.0496318855478113,0.0014398848092152627,4,0.0014398848092152627,108,108.0,0.07109576680778663,0.07109576680778663,0.07109576680778665,108,0.002906673295003906,0.037037037037037035,4,0.07109576680778665
xgboost:single_LR02,0.25,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7595392368610511,0.7323636961255597,0.33657351154313486,0.6942355889724311,0.7704918032786885,0.4533551554828151,0.3405742071293112,0.10313244411310506,1833,546,122,277,0.16663262439696447,0.78954110791902,0.41346579988082177,-0.15950134959919124,0.9424098340609822,0.0028797696184305254,8,0.0028797696184305254,130,130.0,0.07127687037701828,0.07127687037701828,0.07127687037701827,130,0.0036617794243926603,0.06153846153846154,8,0.07127687037701827
xgboost:single_LR02,0.25,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7800575953923686,0.7255702307471074,0.3547945205479452,0.6491228070175439,0.8020176544766708,0.4588131089459699,0.3274300865975051,0.09770645211437098,1908,471,140,259,0.16663262439696447,0.8039934851841668,0.47095317356170374,0.09395489301665468,1.0484093515683337,0.0010799136069114472,3,0.0010799136069114472,108,108.0,0.06401581267054292,0.06401581267054292,0.06401581267054292,108,0.0026041346195678585,0.027777777777777776,3,0.06401581267054292
xgboost:single_LR02,0.5,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7534197264218863,0.7308766873046424,0.3305687203791469,0.6992481203007519,0.762505254308533,0.4489139179404666,0.34082795945323213,0.10319625674502114,1814,565,120,279,0.16182733239803854,0.7890907386161916,0.41521768691935473,-0.15876810618411927,0.9384307370410805,0.0021598272138228943,6,0.0021598272138228943,130,130.0,0.062268364934163475,0.062268364934163475,0.062268364934163475,130,0.003197389557767971,0.046153846153846156,6,0.062268364934163475
xgboost:single_LR02,0.5,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7735781137508999,0.7238730495848702,0.3470744680851064,0.6541353383458647,0.7936107608238756,0.45351867940920937,0.32830070455342897,0.09776544908138084,1888,491,138,261,0.16182733239803854,0.8014224295501258,0.4723505875129356,0.08913477229218365,1.0422098634580261,0.0007199424046076314,2,0.0007199424046076314,108,108.0,0.05603895082135852,0.05603895082135852,0.05603895082135852,108,0.002269739224034775,0.018518518518518517,2,0.05603895082135852
xgboost:single_LR02,0.75,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7419006479481641,0.7293659748362078,0.32054176072234764,0.7117794486215538,0.7469525010508618,0.44202334630350193,0.34154991633716225,0.10351974156420456,1777,602,115,284,0.15061487357363423,0.788917438615454,0.4129480308614272,-0.1942687480182954,0.9046315779576707,0.0021598272138228943,6,0.0021598272138228943,130,130.0,0.0522280231890421,0.0522280231890421,0.05222802318904211,130,0.002694046503277998,0.046153846153846156,6,0.05222802318904211
xgboost:single_LR02,0.75,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7638588912886969,0.7244561593137953,0.33754740834386854,0.6691729323308271,0.7797393862967633,0.44873949579831934,0.32933696967272585,0.09785305755519397,1855,524,132,267,0.15061487357363423,0.7985300578052952,0.4710188504048495,0.041940161415547975,0.9993400990662573,0.0010799136069114472,3,0.0010799136069114472,108,108.0,0.04630020149859013,0.04630020149859013,0.046300201498590134,108,0.0018665949775888812,0.027777777777777776,3,0.046300201498590134
