algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR04_neg,soft_violation_LR04
xgboost:single_LR04,0.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7688984881209503,0.7315704140553149,0.3452229299363057,0.6791979949874687,0.783942833123161,0.4577702702702703,0.34098166820689346,0.10336912675655044,1865,514,128,271,0.176466839134463,0.7895953629344483,0.4112856354938421,-0.16055807277262055,0.9450566056771348,0.0021598272138228943,6,0.0021598272138228943,15,15.0,0.5834049614498239,0.5834049614498239,0.583404961449824,15,0.006903925617947772,0.4,6,0.583404961449824
xgboost:single_LR04,0.0,test,baseline_common_threshold,lambda_0_validation,2778,0.7915766738660908,0.7281239037063023,0.3695652173913043,0.6390977443609023,0.8171500630517023,0.46831955922865015,0.32783613300787867,0.09776640131015564,1944,435,144,255,0.176466839134463,0.8027730107108881,0.4682172562859919,0.09362643509448579,1.0510456494183482,0.003959683225341973,11,0.003959683225341973,19,19.0,0.7219705071322713,0.7219705071322713,0.7219705071322714,19,0.01115880667539259,0.5789473684210527,11,0.7219705071322714
xgboost:single_LR04,0.1,validation,baseline_common_threshold,lambda_0_validation,2778,0.7667386609071274,0.7240516170628337,0.34017971758664955,0.6641604010025063,0.783942833123161,0.44991511035653653,0.3410630985381804,0.10345888308392812,1865,514,134,265,0.176466839134463,0.7898165969779429,0.4104284172498659,-0.17450287081811924,0.9330870434489903,0.0014398848092152627,4,0.0014398848092152627,15,15.0,0.5410673031400707,0.5410673031400707,0.5410673031400707,15,0.005929187169877288,0.26666666666666666,4,0.5410673031400707
xgboost:single_LR04,0.1,test,baseline_common_threshold,lambda_0_validation,2778,0.7915766738660908,0.7270809432155421,0.3691860465116279,0.6365914786967418,0.8175704077343422,0.46734130634774607,0.32766888559273843,0.09780785645660556,1945,434,145,254,0.176466839134463,0.8035947371581538,0.46453254560461277,0.08012953703793146,1.0402541105347407,0.0025197984161267097,7,0.0025197984161267097,19,19.0,0.669581808804294,0.669581808804294,0.6695818088042941,19,0.009206459335569423,0.3684210526315789,7,0.6695818088042941
xgboost:single_LR04,0.25,validation,baseline_common_threshold,lambda_0_validation,2778,0.765658747300216,0.7244640605296343,0.3392857142857143,0.6666666666666666,0.782261454392602,0.44970414201183434,0.34199174555325734,0.10372119679315604,1861,518,133,266,0.176466839134463,0.7884797112579683,0.40641065964599443,-0.17600305985922793,0.9403508118726404,0.0010799136069114472,3,0.0010799136069114472,15,15.0,0.50335579988884,0.50335579988884,0.50335579988884,15,0.004931566145709793,0.2,3,0.50335579988884
xgboost:single_LR04,0.25,test,baseline_common_threshold,lambda_0_validation,2778,0.7894168466522679,0.7258199091676227,0.3659942363112392,0.6365914786967418,0.8150483396385035,0.464775846294602,0.3281011861249313,0.09783169194447293,1939,440,145,254,0.176466839134463,0.8026086654214349,0.4668128995463184,0.09045684626239879,1.0551915024103817,0.0010799136069114472,3,0.0010799136069114472,19,19.0,0.6079067852449989,0.6079067852449989,0.6079067852449987,19,0.007464848718089202,0.15789473684210525,3,0.6079067852449987
xgboost:single_LR04,0.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.7642188624910007,0.7236233711643547,0.33756345177664976,0.6666666666666666,0.7805800756620429,0.44818871103622576,0.34236772954974226,0.10380952195637869,1857,522,133,266,0.176466839134463,0.7881957942354836,0.40477116568531735,-0.1934869784057997,0.9329558925020576,0.0,0,0.0,15,15.0,0.43558683992691594,0.43558683992691594,0.43558683992691594,15,0.0037499982594520545,0.0,0,0.43558683992691594
xgboost:single_LR04,0.5,test,baseline_common_threshold,lambda_0_validation,2778,0.7883369330453563,0.7262323526344234,0.3648068669527897,0.6390977443609023,0.8133669609079445,0.4644808743169399,0.32851561884677666,0.09806782254604693,1935,444,144,255,0.176466839134463,0.8028867882189712,0.45805057964220397,0.06356883290773192,1.0422180041816054,0.0,0,0.0,19,19.0,0.538075103481946,0.538075103481946,0.5380751034819461,19,0.006097054037838068,0.0,0,0.5380751034819461
xgboost:single_LR04,0.75,validation,baseline_common_threshold,lambda_0_validation,2778,0.7602591792656588,0.7202685149190757,0.3324968632371393,0.6641604010025063,0.7763766288356452,0.4431438127090301,0.3428249736808318,0.10414380607315675,1847,532,134,265,0.176466839134463,0.788236880557847,0.4020917066686541,-0.22633546210345987,0.9031620613130017,0.0,0,0.0,15,15.0,0.3754048230826856,0.3754048230826856,0.3754048230826857,15,0.002943393446572758,0.0,0,0.3754048230826857
xgboost:single_LR04,0.75,test,baseline_common_threshold,lambda_0_validation,2778,0.7912167026637869,0.7279137313649824,0.36903039073806077,0.6390977443609023,0.8167297183690626,0.46788990825688076,0.32898768375022763,0.0984034206768631,1943,436,144,255,0.176466839134463,0.8032507708952921,0.4498555365362356,0.014159828387822903,1.0017996844428785,0.0,0,0.0,19,19.0,0.47627468950613366,0.47627468950613366,0.47627468950613366,19,0.004958805257109977,0.0,0,0.47627468950613366
