algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
LightGBM,0.0,validation,fixed_threshold_0.5,prespecified,2778,0.8635709143268538,0.5959839700133056,0.5641025641025641,0.22055137844611528,0.971416561580496,0.3171171171171171,0.3409690727392309,0.1033494132771442,2311,68,311,88,0.5,0.7898776997137652,0.40453878836719104,-0.1398448685489366,0.9606272594483047,0.1493880489560835,452,0.1627069834413247,722,722.0,0.5461855457469048,0.5461855457469048,0.5450012301046705,629,0.260615789201499,0.6260387811634349,11,0,48,10,383,0.8638260760203477,0.08276934369713913,0.6308009009096434,0.6544595726203124,0.6452682189261444
LightGBM,0.0,test,fixed_threshold_0.5,prespecified,2778,0.871130309575234,0.6014405496717835,0.6496350364963503,0.22305764411027568,0.9798234552332913,0.332089552238806,0.329078278187055,0.097942081247911,2331,48,310,89,0.5,0.7996451827340524,0.4719453791349321,0.09175927554321596,1.0539845533676393,0.13354931605471562,398,0.14326853851691865,639,639.0,0.560805073871342,0.560805073871342,0.5613482720573854,566,0.24492289813646365,0.622848200312989,10,0,34,17,337,0.7997263470945637,0.0792975706917617,0.6427075558106076,0.725875460489381,0.654597166302644
LightGBM,0.1,validation,fixed_threshold_0.5,prespecified,2778,0.857451403887689,0.6122272895353137,0.5071090047393365,0.2681704260651629,0.9562841530054644,0.35081967213114756,0.3438029162014463,0.1045853118662874,2275,104,292,107,0.5,0.7885924352706061,0.40720612337480955,-0.31605795841845313,0.8996851211315807,0.128869690424766,386,0.13894888408927286,722,722.0,0.5001205442207926,0.5001205442207926,0.499539532743325,629,0.2180008410896061,0.5346260387811634,10,0,38,9,329,0.81723744851516,0.09763132710490226,0.5496317275654142,0.6199944352613208,0.587659475843742
LightGBM,0.1,test,fixed_threshold_0.5,prespecified,2778,0.871130309575234,0.6275145619407914,0.6096256684491979,0.2857142857142857,0.9693148381672971,0.3890784982935154,0.3284131515523311,0.09782677566990218,2306,73,285,114,0.5,0.8022841888243096,0.469127273542866,-0.0775245950368502,1.0052018757354466,0.11627069834413246,345,0.12419006479481641,639,639.0,0.5153877006901707,0.5153877006901707,0.51673806022758,566,0.204269376233004,0.539906103286385,7,0,29,16,293,0.7013955722090298,0.09380801736656126,0.5652883070138001,0.6593167728063737,0.6005117445727609
LightGBM,0.25,validation,fixed_threshold_0.5,prespecified,2778,0.8516918646508279,0.6484970307230876,0.47854785478547857,0.3634085213032581,0.9335855401429172,0.4131054131054131,0.35173880180222133,0.1078206657239332,2221,158,254,145,0.5,0.7839317714209862,0.39898826133599924,-0.5117946189706826,0.8279953875793485,0.0964722822174226,280,0.1007919366450684,722,722.0,0.4457421764294509,0.4457421764294509,0.4449268635716495,629,0.1762726254407661,0.3878116343490305,9,0,20,8,243,0.7598850396038954,0.11704041911319583,0.4649854106186823,0.553170413991489,0.5185305363019997
LightGBM,0.25,test,fixed_threshold_0.5,prespecified,2778,0.8668106551475881,0.6489805851324402,0.5591836734693878,0.3433583959899749,0.9546027742749055,0.4254658385093168,0.332613932739328,0.09953327237172774,2271,108,262,137,0.5,0.8006818222521415,0.45990456758528075,-0.29214273978253774,0.9351538533887664,0.09539236861051116,278,0.10007199424046076,639,639.0,0.45946785160414594,0.45946785160414594,0.46056681713223047,566,0.16404757843173268,0.4350547730829421,6,0,20,14,238,0.6323117222455941,0.11176229169261688,0.4799670297370927,0.5921866035982299,0.5309903513632652
LightGBM,0.5,validation,fixed_threshold_0.5,prespecified,2778,0.8369330453563715,0.6659539769979804,0.43147208121827413,0.42606516290726815,0.9058427910886927,0.4287515762925599,0.36706525112322425,0.11462680219364446,2155,224,229,170,0.5,0.7785879157751461,0.3853985329214973,-0.7299484873568375,0.7309280103661021,0.06515478761699064,187,0.06731461483081354,722,722.0,0.37943243309530267,0.37943243309530267,0.37694117742028443,629,0.13693576680010128,0.2590027700831025,9,2,14,7,155,0.6825449865200831,0.1360661675511152,0.37246936126880026,0.477634755541081,0.4340122417691713
LightGBM,0.5,test,fixed_threshold_0.5,prespecified,2778,0.8596112311015118,0.6718941110658108,0.5141955835962145,0.40852130325814534,0.9352669188734762,0.4553072625698324,0.34286994583182145,0.10428415185839379,2225,154,236,163,0.5,0.7975655827252031,0.43914495596362013,-0.5372340814430961,0.8313424602903878,0.07019438444924406,201,0.07235421166306695,639,639.0,0.38958630225959046,0.38958630225959046,0.38900008422480625,566,0.12583639366473456,0.3145539906103286,6,0,13,11,171,0.5567005432406009,0.12770703503574268,0.3870330352365193,0.5200233339871371,0.443386150298878
LightGBM,0.75,validation,fixed_threshold_0.5,prespecified,2778,0.8178545716342692,0.6642014873248695,0.3849462365591398,0.44862155388471175,0.8797814207650273,0.41435185185185186,0.3813318364906272,0.12109978958025938,2093,286,220,179,0.5,0.775750852541189,0.3767358845949586,-0.8638463476701007,0.6682417533304084,0.040676745860331175,117,0.042116630669546434,722,722.0,0.3332486284465899,0.3332486284465899,0.3284874488479172,629,0.1142494193321318,0.16204986149584488,9,2,12,6,88,0.6254558630146351,0.14411452619856363,0.3168561891625398,0.43682763277520237,0.37505136772621595
LightGBM,0.75,test,fixed_threshold_0.5,prespecified,2778,0.8452123830093593,0.6791316247744204,0.4599483204134367,0.44611528822055135,0.9121479613282892,0.4529262086513995,0.35405446558631876,0.10943656199141512,2170,209,221,178,0.5,0.7952152343869341,0.43071715135680066,-0.6940643925964437,0.7606393723946465,0.045716342692584594,130,0.04679625629949604,639,639.0,0.3411148228654134,0.3411148228654134,0.3382985192659178,566,0.10394778938917057,0.20344287949921752,6,1,10,10,103,0.4962883568463223,0.13716524719106238,0.330426480365478,0.46711335136134563,0.3824140518212778
LightGBM,1.0,validation,fixed_threshold_0.5,prespecified,2778,0.8041756659467243,0.6656015827715569,0.36084452975047987,0.47117794486215536,0.8600252206809584,0.40869565217391307,0.39539794225990926,0.12707523026733128,2046,333,211,188,0.5,0.7742311853614702,0.3725874606649854,-0.9636346869020713,0.6132141873275909,0.021958243340532757,63,0.02267818574514039,722,722.0,0.29504623858482076,0.29504623858482076,0.2882600282902076,629,0.0979919404519947,0.08725761772853186,9,5,10,6,33,0.5569568295503614,0.14394317439406343,0.2712675205093298,0.3796249497629699,0.32917243172379607
LightGBM,1.0,test,fixed_threshold_0.5,prespecified,2778,0.8250539956803455,0.6798774995496306,0.4068522483940043,0.47619047619047616,0.8835645229087852,0.4387990762124711,0.36442258552963974,0.11384186377125882,2102,277,209,190,0.5,0.7935264811882585,0.4293117377211863,-0.8078977174106262,0.6989053298516754,0.017998560115190784,53,0.01907847372210223,639,639.0,0.30193873004071997,0.30193873004071997,0.2972666161868873,566,0.08895072148950198,0.08294209702660407,4,2,10,6,31,0.42795770702012703,0.13507867459973794,0.282680190966283,0.3994068399674403,0.3371737358545128
LightGBM,1.5,validation,fixed_threshold_0.5,prespecified,2778,0.7994960403167747,0.664955263315919,0.35315985130111527,0.47619047619047616,0.8537200504413619,0.4055496264674493,0.4177502303636953,0.13618461216614258,2031,348,209,190,0.5,0.7717602117947243,0.36237410570375655,-1.0809064585113752,0.559196763636887,0.01655867530597552,47,0.016918646508279338,722,722.0,0.24871232652719635,0.24871232652719635,0.2389515142437027,629,0.07968336839669703,0.06509695290858726,6,6,3,3,29,0.4836661484660972,0.150372979328544,0.21790868216588882,0.3277634120079082,0.2708061212074614
LightGBM,1.5,test,fixed_threshold_0.5,prespecified,2778,0.8203743700503959,0.6802741405847532,0.39711934156378603,0.48370927318295737,0.876839007986549,0.43615819209039547,0.3833848015421466,0.12184069937484314,2086,293,206,193,0.5,0.7911961492634486,0.419688833042169,-0.9470398765991174,0.6357250672757068,0.012958963282937365,38,0.013678905687544997,639,639.0,0.2523480504586908,0.2523480504586908,0.24496216549202388,566,0.0714122389783441,0.0594679186228482,4,5,4,2,23,0.3798297898892048,0.14054011960195045,0.2271587884185281,0.33622134342107546,0.27561079754513385
LightGBM,2.0,validation,fixed_threshold_0.5,prespecified,2778,0.7966162706983442,0.6643168450761203,0.34854014598540145,0.47869674185463656,0.849936948297604,0.4033790918690602,0.43773849416846466,0.14323294233159609,2022,357,208,191,0.5,0.7700551294166479,0.36273379262177396,-1.1567672951242893,0.5150518574015979,0.01511879049676026,43,0.015478761699064075,722,722.0,0.21577119607430742,0.21577119607430742,0.20397907443586302,629,0.06808080023751514,0.05955678670360111,6,7,1,1,28,0.4486929722761786,0.14963151914923933,0.17878661581014724,0.2735777486872237,0.2309910010148656
