algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
LightGBM,0.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7534197264218863,0.7319196477954028,0.3309692671394799,0.7017543859649122,0.7620849096258933,0.4497991967871486,0.3409690727392309,0.1033494132771442,1813,566,119,280,0.1620460991482594,0.7898776997137652,0.40453878836719104,-0.1398448685489366,0.9606272594483047,0.04283657307415407,121,0.0435565154787617,722,722.0,0.5461855457469048,0.5461855457469048,0.5450012301046705,629,0.260615789201499,0.16759002770083103,9,9,6,6,91,0.8638260760203477,0.08276934369713913,0.6308009009096434,0.6544595726203124,0.6452682189261444
LightGBM,0.0,test,baseline_common_threshold,lambda_0_validation,2778,0.775377969762419,0.7186661483469077,0.3469387755102041,0.6390977443609023,0.798234552332913,0.4497354497354497,0.329078278187055,0.097942081247911,1899,480,144,255,0.1620460991482594,0.7996451827340524,0.4719453791349321,0.09175927554321596,1.0539845533676393,0.04895608351331893,142,0.051115910727141826,639,639.0,0.560805073871342,0.560805073871342,0.5613482720573854,566,0.24492289813646365,0.2222222222222222,5,7,12,7,111,0.7997263470945637,0.0792975706917617,0.6427075558106076,0.725875460489381,0.654597166302644
LightGBM,0.1,validation,baseline_common_threshold,lambda_0_validation,2778,0.728581713462923,0.7215895982073721,0.3076923076923077,0.7117794486215538,0.7313997477931904,0.4296520423600605,0.3438029162014463,0.1045853118662874,1740,639,115,284,0.1620460991482594,0.7885924352706061,0.40720612337480955,-0.31605795841845313,0.8996851211315807,0.024478041756659467,68,0.024478041756659467,722,722.0,0.5001205442207926,0.5001205442207926,0.499539532743325,629,0.2180008410896061,0.09418282548476455,8,20,2,6,32,0.81723744851516,0.09763132710490226,0.5496317275654142,0.6199944352613208,0.587659475843742
LightGBM,0.1,test,baseline_common_threshold,lambda_0_validation,2778,0.7523398128149748,0.7260743283176415,0.32777115613825986,0.6892230576441103,0.7629255989911727,0.44426494345718903,0.3284131515523311,0.09782677566990218,1815,564,124,275,0.1620460991482594,0.8022841888243096,0.469127273542866,-0.0775245950368502,1.0052018757354466,0.024838012958963283,70,0.0251979841612671,639,639.0,0.5153877006901707,0.5153877006901707,0.51673806022758,566,0.204269376233004,0.10954616588419405,5,16,6,6,37,0.7013955722090298,0.09380801736656126,0.5652883070138001,0.6593167728063737,0.6005117445727609
LightGBM,0.25,validation,baseline_common_threshold,lambda_0_validation,2778,0.7167026637868971,0.7209116738883778,0.29958677685950413,0.7268170426065163,0.7150063051702396,0.4242867593269934,0.35173880180222133,0.1078206657239332,1701,678,109,290,0.1620460991482594,0.7839317714209862,0.39898826133599924,-0.5117946189706826,0.8279953875793485,0.017278617710583154,48,0.017278617710583154,722,722.0,0.4457421764294509,0.4457421764294509,0.4449268635716495,629,0.1762726254407661,0.0664819944598338,7,38,1,2,0,0.7598850396038954,0.11704041911319583,0.4649854106186823,0.553170413991489,0.5185305363019997
LightGBM,0.25,test,baseline_common_threshold,lambda_0_validation,2778,0.7386609071274298,0.7316462657273701,0.31893687707641194,0.7218045112781954,0.7414880201765448,0.4423963133640553,0.332613932739328,0.09953327237172774,1764,615,111,288,0.1620460991482594,0.8006818222521415,0.45990456758528075,-0.29214273978253774,0.9351538533887664,0.01259899208063355,35,0.01259899208063355,639,639.0,0.45946785160414594,0.45946785160414594,0.46056681713223047,566,0.16404757843173268,0.054773082942097026,4,27,4,0,0,0.6323117222455941,0.11176229169261688,0.4799670297370927,0.5921866035982299,0.5309903513632652
LightGBM,0.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.7134629229661628,0.7179771623257387,0.2964102564102564,0.7243107769423559,0.7116435477091215,0.42066957787481807,0.36706525112322425,0.11462680219364446,1693,686,110,289,0.1620460991482594,0.7785879157751461,0.3853985329214973,-0.7299484873568375,0.7309280103661021,0.014398848092152628,40,0.014398848092152628,722,722.0,0.37943243309530267,0.37943243309530267,0.37694117742028443,629,0.13693576680010128,0.055401662049861494,2,38,0,0,0,0.6825449865200831,0.1360661675511152,0.37246936126880026,0.477634755541081,0.4340122417691713
LightGBM,0.5,test,baseline_common_threshold,lambda_0_validation,2778,0.7347012239020878,0.7303773304636118,0.3155021834061135,0.7243107769423559,0.7364438839848676,0.43954372623574145,0.34286994583182145,0.10428415185839379,1752,627,110,289,0.1620460991482594,0.7975655827252031,0.43914495596362013,-0.5372340814430961,0.8313424602903878,0.011159107271418287,31,0.011159107271418287,639,639.0,0.38958630225959046,0.38958630225959046,0.38900008422480625,566,0.12583639366473456,0.048513302034428794,1,28,2,0,0,0.5567005432406009,0.12770703503574268,0.3870330352365193,0.5200233339871371,0.443386150298878
LightGBM,0.75,validation,baseline_common_threshold,lambda_0_validation,2778,0.7134629229661628,0.7200630833072593,0.2972420837589377,0.7293233082706767,0.7108028583438419,0.4223512336719884,0.3813318364906272,0.12109978958025938,1691,688,108,291,0.1620460991482594,0.775750852541189,0.3767358845949586,-0.8638463476701007,0.6682417533304084,0.013678905687544997,38,0.013678905687544997,722,722.0,0.3332486284465899,0.3332486284465899,0.3284874488479172,629,0.1142494193321318,0.05263157894736842,0,38,0,0,0,0.6254558630146351,0.14411452619856363,0.3168561891625398,0.43682763277520237,0.37505136772621595
LightGBM,0.75,test,baseline_common_threshold,lambda_0_validation,2778,0.7321814254859611,0.7309920450558932,0.313915857605178,0.7293233082706767,0.7326607818411097,0.43891402714932126,0.35405446558631876,0.10943656199141512,1743,636,108,291,0.1620460991482594,0.7952152343869341,0.43071715135680066,-0.6940643925964437,0.7606393723946465,0.010439164866810655,29,0.010439164866810655,639,639.0,0.3411148228654134,0.3411148228654134,0.3382985192659178,566,0.10394778938917057,0.04538341158059468,0,29,0,0,0,0.4962883568463223,0.13716524719106238,0.330426480365478,0.46711335136134563,0.3824140518212778
