algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
Neural Network (MLP),0.0,validation,fixed_threshold_0.5,prespecified,2778,0.8603311735061195,0.5680184066724188,0.5478260869565217,0.15789473684210525,0.9781420765027322,0.245136186770428,0.3401498941990284,0.10336897278034907,2327,52,336,63,0.5,0.7923144346785417,0.3945487977180163,-0.04559101436130201,0.9704074759332653,0.1627069834413247,505,0.18178545716342692,722,722.0,0.5586426618482336,0.5586426618482336,0.5567024932706041,629,0.2687653303420906,0.6994459833795014,11,0,64,14,416,0.9163113160228189,0.07331812889434587,0.6624883955833738,0.7666202170153459,0.6570113665163517
Neural Network (MLP),0.0,test,fixed_threshold_0.5,prespecified,2778,0.8740100791936645,0.5906064025132187,0.7333333333333333,0.19298245614035087,0.9882303488860866,0.3055555555555556,0.3266836116287911,0.09706227171673955,2351,28,322,77,0.5,0.8034056347257382,0.486491531883908,0.24593559239224297,1.1007906954987479,0.14578833693304535,445,0.160187185025198,639,639.0,0.5774755367074486,0.5774755367074486,0.5758375485590759,566,0.254288251455291,0.6964006259780907,10,0,47,19,369,0.8299908118632933,0.06551574417792355,0.6984573519892162,0.8201171990091863,0.6705714140434289
Neural Network (MLP),0.1,validation,fixed_threshold_0.5,prespecified,2778,0.8581713462922966,0.5959602663657884,0.5141242937853108,0.22807017543859648,0.9638503572929803,0.3159722222222222,0.34162671319454874,0.10399214855125145,2293,86,308,91,0.5,0.7912967580784664,0.39823311847108034,-0.21588439883176594,0.9326828674944194,0.14110871130309574,430,0.15478761699064075,722,722.0,0.5185800019723887,0.5185800019723887,0.5171785309050029,629,0.22877401295301286,0.5955678670360111,11,0,47,14,358,0.8918708481007454,0.09341735064219205,0.58545621533436,0.742532623766197,0.6053636538858216
Neural Network (MLP),0.1,test,fixed_threshold_0.5,prespecified,2778,0.8758099352051836,0.6198171974703468,0.6753246753246753,0.2606516290726817,0.9789827658680118,0.37613019891500904,0.3265159029343731,0.0969536551833279,2329,50,295,104,0.5,0.8037859465814599,0.48692225402226597,0.05391976800479446,1.060640711489669,0.1285097192224622,385,0.13858891288696903,639,639.0,0.5371905938432157,0.5371905938432157,0.5367533440925079,566,0.2155343428117149,0.6025039123630673,10,0,35,19,321,0.7810253993918498,0.08455997209329112,0.6180148694932072,0.798489110740392,0.620026623143237
Neural Network (MLP),0.25,validation,fixed_threshold_0.5,prespecified,2778,0.8484521238300936,0.6257462698360023,0.45955882352941174,0.3132832080200501,0.9382093316519546,0.37257824143070045,0.3472942588869322,0.10652367544203023,2232,147,274,125,0.5,0.7891686972791372,0.3940113365197229,-0.4143392843676348,0.8585054225640807,0.10763138948884089,317,0.11411087113030957,722,722.0,0.4714636627355949,0.4714636627355949,0.4697450788152358,629,0.19233106445725748,0.4390581717451524,10,0,27,11,269,0.8431669364147115,0.10839911128561468,0.5044354152950373,0.6991967221928966,0.5464987109700838
Neural Network (MLP),0.25,test,fixed_threshold_0.5,prespecified,2778,0.8743700503959683,0.6492223623371164,0.6157407407407407,0.3333333333333333,0.9651113913408995,0.432520325203252,0.3302025357940392,0.09827659828397428,2296,83,266,133,0.5,0.8005327526466439,0.46718539927958413,-0.1801413881404195,0.9733058001885327,0.10727141828653708,317,0.11411087113030957,639,639.0,0.48869684530178203,0.48869684530178203,0.4884650976352122,566,0.18003070752446293,0.49608763693270735,7,0,26,17,267,0.7107245450218518,0.1001586055865994,0.5349100330004505,0.7552481394326478,0.5603609378315393
Neural Network (MLP),0.5,validation,fixed_threshold_0.5,prespecified,2778,0.8405327573794097,0.6524112930497745,0.4378531073446328,0.38847117794486213,0.9163514081546869,0.4116865869853918,0.3610815167952113,0.11238863286532838,2180,199,244,155,0.5,0.7831774686822139,0.37977220471014084,-0.6599142155928934,0.7503248033016949,0.08171346292296616,236,0.08495320374370051,722,722.0,0.40665819284971366,0.40665819284971366,0.4045661453347185,629,0.1522484630585691,0.3268698060941828,9,2,18,7,200,0.7446407295311942,0.13777809965018278,0.3965444363126851,0.5264512888259358,0.4668726242582003
Neural Network (MLP),0.5,test,fixed_threshold_0.5,prespecified,2778,0.8664506839452844,0.6769303460416489,0.5466666666666666,0.41102756892230574,0.942833123160992,0.46924177396280403,0.33896515331796767,0.10198687345933816,2243,136,235,164,0.5,0.7970667526318951,0.4395442153655904,-0.46633270039076,0.8531254256270691,0.0802735781137509,232,0.08351331893448524,639,639.0,0.41858149714666876,0.41858149714666876,0.4177340526893606,566,0.13970675729611634,0.36306729264475746,6,1,16,11,198,0.5815714771548907,0.1281388719727136,0.423184050551427,0.5436039129108713,0.47873171354476735
Neural Network (MLP),0.75,validation,fixed_threshold_0.5,prespecified,2778,0.8228941684665226,0.660886137158786,0.3940774487471526,0.43358395989974935,0.8881883144178226,0.4128878281622912,0.37326279656884975,0.11808007647466165,2113,266,226,173,0.5,0.7817900151808692,0.3736861406410553,-0.7982242594404504,0.6909660849743845,0.05543556515478762,157,0.056515478761699066,722,722.0,0.36228466523933334,0.36228466523933334,0.3579285947082479,629,0.128937473163941,0.21745152354570638,9,6,10,7,125,0.6700221147726884,0.1492983343127446,0.3430956629189578,0.49814151790406963,0.4093481301168601
Neural Network (MLP),0.75,test,fixed_threshold_0.5,prespecified,2778,0.8542116630669546,0.6896007357612189,0.49193548387096775,0.45864661654135336,0.9205548549810845,0.47470817120622566,0.3480089977092106,0.1061896342906306,2190,189,216,183,0.5,0.7956013404676046,0.4345048666277125,-0.6258149055363633,0.786935050916412,0.05759539236861051,166,0.059755219582433405,639,639.0,0.372171964348684,0.372171964348684,0.36962121952446503,566,0.1174935851354188,0.2597809076682316,5,2,13,7,139,0.5246736345191796,0.13835817755970323,0.3645242978544796,0.49270296358225635,0.4205684483337649
