algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
Neural Network (MLP),0.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7037437005039597,0.7331617189253082,0.2965451055662188,0.7744360902255639,0.6918873476250526,0.42886884108258155,0.3401498941990284,0.10336897278034907,1646,733,90,309,0.11813894162575404,0.7923144346785417,0.3945487977180163,-0.04559101436130201,0.9704074759332653,0.025557955363570913,71,0.025557955363570913,722,722.0,0.5586426618482336,0.5586426618482336,0.5567024932706041,629,0.2687653303420906,0.09833795013850416,9,20,5,6,31,0.9163113160228189,0.07331812889434587,0.6624883955833738,0.7666202170153459,0.6570113665163517
Neural Network (MLP),0.0,test,baseline_common_threshold,lambda_0_validation,2778,0.7210223182145429,0.7296915049287784,0.30578512396694213,0.7418546365914787,0.7175283732660782,0.43306510607168985,0.3266836116287911,0.09706227171673955,1707,672,103,296,0.11813894162575404,0.8034056347257382,0.486491531883908,0.24593559239224297,1.1007906954987479,0.02159827213822894,62,0.022318214542836574,639,639.0,0.5774755367074486,0.5774755367074486,0.5758375485590759,566,0.254288251455291,0.09702660406885759,6,14,8,8,26,0.8299908118632933,0.06551574417792355,0.6984573519892162,0.8201171990091863,0.6705714140434289
Neural Network (MLP),0.1,validation,baseline_common_threshold,lambda_0_validation,2778,0.6843052555795537,0.7270272149478362,0.28390596745027125,0.7869674185463659,0.6670870113493065,0.41727574750830565,0.34162671319454874,0.10399214855125145,1587,792,85,314,0.11813894162575404,0.7912967580784664,0.39823311847108034,-0.21588439883176594,0.9326828674944194,0.01907847372210223,53,0.01907847372210223,722,722.0,0.5185800019723887,0.5185800019723887,0.5171785309050029,629,0.22877401295301286,0.07340720221606649,9,29,0,6,9,0.8918708481007454,0.09341735064219205,0.58545621533436,0.742532623766197,0.6053636538858216
Neural Network (MLP),0.1,test,baseline_common_threshold,lambda_0_validation,2778,0.6965442764578834,0.72687235111739,0.29017013232514177,0.7694235588972431,0.6843211433375368,0.42141386410432397,0.3265159029343731,0.0969536551833279,1628,751,92,307,0.11813894162575404,0.8037859465814599,0.48692225402226597,0.05391976800479446,1.060640711489669,0.016198704103671708,45,0.016198704103671708,639,639.0,0.5371905938432157,0.5371905938432157,0.5367533440925079,566,0.2155343428117149,0.07042253521126761,5,25,4,6,5,0.7810253993918498,0.08455997209329112,0.6180148694932072,0.798489110740392,0.620026623143237
Neural Network (MLP),0.25,validation,baseline_common_threshold,lambda_0_validation,2778,0.6771058315334774,0.7238667286121989,0.27925531914893614,0.7894736842105263,0.6582597730138714,0.412573673870334,0.3472942588869322,0.10652367544203023,1566,813,84,315,0.11813894162575404,0.7891686972791372,0.3940113365197229,-0.4143392843676348,0.8585054225640807,0.019438444924406047,54,0.019438444924406047,722,722.0,0.4714636627355949,0.4714636627355949,0.4697450788152358,629,0.19233106445725748,0.07479224376731301,7,40,0,5,2,0.8431669364147115,0.10839911128561468,0.5044354152950373,0.6991967221928966,0.5464987109700838
Neural Network (MLP),0.25,test,baseline_common_threshold,lambda_0_validation,2778,0.6900647948164147,0.726218130445913,0.28650646950092423,0.7769423558897243,0.6754939050021017,0.4186360567184335,0.3302025357940392,0.09827659828397428,1607,772,89,310,0.11813894162575404,0.8005327526466439,0.46718539927958413,-0.1801413881404195,0.9733058001885327,0.01511879049676026,42,0.01511879049676026,639,639.0,0.48869684530178203,0.48869684530178203,0.4884650976352122,566,0.18003070752446293,0.06572769953051644,4,31,2,5,0,0.7107245450218518,0.1001586055865994,0.5349100330004505,0.7552481394326478,0.5603609378315393
Neural Network (MLP),0.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.67170626349892,0.7175852620201196,0.27440633245382584,0.7819548872180451,0.6532156368221942,0.40625,0.3610815167952113,0.11238863286532838,1554,825,87,312,0.11813894162575404,0.7831774686822139,0.37977220471014084,-0.6599142155928934,0.7503248033016949,0.01907847372210223,53,0.01907847372210223,722,722.0,0.40665819284971366,0.40665819284971366,0.4045661453347185,629,0.1522484630585691,0.07340720221606649,3,50,0,0,0,0.7446407295311942,0.13777809965018278,0.3965444363126851,0.5264512888259358,0.4668726242582003
Neural Network (MLP),0.5,test,baseline_common_threshold,lambda_0_validation,2778,0.6871850251979842,0.7255797122061143,0.2847985347985348,0.7794486215538847,0.6717108028583438,0.41716968477531857,0.33896515331796767,0.10198687345933816,1598,781,88,311,0.11813894162575404,0.7970667526318951,0.4395442153655904,-0.46633270039076,0.8531254256270691,0.014038876889848811,39,0.014038876889848811,639,639.0,0.41858149714666876,0.41858149714666876,0.4177340526893606,566,0.13970675729611634,0.06103286384976526,2,37,0,0,0,0.5815714771548907,0.1281388719727136,0.423184050551427,0.5436039129108713,0.47873171354476735
Neural Network (MLP),0.75,validation,baseline_common_threshold,lambda_0_validation,2778,0.669906407487401,0.7175773608042806,0.2736013986013986,0.7844611528822055,0.6506935687263556,0.40570317563188596,0.37326279656884975,0.11808007647466165,1548,831,86,313,0.11813894162575404,0.7817900151808692,0.3736861406410553,-0.7982242594404504,0.6909660849743845,0.018718502519798418,52,0.018718502519798418,722,722.0,0.36228466523933334,0.36228466523933334,0.3579285947082479,629,0.128937473163941,0.07202216066481995,1,51,0,0,0,0.6700221147726884,0.1492983343127446,0.3430956629189578,0.49814151790406963,0.4093481301168601
Neural Network (MLP),0.75,test,baseline_common_threshold,lambda_0_validation,2778,0.6861051115910727,0.722863274200634,0.2832263978001833,0.7744360902255639,0.6712904581757041,0.4147651006711409,0.3480089977092106,0.1061896342906306,1597,782,90,309,0.11813894162575404,0.7956013404676046,0.4345048666277125,-0.6258149055363633,0.786935050916412,0.01331893448524118,37,0.01331893448524118,639,639.0,0.372171964348684,0.372171964348684,0.36962121952446503,566,0.1174935851354188,0.057902973395931145,0,37,0,0,0,0.5246736345191796,0.13835817755970323,0.3645242978544796,0.49270296358225635,0.4205684483337649
