algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
XGBoost,0.0,validation,fixed_threshold_0.5,prespecified,2778,0.8639308855291576,0.5941082213731048,0.5695364238410596,0.21553884711779447,0.9726775956284153,0.31272727272727274,0.34098166820689346,0.10336912675655044,2314,65,313,86,0.5,0.7895953629344483,0.4112856354938421,-0.16055807277262055,0.9450566056771348,0.15010799136069114,459,0.1652267818574514,722,722.0,0.5441732622282471,0.5441732622282471,0.5427222656323434,629,0.2619299829821304,0.6357340720221607,11,1,53,8,386,0.8668706868602228,0.084804724391213,0.6280662797347889,0.583404961449824,0.6442589094364617
XGBoost,0.0,test,fixed_threshold_0.5,prespecified,2778,0.8693304535637149,0.5962178460021428,0.6343283582089553,0.21303258145363407,0.9794031105506515,0.31894934333958724,0.32783613300787867,0.09776640131015564,2330,49,314,85,0.5,0.8027730107108881,0.4682172562859919,0.09362643509448579,1.0510456494183482,0.13462922966162708,403,0.14506839452843773,639,639.0,0.5609378015684053,0.5609378015684053,0.561495194013167,566,0.24871696893896703,0.6306729264475743,9,0,36,15,343,0.7922094266636119,0.07587329210991299,0.6427528416533685,0.7219705071322714,0.6559312878666724
XGBoost,0.1,validation,fixed_threshold_0.5,prespecified,2778,0.8556515478761699,0.6090905068471937,0.49528301886792453,0.2631578947368421,0.9550231189575452,0.3436988543371522,0.34410920444688997,0.10481450011271153,2272,107,294,105,0.5,0.7894847459127009,0.40620135581386446,-0.31209993451237394,0.9238004900435879,0.12778977681785458,383,0.1378689704823614,722,722.0,0.4989835364100044,0.4989835364100044,0.49800308217021944,629,0.2154636983797276,0.5304709141274239,10,2,39,7,325,0.8379637809541042,0.10936941682941385,0.5461447544147217,0.5538667814829928,0.5849538639921754
XGBoost,0.1,test,fixed_threshold_0.5,prespecified,2778,0.8718502519798416,0.6279349066234312,0.6162162162162163,0.2857142857142857,0.9701555275325767,0.3904109589041096,0.32825843573615854,0.09794531964069082,2308,71,285,114,0.5,0.8040382587405883,0.4679745795814365,-0.054229322961139234,1.0431463108128558,0.11519078473722102,341,0.12275017998560116,639,639.0,0.5160278169999902,0.5160278169999902,0.5170470530607181,566,0.2028741594661123,0.5336463223787168,8,0,28,15,290,0.7502295796778357,0.10014270218245729,0.5649901184006443,0.6685481452838795,0.5984637619327793
XGBoost,0.25,validation,fixed_threshold_0.5,prespecified,2778,0.8498920086393088,0.6495320899980089,0.47115384615384615,0.3684210526315789,0.9306431273644389,0.41350210970464135,0.3520174952910777,0.10807195589802861,2214,165,252,147,0.5,0.784691868384707,0.39815909235101676,-0.5180117119750722,0.8357219919542663,0.09359251259899208,271,0.09755219582433405,722,722.0,0.44389017184432644,0.44389017184432644,0.4421429964705469,629,0.1743778764824974,0.37534626038781166,9,3,20,6,233,0.7729857407163023,0.12548909307438746,0.46669277785402197,0.4952340177282647,0.5148840904395292
XGBoost,0.25,test,fixed_threshold_0.5,prespecified,2778,0.8664506839452844,0.650856333772641,0.556,0.3483709273182957,0.9533417402269861,0.4283513097072419,0.3331902795210862,0.09982212931285994,2268,111,260,139,0.5,0.8004310903361809,0.45366110633602713,-0.2907801928887844,0.9434982694649131,0.09215262778977681,269,0.09683225341972643,639,639.0,0.45895367541456056,0.45895367541456056,0.45987656479612177,566,0.1629870741568794,0.4209702660406886,6,0,20,12,231,0.6628372267436189,0.11762536039499356,0.47536274304810694,0.6116345471658853,0.5278823306168591
XGBoost,0.5,validation,fixed_threshold_0.5,prespecified,2778,0.8336933045356372,0.6578046629815396,0.4194373401534527,0.41102756892230574,0.9045817570407735,0.4151898734177215,0.36656552301189654,0.11471444471892113,2152,227,235,164,0.5,0.7810499346306077,0.38686172958726744,-0.7327399566484463,0.7430957385392363,0.0665946724262059,190,0.06839452843772498,722,722.0,0.3780911720133107,0.3780911720133107,0.3747561364421777,629,0.13642974042025538,0.2631578947368421,9,3,13,6,159,0.6821194114529463,0.13717293627652571,0.3765850442234564,0.4418762609981498,0.4323265482359184
XGBoost,0.5,test,fixed_threshold_0.5,prespecified,2778,0.8599712023038157,0.666889480953329,0.5163398692810458,0.39598997493734334,0.9377889869693148,0.4482269503546099,0.3442830817703715,0.10470613368034755,2231,148,241,158,0.5,0.7956471675194712,0.4346063134074918,-0.5476725202776956,0.8346618949108386,0.07307415406767459,207,0.07451403887688984,639,639.0,0.3894647063594851,0.3894647063594851,0.3888471781415583,566,0.12605755182682593,0.323943661971831,6,1,11,12,177,0.5732640199363832,0.12945855711650048,0.38185390900451177,0.5339806681888289,0.4424248357892402
XGBoost,0.75,validation,fixed_threshold_0.5,prespecified,2778,0.8210943124550036,0.6660930383967485,0.3925438596491228,0.44862155388471175,0.8835645229087852,0.41871345029239765,0.3810831076167975,0.12109529219968614,2102,277,220,179,0.5,0.77812385103153,0.3825259767283099,-0.8729900296856176,0.6572816571743639,0.04319654427645788,123,0.04427645788336933,722,722.0,0.32839572470153783,0.32839572470153783,0.32329790651951434,629,0.11292016487702579,0.1703601108033241,9,3,9,5,97,0.5802852779060742,0.13925536560339036,0.306921864384735,0.39079642239963724,0.3729931765274314
XGBoost,0.75,test,fixed_threshold_0.5,prespecified,2778,0.8473722102231821,0.6803926588223396,0.4671916010498688,0.44611528822055135,0.9146700294241278,0.4564102564102564,0.35496572829391987,0.1096432069960679,2176,203,221,178,0.5,0.7946479270896872,0.4251764576008601,-0.7097702300663102,0.7354575806205241,0.0482361411087113,137,0.049316054715622754,639,639.0,0.33738167311524986,0.33738167311524986,0.3350573911467959,566,0.10385539444959013,0.21439749608763695,6,1,10,10,110,0.49151147653239613,0.13018968399488431,0.3090050493445088,0.4666406314241564,0.38134336800497626
